timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-03-02,8.6200,8.6800,8.5400,8.5600,8.5600,1155186,0.0000,1.0000
2018-03-01,8.6000,8.6650,8.5700,8.6500,8.6500,637166,0.0000,1.0000
2018-02-28,8.6000,8.6500,8.5600,8.5600,8.5600,854027,0.0000,1.0000
2018-02-27,8.6400,8.6600,8.5400,8.5700,8.5700,749120,0.0000,1.0000
2018-02-26,8.5900,8.7000,8.5500,8.6400,8.6400,1497966,0.0000,1.0000
2018-02-23,8.5500,8.7000,8.3828,8.5100,8.5100,900607,0.0000,1.0000
2018-02-22,8.4400,8.4400,8.3000,8.3100,8.3100,539127,0.0000,1.0000
2018-02-21,8.3900,8.4700,8.3594,8.4100,8.4100,437624,0.0000,1.0000
2018-02-20,8.4300,8.4479,8.3000,8.3900,8.3900,461456,0.0000,1.0000
2018-02-16,8.3000,8.4500,8.3000,8.4300,8.4300,407711,0.0000,1.0000
2018-02-15,8.2900,8.3200,8.2300,8.3000,8.3000,288686,0.0000,1.0000
2018-02-14,8.2000,8.2950,8.1800,8.2600,8.2600,368682,0.0000,1.0000
2018-02-13,8.0900,8.2800,8.0800,8.2500,8.2500,420481,0.0000,1.0000
2018-02-12,8.0800,8.1300,7.9500,8.1200,8.1200,420948,0.0000,1.0000
2018-02-09,8.0400,8.0900,7.9800,8.0600,8.0600,514183,0.0000,1.0000
2018-02-08,8.0600,8.0950,8.0100,8.0200,8.0200,404417,0.0000,1.0000
2018-02-07,8.0500,8.1400,8.0100,8.0600,8.0600,292873,0.0000,1.0000
2018-02-06,7.9600,8.1000,7.9400,8.0600,8.0600,780196,0.0000,1.0000
2018-02-05,8.0600,8.0650,7.8900,7.9700,7.9700,806290,0.0000,1.0000
2018-02-02,8.0900,8.1400,8.0700,8.0800,8.0800,478632,0.0000,1.0000
2018-02-01,8.1500,8.2000,8.0700,8.0900,8.0900,396687,0.0000,1.0000
2018-01-31,8.2000,8.2489,8.1000,8.1500,8.1500,665300,0.0000,1.0000
2018-01-30,8.3100,8.3500,8.1900,8.2100,8.2100,856217,0.0000,1.0000
2018-01-29,8.4700,8.4700,8.3100,8.3400,8.3400,518238,0.0000,1.0000
2018-01-26,8.5500,8.5600,8.4500,8.4700,8.4700,261142,0.0000,1.0000
