timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-03-02,5.2500,5.3400,5.1900,5.2100,5.2100,1580616,0.0000,1.0000
2018-03-01,5.0300,5.2900,4.9500,5.2100,5.2100,2583849,0.0000,1.0000
2018-02-28,5.0900,5.1550,5.0200,5.0800,5.0800,1573091,0.0000,1.0000
2018-02-27,5.1400,5.2000,5.0600,5.0700,5.0700,2609436,0.0000,1.0000
2018-02-26,5.1300,5.2350,5.1150,5.2100,5.2100,1380737,0.0000,1.0000
2018-02-23,4.9500,5.1200,4.9110,5.0900,5.0900,1550937,0.0000,1.0000
2018-02-22,5.1000,5.2600,4.9100,4.9500,4.9500,4177781,0.0000,1.0000
2018-02-21,5.4400,5.5500,5.3300,5.3500,5.3500,2109999,0.0000,1.0000
2018-02-20,5.5000,5.5600,5.3700,5.3700,5.3700,1599222,0.0000,1.0000
2018-02-16,5.6400,5.7800,5.5250,5.6200,5.6200,2443370,0.0000,1.0000
2018-02-15,5.6800,5.7300,5.5550,5.6900,5.6900,1924493,0.0000,1.0000
2018-02-14,5.3900,5.7600,5.3800,5.6900,5.6900,2316096,0.0000,1.0000
2018-02-13,5.4500,5.4600,5.3300,5.3800,5.3800,930084,0.0000,1.0000
2018-02-12,5.2000,5.5100,5.1000,5.4300,5.4300,2316445,0.0000,1.0000
2018-02-09,5.4000,5.4200,5.0100,5.1500,5.1500,3229375,0.0000,1.0000
2018-02-08,5.4100,5.4800,5.3200,5.3700,5.3700,2367943,0.0000,1.0000
2018-02-07,5.4900,5.5800,5.3750,5.3800,5.3800,3637721,0.0000,1.0000
2018-02-06,5.6500,5.7400,5.5200,5.5200,5.5200,2211977,0.0000,1.0000
2018-02-05,5.7200,5.8350,5.6100,5.6800,5.6800,2683466,0.0000,1.0000
2018-02-02,5.8700,5.8900,5.6600,5.6600,5.6600,2554884,0.0000,1.0000
2018-02-01,5.9600,6.0300,5.9100,5.9800,5.9800,1865753,0.0000,1.0000
2018-01-31,6.0500,6.0550,5.8600,5.9800,5.9800,2199170,0.0000,1.0000
2018-01-30,6.1200,6.1600,5.9400,5.9700,5.9700,2142987,0.0000,1.0000
2018-01-29,6.3500,6.3500,6.0800,6.0800,6.0800,2630345,0.0000,1.0000
2018-01-26,6.3400,6.4400,6.3000,6.3800,6.3800,2333525,0.0000,1.0000
2018-01-25,6.4300,6.4500,6.1300,6.1600,6.1600,2342669,0.0000,1.0000
2018-01-24,6.4000,6.4800,6.2845,6.4100,6.4100,2070326,0.0000,1.0000
2018-01-23,6.0500,6.2750,6.0300,6.2600,6.2600,1560310,0.0000,1.0000
2018-01-22,6.1000,6.1600,6.0200,6.1100,6.1100,1105464,0.0000,1.0000
2018-01-19,6.0900,6.1000,6.0300,6.0500,6.0500,1150075,0.0000,1.0000
2018-01-18,6.1900,6.1900,6.0200,6.0500,6.0500,1917086,0.0000,1.0000
2018-01-17,6.1500,6.3000,6.1085,6.1900,6.1900,2006393,0.0000,1.0000
2018-01-16,6.1600,6.2300,5.9950,6.1900,6.1900,2554208,0.0000,1.0000
2018-01-12,5.9900,6.1500,5.9500,6.1200,6.1200,2528936,0.0000,1.0000
2018-01-11,6.3300,6.3300,5.8400,5.8900,5.8900,6626956,0.0000,1.0000
2018-01-10,6.3000,6.4001,6.2700,6.3300,6.3300,1807367,0.0000,1.0000
2018-01-09,6.5000,6.5400,6.2600,6.2600,6.2600,2532525,0.0000,1.0000
2018-01-08,6.8400,6.8400,6.5400,6.5900,6.5900,2050235,0.0000,1.0000
2018-01-05,6.7300,6.7600,6.6600,6.7300,6.7300,1135530,0.0000,1.0000
2018-01-04,6.7400,6.7700,6.6400,6.7600,6.7600,2266940,0.0000,1.0000
2018-01-03,6.6600,6.7500,6.5000,6.7300,6.7300,2938324,0.0000,1.0000
2018-01-02,6.5700,6.7700,6.5400,6.6600,6.6600,2987870,0.0000,1.0000
2017-12-29,6.5500,6.6100,6.4600,6.5100,6.5100,1023919,0.0000,1.0000
2017-12-28,6.5300,6.6300,6.4600,6.5200,6.5200,991500,0.0000,1.0000
2017-12-27,6.6500,6.6500,6.4500,6.5000,6.5000,2755754,0.0000,1.0000
2017-12-26,6.6600,6.7500,6.6100,6.6400,6.6400,1022563,0.0000,1.0000
2017-12-22,6.4400,6.6400,6.4200,6.6300,6.6300,1420038,0.0000,1.0000
2017-12-21,6.3300,6.4800,6.2900,6.4600,6.4600,1239110,0.0000,1.0000
2017-12-20,6.1900,6.3800,6.1300,6.3400,6.3400,1174491,0.0000,1.0000
2017-12-19,6.0850,6.1700,6.0800,6.1500,6.1500,1144218,0.0000,1.0000
2017-12-18,6.1500,6.2100,6.0700,6.1500,6.1500,1737942,0.0000,1.0000
2017-12-15,6.1700,6.2100,5.9350,6.0300,6.0300,5919430,0.0000,1.0000
2017-12-14,6.2800,6.3200,6.0800,6.1500,6.1500,2280387,0.0000,1.0000
2017-12-13,6.1400,6.4600,6.1400,6.3600,6.3600,2331079,0.0000,1.0000
2017-12-12,6.0500,6.1800,5.9700,6.1500,6.1500,2070362,0.0000,1.0000
2017-12-11,6.3000,6.4000,6.0600,6.1000,6.1000,2917021,0.0000,1.0000
2017-12-08,6.1400,6.3450,6.1300,6.3000,6.3000,1667465,0.0000,1.0000
2017-12-07,6.0000,6.1800,5.9800,6.1300,6.1300,1909732,0.0000,1.0000
2017-12-06,6.0000,6.1700,5.9700,6.1100,6.1100,2065494,0.0000,1.0000
2017-12-05,6.0800,6.1850,5.9300,6.0800,6.0800,2555832,0.0000,1.0000
2017-12-04,6.2500,6.2900,6.1050,6.1400,6.1400,2122221,0.0000,1.0000
2017-12-01,6.3200,6.4500,6.2900,6.3200,6.3200,1254444,0.0000,1.0000
2017-11-30,6.2600,6.3600,6.2000,6.3300,6.3300,1866528,0.0000,1.0000
2017-11-29,6.4300,6.4800,6.2450,6.2900,6.2900,2056430,0.0000,1.0000
2017-11-28,6.6300,6.6400,6.5000,6.5100,6.5100,1353133,0.0000,1.0000
2017-11-27,6.7700,6.8400,6.6100,6.6300,6.6300,1223395,0.0000,1.0000
2017-11-24,6.9500,6.9700,6.6300,6.6500,6.6500,1151193,0.0000,1.0000
2017-11-22,6.8200,7.0400,6.8200,6.9600,6.9600,3286269,0.0000,1.0000
2017-11-21,6.4300,6.9200,6.4300,6.7800,6.7800,2910241,0.0000,1.0000
2017-11-20,6.3500,6.4200,6.3300,6.3900,6.3900,2116547,0.0000,1.0000
2017-11-17,6.2100,6.5000,6.1900,6.3900,6.3900,3087254,0.0000,1.0000
2017-11-16,6.2100,6.2200,6.1000,6.1800,6.1800,1911825,0.0000,1.0000
2017-11-15,6.2400,6.2500,6.1500,6.1800,6.1800,2125047,0.0000,1.0000
2017-11-14,6.1700,6.2900,6.1700,6.2000,6.2000,1454828,0.0000,1.0000
2017-11-13,6.2700,6.3000,6.1700,6.2100,6.2100,1091112,0.0000,1.0000
2017-11-10,6.3100,6.3600,6.2300,6.2600,6.2600,1018933,0.0000,1.0000
2017-11-09,6.3600,6.3900,6.2800,6.3200,6.3200,1265077,0.0000,1.0000
