timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-03-01,42.5800,42.8600,41.1000,41.4100,41.4100,199229,0.0000,1.0000
2018-02-28,43.2600,43.5600,42.5800,42.5800,42.5800,157846,0.0000,1.0000
2018-02-27,43.8200,44.2500,42.9900,43.0000,43.0000,206345,0.0000,1.0000
2018-02-26,43.7100,43.9900,43.3900,43.7400,43.7400,133235,0.0000,1.0000
2018-02-23,43.5100,43.8426,43.0100,43.6200,43.6200,128153,0.0000,1.0000
2018-02-22,43.6600,43.9450,43.1500,43.2100,43.2100,151535,0.0000,1.0000
2018-02-21,42.6500,44.1400,42.2300,43.4000,43.4000,243835,0.0000,1.0000
2018-02-20,42.2700,42.9300,42.1800,42.6600,42.6600,301478,0.0000,1.0000
2018-02-16,41.9500,42.9200,41.6210,42.5000,42.5000,588492,0.0000,1.0000
2018-02-15,41.1600,42.1600,40.9700,42.0300,42.0300,201060,0.0000,1.0000
2018-02-14,39.5200,40.9500,39.5200,40.8500,40.8500,251396,0.0000,1.0000
2018-02-13,39.4800,39.8600,39.1300,39.8000,39.8000,264980,0.0000,1.0000
2018-02-12,39.2100,39.9300,38.6100,39.7400,39.7400,261947,0.0000,1.0000
2018-02-09,38.8900,39.3500,38.0000,39.0600,39.0600,481206,0.0000,1.0000
2018-02-08,41.9900,42.3600,38.5300,38.5400,38.5400,763581,0.0000,1.0000
2018-02-07,38.0300,38.2200,37.5000,37.5600,37.5600,190662,0.0000,1.0000
2018-02-06,36.4900,38.1000,36.4600,38.1000,38.1000,519864,0.0000,1.0000
2018-02-05,39.0000,39.2250,36.9600,37.3900,37.3900,385430,0.0000,1.0000
2018-02-02,39.5000,39.6300,39.1800,39.2200,39.2200,232415,0.0000,1.0000
2018-02-01,40.3600,40.6600,39.6100,39.8200,39.8200,202533,0.0000,1.0000
2018-01-31,40.3000,40.5500,40.0400,40.4700,40.4700,393651,0.0000,1.0000
2018-01-30,40.4100,40.4100,39.8750,39.9600,39.9600,160624,0.0000,1.0000
2018-01-29,40.9700,41.5000,40.6100,40.6200,40.6200,191417,0.0000,1.0000
2018-01-26,40.7400,41.0000,40.4300,40.9800,40.9800,272166,0.0000,1.0000
2018-01-25,40.8800,41.0600,40.5500,40.6300,40.6300,149073,0.0000,1.0000
2018-01-24,40.4000,40.8100,40.4000,40.6400,40.6400,225432,0.0000,1.0000
2018-01-23,40.8000,41.0700,40.4000,40.4400,40.4400,197667,0.0000,1.0000
2018-01-22,41.6100,41.7500,40.9800,41.0300,41.0300,152843,0.0000,1.0000
2018-01-19,41.0400,41.8600,40.9400,41.8000,41.8000,221619,0.0750,1.0000
2018-01-18,41.1800,41.2200,40.8100,40.9800,40.9066,279826,0.0000,1.0000
2018-01-17,41.3600,41.4000,40.7600,41.1500,41.0763,258254,0.0000,1.0000
2018-01-16,42.5100,43.0800,40.7500,41.0200,40.9465,413394,0.0000,1.0000
2018-01-12,41.3600,42.7600,40.3500,41.7300,41.6553,394082,0.0000,1.0000
2018-01-11,38.5300,39.1900,38.2800,38.9100,38.8403,316317,0.0000,1.0000
2018-01-10,38.5300,38.6700,38.0510,38.5200,38.4510,165443,0.0000,1.0000
