timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-03-01,5.5718,5.6900,5.3100,5.5300,5.5300,14299,0.0000,1.0000
2018-02-28,5.1500,5.6083,5.1500,5.6000,5.6000,31037,0.0000,1.0000
2018-02-27,5.5000,5.7300,5.1203,5.6200,5.6200,115968,0.0000,1.0000
2018-02-26,5.8000,5.8000,5.6610,5.7000,5.7000,31711,0.0000,1.0000
2018-02-23,5.5960,5.8499,5.5000,5.6800,5.6800,104112,0.0000,1.0000
2018-02-22,5.3100,5.7800,5.3100,5.5400,5.5400,44281,0.0000,1.0000
2018-02-21,5.5300,5.7200,5.2701,5.5800,5.5800,15052,0.0000,1.0000
2018-02-20,5.7900,5.9100,5.5500,5.5900,5.5900,33626,0.0000,1.0000
2018-02-16,5.4700,6.2000,5.4700,5.7700,5.7700,95346,0.0000,1.0000
2018-02-15,5.5594,5.5700,5.1300,5.5200,5.5200,65021,0.0000,1.0000
2018-02-14,5.3531,5.5300,5.2662,5.5300,5.5300,15971,0.0000,1.0000
2018-02-13,5.5100,5.6300,4.7800,5.3000,5.3000,133005,0.0000,1.0000
2018-02-12,5.3900,5.7050,5.1850,5.6500,5.6500,56169,0.0000,1.0000
2018-02-09,5.9100,5.9100,4.7901,5.3700,5.3700,128915,0.0000,1.0000
2018-02-08,6.4000,6.9900,5.8100,5.9256,5.9256,112442,0.0000,1.0000
2018-02-07,6.3400,6.7000,6.1000,6.4000,6.4000,149440,0.0000,1.0000
2018-02-06,6.9000,7.0000,6.3950,6.8700,6.8700,78897,0.0000,1.0000
2018-02-05,5.9800,7.2100,5.9800,6.8300,6.8300,97199,0.0000,1.0000
2018-02-02,7.0000,7.1500,5.7800,5.9300,5.9300,181210,0.0000,1.0000
2018-02-01,7.6600,7.6900,7.1400,7.3100,7.3100,93365,0.0000,1.0000
2018-01-31,8.0600,8.1350,7.5500,7.7600,7.7600,74601,0.0000,1.0000
2018-01-30,8.7500,8.9600,7.9600,8.0000,8.0000,134152,0.0000,1.0000
2018-01-29,8.9500,8.9800,8.6600,8.8600,8.8600,35816,0.0000,1.0000
2018-01-26,8.8300,9.1700,8.7000,8.8600,8.8600,33254,0.0000,1.0000
2018-01-25,8.9900,9.0399,8.6600,8.7350,8.7350,22981,0.0000,1.0000
2018-01-24,9.4200,9.4900,8.5300,9.0900,9.0900,83507,0.0000,1.0000
2018-01-23,9.3700,10.1500,9.2387,9.3600,9.3600,175519,0.0000,1.0000
2018-01-22,9.3600,9.4000,9.2500,9.3700,9.3700,48734,0.0000,1.0000
2018-01-19,9.3000,9.4600,9.0900,9.1500,9.1500,13972,0.0000,1.0000
2018-01-18,9.5500,9.5800,9.2100,9.3000,9.3000,22699,0.0000,1.0000
