timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-03-01,7.4800,7.6400,7.4100,7.4400,7.4400,55248,0.0000,1.0000
2018-02-28,7.5800,7.5900,7.4179,7.4400,7.4400,39127,0.0000,1.0000
2018-02-27,7.6100,7.6800,7.5300,7.5400,7.5400,56543,0.0000,1.0000
2018-02-26,7.6500,7.7100,7.6000,7.6600,7.6600,61260,0.0000,1.0000
2018-02-23,7.7000,7.7900,7.6400,7.7300,7.7300,57657,0.0000,1.0000
2018-02-22,7.6900,7.7900,7.6400,7.7000,7.7000,45440,0.0000,1.0000
2018-02-21,7.5900,7.8000,7.5900,7.7200,7.7200,68452,0.0000,1.0000
2018-02-20,7.6800,7.8000,7.6800,7.7300,7.7300,44263,0.0000,1.0000
2018-02-16,7.7000,7.8100,7.5900,7.7400,7.7400,57878,0.0000,1.0000
2018-02-15,7.7500,7.7600,7.5700,7.7100,7.7100,74129,0.0000,1.0000
2018-02-14,7.5100,7.7500,7.5100,7.7100,7.7100,74093,0.0000,1.0000
2018-02-13,7.4800,7.6500,7.4700,7.5800,7.5800,66129,0.0000,1.0000
2018-02-12,7.2700,7.6200,7.2700,7.5900,7.5900,123635,0.0000,1.0000
2018-02-09,7.3800,7.4400,7.1610,7.2500,7.2500,77649,0.0000,1.0000
2018-02-08,7.2600,7.4000,7.2300,7.3100,7.3100,74005,0.0000,1.0000
2018-02-07,7.2800,7.3900,7.1900,7.2500,7.2500,81803,0.0000,1.0000
2018-02-06,6.9900,7.4100,6.8800,7.3400,7.3400,123580,0.0000,1.0000
2018-02-05,7.4200,7.5300,7.1700,7.1900,7.1900,113856,0.0000,1.0000
2018-02-02,7.6500,7.6500,7.5400,7.5600,7.5600,75014,0.0000,1.0000
2018-02-01,7.7600,7.8000,7.6600,7.6800,7.6800,42171,0.0000,1.0000
2018-01-31,7.7800,7.8500,7.7100,7.7600,7.7600,54189,0.0000,1.0000
2018-01-30,7.5900,7.7700,7.5700,7.7300,7.7300,111099,0.0000,1.0000
2018-01-29,7.7500,7.7600,7.6300,7.7000,7.7000,95529,0.0000,1.0000
2018-01-26,7.7100,7.7900,7.6150,7.6800,7.6800,105763,0.0000,1.0000
2018-01-25,7.4700,7.8000,7.4700,7.6200,7.6200,227721,0.0000,1.0000
2018-01-24,7.7500,7.9000,7.3600,7.4900,7.4900,179070,0.0000,1.0000
2018-01-23,7.5000,7.7500,7.5000,7.6800,7.6800,158788,0.0000,1.0000
2018-01-22,7.5000,7.5000,7.4100,7.4800,7.4800,86624,0.0000,1.0000
2018-01-19,7.3000,7.4900,7.2800,7.4000,7.4000,53296,0.0000,1.0000
2018-01-18,7.3800,7.4700,7.2600,7.3200,7.3200,39931,0.0000,1.0000
2018-01-17,7.2700,7.4800,7.2600,7.4500,7.4500,64893,0.0000,1.0000
2018-01-16,7.3500,7.4300,7.2800,7.2800,7.2800,71771,0.0000,1.0000
2018-01-12,7.2900,7.3900,7.2900,7.3800,7.3800,75684,0.0000,1.0000
2018-01-11,7.4000,7.4000,7.2500,7.2800,7.2800,48734,0.0000,1.0000
2018-01-10,7.3500,7.4040,7.3500,7.3500,7.3500,31616,0.0000,1.0000
2018-01-09,7.4600,7.4600,7.3500,7.3900,7.3900,54161,0.0000,1.0000
2018-01-08,7.5400,7.5400,7.4300,7.4900,7.4900,38930,0.0000,1.0000
2018-01-05,7.4300,7.5000,7.4300,7.4900,7.4900,45881,0.0000,1.0000
2018-01-04,7.4500,7.5000,7.4000,7.4500,7.4500,51415,0.0000,1.0000
2018-01-03,7.5000,7.5400,7.4000,7.4400,7.4400,50387,0.0000,1.0000
2018-01-02,7.4700,7.5900,7.4500,7.5000,7.5000,122520,0.0000,1.0000
2017-12-29,7.1800,7.3900,7.1800,7.3600,7.3600,104378,0.0000,1.0000
2017-12-28,7.2100,7.2100,7.1200,7.1800,7.1800,45550,0.0000,1.0000
2017-12-27,7.2500,7.2500,7.0700,7.2200,7.2200,34805,0.0000,1.0000
2017-12-26,7.0700,7.2900,7.0500,7.2700,7.2700,37522,0.0000,1.0000
2017-12-22,7.2700,7.2700,7.1400,7.1800,7.1800,20495,0.0000,1.0000
2017-12-21,7.3000,7.3200,7.2100,7.2900,7.2900,25090,0.0000,1.0000
2017-12-20,7.3000,7.3400,7.2100,7.3400,7.3400,26626,0.0000,1.0000
2017-12-19,7.2800,7.3800,7.1600,7.2000,7.2000,34143,0.0000,1.0000
2017-12-18,7.2000,7.3300,7.2000,7.3100,7.3100,45084,0.0000,1.0000
2017-12-15,7.1100,7.3000,7.0100,7.2000,7.2000,80621,0.0000,1.0000
2017-12-14,7.0400,7.2400,7.0200,7.1300,7.1300,69011,0.0000,1.0000
2017-12-13,7.1200,7.1300,6.9600,7.0000,7.0000,56161,0.0000,1.0000
2017-12-12,7.0700,7.1500,7.0600,7.0600,7.0600,49127,0.0000,1.0000
2017-12-11,7.2200,7.2200,7.0800,7.1300,7.1300,60690,0.0000,1.0000
2017-12-08,7.1000,7.2100,6.9400,7.0200,7.0200,98054,0.0000,1.0000
2017-12-07,6.9800,7.1500,6.7700,7.0800,7.0800,61253,0.0000,1.0000
2017-12-06,7.1400,7.1900,6.9800,6.9800,6.9800,64447,0.0000,1.0000
2017-12-05,7.3400,7.3400,7.1500,7.1700,7.1700,81100,0.0000,1.0000
2017-12-04,7.2400,7.3600,7.1500,7.1800,7.1800,107854,0.0000,1.0000
2017-12-01,7.0000,7.2700,6.8700,7.1400,7.1400,94530,0.0000,1.0000
2017-11-30,7.0100,7.2000,6.9900,7.0100,7.0100,111154,0.0000,1.0000
2017-11-29,7.0700,7.1100,6.9000,6.9800,6.9800,83089,0.0000,1.0000
2017-11-28,7.0300,7.1300,6.8800,7.0800,7.0800,151538,0.0000,1.0000
2017-11-27,6.7600,7.0900,6.7500,7.0900,7.0900,112146,0.0000,1.0000
2017-11-24,6.8400,6.8400,6.6500,6.7300,6.7300,22330,0.0000,1.0000
2017-11-22,6.7100,6.8100,6.7000,6.7800,6.7800,56334,0.0000,1.0000
2017-11-21,6.8200,6.8700,6.6300,6.7200,6.7200,71368,0.0000,1.0000
2017-11-20,7.0100,7.1000,6.5100,6.7000,6.7000,267241,0.0000,1.0000
2017-11-17,6.7000,6.7400,6.6000,6.6400,6.6400,33395,0.0000,1.0000
2017-11-16,6.6900,6.8499,6.6500,6.7000,6.7000,40632,0.0000,1.0000
2017-11-15,6.6800,6.7900,6.6400,6.6900,6.6900,92181,0.0000,1.0000
2017-11-14,6.7500,6.9000,6.7400,6.7800,6.7800,69673,0.0000,1.0000
2017-11-13,6.8800,6.9200,6.7700,6.8300,6.8300,70467,0.0000,1.0000
2017-11-10,6.8800,6.9900,6.8100,6.8800,6.8800,74323,0.0000,1.0000
2017-11-09,6.6600,7.0500,6.6600,6.9400,6.9400,120935,0.0000,1.0000
2017-11-08,6.7600,6.9600,6.7100,6.8600,6.8600,71662,0.0000,1.0000
2017-11-07,6.8500,6.9100,6.7600,6.8100,6.8100,84732,0.0000,1.0000
2017-11-06,6.8800,7.0000,6.8000,6.9000,6.9000,138838,0.0000,1.0000
2017-11-03,6.7900,6.9500,6.6500,6.9000,6.9000,125560,0.0000,1.0000
2017-11-02,6.4900,6.9600,6.4800,6.7500,6.7500,163118,0.0000,1.0000
2017-11-01,6.6600,6.6900,6.1500,6.5700,6.5700,449815,0.0000,1.0000
2017-10-31,6.7300,7.0200,6.5900,6.6100,6.6100,311955,0.0000,1.0000
2017-10-30,7.5400,7.6000,6.5800,6.7200,6.7200,772888,0.0000,1.0000
2017-10-27,7.6500,7.8300,7.4600,7.6200,7.6200,232908,0.0000,1.0000
2017-10-26,7.7800,7.8900,7.6500,7.8500,7.8500,183348,0.0000,1.0000
2017-10-25,8.1700,8.1900,7.5400,7.9700,7.9700,237148,0.0000,1.0000
2017-10-24,8.2200,8.3100,8.1600,8.2300,8.2300,111137,0.0000,1.0000
2017-10-23,8.3400,8.4300,8.1800,8.3300,8.3300,162540,0.0000,1.0000
2017-10-20,8.2600,8.3800,8.2500,8.2800,8.2800,69469,0.0000,1.0000
2017-10-19,8.1100,8.3600,7.9500,8.2500,8.2500,207253,0.0000,1.0000
2017-10-18,8.1000,8.2900,8.0300,8.2000,8.2000,126336,0.0000,1.0000
2017-10-17,8.0300,8.3700,7.8500,8.0500,8.0500,697389,0.0000,1.0000
2017-10-16,7.3300,8.0600,7.3200,7.9900,7.9900,913078,0.0000,1.0000
2017-10-13,7.2900,7.4200,7.2700,7.3300,7.3300,62131,0.0000,1.0000
2017-10-12,7.2900,7.4100,7.2600,7.2600,7.2600,80083,0.0000,1.0000
2017-10-11,7.2000,7.3700,7.1800,7.2800,7.2800,135969,0.0000,1.0000
2017-10-10,7.1700,7.3700,7.1700,7.2400,7.2400,114282,0.0000,1.0000
2017-10-09,7.2800,7.3200,7.1500,7.2000,7.2000,50932,0.0000,1.0000
2017-10-06,7.3400,7.3600,7.1100,7.2000,7.2000,64773,0.0000,1.0000
2017-10-05,7.3100,7.3500,7.2000,7.3300,7.3300,67726,0.0000,1.0000
2017-10-04,7.2500,7.3300,7.2200,7.2800,7.2800,84031,0.0000,1.0000
2017-10-03,7.1400,7.2500,7.1300,7.2400,7.2400,56000,0.0000,1.0000
2017-10-02,7.1500,7.2500,7.1400,7.1400,7.1400,59899,0.0000,1.0000
2017-09-29,7.1500,7.2100,7.1200,7.1400,7.1400,50963,0.0000,1.0000
2017-09-28,7.1000,7.2000,7.1000,7.1700,7.1700,45556,0.0000,1.0000
2017-09-27,7.0700,7.1700,7.0500,7.1500,7.1500,86834,0.0000,1.0000
2017-09-26,7.0400,7.1000,6.9700,7.0700,7.0700,47338,0.0000,1.0000
2017-09-25,6.9900,7.0700,6.9600,7.0600,7.0600,50681,0.0000,1.0000
2017-09-22,6.8700,7.0700,6.8600,6.9400,6.9400,59232,0.0000,1.0000
2017-09-21,6.9200,6.9900,6.8800,6.8900,6.8900,42522,0.0000,1.0000
2017-09-20,6.9800,7.0700,6.8000,6.9400,6.9400,44181,0.0000,1.0000
2017-09-19,7.0000,7.0700,6.9100,6.9900,6.9900,62104,0.0000,1.0000
2017-09-18,6.9900,7.0500,6.9100,6.9400,6.9400,66693,0.0000,1.0000
2017-09-15,6.8400,6.9100,6.8000,6.8800,6.8800,47787,0.0000,1.0000
2017-09-14,6.8800,6.8900,6.6200,6.7700,6.7700,76836,0.0000,1.0000
2017-09-13,6.9600,7.0700,6.8600,6.9000,6.9000,31439,0.0000,1.0000
2017-09-12,6.9500,7.0700,6.8900,6.9200,6.9200,76339,0.0000,1.0000
2017-09-11,6.9000,7.0500,6.8600,6.9300,6.9300,56585,0.0000,1.0000
2017-09-08,6.8900,6.9500,6.7500,6.8000,6.8000,42119,0.0000,1.0000
2017-09-07,6.7200,6.9800,6.7000,6.9300,6.9300,38946,0.0000,1.0000
2017-09-06,6.7600,6.8200,6.7000,6.7400,6.7400,47198,0.0000,1.0000
2017-09-05,6.9300,6.9800,6.6600,6.7500,6.7500,91732,0.0000,1.0000
2017-09-01,7.0000,7.0700,6.9300,6.9800,6.9800,53155,0.0000,1.0000
2017-08-31,6.7600,7.1500,6.7600,6.9900,6.9900,208847,0.0000,1.0000
2017-08-30,6.6400,6.8500,6.6400,6.8400,6.8400,67268,0.0000,1.0000
2017-08-29,6.7300,6.7900,6.6600,6.6900,6.6900,82060,0.0000,1.0000
2017-08-28,6.7000,6.8400,6.6100,6.7300,6.7300,66552,0.0000,1.0000
2017-08-25,6.7800,6.8200,6.7000,6.7000,6.7000,25326,0.0000,1.0000
2017-08-24,6.6000,6.7500,6.5800,6.6600,6.6600,48320,0.0000,1.0000
2017-08-23,6.5100,6.7000,6.5100,6.6300,6.6300,37563,0.0000,1.0000
2017-08-22,6.6400,6.7000,6.6100,6.6300,6.6300,52901,0.0000,1.0000
2017-08-21,6.6200,6.7400,6.6200,6.7100,6.7100,28706,0.0000,1.0000
2017-08-18,6.5900,6.7700,6.5000,6.6700,6.6700,71167,0.0000,1.0000
2017-08-17,6.5600,6.7800,6.5300,6.6100,6.6100,70769,0.0000,1.0000
2017-08-16,6.4500,6.6800,6.4500,6.6200,6.6200,50598,0.0000,1.0000
2017-08-15,6.5400,6.6500,6.4900,6.5100,6.5100,44234,0.0000,1.0000
2017-08-14,6.5600,6.7600,6.3000,6.6200,6.6200,68071,0.0000,1.0000
2017-08-11,6.5800,6.7300,6.5800,6.6500,6.6500,45831,0.0000,1.0000
2017-08-10,6.7200,6.7200,6.6000,6.6000,6.6000,58484,0.0000,1.0000
2017-08-09,6.6400,6.8200,6.6400,6.7400,6.7400,100115,0.0000,1.0000
2017-08-08,6.7800,6.9000,6.7100,6.8000,6.8000,78581,0.0000,1.0000
2017-08-07,6.7500,6.8800,6.6900,6.8500,6.8500,53543,0.0000,1.0000
2017-08-04,6.7200,6.8300,6.7100,6.7800,6.7800,53265,0.0000,1.0000
2017-08-03,6.8300,6.8900,6.6600,6.7100,6.7100,58275,0.0000,1.0000
2017-08-02,6.7900,6.9000,6.7700,6.8500,6.8500,87378,0.0000,1.0000
2017-08-01,6.9200,6.9900,6.7300,6.9000,6.9000,78598,0.0000,1.0000
2017-07-31,6.8900,6.9600,6.8100,6.9300,6.9300,96922,0.0000,1.0000
2017-07-28,6.6800,6.9900,6.6800,6.9400,6.9400,80917,0.0000,1.0000
2017-07-27,6.8300,6.8500,6.5900,6.7500,6.7500,81566,0.0000,1.0000
