timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-03-01,1.1500,1.1500,0.9500,1.0900,1.0900,203787,0.0000,1.0000
2018-02-28,1.2600,1.2800,1.1000,1.1100,1.1100,496180,0.0000,1.0000
2018-02-27,1.3200,1.3900,1.2500,1.2500,1.2500,224436,0.0000,1.0000
2018-02-26,1.3000,1.4200,1.2100,1.3700,1.3700,659895,0.0000,1.0000
2018-02-23,1.4300,1.4400,1.2500,1.3000,1.3000,355021,0.0000,1.0000
2018-02-22,1.5100,1.5500,1.3700,1.4100,1.4100,277457,0.0000,1.0000
2018-02-21,1.5000,1.5600,1.3900,1.4970,1.4970,297234,0.0000,1.0000
2018-02-20,1.4500,1.6000,1.3900,1.5000,1.5000,849822,0.0000,1.0000
2018-02-16,1.5500,1.5500,1.2500,1.3300,1.3300,464180,0.0000,1.0000
2018-02-15,1.5900,1.6000,1.4500,1.5000,1.5000,551292,0.0000,1.0000
2018-02-14,1.8500,1.8500,1.5000,1.5700,1.5700,1467653,0.0000,1.0000
2018-02-13,3.5000,3.6990,2.5001,2.6800,2.6800,459931,0.0000,1.0000
2018-02-12,4.6000,5.1799,3.4000,3.4298,3.4298,468787,0.0000,1.0000
2018-02-09,4.0500,4.9400,3.7422,4.5000,4.5000,75908,0.0000,1.0000
2018-02-08,4.2700,4.2700,3.9100,3.9100,3.9100,73056,0.0000,1.0000
2018-02-07,4.5600,4.7100,4.0941,4.2700,4.2700,78153,0.0000,1.0000
2018-02-06,5.1700,5.2199,4.3200,4.6549,4.6549,108867,0.0000,1.0000
2018-02-05,6.1600,6.4500,5.0500,5.3000,5.3000,103905,0.0000,1.0000
2018-02-02,7.1800,7.1800,6.0200,6.2300,6.2300,103192,0.0000,1.0000
2018-02-01,6.5100,6.9599,6.2521,6.2695,6.2695,94152,0.0000,1.0000
2018-01-31,7.1000,7.5000,6.2300,6.5000,6.5000,265353,0.0000,0.0250
2018-01-30,0.1899,0.1899,0.1800,0.1822,7.2880,1273317,0.0000,1.0000
2018-01-29,0.1941,0.2080,0.1765,0.1851,7.4040,3092701,0.0000,1.0000
2018-01-26,0.1900,0.2000,0.1802,0.1955,7.8200,880916,0.0000,1.0000
2018-01-25,0.1910,0.1975,0.1810,0.1860,7.4404,1557400,0.0000,1.0000
2018-01-24,0.1999,0.2001,0.1900,0.1989,7.9560,1106646,0.0000,1.0000
2018-01-23,0.2060,0.2060,0.1950,0.1951,7.8040,954175,0.0000,1.0000
2018-01-22,0.2100,0.2100,0.1900,0.2006,8.0240,1386509,0.0000,1.0000
2018-01-19,0.2260,0.2300,0.2000,0.2050,8.2000,2125028,0.0000,1.0000
2018-01-18,0.2100,0.2444,0.2001,0.2060,8.2400,6538198,0.0000,1.0000
2018-01-17,0.1989,0.2190,0.1881,0.2004,8.0160,2648654,0.0000,1.0000
2018-01-16,0.1961,0.2020,0.1880,0.1946,7.7840,703141,0.0000,1.0000
2018-01-12,0.2000,0.2089,0.1900,0.1950,7.8000,609440,0.0000,1.0000
2018-01-11,0.2045,0.2149,0.1901,0.2050,8.2000,614436,0.0000,1.0000
2018-01-10,0.2150,0.2200,0.2000,0.2026,8.1040,927483,0.0000,1.0000
2018-01-09,0.2300,0.2300,0.2011,0.2088,8.3520,908214,0.0000,1.0000
2018-01-08,0.2000,0.2250,0.1998,0.2150,8.6000,2259795,0.0000,1.0000
2018-01-05,0.2000,0.2048,0.1942,0.1997,7.9880,643233,0.0000,1.0000
2018-01-04,0.1900,0.2030,0.1900,0.1989,7.9560,887701,0.0000,1.0000
2018-01-03,0.2050,0.2089,0.1875,0.1876,7.5040,1659719,0.0000,1.0000
2018-01-02,0.1820,0.2100,0.1750,0.1850,7.4000,3355778,0.0000,1.0000
2017-12-29,0.1800,0.1990,0.1730,0.1820,7.2800,2228103,0.0000,1.0000
2017-12-28,0.1990,0.1990,0.1710,0.1780,7.1200,2239134,0.0000,1.0000
2017-12-27,0.2001,0.2050,0.1906,0.1984,7.9360,1570431,0.0000,1.0000
2017-12-26,0.2170,0.2184,0.2001,0.2049,8.1960,1764635,0.0000,1.0000
2017-12-22,0.2200,0.2230,0.2000,0.2148,8.5920,1093394,0.0000,1.0000
2017-12-21,0.2300,0.2300,0.2150,0.2170,8.6800,1054102,0.0000,1.0000
2017-12-20,0.2340,0.2400,0.2150,0.2187,8.7480,1047103,0.0000,1.0000
2017-12-19,0.2240,0.2258,0.2110,0.2120,8.4800,1214610,0.0000,1.0000
2017-12-18,0.2386,0.2386,0.2201,0.2207,8.8280,1025531,0.0000,1.0000
2017-12-15,0.2376,0.2549,0.2215,0.2308,9.2320,950098,0.0000,1.0000
2017-12-14,0.2300,0.2400,0.2200,0.2314,9.2560,1510332,0.0000,1.0000
2017-12-13,0.2288,0.2292,0.2205,0.2255,9.0200,865815,0.0000,1.0000
2017-12-12,0.2406,0.2411,0.2200,0.2255,9.0200,1089278,0.0000,1.0000
2017-12-11,0.2458,0.2458,0.2280,0.2401,9.6040,447699,0.0000,1.0000
2017-12-08,0.2649,0.2680,0.2400,0.2433,9.7320,836768,0.0000,1.0000
2017-12-07,0.2219,0.2700,0.2200,0.2684,10.7360,4256858,0.0000,1.0000
2017-12-06,0.2310,0.2318,0.2200,0.2200,8.8000,356525,0.0000,1.0000
2017-12-05,0.2300,0.2398,0.2251,0.2310,9.2400,682245,0.0000,1.0000
2017-12-04,0.2479,0.2479,0.2250,0.2316,9.2640,340588,0.0000,1.0000
2017-12-01,0.2400,0.2499,0.2250,0.2420,9.6800,600984,0.0000,1.0000
2017-11-30,0.2600,0.2680,0.2350,0.2399,9.5960,807928,0.0000,1.0000
2017-11-29,0.2478,0.2710,0.2320,0.2599,10.3960,1696022,0.0000,1.0000
2017-11-28,0.2300,0.2989,0.2254,0.2410,9.6400,5338313,0.0000,1.0000
2017-11-27,0.2300,0.2390,0.2240,0.2281,9.1240,464849,0.0000,1.0000
2017-11-24,0.2390,0.2390,0.2230,0.2335,9.3400,405070,0.0000,1.0000
2017-11-22,0.2220,0.2375,0.2220,0.2300,9.2000,314073,0.0000,1.0000
2017-11-21,0.2210,0.2430,0.2210,0.2305,9.2200,605630,0.0000,1.0000
2017-11-20,0.2417,0.2417,0.2171,0.2310,9.2400,821443,0.0000,1.0000
2017-11-17,0.2499,0.2499,0.2300,0.2400,9.6000,446249,0.0000,1.0000
2017-11-16,0.2177,0.2590,0.2110,0.2340,9.3600,1440275,0.0000,1.0000
