timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-03-01,123.5000,129.0253,121.1400,127.5700,127.5700,474242,0.0000,1.0000
2018-02-28,120.1900,126.8300,116.1300,123.7300,123.7300,432090,0.0000,1.0000
2018-02-27,124.3000,124.3500,120.7100,123.2700,123.2700,376268,0.0000,1.0000
2018-02-26,121.7900,124.1800,120.1100,123.7700,123.7700,377298,0.0000,1.0000
2018-02-23,121.1200,121.6900,115.1100,121.4700,121.4700,184336,0.0000,1.0000
2018-02-22,117.8700,121.1000,117.1300,119.5300,119.5300,349210,0.0000,1.0000
2018-02-21,114.0900,119.5400,113.3300,116.7000,116.7000,223131,0.0000,1.0000
2018-02-20,116.6400,118.6800,112.9300,113.4700,113.4700,359486,0.0000,1.0000
2018-02-16,115.5600,117.1899,115.4800,116.5500,116.5500,338308,0.0000,1.0000
2018-02-15,116.6600,116.8200,112.9000,116.1100,116.1100,198323,0.0000,1.0000
2018-02-14,112.7800,116.0000,111.3585,115.6000,115.6000,338683,0.0000,1.0000
2018-02-13,112.9200,115.6500,108.6300,114.2600,114.2600,284664,0.0000,1.0000
2018-02-12,110.3800,113.0500,105.5300,111.9000,111.9000,306673,0.0000,1.0000
2018-02-09,107.8700,110.7197,102.1000,109.5400,109.5400,515465,0.0000,1.0000
2018-02-08,116.8400,117.0000,105.8100,106.1900,106.1900,610915,0.0000,1.0000
2018-02-07,114.2700,118.5300,112.0100,116.4800,116.4800,310013,0.0000,1.0000
2018-02-06,111.7000,116.1300,110.7300,115.1400,115.1400,427853,0.0000,1.0000
2018-02-05,116.0300,120.8150,113.9500,114.1000,114.1000,362501,0.0000,1.0000
2018-02-02,118.4100,119.8800,115.1800,116.0300,116.0300,270107,0.0000,1.0000
2018-02-01,122.8300,122.8300,116.3500,118.7700,118.7700,619115,0.0000,1.0000
2018-01-31,126.8200,128.0000,119.6300,123.7300,123.7300,500920,0.0000,1.0000
2018-01-30,112.0200,126.8400,110.6300,124.5500,124.5500,1107500,0.0000,1.0000
2018-01-29,112.2400,124.2890,111.2900,123.0000,123.0000,691413,0.0000,1.0000
2018-01-26,111.5100,116.9900,109.6400,113.7100,113.7100,1135989,0.0000,1.0000
2018-01-25,105.8400,109.6500,105.8400,108.9600,108.9600,415353,0.0000,1.0000
2018-01-24,109.1800,109.9900,101.1600,105.8300,105.8300,774309,0.0000,1.0000
2018-01-23,108.9700,113.0000,107.1200,108.6100,108.6100,762295,0.0000,1.0000
2018-01-22,108.7300,110.9000,106.1900,108.7500,108.7500,796729,0.0000,1.0000
2018-01-19,109.3400,110.3000,105.7800,108.2500,108.2500,777156,0.0000,1.0000
2018-01-18,105.5000,112.9000,105.0100,110.1700,110.1700,1037184,0.0000,1.0000
2018-01-17,103.2100,105.4800,102.5500,104.8700,104.8700,2910348,0.0000,1.0000
2018-01-16,112.5000,112.5000,101.4001,105.0100,105.0100,1240648,0.0000,1.0000
2018-01-12,116.2000,119.0000,115.9240,117.5000,117.5000,624968,0.0000,1.0000
2018-01-11,115.0200,116.7400,113.3500,116.3400,116.3400,390721,0.0000,1.0000
2018-01-10,111.6100,115.2950,109.6300,114.8800,114.8800,359911,0.0000,1.0000
2018-01-09,106.0600,112.1300,105.6700,111.8500,111.8500,332490,0.0000,1.0000
2018-01-08,102.0000,106.9300,102.0000,106.3200,106.3200,569353,0.0000,1.0000
2018-01-05,100.1300,108.4900,96.9900,102.0800,102.0800,837632,0.0000,1.0000
2018-01-04,106.7700,107.0900,104.5110,104.7400,104.7400,546002,0.0000,1.0000
2018-01-03,110.2700,111.6600,106.4700,106.6400,106.6400,352447,0.0000,1.0000
2018-01-02,110.8300,111.5000,108.3500,110.4900,110.4900,272631,0.0000,1.0000
2017-12-29,114.8800,116.1500,110.5100,110.6700,110.6700,265527,0.0000,1.0000
2017-12-28,111.3300,115.1695,110.9600,114.8000,114.8000,296845,0.0000,1.0000
2017-12-27,111.5600,113.2100,110.6200,110.9900,110.9900,358747,0.0000,1.0000
2017-12-26,109.6000,114.2800,108.6020,111.5600,111.5600,275131,0.0000,1.0000
2017-12-22,107.1600,109.6000,105.3700,109.1500,109.1500,287838,0.0000,1.0000
2017-12-21,104.5200,107.9600,103.5000,106.6300,106.6300,319967,0.0000,1.0000
2017-12-20,105.7700,107.2300,104.2600,104.4300,104.4300,252228,0.0000,1.0000
2017-12-19,104.0800,107.7500,103.1200,105.4900,105.4900,398632,0.0000,1.0000
2017-12-18,99.8200,103.9300,99.5500,103.7600,103.7600,562702,0.0000,1.0000
2017-12-15,99.2100,102.1500,96.7500,98.9200,98.9200,997607,0.0000,1.0000
2017-12-14,100.3100,101.8100,97.0400,98.9400,98.9400,436895,0.0000,1.0000
2017-12-13,93.6100,98.8600,92.4550,98.3400,98.3400,501257,0.0000,1.0000
2017-12-12,98.3700,99.0500,93.0200,93.6600,93.6600,426606,0.0000,1.0000
2017-12-11,100.3100,101.7000,97.0250,98.0900,98.0900,359263,0.0000,1.0000
2017-12-08,99.3600,101.7700,98.6400,99.8300,99.8300,446474,0.0000,1.0000
2017-12-07,92.0100,99.0100,91.5200,98.7000,98.7000,496170,0.0000,1.0000
2017-12-06,93.4300,94.3400,91.5500,91.9700,91.9700,313339,0.0000,1.0000
2017-12-05,93.7400,96.2900,93.0700,93.5000,93.5000,350535,0.0000,1.0000
2017-12-04,95.6300,97.8500,93.1000,93.8400,93.8400,315553,0.0000,1.0000
2017-12-01,95.0000,96.5650,91.3300,94.8100,94.8100,263907,0.0000,1.0000
2017-11-30,94.3900,95.3000,93.0000,94.8100,94.8100,306280,0.0000,1.0000
2017-11-29,95.5700,95.9100,92.2400,93.8500,93.8500,228304,0.0000,1.0000
2017-11-28,94.0500,96.4900,92.5800,94.9200,94.9200,216337,0.0000,1.0000
2017-11-27,96.5800,96.7900,93.7200,93.9800,93.9800,201292,0.0000,1.0000
2017-11-24,96.5500,97.5500,95.6200,96.1800,96.1800,91490,0.0000,1.0000
2017-11-22,96.2500,97.2800,94.2100,96.1000,96.1000,292228,0.0000,1.0000
2017-11-21,96.7500,97.5250,95.7800,95.9900,95.9900,203284,0.0000,1.0000
2017-11-20,97.4500,98.5900,95.2000,95.8800,95.8800,215346,0.0000,1.0000
2017-11-17,97.9500,98.5900,95.6800,97.2800,97.2800,290996,0.0000,1.0000
2017-11-16,96.5600,101.5900,96.5600,98.7600,98.7600,314281,0.0000,1.0000
2017-11-15,94.9500,97.8700,93.0000,95.6200,95.6200,363155,0.0000,1.0000
2017-11-14,96.8000,96.8000,90.7700,95.7800,95.7800,686744,0.0000,1.0000
2017-11-13,95.0100,97.6800,90.7300,96.9900,96.9900,388500,0.0000,1.0000
2017-11-10,98.9300,99.0000,91.3800,95.7900,95.7900,739234,0.0000,1.0000
2017-11-09,98.8100,101.4100,97.0700,99.3100,99.3100,264549,0.0000,1.0000
2017-11-08,100.8000,104.3850,99.0500,99.2600,99.2600,290001,0.0000,1.0000
2017-11-07,104.9000,105.4900,101.0750,101.8700,101.8700,275660,0.0000,1.0000
2017-11-06,104.1000,106.0200,103.7810,104.4600,104.4600,224985,0.0000,1.0000
2017-11-03,104.3200,106.1850,103.0200,104.5300,104.5300,342741,0.0000,1.0000
2017-11-02,101.3400,108.2700,100.3600,104.3200,104.3200,384382,0.0000,1.0000
2017-11-01,105.5200,106.6500,97.3900,99.9200,99.9200,435315,0.0000,1.0000
2017-10-31,105.5000,107.0200,104.3800,104.5100,104.5100,295524,0.0000,1.0000
2017-10-30,103.9600,106.2700,102.5900,105.3500,105.3500,229475,0.0000,1.0000
2017-10-27,100.5600,105.4000,99.5100,103.8100,103.8100,441660,0.0000,1.0000
2017-10-26,100.5700,105.5700,99.4000,101.0000,101.0000,351788,0.0000,1.0000
2017-10-25,100.3300,102.0000,98.5000,101.4200,101.4200,325293,0.0000,1.0000
2017-10-24,99.6100,102.6600,97.9050,100.2100,100.2100,486711,0.0000,1.0000
2017-10-23,100.0000,101.7500,99.6400,100.1700,100.1700,307212,0.0000,1.0000
2017-10-20,101.5600,101.5600,98.2600,100.0600,100.0600,359443,0.0000,1.0000
2017-10-19,100.4000,101.1800,99.2300,100.5200,100.5200,292817,0.0000,1.0000
2017-10-18,101.9200,102.7650,99.3800,101.2200,101.2200,227663,0.0000,1.0000
