timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,12.69,12.75,11.38,11.5,3.8333,48200,0.0,1.0
2000-01-04,11.38,11.5,11.38,11.44,3.8133,9400,0.0,1.0
2000-01-05,11.56,12.5,11.56,12.5,4.1667,8900,0.0,1.0
2000-01-06,12.5,12.88,11.94,12.38,4.1267,38700,0.0,1.0
2000-01-07,12.38,13.12,12.38,13.06,4.3533,27500,0.0,1.0
2000-01-10,13.0,13.63,13.0,13.5,4.5,50600,0.0,1.0
2000-01-11,13.37,13.75,13.12,13.63,4.5433,45300,0.0,1.0
2000-01-12,13.63,13.75,13.25,13.63,4.5433,24100,0.0,1.0
2000-01-13,13.75,14.25,13.75,14.25,4.75,44900,0.0,1.0
2000-01-14,14.5,15.0,14.5,14.87,4.9567,48000,0.0,1.0
2000-01-18,14.62,16.75,14.62,15.5,5.1667,180500,0.0,1.0
2000-01-19,15.88,15.88,15.44,15.88,5.2933,74200,0.0,1.0
2000-01-20,15.88,15.88,15.25,15.5,5.1667,109500,0.0,1.0
2000-01-21,15.56,15.62,15.38,15.62,5.2067,51200,0.0,1.0
2000-01-24,15.31,15.62,15.31,15.5,5.1667,123200,0.0,1.0
2000-01-25,15.5,15.69,15.38,15.44,5.1467,56100,0.0,1.0
2000-01-26,15.38,15.38,15.13,15.13,5.0433,16800,0.0,1.0
2000-01-27,15.06,15.38,15.0,15.31,5.1033,24400,0.0,1.0
2000-01-28,15.28,15.28,15.0,15.13,5.0433,8400,0.0,1.0
2000-01-31,15.0,15.25,14.62,14.62,4.8733,11400,0.0,1.0
2000-02-01,14.5,14.5,14.12,14.12,4.7067,68100,0.0,1.0
2000-02-02,14.12,14.12,14.0,14.06,4.6867,9900,0.0,1.0
2000-02-03,14.0,14.12,13.37,13.75,4.5833,27600,0.0,1.0
2000-02-04,13.69,14.06,13.69,14.0,4.6667,4800,0.0,1.0
