timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,4.5,4.88,4.5,4.88,2.0363,52000,0.0,1.0
2000-01-04,4.75,4.813,4.75,4.813,2.0084,3000,0.0,1.0
2000-01-05,4.813,4.813,4.813,4.813,2.0084,2400,0.0,1.0
2000-01-06,4.94,4.94,4.94,4.94,2.0614,0,0.0,1.0
2000-01-07,4.938,5.0,4.813,4.938,2.0605,22900,0.0,1.0
2000-01-10,4.938,5.063,4.938,5.0,2.0864,23000,0.0,1.0
2000-01-11,5.125,5.125,5.125,5.125,2.1386,22900,0.0,1.0
2000-01-12,5.063,5.125,5.0,5.0,2.0864,9100,0.0,1.0
2000-01-13,4.938,5.188,4.938,5.188,2.1649,9700,0.0,1.0
2000-01-14,5.063,5.188,5.063,5.188,2.1649,17800,0.0,1.0
2000-01-18,5.063,5.313,5.063,5.25,2.1907,23200,0.0,1.0
2000-01-19,5.125,5.375,5.0,5.125,2.1386,8000,0.0,1.0
2000-01-20,5.125,5.125,5.125,5.125,2.1386,27500,0.0,1.0
2000-01-21,5.063,5.375,5.063,5.188,2.1649,38100,0.0,1.0
2000-01-24,5.125,5.125,5.063,5.125,2.1386,63300,0.0,1.0
2000-01-25,5.125,5.125,5.125,5.125,2.1386,18200,0.0,1.0
2000-01-26,5.125,5.188,5.125,5.188,2.1649,5000,0.0,1.0
2000-01-27,5.125,5.125,5.125,5.125,2.1386,18900,0.0,1.0
2000-01-28,5.063,5.063,5.0,5.063,2.1127,21200,0.0,1.0
2000-01-31,5.0,5.063,5.0,5.063,2.1127,40800,0.0,1.0
2000-02-01,5.0,5.0,5.0,5.0,2.0864,1600,0.0,1.0
2000-02-02,5.0,5.0,5.0,5.0,2.0864,11600,0.0,1.0
2000-02-03,5.0,5.0,5.0,5.0,2.0864,4100,0.0,1.0
2000-02-04,5.0,5.0,5.0,5.0,2.0864,1000,0.0,1.0
2000-02-07,5.063,5.063,5.063,5.063,2.1127,1800,0.0,1.0
2000-02-08,5.25,5.25,5.25,5.25,2.1907,24600,0.0,1.0
2000-02-09,5.25,5.25,5.188,5.25,2.1907,6600,0.0,1.0
2000-02-10,5.25,5.25,5.25,5.25,2.1907,1200,0.0,1.0
2000-02-11,5.125,5.125,5.063,5.125,2.1386,16900,0.0,1.0
2000-02-14,5.063,5.063,5.063,5.063,2.1127,4900,0.0,1.0
2000-02-15,5.063,5.188,5.063,5.188,2.1649,4700,0.0,1.0
2000-02-16,5.063,5.188,5.063,5.063,2.1127,4800,0.0,1.0
2000-02-17,5.06,5.06,5.06,5.06,2.1114,0,0.0,1.0
2000-02-18,5.063,5.063,5.063,5.063,2.1127,1000,0.0,1.0
2000-02-22,5.063,5.063,5.063,5.063,2.1127,1100,0.0,1.0
2000-02-23,5.188,5.188,5.063,5.063,2.1127,6200,0.0,1.0
2000-02-24,5.063,5.063,5.063,5.063,2.1127,100,0.0,1.0
2000-02-25,5.063,5.063,5.0,5.063,2.1127,2200,0.0,1.0
2000-02-28,5.063,5.063,5.063,5.063,2.1127,2000,0.0,1.0
2000-02-29,5.063,5.188,5.063,5.063,2.1127,62500,0.0,1.0
2000-03-01,5.063,5.063,5.063,5.063,2.1127,4100,0.0,1.0
2000-03-02,5.063,5.125,5.063,5.125,2.1386,8800,0.0,1.0
2000-03-03,5.125,5.125,5.063,5.063,2.1127,4300,0.0,1.0
2000-03-06,5.063,5.063,5.063,5.063,2.1127,2800,0.0,1.0
2000-03-07,5.063,5.063,5.063,5.063,2.1127,4500,0.0,1.0
2000-03-08,5.063,5.063,5.063,5.063,2.1127,3000,0.0,1.0
2000-03-09,5.0,5.063,5.0,5.063,2.1127,17900,0.0,1.0
2000-03-10,5.063,5.438,5.063,5.438,2.2692,44000,0.0,1.0
2000-03-13,5.438,5.5,5.375,5.375,2.2429,28100,0.0,1.0
2000-03-14,5.25,5.375,5.25,5.375,2.2429,2100,0.0,1.0
2000-03-15,5.375,5.375,5.375,5.375,2.2429,5000,0.0,1.0
