timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-04-19,27.25,28.4,26.75,27.95,27.203,20033300,0.0,1.0
2011-04-20,28.06,28.34,27.88,28.1,27.349,2633200,0.0,1.0
2011-04-21,28.5,29.05,28.34,29.05,28.2736,969100,0.0,1.0
2011-04-25,28.96,29.05,28.43,28.8,28.0303,324300,0.0,1.0
2011-04-26,28.8,28.92,28.51,28.8,28.0303,347600,0.0,1.0
2011-04-27,28.7,28.77,28.0,28.56,27.7967,414500,0.0,1.0
2011-04-28,28.35,28.41,27.91,28.02,27.2711,479800,0.0,1.0
2011-04-29,27.82,27.89,27.1705,27.6,26.8623,717000,0.0,1.0
2011-05-02,27.5,27.75,27.5,27.67,26.9305,440000,0.0,1.0
2011-05-03,27.57,27.57,27.03,27.13,26.4049,238000,0.0,1.0
2011-05-04,27.06,27.06,26.586,26.69,25.9767,324200,0.0,1.0
2011-05-05,26.65,26.71,26.5,26.62,25.9085,870700,0.0,1.0
2011-05-06,26.82,26.82,26.4,26.76,26.0448,344500,0.0,1.0
2011-05-09,26.93,27.43,26.75,27.27,26.5412,184000,0.0,1.0
2011-05-10,27.47,27.8,27.47,27.75,27.0083,354300,0.0,1.0
2011-05-11,27.65,28.22,27.38,27.81,27.0667,217200,0.0,1.0
2011-05-12,28.05,28.73,27.7,28.65,27.8843,108000,0.0,1.0
2011-05-13,28.75,28.97,28.681,28.95,28.1763,431200,0.0,1.0
2011-05-16,28.8,29.08,28.61,28.98,28.2055,270900,0.0,1.0
2011-05-17,29.1,29.1,28.48,28.55,27.7869,172100,0.0,1.0
2011-05-18,28.65,29.15,28.49,29.0,28.2249,270100,0.0,1.0
2011-05-19,29.13,29.63,29.0,29.54,28.7505,400200,0.0,1.0
2011-05-20,29.59,29.94,29.1,29.7,28.9062,1069900,0.0,1.0
2011-05-23,29.65,29.65,28.7,28.75,27.9816,96900,0.0,1.0
2011-05-24,28.76,28.83,28.553,28.78,28.0108,59600,0.0,1.0
2011-05-25,28.6,28.82,28.06,28.22,27.4658,91300,0.0,1.0
2011-05-26,27.9,28.66,27.9,28.55,27.7869,84800,0.0,1.0
2011-05-27,28.6,28.61,28.25,28.43,27.6702,117400,0.0,1.0
2011-05-31,28.45,28.83,28.45,28.5,27.7383,236000,0.0,1.0
2011-06-01,28.75,28.75,27.7,27.79,27.0473,253500,0.0,1.0
2011-06-02,28.16,28.34,27.56,27.59,26.8526,119200,0.0,1.0
2011-06-03,27.25,27.38,26.37,26.37,25.6652,610900,0.0,1.0
2011-06-06,26.43,26.56,25.55,25.75,25.0618,618500,0.0,1.0
2011-06-07,25.96,25.96,24.82,24.93,24.2637,956500,0.0,1.0
2011-06-08,25.05,25.1,24.29,24.65,23.9912,1064300,0.0,1.0
2011-06-09,24.65,25.2,24.35,24.9,24.2345,775400,0.0,1.0
2011-06-10,24.81,25.0,24.41,24.91,24.2442,427400,0.0,1.0
2011-06-13,25.08,26.08,24.89,25.63,24.945,978100,0.0,1.0
2011-06-14,25.67,26.45,25.67,26.33,25.6263,503900,0.0,1.0
2011-06-15,26.15,26.34,25.63,25.78,25.091,511500,0.0,1.0
2011-06-16,26.0,26.08,25.72,25.75,25.0618,380700,0.0,1.0
2011-06-17,25.93,26.08,25.5,25.9,25.2078,539900,0.0,1.0
2011-06-20,25.84,26.04,25.5113,25.81,25.1202,247600,0.0,1.0
2011-06-21,26.22,26.22,25.66,25.81,25.1202,376800,0.0,1.0
2011-06-22,25.95,25.995,25.35,25.69,25.0034,586400,0.0,1.0
2011-06-23,25.36,25.65,24.835,24.99,24.3221,644100,0.0,1.0
2011-06-24,24.99,25.05,23.54,23.55,22.9206,3719100,0.0,1.0
2011-06-27,23.55,24.1,23.02,23.98,23.3391,750700,0.0,1.0
2011-06-28,24.01,24.92,24.01,24.89,24.2248,452800,0.0,1.0
2011-06-29,25.08,25.12,24.26,24.5,23.8452,297900,0.0,1.0
2011-06-30,24.52,24.61,23.72,24.29,23.6408,372000,0.0,1.0
2011-07-01,24.49,25.08,24.49,25.06,24.3902,355500,0.0,1.0
2011-07-05,24.92,25.11,24.89,24.98,24.3124,280300,0.0,1.0
2011-07-06,24.87,25.03,24.76,25.01,24.3416,382400,0.0,1.0
2011-07-07,25.36,25.36,24.98,25.06,24.3902,318300,0.0,1.0
2011-07-08,24.75,25.07,24.75,25.02,24.3513,396900,0.0,1.0
2011-07-11,24.73,25.0,24.66,24.84,24.1761,266900,0.0,1.0
2011-07-12,24.7,24.9,24.41,24.49,23.8355,165400,0.0,1.0
2011-07-13,24.54,24.6,24.375,24.56,23.9036,214600,0.0,1.0
2011-07-14,24.61,24.82,24.58,24.76,24.0982,365100,0.0,1.0
2011-07-15,24.8,24.81,24.35,24.72,24.0593,460600,0.0,1.0
2011-07-18,24.66,24.666,24.4,24.59,23.9328,369500,0.0,1.0
2011-07-19,24.63,25.01,24.49,24.82,24.1566,298100,0.0,1.0
2011-07-20,24.85,25.01,24.63,24.88,24.215,265800,0.0,1.0
2011-07-21,24.98,25.03,24.8,24.95,24.2832,276300,0.0,1.0
2011-07-22,24.91,24.98,24.57,24.95,24.2832,105300,0.0,1.0
2011-07-25,24.73,24.99,24.65,24.93,24.2637,70200,0.0,1.0
2011-07-26,24.83,25.15,24.83,24.96,24.2929,122600,0.0,1.0
2011-07-27,24.89,24.93,24.69,24.74,24.0788,154100,0.0,1.0
2011-07-28,24.73,25.0,24.37,24.48,23.8257,124000,0.0,1.0
2011-07-29,24.24,24.73,24.211,24.43,23.7771,144900,0.0,1.0
2011-08-01,24.66,24.67,24.22,24.36,23.7089,281200,0.0,1.0
2011-08-02,24.3,24.3,23.35,23.44,22.8135,338300,0.0,1.0
2011-08-03,23.52,23.59,23.1,23.37,22.7454,144400,0.0,1.0
2011-08-04,23.19,23.19,22.3,22.33,21.7332,305000,0.0,1.0
2011-08-05,22.58,22.62,22.0,22.52,21.9181,320900,0.0,1.0
2011-08-08,21.92,22.1,20.23,20.37,19.8256,449100,0.0,1.0
2011-08-09,20.4,21.18,19.87,21.17,20.6042,398200,0.0,1.0
2011-08-10,20.74,20.9,20.26,20.4,19.8548,172200,0.0,1.0
2011-08-11,20.89,21.81,20.25,21.3,20.7307,487400,0.0,1.0
2011-08-12,22.0,24.79,22.0,22.56,21.957,402900,0.0,1.0
2011-08-15,22.8,23.24,22.7,22.81,22.2004,198300,0.0,1.0
2011-08-16,22.48,22.55,21.99,22.44,21.8403,102800,0.0,1.0
2011-08-17,22.61,22.89,22.13,22.33,21.7332,115000,0.0,1.0
2011-08-18,22.01,22.48,21.11,21.47,20.8962,84300,0.0,1.0
2011-08-19,21.19,21.44,20.96,21.15,20.5847,216400,0.0,1.0
2011-08-22,21.64,22.05,21.26,21.4,20.828,527500,0.0,1.0
2011-08-23,21.81,21.99,21.54,21.84,21.2563,300100,0.0,1.0
2011-08-24,21.91,22.07,21.8,21.9,21.3147,169100,0.0,1.0
2011-08-25,22.11,22.11,21.15,21.5,20.9254,122600,0.0,1.0
2011-08-26,21.45,22.06,21.03,21.88,21.2952,171800,0.0,1.0
2011-08-29,22.2,22.92,22.06,22.6,21.996,147500,0.0,1.0
