timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,1.0,1.0,0.781,1.0,1.0,21500,0.0,1.0
2000-01-04,0.875,0.875,0.781,0.781,0.781,10300,0.0,1.0
2000-01-05,0.687,0.687,0.687,0.687,0.687,200,0.0,1.0
2000-01-06,0.875,0.875,0.875,0.875,0.875,2000,0.0,1.0
2000-01-07,0.875,0.875,0.875,0.875,0.875,6300,0.0,1.0
2000-01-10,1.0,1.062,1.0,1.062,1.062,13100,0.0,1.0
2000-01-11,1.031,1.25,1.031,1.25,1.25,600,0.0,1.0
2000-01-12,1.125,1.25,1.125,1.187,1.187,29100,0.0,1.0
2000-01-13,1.156,1.375,1.156,1.375,1.375,200,0.0,1.0
2000-01-14,1.187,1.312,1.187,1.312,1.312,4000,0.0,1.0
2000-01-18,1.375,1.375,1.375,1.375,1.375,1600,0.0,1.0
2000-01-19,1.187,1.25,1.187,1.187,1.187,11500,0.0,1.0
2000-01-20,1.19,1.19,1.19,1.19,1.19,0,0.0,1.0
2000-01-21,1.187,1.312,1.187,1.187,1.187,5900,0.0,1.0
2000-01-24,1.187,1.187,1.187,1.187,1.187,700,0.0,1.0
2000-01-25,1.187,1.187,1.187,1.187,1.187,3500,0.0,1.0
2000-01-26,1.19,1.19,1.19,1.19,1.19,0,0.0,1.0
2000-01-27,1.25,1.25,1.25,1.25,1.25,2000,0.0,1.0
2000-01-28,1.187,1.187,1.187,1.187,1.187,5000,0.0,1.0
2000-01-31,1.19,1.19,1.19,1.19,1.19,0,0.0,1.0
2000-02-01,1.125,1.125,1.125,1.125,1.125,1500,0.0,1.0
2000-02-02,1.125,1.125,1.125,1.125,1.125,2700,0.0,1.0
2000-02-03,1.125,1.125,1.125,1.125,1.125,0,0.0,1.0
2000-02-04,1.125,1.125,1.125,1.125,1.125,0,0.0,1.0
2000-02-07,1.187,1.312,1.187,1.312,1.312,6200,0.0,1.0
2000-02-08,1.312,1.312,1.125,1.125,1.125,4400,0.0,1.0
2000-02-09,1.125,1.125,1.125,1.125,1.125,2000,0.0,1.0
2000-02-10,1.125,1.125,1.125,1.125,1.125,500,0.0,1.0
2000-02-11,1.125,1.125,1.125,1.125,1.125,1800,0.0,1.0
2000-02-14,1.312,1.312,1.125,1.125,1.125,600,0.0,1.0
2000-02-15,1.12,1.12,1.12,1.12,1.12,0,0.0,1.0
2000-02-16,1.125,1.125,1.125,1.125,1.125,700,0.0,1.0
2000-02-17,1.12,1.12,1.12,1.12,1.12,0,0.0,1.0
2000-02-18,1.125,1.125,1.125,1.125,1.125,100,0.0,1.0
2000-02-22,1.12,1.12,1.12,1.12,1.12,0,0.0,1.0
2000-02-23,1.125,1.125,1.125,1.125,1.125,2200,0.0,1.0
2000-02-24,1.25,1.25,1.25,1.25,1.25,2000,0.0,1.0
2000-02-25,1.25,1.25,1.25,1.25,1.25,0,0.0,1.0
2000-02-28,1.25,1.25,1.25,1.25,1.25,0,0.0,1.0
2000-02-29,1.125,1.125,1.125,1.125,1.125,1000,0.0,1.0
2000-03-01,1.218,1.562,1.218,1.562,1.562,29600,0.0,1.0
2000-03-02,1.687,2.5,1.625,2.0,2.0,20900,0.0,1.0
2000-03-03,2.375,2.5,2.375,2.5,2.5,7600,0.0,1.0
