timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2001-08-02,16.0,16.08,15.16,16.0,12.3856,9812900,0.0,1.0
2001-08-03,16.0,16.1,16.0,16.0,12.3856,2776400,0.0,1.0
2001-08-06,16.0,16.0,16.0,16.0,12.3856,416700,0.0,1.0
2001-08-07,16.0,16.01,15.9,16.0,12.3856,1651800,0.0,1.0
2001-08-08,16.0,16.0,16.0,16.0,12.3856,265800,0.0,1.0
2001-08-09,16.0,16.01,15.9,16.0,12.3856,311200,0.0,1.0
2001-08-10,16.0,16.04,16.0,16.0,12.3856,123100,0.0,1.0
2001-08-13,16.0,16.05,15.95,16.0,12.3856,311100,0.0,1.0
2001-08-14,15.95,16.0,15.88,16.0,12.3856,605000,0.0,1.0
2001-08-15,16.0,16.0,15.5,15.95,12.3469,318400,0.0,1.0
2001-08-16,15.9,16.0,15.65,16.0,12.3856,333200,0.0,1.0
2001-08-17,15.85,16.0,15.2,15.85,12.2695,316300,0.0,1.0
2001-08-20,15.95,16.0,15.6,15.89,12.3005,139400,0.0,1.0
2001-08-21,15.8,15.97,15.8,15.9,12.3082,130500,0.0,1.0
2001-08-22,15.9,15.99,15.75,15.91,12.3159,111300,0.0,1.0
2001-08-23,15.9,15.99,15.85,15.9,12.3082,81500,0.0,1.0
2001-08-24,15.9,15.99,15.8,15.85,12.2695,73700,0.0,1.0
2001-08-27,16.0,16.04,15.81,15.99,12.3779,245900,0.0,1.0
2001-08-28,16.0,16.32,15.95,16.25,12.5791,332400,0.0,1.0
2001-08-29,16.6,16.6,16.06,16.47,12.7494,420400,0.0,1.0
2001-08-30,16.8,16.8,16.49,16.76,12.9739,314600,0.0,1.0
2001-08-31,16.85,18.25,16.85,18.25,14.1273,616700,0.0,1.0
2001-09-04,18.25,18.3,17.4,18.07,13.988,503900,0.0,1.0
2001-09-05,18.3,18.35,17.91,18.2,14.0886,322700,0.0,1.0
2001-09-06,18.0,18.6,18.0,18.0,13.9338,205200,0.0,1.0
2001-09-07,18.0,18.0,18.0,18.0,13.9338,83400,0.0,1.0
2001-09-10,16.5,17.85,16.25,17.5,13.5468,245100,0.0,1.0
2001-09-17,16.0,17.2,15.6,17.0,13.1597,97100,0.0,1.0
2001-09-18,17.15,17.15,16.75,17.03,13.1829,59600,0.0,1.0
2001-09-19,17.7,17.7,16.5,17.4,13.4694,98800,0.0,1.0
2001-09-20,17.25,17.25,16.35,16.8,13.0049,223900,0.0,1.0
2001-09-21,16.6,16.6,15.05,16.5,12.7727,52700,0.0,1.0
2001-09-24,17.5,17.5,16.7,17.1,13.2371,104600,0.0,1.0
2001-09-25,17.1,17.1,17.1,17.1,13.2371,75700,0.0,1.0
2001-09-26,17.65,17.65,17.05,17.65,13.6629,58800,0.0,1.0
2001-09-27,17.65,17.65,16.9,17.0,13.1597,45500,0.0,1.0
2001-09-28,17.0,17.0,17.0,17.0,13.1597,48100,0.0,1.0
2001-10-01,16.9,17.05,16.75,17.0,13.1597,13600,0.0,1.0
2001-10-02,17.2,17.2,16.16,16.5,12.7727,72300,0.0,1.0
2001-10-03,18.5,18.5,15.31,18.5,14.3209,286900,0.0,1.0
2001-10-04,18.25,18.25,17.16,17.25,13.3532,90400,0.0,1.0
2001-10-05,17.25,17.25,15.98,16.0,12.3856,103100,0.0,1.0
2001-10-08,16.0,16.4,15.8,15.95,12.3469,121600,0.0,1.0
2001-10-09,16.0,17.69,15.95,17.3,13.3919,75600,0.0,1.0
2001-10-10,17.23,17.3,16.0,16.45,12.734,166500,0.0,1.0
2001-10-11,16.85,16.9,15.74,16.1,12.463,126800,0.0,1.0
2001-10-12,16.05,16.75,16.0,16.25,12.5791,41500,0.0,1.0
2001-10-15,16.25,16.75,15.85,16.0,12.3856,77300,0.0,1.0
2001-10-16,15.9,16.1,15.8,15.95,12.3469,79600,0.0,1.0
2001-10-17,15.9,16.43,15.9,16.3,12.6178,23500,0.0,1.0
2001-10-18,16.44,16.6,16.0,16.6,12.8501,24100,0.0,1.0
2001-10-19,16.59,16.85,16.4,16.61,12.8578,28100,0.0,1.0
2001-10-22,18.0,18.45,17.52,18.0,13.9338,780500,0.0,1.0
2001-10-23,18.1,18.25,17.62,17.64,13.6551,184200,0.0,1.0
2001-10-24,17.7,17.7,16.86,17.05,13.1984,59700,0.0,1.0
2001-10-25,17.05,17.05,17.05,17.05,13.1984,60200,0.0,1.0
2001-10-26,17.2,17.7,17.04,17.5,13.5468,43500,0.0,1.0
2001-10-29,17.5,17.8,17.5,17.7,13.7016,45300,0.0,1.0
2001-10-30,17.8,17.8,17.46,17.6,13.6242,35100,0.0,1.0
2001-10-31,17.6,17.98,17.6,17.62,13.6397,59700,0.0,1.0
2001-11-01,17.62,18.6,17.6,18.6,14.3983,156700,0.0,1.0
2001-11-02,18.6,18.6,18.6,18.6,14.3983,309400,0.0,1.0
2001-11-05,18.5,18.8,18.05,18.2,14.0886,54600,0.0,1.0
2001-11-06,18.35,18.95,18.25,18.95,14.6692,70900,0.0,1.0
2001-11-07,19.49,19.49,18.65,18.7,14.4757,46500,0.0,1.0
2001-11-08,18.65,19.59,18.65,19.05,14.7466,100900,0.0,1.0
2001-11-09,19.15,19.49,18.8,18.85,14.5918,35700,0.0,1.0
2001-11-12,18.75,19.25,18.5,19.0,14.7079,28100,0.0,1.0
2001-11-13,19.0,19.1,18.1,18.1,14.0848,42900,0.095,1.0
2001-11-14,18.3,18.68,17.81,18.0,14.0069,34500,0.0,1.0
2001-11-15,17.9,18.73,17.85,18.55,14.4349,41700,0.0,1.0
2001-11-16,18.4,18.74,18.35,18.41,14.326,17800,0.0,1.0
2001-11-19,18.45,18.79,18.2,18.6,14.4738,21700,0.0,1.0
2001-11-20,18.8,19.24,18.64,19.0,14.7851,336000,0.0,1.0
2001-11-21,18.95,19.25,18.86,19.0,14.7851,34300,0.0,1.0
2001-11-23,19.4,19.4,18.9,18.9,14.7073,168000,0.0,1.0
2001-11-26,18.9,19.49,18.75,19.25,14.9796,136900,0.0,1.0
2001-11-27,19.1,19.1,18.78,19.05,14.824,135400,0.0,1.0
2001-11-28,19.1,19.1,18.96,19.05,14.824,55700,0.0,1.0
2001-11-29,19.05,19.05,19.05,19.05,14.824,120100,0.0,1.0
2001-11-30,19.95,19.95,19.2,19.35,15.0575,52200,0.0,1.0
2001-12-03,19.35,19.35,19.35,19.35,15.0575,52100,0.0,1.0
2001-12-04,20.5,20.5,19.9,19.98,15.5477,512700,0.0,1.0
2001-12-05,19.98,19.98,19.98,19.98,15.5477,303800,0.0,1.0
2001-12-06,21.15,21.15,20.2,21.15,16.4582,327900,0.0,1.0
2001-12-07,23.75,23.75,21.5,23.75,18.4814,568900,0.0,1.0
2001-12-10,23.75,24.35,23.1,23.5,18.2868,376600,0.0,1.0
2001-12-11,23.75,24.9,22.51,22.75,17.7032,164100,0.0,1.0
2001-12-12,22.75,23.99,22.75,23.05,17.9367,80800,0.0,1.0
2001-12-13,23.0,24.0,22.9,24.0,18.6759,153000,0.0,1.0
2001-12-14,24.0,24.15,23.55,24.15,18.7927,139100,0.0,1.0
2001-12-17,24.15,24.49,23.45,23.45,18.2479,63300,0.0,1.0
2001-12-18,23.45,23.45,21.25,22.8,17.7421,207200,0.0,1.0
2001-12-19,22.9,23.15,22.25,23.05,17.9367,361500,0.0,1.0
2001-12-20,23.1,23.1,22.45,22.5,17.5087,84900,0.0,1.0
2001-12-21,22.5,22.5,21.75,22.5,17.5087,393400,0.0,1.0
2001-12-24,22.6,22.65,22.32,22.4,17.4309,25000,0.0,1.0
2001-12-26,22.4,22.7,22.25,22.4,17.4309,162300,0.0,1.0
2001-12-27,22.5,22.95,22.45,22.91,17.8277,151300,0.0,1.0
2001-12-28,22.95,23.19,22.7,22.98,17.8822,100100,0.0,1.0
2001-12-31,22.98,23.5,22.66,23.28,18.1156,54500,0.0,1.0
2002-01-02,23.4,23.4,22.86,23.09,17.9678,126500,0.0,1.0
2002-01-03,24.0,24.0,23.15,24.0,18.6759,51800,0.0,1.0
2002-01-04,23.95,23.95,23.25,23.7,18.4425,96800,0.0,1.0
2002-01-07,23.65,23.65,22.5,22.6,17.5865,61800,0.0,1.0
2002-01-08,22.6,22.75,22.26,22.3,17.353,82600,0.0,1.0
2002-01-09,22.3,22.31,20.75,21.1,16.4193,238500,0.0,1.0
2002-01-10,21.11,22.35,21.08,22.05,17.1585,64000,0.0,1.0
2002-01-11,22.0,22.65,21.9,22.25,17.3141,54000,0.0,1.0
2002-01-14,22.5,22.5,21.59,22.24,17.3064,63200,0.0,1.0
2002-01-15,22.25,22.95,21.95,22.66,17.6332,60200,0.0,1.0
2002-01-16,22.8,22.8,22.0,22.6,17.5865,28900,0.0,1.0
2002-01-17,22.65,23.84,22.5,23.05,17.9367,39800,0.0,1.0
2002-01-18,22.8,22.9,22.1,22.19,17.2675,59900,0.0,1.0
