timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-11-30,52.75,52.75,51.9,52.45,46.2092,281300,0.0,1.0
2015-12-01,52.2,52.71,51.97,52.2,45.9889,178491,0.0,1.0
2015-12-02,52.2,52.2,51.97,51.97,45.7863,333309,0.0,1.0
2015-12-03,51.5,51.5,50.76,50.83,44.7819,8244,0.0,1.0
2015-12-04,50.53,50.829,50.18,50.68,44.6498,1500,0.0,1.0
2015-12-07,50.68,50.68,50.1,50.58,44.5617,152713,0.0,1.0
2015-12-08,51.0015,51.6,50.9749,51.43,45.3105,115486,0.0,1.0
2015-12-09,52.0,52.21,51.69,51.69,45.5396,108496,0.0,1.0
2015-12-10,51.72,51.72,50.24,50.76,44.7203,157994,0.0,1.0
2015-12-11,51.15,51.15,50.877,50.99,44.9229,1448,0.0,1.0
2015-12-14,51.94,51.94,50.5,50.84,44.7907,6545,0.0,1.0
2015-12-15,51.1916,51.48,51.1916,51.48,45.3546,350,0.0,1.0
2015-12-16,51.51,52.03,51.51,51.75,45.5925,34603,0.0,1.0
2015-12-17,52.53,53.28,52.53,52.69,46.4206,76643,0.0,1.0
2015-12-18,52.31,53.0,51.6886,52.95,46.6497,119996,0.0,1.0
2015-12-21,52.51,52.98,52.1,52.98,46.6761,1359,0.0,1.0
2015-12-22,53.0,53.85,52.7871,53.784,47.3844,14577,0.0,1.0
2015-12-23,54.45,55.05,54.19,55.03,48.4822,34505,0.0,1.0
2015-12-24,55.03,55.13,54.44,54.79,48.2707,28945,0.0,1.0
2015-12-28,54.67,54.9879,54.6444,54.85,48.3236,6676,0.0,1.0
2015-12-29,55.57,55.57,55.0,55.33,48.7465,4694,0.0,1.0
2015-12-30,56.001,56.19,55.7,56.0,49.3368,34120,0.0,1.0
2015-12-31,55.37,55.6,54.88,55.43,48.8346,7147,0.0,1.0
2016-01-04,55.74,56.21,55.29,55.38,48.7905,10337,0.0,1.0
2016-01-05,55.78,56.07,55.67,56.06,49.3896,45702,0.0,1.0
2016-01-06,56.41,56.6,56.2,56.6,49.8654,2855,0.0,1.0
2016-01-07,56.2,56.7,56.18,56.2,49.513,6372,0.0,1.0
2016-01-08,55.92,56.54,55.85,56.2,49.513,55480,0.0,1.0
2016-01-11,56.17,56.17,55.53,55.53,48.9227,116450,0.0,1.0
2016-01-12,55.08,55.4,55.07,55.37,48.7817,4939,0.0,1.0
2016-01-13,55.15,55.15,54.1537,54.22,48.4117,6386,0.73,1.0
2016-01-14,54.34,55.03,54.34,54.87,48.9921,7194,0.0,1.0
2016-01-15,54.74,54.74,53.72,54.01,48.2242,2503,0.0,1.0
2016-01-19,54.5,55.45,54.5,55.45,49.5099,10485,0.0,1.0
2016-01-20,54.59,54.59,52.89,53.96,48.1796,107371,0.0,1.0
2016-01-21,53.42,54.03,52.8931,53.4,47.6796,155383,0.0,1.0
2016-01-22,54.2,55.03,53.76,54.99,49.0992,7424,0.0,1.0
2016-01-25,54.9,55.12,53.82,53.89,48.1171,4200,0.0,1.0
2016-01-26,54.94,55.33,54.86,55.07,49.1707,344560,0.0,1.0
2016-01-27,55.67,56.17,55.57,55.6,49.6439,13004,0.0,1.0
2016-01-28,55.56,56.7,55.55,56.17,50.1528,6440,0.0,1.0
2016-01-29,57.01,57.2928,56.95,57.2411,51.1092,125266,0.0,1.0
2016-02-01,57.1142,57.35,57.03,57.35,51.2064,1592,0.0,1.0
2016-02-02,57.338,57.338,57.1,57.1,50.9832,621,0.0,1.0
2016-02-03,57.96,58.63,57.96,58.44,52.1796,4225,0.0,1.0
2016-02-04,58.9127,59.15,58.78,59.01,52.6886,114778,0.0,1.0
2016-02-05,58.12,59.0,58.08,59.0,52.6797,1703,0.0,1.0
2016-02-08,58.68,59.03,58.5715,59.03,52.7064,26728,0.0,1.0
2016-02-09,59.0,59.78,59.0,59.46,53.0904,105819,0.0,1.0
2016-02-10,59.12,60.62,59.1,60.6,54.1083,314860,0.0,1.0
2016-02-11,60.19,60.4,59.57,59.57,53.1886,457474,0.0,1.0
2016-02-12,60.13,62.17,60.13,62.17,55.5101,276344,0.0,1.0
2016-02-16,63.0,63.497,62.8,63.497,56.6949,2100,0.0,1.0
2016-02-17,63.62,63.6225,63.13,63.56,56.7512,235300,0.0,1.0
2016-02-18,63.49,64.43,63.49,63.83,56.9922,86581,0.0,1.0
2016-02-19,63.63,64.11,63.63,64.08,57.2155,34045,0.0,1.0
2016-02-22,64.0,64.33,63.802,64.26,57.3762,175769,0.0,1.0
2016-02-23,63.55,64.11,63.54,64.0,57.144,6026,0.0,1.0
2016-02-24,63.795,64.99,63.79,64.99,58.028,203270,0.0,1.0
2016-02-25,64.5835,64.7195,64.411,64.6,57.6798,54230,0.0,1.0
2016-02-26,64.05,64.32,63.341,63.78,56.9476,210000,0.0,1.0
2016-02-29,64.2368,64.6599,63.67,63.9,57.0547,24874,0.0,1.0
2016-03-01,63.29,63.3929,62.71,62.99,56.2422,390070,0.0,1.0
2016-03-02,62.99,64.315,62.98,64.315,57.4253,79900,0.0,1.0
2016-03-03,63.27,63.5419,62.81,63.49,56.6887,88545,0.0,1.0
2016-03-04,63.48,63.7699,62.9329,63.74,56.9119,4569,0.0,1.0
2016-03-07,64.0,65.08,64.0,64.92,57.9655,457313,0.0,1.0
2016-03-08,64.63,65.99,64.63,65.79,58.7423,4634,0.0,1.0
2016-03-09,65.71,66.45,65.46,66.3,59.1976,3215,0.0,1.0
2016-03-10,66.18,66.79,65.96,66.34,59.2334,5463,0.0,1.0
2016-03-11,66.21,66.23,66.03,66.11,59.028,101500,0.0,1.0
2016-03-14,65.87,65.87,65.09,65.7,58.6619,97183,0.0,1.0
2016-03-15,65.7,66.37,65.7,66.36,59.2512,130700,0.0,1.0
2016-03-16,67.45,67.45,65.66,66.28,59.1798,28195,0.0,1.0
2016-03-17,67.61,67.61,66.57,66.96,59.7869,1455,0.0,1.0
2016-03-18,67.1,67.47,67.04,67.24,60.0369,30786,0.0,1.0
2016-03-21,66.25,66.25,65.97,65.97,58.903,955,0.0,1.0
2016-03-22,65.72,66.52,65.72,66.52,59.3941,93612,0.0,1.0
2016-03-23,66.02,66.7,65.9136,66.39,59.278,257025,0.0,1.0
2016-03-24,66.04,66.97,66.04,66.69,59.5459,52404,0.0,1.0
2016-03-28,66.1181,66.28,66.03,66.25,59.153,12667,0.0,1.0
2016-03-29,67.24,68.33,66.92,68.33,61.0102,9273,0.0,1.0
2016-03-30,68.26,68.7,68.26,68.32,61.0013,1432,0.0,1.0
2016-03-31,68.3238,68.3238,68.3238,68.3238,61.0046,69550,0.0,1.0
2016-04-01,67.51,68.62,67.31,68.62,61.2691,54572,0.0,1.0
