timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-07-16,9.29,9.69,9.15,9.21,8.9993,1751000,0.0,1.0
2007-07-17,9.35,9.6,9.1,9.5095,9.2919,894200,0.0,1.0
2007-07-18,9.54,9.63,9.46,9.55,9.3315,516400,0.0,1.0
2007-07-19,9.6,9.6,9.45,9.468,9.2514,340300,0.0,1.0
2007-07-20,9.5,9.54,9.25,9.32,9.1067,238200,0.0,1.0
2007-07-23,9.49,9.49,9.33,9.38,9.1654,151500,0.0,1.0
2007-07-24,9.32,9.32,9.15,9.24,9.0286,301300,0.0,1.0
2007-07-25,9.2,9.25,9.2,9.2,8.9895,220900,0.0,1.0
2007-07-26,9.2,9.2,9.05,9.13,8.9211,318900,0.0,1.0
2007-07-27,9.15,9.15,9.05,9.08,8.8722,191500,0.0,1.0
2007-07-30,9.08,9.29,9.08,9.28,9.0677,159700,0.0,1.0
2007-07-31,9.25,9.3,9.15,9.18,8.9699,110900,0.0,1.0
2007-08-01,9.24,9.25,9.14,9.19,8.9797,105600,0.0,1.0
2007-08-02,9.2,9.24,9.0,9.09,8.882,157600,0.0,1.0
2007-08-03,9.05,9.116,8.71,8.71,8.5107,202600,0.0,1.0
2007-08-06,8.7,9.08,8.31,8.82,8.6182,367800,0.0,1.0
2007-08-07,8.9,8.97,8.75,8.92,8.7159,65800,0.0,1.0
2007-08-08,8.8,9.22,8.8,9.176,8.966,152500,0.0,1.0
2007-08-09,9.1,9.1,8.87,9.05,8.8429,42700,0.0,1.0
2007-08-10,9.0,9.05,8.9,9.0,8.7941,70300,0.0,1.0
2007-08-13,9.05,9.12,8.76,8.8,8.5986,152900,0.0,1.0
2007-08-14,8.86,8.91,8.76,8.77,8.5693,157100,0.0,1.0
2007-08-15,8.76,9.0,8.75,8.85,8.6475,77800,0.0,1.0
2007-08-16,8.76,8.85,8.5,8.7,8.5009,297800,0.0,1.0
2007-08-17,8.99,9.29,8.85,9.27,9.0579,326600,0.0,1.0
2007-08-20,9.21,9.25,9.0,9.06,8.8527,44000,0.0,1.0
2007-08-21,9.1,9.3,9.1,9.28,9.0677,267600,0.0,1.0
2007-08-22,9.29,9.5,9.29,9.49,9.2728,166900,0.0,1.0
2007-08-23,9.53,9.53,9.25,9.39,9.1751,31400,0.0,1.0
2007-08-24,9.32,9.59,9.25,9.48,9.2631,112500,0.0,1.0
2007-08-27,9.45,9.46,9.1,9.3709,9.1565,91200,0.0,1.0
2007-08-28,9.25,9.4,9.22,9.24,9.0286,25700,0.0,1.0
2007-08-29,9.21,9.35,9.21,9.3,9.0872,48400,0.0,1.0
2007-08-30,9.35,9.45,9.25,9.45,9.2338,161000,0.0,1.0
2007-08-31,9.5,9.6,9.4,9.5,9.2826,95200,0.0,1.0
2007-09-04,9.52,9.59,9.5,9.54,9.3217,59300,0.0,1.0
2007-09-05,9.46,9.5,9.35,9.45,9.2338,53300,0.0,1.0
2007-09-06,9.45,9.46,9.25,9.2996,9.0868,38300,0.0,1.0
2007-09-07,9.26,9.35,9.2,9.35,9.1361,81100,0.0,1.0
2007-09-10,9.39,9.4,9.3,9.38,9.1654,96100,0.0,1.0
2007-09-11,9.4,9.42,9.25,9.35,9.1361,118900,0.0,1.0
2007-09-12,9.4,9.47,9.38,9.42,9.2044,126800,0.0,1.0
2007-09-13,9.45,9.55,9.4,9.5,9.2826,140000,0.0,1.0
2007-09-14,9.48,9.55,9.48,9.53,9.3119,99600,0.0,1.0
2007-09-17,9.55,9.55,9.48,9.53,9.3119,98800,0.0,1.0
2007-09-18,9.49,9.61,9.45,9.6,9.3803,118800,0.0,1.0
2007-09-19,9.6,9.62,9.55,9.62,9.3999,117900,0.0,1.0
2007-09-20,9.6,9.6,9.56,9.59,9.3706,136100,0.0,1.0
2007-09-21,9.61,9.62,9.55,9.6,9.3803,116600,0.0,1.0
2007-09-24,9.59,9.6,9.55,9.58,9.3608,45700,0.0,1.0
2007-09-25,9.58,9.68,9.58,9.65,9.4292,144500,0.0,1.0
2007-09-26,9.68,9.7299,9.6,9.69,9.4683,97500,0.0,1.0
2007-09-27,9.69,9.7099,9.52,9.66,9.439,187000,0.0,1.0
2007-09-28,9.65,9.79,9.54,9.75,9.5269,3073000,0.0,1.0
2007-10-01,9.72,9.74,9.53,9.66,9.439,256700,0.0,1.0
2007-10-02,9.75,10.01,9.72,9.9,9.6735,586400,0.0,1.0
2007-10-03,9.85,9.96,9.8,9.96,9.7321,197600,0.0,1.0
2007-10-04,9.96,10.0,9.88,9.93,9.7028,144100,0.0,1.0
2007-10-05,9.99,10.0,9.95,10.0,9.7712,204800,0.0,1.0
2007-10-08,10.0,10.0,9.95,9.99,9.7614,101600,0.0,1.0
2007-10-09,9.98,9.99,9.9,9.96,9.7321,101700,0.0,1.0
2007-10-10,9.98,9.98,9.88,9.95,9.7223,49000,0.0,1.0
2007-10-11,9.95,9.95,9.85,9.91,9.6832,72100,0.0,1.0
2007-10-12,9.91,9.98,9.75,9.93,9.7028,109300,0.0,1.0
2007-10-15,9.91,9.91,9.51,9.81,9.5855,134700,0.0,1.0
2007-10-16,9.8,9.95,9.72,9.86,9.6344,59600,0.0,1.0
2007-10-17,9.94,9.94,9.74,9.8,9.5758,52200,0.0,1.0
2007-10-18,9.73,9.89,9.5,9.89,9.6637,117200,0.0,1.0
2007-10-19,9.87,9.87,9.55,9.61,9.3901,128800,0.0,1.0
2007-10-22,9.59,9.8,9.55,9.74,9.5171,68900,0.0,1.0
2007-10-23,9.8,9.81,9.7,9.81,9.5855,96800,0.0,1.0
2007-10-24,9.76,9.83,9.6,9.8,9.5758,64800,0.0,1.0
2007-10-25,9.8,9.8,9.55,9.6,9.3803,97400,0.0,1.0
2007-10-26,9.76,9.8,9.62,9.7,9.478,86600,0.0,1.0
2007-10-29,9.73,9.76,9.6,9.71,9.4878,71300,0.0,1.0
2007-10-30,9.69,9.72,9.6,9.63,9.4096,57800,0.0,1.0
2007-10-31,9.65,9.69,9.6,9.61,9.3901,73800,0.0,1.0
2007-11-01,9.6,9.63,9.45,9.51,9.2924,160600,0.0,1.0
2007-11-02,9.6,9.75,9.41,9.54,9.3217,68600,0.0,1.0
2007-11-05,9.31,9.37,9.07,9.29,9.0774,102200,0.0,1.0
2007-11-06,9.3,9.69,9.3,9.67,9.4487,110700,0.0,1.0
2007-11-07,9.79,9.79,9.47,9.57,9.351,131900,0.0,1.0
2007-11-08,9.58,9.71,9.4,9.59,9.3706,137400,0.0,1.0
2007-11-09,9.5,9.61,9.29,9.49,9.2728,97900,0.0,1.0
2007-11-12,9.5,9.7,9.4,9.62,9.3999,79100,0.0,1.0
