timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-08-18,9.0,9.0,7.6,7.97,7.97,470617,0.0,1.0
2015-08-19,8.05,8.29,8.0,8.16,8.16,102741,0.0,1.0
2015-08-20,8.25,8.8724,8.17,8.39,8.39,138015,0.0,1.0
2015-08-21,8.05,8.207,7.868,8.0,8.0,31873,0.0,1.0
2015-08-24,7.75,8.33,7.75,7.8601,7.8601,9166,0.0,1.0
2015-08-25,8.1,8.1001,7.95,8.0,8.0,33821,0.0,1.0
2015-08-26,8.045,8.1,7.9,7.9999,7.9999,19582,0.0,1.0
2015-08-27,8.25,8.25,7.9,8.25,8.25,41114,0.0,1.0
2015-08-28,8.0,8.2477,7.9,8.0,8.0,57767,0.0,1.0
2015-08-31,7.95,8.035,7.9,7.9632,7.9632,23993,0.0,1.0
2015-09-01,7.85,8.0,7.66,7.66,7.66,9129,0.0,1.0
2015-09-02,8.1,8.1,7.6498,7.84,7.84,5635,0.0,1.0
2015-09-03,7.62,7.8,7.05,7.34,7.34,21618,0.0,1.0
2015-09-04,7.16,7.24,7.09,7.24,7.24,5718,0.0,1.0
2015-09-08,6.86,7.34,6.7501,7.28,7.28,5602,0.0,1.0
2015-09-09,7.25,7.4599,7.05,7.05,7.05,3563,0.0,1.0
2015-09-10,7.05,7.0899,6.89,7.0145,7.0145,8635,0.0,1.0
2015-09-11,7.001,7.1076,6.75,6.75,6.75,4583,0.0,1.0
2015-09-14,6.58,6.58,6.53,6.53,6.53,316,0.0,1.0
2015-09-15,6.58,6.9,6.58,6.9,6.9,600,0.0,1.0
2015-09-16,7.44,7.46,6.56,6.93,6.93,45648,0.0,1.0
2015-09-17,7.39,7.39,6.651,6.8184,6.8184,12689,0.0,1.0
2015-09-18,7.0,7.0,6.58,6.73,6.73,4755,0.0,1.0
2015-09-21,6.9643,7.2,6.7,7.05,7.05,10995,0.0,1.0
2015-09-22,7.2248,7.4999,7.1,7.35,7.35,28006,0.0,1.0
2015-09-23,7.09,7.1851,6.55,7.14,7.14,17155,0.0,1.0
2015-09-24,6.84,7.12,6.7201,6.9622,6.9622,8272,0.0,1.0
2015-09-25,7.1,7.1,6.74,6.74,6.74,4743,0.0,1.0
2015-09-28,6.651,7.09,6.03,6.57,6.57,66027,0.0,1.0
2015-09-29,6.65,6.8,6.33,6.4,6.4,26561,0.0,1.0
2015-09-30,6.37,7.2,6.0,6.15,6.15,34033,0.0,1.0
2015-10-01,6.48,7.2,6.1,7.2,7.2,7578,0.0,1.0
2015-10-02,6.25,7.2499,6.25,6.6,6.6,5355,0.0,1.0
2015-10-05,6.5487,6.8999,6.5101,6.5101,6.5101,1010,0.0,1.0
2015-10-06,6.5201,6.5201,6.5201,6.5201,6.5201,387,0.0,1.0
2015-10-07,6.6768,7.0,6.52,6.55,6.55,14458,0.0,1.0
2015-10-08,6.79,6.9,6.7,6.85,6.85,12800,0.0,1.0
2015-10-09,6.99,6.99,6.62,6.75,6.75,11585,0.0,1.0
2015-10-12,6.9,7.089,6.69,6.78,6.78,12025,0.0,1.0
2015-10-13,6.6,6.6891,6.5,6.61,6.61,10849,0.0,1.0
2015-10-14,6.56,6.7899,6.2604,6.2995,6.2995,6848,0.0,1.0
2015-10-15,6.04,6.3522,6.0,6.3522,6.3522,1356,0.0,1.0
2015-10-16,6.34,6.35,6.2,6.2,6.2,1275,0.0,1.0
2015-10-19,6.2395,6.77,6.1232,6.35,6.35,6424,0.0,1.0
2015-10-20,6.88,6.95,6.15,6.3497,6.3497,7831,0.0,1.0
2015-10-21,6.74,6.74,6.01,6.12,6.12,22286,0.0,1.0
2015-10-22,7.25,7.3,6.75,6.855,6.855,39554,0.0,1.0
2015-10-23,6.77,7.18,6.4,6.81,6.81,47990,0.0,1.0
2015-10-26,6.51,6.85,6.15,6.54,6.54,17499,0.0,1.0
2015-10-27,6.5,6.6,6.196,6.28,6.28,10231,0.0,1.0
2015-10-28,6.09,6.2,5.885,6.06,6.06,21111,0.0,1.0
2015-10-29,6.0,6.5,6.0,6.08,6.08,19865,0.0,1.0
2015-10-30,5.88,6.4,5.88,5.9697,5.9697,8752,0.0,1.0
2015-11-02,6.25,6.26,5.9,5.9,5.9,5149,0.0,1.0
2015-11-03,5.93,5.99,5.87,5.99,5.99,11050,0.0,1.0
2015-11-04,6.06,6.07,5.9,5.9596,5.9596,8291,0.0,1.0
2015-11-05,6.05,6.05,5.8,5.93,5.93,12329,0.0,1.0
2015-11-06,5.95,6.08,5.8,5.8101,5.8101,8713,0.0,1.0
2015-11-09,5.765,5.86,5.52,5.65,5.65,27537,0.0,1.0
2015-11-10,5.745,5.9241,5.58,5.73,5.73,17537,0.0,1.0
2015-11-11,5.657,5.68,5.56,5.56,5.56,2399,0.0,1.0
2015-11-12,5.51,5.51,5.25,5.5,5.5,10727,0.0,1.0
2015-11-13,5.32,5.45,5.0001,5.4485,5.4485,7827,0.0,1.0
2015-11-16,5.2,5.3965,5.162,5.18,5.18,2626,0.0,1.0
2015-11-17,5.25,5.3,5.19,5.25,5.25,15314,0.0,1.0
2015-11-18,5.25,5.64,4.791,5.23,5.23,8241,0.0,1.0
2015-11-19,5.4,5.45,4.97,5.085,5.085,18901,0.0,1.0
2015-11-20,5.15,5.15,5.15,5.15,5.15,204,0.0,1.0
2015-11-23,5.4,5.44,5.0,5.05,5.05,11949,0.0,1.0
2015-11-24,5.0101,5.35,4.65,4.85,4.85,13598,0.0,1.0
2015-11-25,4.806,5.3799,4.5101,4.75,4.75,6335,0.0,1.0
2015-11-27,4.9,4.96,4.57,4.68,4.68,7780,0.0,1.0
2015-11-30,4.6699,4.6699,4.4574,4.4574,4.4574,854,0.0,1.0
2015-12-01,4.9,4.9,4.45,4.5101,4.5101,20138,0.0,1.0
2015-12-02,4.5,4.55,4.3499,4.39,4.39,19926,0.0,1.0
2015-12-03,4.52,4.86,4.25,4.3,4.3,20276,0.0,1.0
2015-12-04,4.36,4.46,4.27,4.3999,4.3999,13839,0.0,1.0
2015-12-07,4.95,5.35,4.75,4.9265,4.9265,31610,0.0,1.0
