timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-03-28,14.5,14.58,14.43,14.55,10.2125,311896,0.0,1.0
2014-03-31,14.5,14.57,14.5,14.5,10.1774,24949,0.0,1.0
2014-04-01,14.51,15.63,14.51,15.25,10.7039,16944,0.0,1.0
2014-04-02,15.4,15.4,14.85,15.0,10.5284,6844,0.0,1.0
2014-04-03,15.0,15.04,14.6,14.6,10.2476,16115,0.0,1.0
2014-04-04,14.6,14.63,14.5,14.6,10.2476,6530,0.0,1.0
2014-04-07,14.651,14.651,14.5,14.5,10.1774,5864,0.0,1.0
2014-04-08,14.5,14.55,14.5,14.55,10.2125,9661,0.0,1.0
2014-04-09,14.5,14.6,14.5,14.6,10.2476,26660,0.0,1.0
2014-04-10,14.8,14.8,14.5,14.5,10.1774,15454,0.0,1.0
2014-04-11,14.5999,15.0,14.58,14.6,10.2476,14435,0.0,1.0
2014-04-14,15.0,15.25,14.6,14.67,10.2968,8079,0.0,1.0
2014-04-15,14.601,14.601,14.56,14.6,10.2476,2990,0.0,1.0
2014-04-16,14.8,14.8,14.5,14.6,10.2476,3777,0.0,1.0
2014-04-17,14.6,14.69,14.5,14.6599,10.2897,8955,0.0,1.0
2014-04-21,14.5,14.98,14.5,14.51,10.1845,12134,0.0,1.0
2014-04-22,14.8,14.8,14.3,14.31,10.0441,36400,0.0,1.0
2014-04-23,14.2,14.2999,13.14,14.19,10.0277,36373,0.0967,1.0
2014-04-24,14.3,14.3,14.01,14.0101,9.9006,8242,0.0,1.0
2014-04-25,14.05,14.05,14.0,14.01,9.9005,1050,0.0,1.0
2014-04-28,14.12,14.12,13.84,14.0899,9.957,5812,0.0,1.0
2014-04-29,13.88,14.0,13.88,13.91,9.8298,7550,0.0,1.0
2014-04-30,13.51,13.566,13.11,13.46,9.5118,24294,0.0,1.0
2014-05-01,13.5,13.7,13.33,13.4799,9.5259,22725,0.0,1.0
2014-05-02,13.62,13.627,13.56,13.6146,9.6211,1500,0.0,1.0
2014-05-05,13.72,13.75,13.65,13.75,9.7168,3156,0.0,1.0
2014-05-06,13.71,13.71,13.18,13.33,9.42,13858,0.0,1.0
2014-05-07,13.4499,13.6696,13.36,13.36,9.4412,23338,0.0,1.0
2014-05-08,13.45,13.562,12.5,12.74,9.003,30754,0.0,1.0
2014-05-09,13.47,13.47,13.0,13.39,9.4624,16005,0.0,1.0
2014-05-12,13.39,13.39,12.7399,12.89,9.109,16506,0.0,1.0
2014-05-13,12.95,13.085,12.5954,12.61,8.9112,13883,0.0,1.0
2014-05-14,12.81,13.25,12.62,12.62,8.9182,29939,0.0,1.0
2014-05-15,12.7,13.2,12.7,13.2,9.3281,13967,0.0,1.0
2014-05-16,13.25,13.41,13.15,13.21,9.3352,14781,0.0,1.0
2014-05-19,13.35,13.4769,13.01,13.071,9.2369,8672,0.0,1.0
2014-05-20,12.76,13.11,12.62,12.893,9.1112,36240,0.0,1.0
2014-05-21,12.5601,12.99,12.55,12.99,9.248,25328,0.0967,1.0
2014-05-22,12.78,12.95,12.5,12.56,8.9419,40158,0.0,1.0
2014-05-23,12.6,12.7,12.4,12.4392,8.8559,32141,0.0,1.0
2014-05-27,12.4775,12.49,12.01,12.12,8.6286,43020,0.0,1.0
2014-05-28,12.2101,12.95,12.06,12.8,9.1127,38942,0.0,1.0
2014-05-29,12.566,13.25,12.52,13.0,9.2551,19240,0.0,1.0
2014-05-30,13.0,13.0999,12.75,12.8,9.1127,18411,0.0,1.0
2014-06-02,12.989,13.3915,12.989,13.39,9.5328,25640,0.0,1.0
2014-06-03,13.3,13.7399,12.99,13.54,9.6396,21375,0.0,1.0
2014-06-04,13.3,13.74,13.0001,13.74,9.782,15248,0.0,1.0
2014-06-05,13.85,14.03,13.7101,14.01,9.9742,33133,0.0,1.0
2014-06-06,14.0,14.12,13.83,14.1184,10.0514,15872,0.0,1.0
2014-06-09,14.24,14.28,13.82,14.28,10.1664,17703,0.0,1.0
2014-06-10,14.18,14.35,13.5,13.95,9.9315,14335,0.0,1.0
2014-06-11,14.25,14.25,13.75,13.95,9.9315,16908,0.0,1.0
2014-06-12,13.77,13.95,13.59,13.865,9.871,22482,0.0,1.0
2014-06-13,13.9,14.38,13.9,14.25,10.145,24539,0.0,1.0
2014-06-16,14.2,14.38,13.872,14.38,10.2376,18563,0.0,1.0
2014-06-17,14.25,14.4,13.83,14.1,10.0383,12522,0.0,1.0
2014-06-18,14.31,14.34,13.66,13.92,9.9101,24174,0.0,1.0
2014-06-19,14.17,14.17,13.9101,14.1,10.0383,24257,0.0,1.0
2014-06-20,14.0,14.0,12.5,12.5,8.8992,65000,0.0,1.0
2014-06-23,12.65,13.45,12.65,13.25,9.5019,23022,0.0967,1.0
2014-06-24,13.25,13.35,13.1,13.25,9.5019,15626,0.0,1.0
2014-06-25,13.2,13.29,13.08,13.29,9.5306,14242,0.0,1.0
2014-06-26,13.2,13.25,13.1,13.11,9.4015,21422,0.0,1.0
2014-06-27,13.14,13.15,12.9,12.9,9.2509,16726,0.0,1.0
2014-06-30,12.97,13.25,12.97,13.18,9.4517,17020,0.0,1.0
2014-07-01,13.11,13.45,13.1,13.45,9.6454,17541,0.0,1.0
2014-07-02,13.74,13.74,13.26,13.35,9.5736,10449,0.0,1.0
2014-07-03,13.27,13.65,12.51,13.65,9.7888,10926,0.0,1.0
2014-07-07,13.65,13.65,13.25,13.35,9.5736,13422,0.0,1.0
2014-07-08,13.3,13.3,13.1,13.17,9.4446,22579,0.0,1.0
2014-07-09,13.15,13.34,13.1,13.34,9.5665,12306,0.0,1.0
2014-07-10,13.1947,13.35,13.1947,13.3,9.5378,9988,0.0,1.0
2014-07-11,13.29,13.48,13.29,13.37,9.588,10546,0.0,1.0
2014-07-14,13.38,13.476,13.06,13.06,9.3657,45299,0.0,1.0
2014-07-15,13.01,13.2999,12.8975,13.2,9.4661,26883,0.0,1.0
2014-07-16,13.17,13.2,12.86,12.87,9.2294,15416,0.0,1.0
2014-07-17,13.1,13.12,12.97,12.97,9.3011,6892,0.0,1.0
2014-07-18,13.12,13.12,12.7399,12.79,9.1721,30165,0.0,1.0
2014-07-21,12.81,12.82,12.51,12.54,8.9928,26315,0.0,1.0
2014-07-22,12.6,12.7399,12.26,12.4533,8.9306,28908,0.0,1.0
2014-07-23,12.55,12.63,12.373,12.49,9.0262,14628,0.0967,1.0
2014-07-24,12.54,12.55,12.23,12.26,8.86,25413,0.0,1.0
2014-07-25,12.25,12.35,12.24,12.34,8.9178,12383,0.0,1.0
2014-07-28,12.35,12.49,12.34,12.41,8.9684,15065,0.0,1.0
2014-07-29,12.42,12.5,11.8399,11.87,8.5782,44000,0.0,1.0
2014-07-30,11.83,12.0,11.21,11.65,8.4192,54137,0.0,1.0
2014-07-31,11.75,11.75,11.39,11.6,8.3831,12973,0.0,1.0
2014-08-01,11.52,11.95,11.41,11.51,8.318,43674,0.0,1.0
2014-08-04,11.49,11.9,11.41,11.76,8.4987,22476,0.0,1.0
2014-08-05,11.9,12.0099,11.61,11.8,8.5276,20044,0.0,1.0
2014-08-06,11.54,11.7599,11.51,11.71,8.4626,9888,0.0,1.0
2014-08-07,11.76,11.82,11.5601,11.61,8.3903,4922,0.0,1.0
2014-08-08,11.75,11.89,11.6,11.82,8.542,10534,0.0,1.0
2014-08-11,11.75,12.14,11.75,12.0,8.6721,7809,0.0,1.0
2014-08-12,12.02,12.25,12.02,12.25,8.8528,6882,0.0,1.0
2014-08-13,12.28,12.64,12.245,12.49,9.0262,8741,0.0,1.0
2014-08-14,12.5792,12.6,12.0301,12.17,8.795,18740,0.0,1.0
2014-08-15,12.11,12.9,12.11,12.84,9.2792,20802,0.0,1.0
2014-08-18,12.89,12.89,12.41,12.6,9.1057,41847,0.0,1.0
2014-08-19,12.42,12.8,12.41,12.7,9.178,14509,0.0,1.0
2014-08-20,12.71,12.85,12.53,12.6,9.1057,15700,0.0,1.0
