timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,9.56,9.56,9.0,9.38,8.2859,148000,0.0,1.0
2000-01-04,9.25,9.25,8.75,8.75,7.7294,63500,0.0,1.0
2000-01-05,8.69,8.88,8.55,8.75,7.7294,45800,0.0,1.0
2000-01-06,8.75,9.19,8.75,9.12,8.0562,86200,0.0,1.0
2000-01-07,9.19,9.62,9.12,9.25,8.171,99400,0.0,1.0
2000-01-10,9.12,9.5,9.12,9.38,8.2859,139200,0.0,1.0
2000-01-11,9.31,9.44,9.12,9.28,8.1976,217800,0.0,1.0
2000-01-12,9.12,9.5,9.12,9.25,8.171,134200,0.0,1.0
2000-01-13,9.25,9.38,9.19,9.25,8.171,61400,0.0,1.0
2000-01-14,9.44,9.5,9.25,9.44,8.3389,238700,0.0,1.0
2000-01-18,9.25,10.0,9.25,9.88,8.7276,80300,0.0,1.0
2000-01-19,9.88,10.25,9.69,10.0,8.8336,62900,0.0,1.0
2000-01-20,9.88,10.12,9.75,9.88,8.7276,50600,0.0,1.0
2000-01-21,9.88,9.89,9.69,9.75,8.6127,116200,0.0,1.0
2000-01-24,9.81,9.88,9.56,9.88,8.7276,94800,0.0,1.0
2000-01-25,9.75,9.75,9.5,9.56,8.4449,72300,0.0,1.0
2000-01-26,9.62,9.88,9.38,9.56,8.4449,63400,0.0,1.0
2000-01-27,9.73,9.75,9.0,9.0,7.9502,83000,0.0,1.0
2000-01-28,9.38,9.38,9.12,9.38,8.2859,59600,0.0,1.0
2000-01-31,9.45,9.5,9.12,9.25,8.171,59000,0.0,1.0
2000-02-01,9.12,9.69,9.12,9.69,8.5597,28100,0.0,1.0
2000-02-02,9.53,9.72,9.25,9.25,8.171,39600,0.0,1.0
2000-02-03,9.69,9.69,8.97,9.0,7.9502,38200,0.0,1.0
2000-02-04,9.12,9.12,8.62,9.12,8.0562,38500,0.0,1.0
2000-02-07,9.25,9.5,9.0,9.5,8.3919,67000,0.0,1.0
2000-02-08,9.5,9.62,8.94,9.03,7.9767,97200,0.0,1.0
2000-02-09,8.75,9.06,8.75,9.0,7.9502,28400,0.0,1.0
2000-02-10,9.12,9.75,8.88,8.88,7.8442,804000,0.0,1.0
2000-02-11,8.88,9.06,8.62,8.81,7.7824,278100,0.0,1.0
2000-02-14,8.75,8.81,8.5,8.69,7.6764,857300,0.0,1.0
2000-02-15,8.62,9.12,8.62,8.94,7.8972,191200,0.0,1.0
2000-02-16,9.0,10.0,8.81,9.56,8.4449,230500,0.0,1.0
2000-02-17,9.44,9.75,9.25,9.62,8.4979,66900,0.0,1.0
2000-02-18,9.62,9.75,9.38,9.38,8.2859,319300,0.0,1.0
2000-02-22,9.38,9.88,9.0,9.06,8.0032,39700,0.0,1.0
2000-02-23,9.38,9.38,9.0,9.19,8.118,84100,0.0,1.0
2000-02-24,9.12,9.69,9.03,9.69,8.5597,179400,0.0,1.0
2000-02-25,9.75,10.0,9.5,9.5,8.3919,309800,0.0,1.0
2000-02-28,9.56,9.75,9.38,9.75,8.6127,67400,0.0,1.0
2000-02-29,9.88,10.12,9.66,9.94,8.7806,101600,0.0,1.0
2000-03-01,10.0,12.5,10.0,11.75,10.3794,345600,0.0,1.0
2000-03-02,12.0,12.0,11.0,11.75,10.3794,171400,0.0,1.0
2000-03-03,11.38,11.75,11.38,11.69,10.3264,139100,0.0,1.0
2000-03-06,11.5,12.0,11.34,12.0,10.6003,183000,0.0,1.0
2000-03-07,11.94,12.5,11.94,12.19,10.7681,467800,0.0,1.0
2000-03-08,12.12,12.12,11.44,11.94,10.5473,218900,0.0,1.0
2000-03-09,11.88,12.5,11.5,12.25,10.8211,211800,0.0,1.0
2000-03-10,12.5,12.62,11.88,12.12,10.7063,132200,0.0,1.0
2000-03-13,11.75,12.62,11.5,12.62,11.148,211800,0.0,1.0
2000-03-14,12.12,13.0,12.12,12.44,10.989,77200,0.0,1.0
2000-03-15,12.38,12.62,12.31,12.44,10.989,54600,0.0,1.0
2000-03-16,12.22,12.88,12.12,12.22,10.7946,135900,0.0,1.0
2000-03-17,12.19,12.75,12.19,12.44,10.989,82400,0.0,1.0
2000-03-20,12.44,12.75,12.06,12.25,10.8211,54500,0.0,1.0
2000-03-21,12.44,12.44,11.94,12.06,10.6533,92100,0.0,1.0
2000-03-22,11.88,12.25,11.81,11.81,10.4324,54900,0.0,1.0
2000-03-23,11.88,12.12,11.81,12.06,10.6533,292500,0.0,1.0
2000-03-24,11.94,12.38,11.88,12.19,10.7681,64700,0.0,1.0
2000-03-27,12.88,12.88,12.19,12.38,10.936,192600,0.0,1.0
2000-03-28,12.31,12.5,12.19,12.38,10.936,65100,0.0,1.0
2000-03-29,12.44,12.75,12.06,12.75,11.2628,58600,0.0,1.0
2000-03-30,12.62,13.75,12.38,13.5,11.9253,399200,0.0,1.0
2000-03-31,14.12,14.38,13.75,13.88,12.261,354300,0.0,1.0
2000-04-03,13.75,14.0,13.5,13.75,12.1462,62400,0.0,1.0
2000-04-04,13.5,13.62,13.0,13.31,11.7575,207000,0.0,1.0
2000-04-05,13.19,13.75,13.19,13.52,11.943,367400,0.0,1.0
2000-04-06,13.75,13.88,13.38,13.56,11.9783,287000,0.0,1.0
2000-04-07,13.31,14.06,13.31,13.81,12.1992,95700,0.0,1.0
2000-04-10,14.0,14.0,13.5,13.69,12.0932,87200,0.0,1.0
2000-04-11,13.69,13.69,13.0,13.25,11.7045,82500,0.0,1.0
2000-04-12,13.25,13.5,13.0,13.12,11.5896,77500,0.0,1.0
2000-04-13,13.0,13.19,12.94,13.06,11.5366,100200,0.0,1.0
2000-04-14,12.94,13.06,12.5,12.75,11.2628,40700,0.0,1.0
2000-04-17,12.5,13.0,12.0,12.12,10.7063,127000,0.0,1.0
2000-04-18,12.12,12.38,12.12,12.25,10.8211,63900,0.0,1.0
2000-04-19,12.25,12.75,12.25,12.38,10.936,27400,0.0,1.0
2000-04-20,12.38,12.75,12.0,12.12,10.7063,53200,0.0,1.0
2000-04-24,12.12,12.5,12.12,12.12,10.7063,29900,0.0,1.0
2000-04-25,12.44,12.44,11.62,11.62,10.2646,29400,0.0,1.0
2000-04-26,12.0,12.0,11.25,11.62,10.2646,34300,0.0,1.0
2000-04-27,11.69,11.75,11.0,11.31,9.9908,57800,0.0,1.0
2000-04-28,11.5,12.12,11.25,12.12,10.7063,81600,0.0,1.0
2000-05-01,11.88,12.25,11.88,12.19,10.7681,41600,0.0,1.0
2000-05-02,12.19,12.62,11.88,12.44,10.989,100300,0.0,1.0
2000-05-03,12.38,12.56,11.75,12.25,10.8211,25200,0.0,1.0
2000-05-04,12.19,12.31,11.62,11.7,10.3353,63000,0.0,1.0
2000-05-05,12.0,12.06,11.69,12.0,10.6003,72600,0.0,1.0
2000-05-08,11.81,12.0,11.62,11.62,10.2646,129200,0.0,1.0
2000-05-09,11.81,11.88,11.12,11.25,9.9378,106800,0.0,1.0
2000-05-10,11.06,11.38,11.06,11.31,9.9908,17400,0.0,1.0
2000-05-11,11.38,11.5,11.06,11.31,9.9908,51200,0.0,1.0
2000-05-12,11.12,12.12,11.12,11.94,10.5473,65300,0.0,1.0
2000-05-15,11.94,12.25,11.75,12.19,10.7681,75700,0.0,1.0
2000-05-16,12.06,12.5,12.06,12.44,10.989,171900,0.0,1.0
2000-05-17,12.12,13.81,12.12,13.56,11.9783,252800,0.0,1.0
2000-05-18,13.69,14.25,13.44,13.81,12.1992,337000,0.0,1.0
2000-05-19,13.81,13.88,13.25,13.31,11.7575,144900,0.0,1.0
2000-05-22,13.56,13.56,12.75,12.88,11.3776,115900,0.0,1.0
2000-05-23,13.0,13.12,12.62,12.75,11.2628,132600,0.0,1.0
2000-05-24,13.0,13.0,12.62,12.7,11.2186,442900,0.0,1.0
2000-05-25,12.62,12.94,12.62,12.88,11.3776,106800,0.0,1.0
2000-05-26,12.94,13.62,12.75,13.5,11.9253,57200,0.0,1.0
2000-05-30,13.69,13.75,13.25,13.75,12.1462,47000,0.0,1.0
2000-05-31,13.75,14.12,13.56,14.12,12.473,74800,0.0,1.0
2000-06-01,14.38,14.75,14.25,14.31,12.6408,188400,0.0,1.0
2000-06-02,14.25,14.44,13.44,13.56,11.9783,67900,0.0,1.0
2000-06-05,13.31,13.5,12.62,12.88,11.3776,205000,0.0,1.0
2000-06-06,13.0,13.69,12.69,13.44,11.8723,92500,0.0,1.0
2000-06-07,13.38,13.44,13.12,13.38,11.8193,64000,0.0,1.0
2000-06-08,13.31,14.06,13.25,14.0,12.367,81400,0.0,1.0
2000-06-09,14.0,14.44,13.88,14.31,12.6408,33100,0.0,1.0
2000-06-12,14.12,14.38,13.75,13.88,12.261,122900,0.0,1.0
2000-06-13,14.0,14.94,13.94,14.81,13.0825,301700,0.0,1.0
2000-06-14,14.84,14.88,14.5,14.75,13.0295,91500,0.0,1.0
2000-06-15,14.75,15.31,14.62,15.25,13.4712,302200,0.0,1.0
2000-06-16,15.19,15.75,15.12,15.62,13.798,211300,0.0,1.0
2000-06-19,15.62,15.81,15.44,15.62,13.798,67200,0.0,1.0
2000-06-20,15.56,15.62,15.12,15.12,13.3564,37900,0.0,1.0
2000-06-21,15.19,15.25,14.25,14.44,12.7557,183900,0.0,1.0
2000-06-22,14.75,14.75,14.38,14.5,12.8087,95100,0.0,1.0
2000-06-23,14.62,14.75,14.56,14.75,13.0295,297900,0.0,1.0
2000-06-26,14.72,14.94,14.25,14.62,12.9147,210100,0.0,1.0
2000-06-27,14.25,14.75,14.25,14.62,12.9147,133500,0.0,1.0
2000-06-28,14.75,14.75,14.44,14.5,12.8087,143900,0.0,1.0
2000-06-29,14.38,14.75,14.25,14.38,12.7027,45300,0.0,1.0
