timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2009-07-01,38.3,38.5,37.65,38.5,34.1493,341454,0.0,1.0
2009-07-02,38.8,38.85,38.25,38.4,34.0606,329008,0.0,1.0
2009-07-06,37.45,38.0,36.95,38.0,33.7058,160918,0.0,1.0
2009-07-07,37.35,37.5,37.3326,37.4,33.1736,197316,0.0,1.0
2009-07-08,37.7,37.95,37.5,37.5,33.2623,46712,0.0,1.0
2009-07-09,37.25,37.74,37.0,37.5,33.2623,47224,0.0,1.0
2009-07-10,37.3,37.7,37.2,37.7,33.4397,19540,0.0,1.0
2009-07-13,37.55,37.8,37.491,37.5,33.2623,232298,0.0,1.0
2009-07-14,37.95,38.85,37.6,38.8,34.4154,6246,0.0,1.0
2009-07-15,39.2,39.85,39.05,39.85,35.3468,5484,0.0,1.0
2009-07-16,39.85,40.0,39.4,39.55,35.0807,8547,0.0,1.0
2009-07-17,38.7,39.1,38.5,38.9,34.5041,20625,0.0,1.0
2009-07-20,38.65,39.75,37.35,39.55,35.0807,36815,0.0,1.0
2009-07-21,38.5,38.95,38.5,38.75,34.3711,30090,0.0,1.0
2009-07-22,39.7,39.75,38.4183,39.55,35.0807,148687,0.0,1.0
2009-07-23,39.7,40.1,39.65,39.9,35.3911,7512,0.0,1.0
2009-07-24,40.0,40.0,39.55,39.9,35.3911,24327,0.0,1.0
2009-07-27,39.65,39.8,39.35,39.6,35.125,7392,0.0,1.0
2009-07-28,39.6,39.87,39.5,39.87,35.3645,20414,0.0,1.0
2009-07-29,39.7,39.7,39.35,39.35,34.9033,17025,0.0,1.0
2009-07-30,39.8,39.8,39.4,39.8,35.3024,38628,0.0,1.0
2009-07-31,39.65,40.2,39.6,40.15,35.6129,23648,0.0,1.0
2009-08-03,39.5,39.9,39.15,39.79,35.2936,16708,0.0,1.0
2009-08-04,38.65,39.45,38.53,39.25,34.8146,38466,0.0,1.0
2009-08-05,39.14,39.45,38.49,39.4,34.9476,37136,0.0,1.0
2009-08-06,39.3,39.69,39.25,39.4,34.9476,6155,0.0,1.0
2009-08-07,39.55,39.65,39.26,39.45,34.992,7487,0.0,1.0
2009-08-10,40.2,40.32,40.0,40.15,35.6129,3840,0.0,1.0
2009-08-11,40.29,40.7,40.29,40.4,35.8346,9531,0.0,1.0
2009-08-12,40.95,41.3,40.95,41.05,36.4112,13651,0.0,1.0
2009-08-13,39.1,39.29,38.85,39.15,34.7259,245940,0.0,1.0
2009-08-14,38.35,38.7,38.05,38.7,34.3267,19360,0.0,1.0
2009-08-17,39.1,39.15,38.85,39.15,34.7259,28151,0.0,1.0
2009-08-18,39.46,40.2,39.46,40.15,35.6129,3148,0.0,1.0
2009-08-19,39.8,40.75,39.72,40.69,36.0919,6232,0.0,1.0
2009-08-20,40.52,40.82,40.44,40.6,36.012,14060,0.0,1.0
2009-08-21,42.05,42.25,41.89,42.05,37.2982,13067,0.0,1.0
2009-08-24,42.32,42.41,41.9,41.9,37.1651,11858,0.0,1.0
2009-08-25,42.91,42.91,42.1,42.6,37.786,33772,0.0,1.0
2009-08-26,42.35,42.64,42.25,42.5,37.6973,14889,0.0,1.0
2009-08-27,41.9,42.85,41.36,42.37,37.582,11617,0.0,1.0
2009-08-28,42.4,42.7,42.35,42.7,37.8747,9546,0.0,1.0
2009-08-31,42.7,43.5,42.7,43.4,38.4956,6928,0.0,1.0
2009-09-01,42.5,42.7,41.5,41.5,36.8103,11184,0.0,1.0
2009-09-02,41.7,41.95,41.6,41.75,37.0321,20523,0.0,1.0
2009-09-03,42.0,42.1,41.55,41.55,36.8547,11032,0.0,1.0
2009-09-04,41.5,42.1,41.4,42.1,37.3425,5768,0.0,1.0
2009-09-08,43.55,43.81,43.46,43.5,38.5843,3860,0.0,1.0
2009-09-09,44.0,44.5,44.0,44.45,39.427,10538,0.0,1.0
2009-09-10,44.15,45.0,44.1,45.0,39.9148,17922,0.0,1.0
2009-09-11,45.6,45.6,45.22,45.45,40.314,47441,0.0,1.0
2009-09-14,45.32,46.35,45.21,46.17,40.9526,11098,0.0,1.0
2009-09-15,46.1,46.25,45.62,46.25,41.0235,36467,0.0,1.0
2009-09-16,46.75,47.9,46.13,46.95,41.6444,1138600,0.0,1.0
2009-09-17,46.5,46.9,46.44,46.55,41.2896,359855,0.0,1.0
2009-09-18,45.71,47.35,44.99,47.0,41.6888,1543635,0.0,1.0
2009-09-21,47.21,47.914,47.02,47.7,42.3097,558876,0.0,1.0
2009-09-22,47.34,47.4,46.58,46.85,41.5557,712890,0.0,1.0
2009-09-23,46.35,46.49,45.9,45.9,40.7131,203455,0.0,1.0
2009-09-24,46.84,46.91,45.55,45.62,40.4647,145552,0.0,1.0
2009-09-25,45.0,45.39,44.72,44.92,39.8438,99122,0.0,1.0
2009-09-28,44.77,45.75,44.71,45.43,40.2962,95877,0.0,1.0
2009-09-29,45.57,45.85,45.05,45.28,40.1632,94493,0.0,1.0
2009-09-30,46.15,46.22,45.25,45.94,40.7486,106563,0.0,1.0
2009-10-01,44.94,45.65,44.5,45.07,39.9769,250252,0.0,1.0
2009-10-02,43.45,44.4873,43.42,44.0,39.0278,400267,0.0,1.0
2009-10-05,44.43,45.54,44.4,45.4,40.2696,500120,0.0,1.0
2009-10-06,45.91,47.0,45.84,46.66,41.3872,183116,0.0,1.0
2009-10-07,46.2,47.1,46.13,46.72,41.4404,157748,0.0,1.0
2009-10-08,47.77,48.26,47.76,48.19,42.7443,364046,0.0,1.0
2009-10-09,47.87,48.17,47.0001,47.59,42.2121,182218,0.0,1.0
2009-10-12,48.05,48.22,47.7,47.9,42.4871,21810,0.0,1.0
2009-10-13,47.48,47.75,46.91,47.55,42.1766,100418,0.0,1.0
2009-10-14,49.2,49.91,48.6001,49.55,43.9506,172844,0.0,1.0
2009-10-15,48.68,49.96,48.68,49.81,44.1813,139538,0.0,1.0
2009-10-16,49.94,50.25,49.2,50.189,44.5174,479045,0.0,1.0
2009-10-19,50.58,51.9,50.4,51.19,45.4053,187084,0.0,1.0
2009-10-20,50.34,50.39,49.53,50.15,44.4828,358993,0.0,1.0
2009-10-21,50.16,51.83,50.16,50.76,45.0239,456874,0.0,1.0
2009-10-22,50.76,52.54,50.54,52.3,46.3899,811631,0.0,1.0
2009-10-23,51.57,51.57,50.4,50.55,44.8376,329570,0.0,1.0
2009-10-26,50.42,50.73,49.41,49.49,43.8974,195007,0.0,1.0
2009-10-27,48.76,49.07,48.06,48.4,42.9306,237713,0.0,1.0
2009-10-28,48.2,48.2881,47.23,47.49,42.1234,171753,0.0,1.0
2009-10-29,48.1,49.47,48.09,48.89,43.3652,755365,0.0,1.0
2009-10-30,48.81,48.84,46.88,47.18,41.8485,185402,0.0,1.0
2009-11-02,47.9,48.62,47.293,48.31,42.8508,213373,0.0,1.0
2009-11-03,46.53,47.32,46.28,47.11,41.7864,245280,0.0,1.0
2009-11-04,47.26,47.73,47.15,47.38,42.0259,211430,0.0,1.0
2009-11-05,47.79,48.6,47.4,48.59,43.0991,170483,0.0,1.0
2009-11-06,48.52,48.73,48.0,48.37,42.904,253256,0.0,1.0
2009-11-09,49.07,49.818,48.95,49.72,44.1014,92729,0.0,1.0
2009-11-10,48.31,48.54,47.91,48.32,42.8596,432749,0.0,1.0
2009-11-11,47.68,48.74,47.59,48.64,43.1435,424183,0.0,1.0
2009-11-12,47.29,48.69,47.18,48.27,42.8153,2096337,0.0,1.0
2009-11-13,49.95,50.28,49.47,50.27,44.5893,564650,0.0,1.0
2009-11-16,50.79,51.7964,50.78,51.65,45.8133,418116,0.0,1.0
2009-11-17,50.91,51.45,50.03,51.09,45.3166,352277,0.0,1.0
2009-11-18,51.38,51.76,50.97,51.39,45.5827,395241,0.0,1.0
2009-11-19,50.76,50.89,49.9,50.6,44.882,736570,0.0,1.0
2009-11-20,50.24,50.99,50.24,50.67,44.9441,753119,0.0,1.0
2009-11-23,51.41,51.68,50.96,51.32,45.5206,454023,0.0,1.0
2009-11-24,51.34,51.5,51.01,51.32,45.5206,242285,0.0,1.0
2009-11-25,51.97,52.55,51.79,52.44,46.5141,348110,0.0,1.0
2009-11-27,49.33,52.2,49.28,51.18,45.3964,799282,0.0,1.0
2009-11-30,50.73,51.05,49.51,50.29,44.607,331520,0.0,1.0
2009-12-01,51.0,52.33,51.0,52.25,46.3455,456350,0.0,1.0
2009-12-02,52.83,53.47,52.6442,53.24,47.2236,542285,0.0,1.0
2009-12-03,53.41,53.69,52.45,52.64,46.6915,172680,0.0,1.0
2009-12-04,53.53,53.59,52.01,52.64,46.6915,403074,0.0,1.0
2009-12-07,52.19,53.59,52.14,52.5,46.5673,220470,0.0,1.0
2009-12-08,51.7,51.82,50.81,51.16,45.3787,257482,0.0,1.0
2009-12-09,51.65,51.77,50.98,51.37,45.565,121444,0.0,1.0
2009-12-10,51.69,51.98,51.3,51.69,45.8488,73405,0.0,1.0
2009-12-11,52.25,52.49,51.92,52.32,46.4076,92663,0.0,1.0
2009-12-14,52.81,53.15,52.61,52.99,47.0019,134876,0.0,1.0
2009-12-15,52.62,52.71,52.35,52.45,46.5229,96786,0.0,1.0
2009-12-16,52.64,53.32,52.51,52.6,46.656,273204,0.0,1.0
2009-12-17,51.79,51.8,51.22,51.43,45.6182,132117,0.0,1.0
2009-12-18,51.14,51.32,50.25,50.61,44.8909,311106,0.0,1.0
2009-12-21,50.58,51.0,50.49,50.83,45.086,101435,0.0,1.0
2009-12-22,50.83,51.13,50.58,50.68,44.9529,148298,0.0,1.0
2009-12-23,50.87,51.63,50.7,51.28,45.4851,192174,0.0,1.0
2009-12-24,51.58,51.7,51.32,51.48,45.6625,41285,0.0,1.0
2009-12-28,52.04,52.3,51.78,52.02,46.1415,130730,0.0,1.0
2009-12-29,52.74,52.9,52.2,52.43,46.5052,96107,0.0,1.0
2009-12-30,52.21,52.25,51.9,52.12,46.2302,59714,0.0,1.0
2009-12-31,52.37,52.45,52.03,52.03,46.1504,35380,0.0,1.0
2010-01-04,53.32,53.7,52.99,53.49,47.4454,139567,0.0,1.0
2010-01-05,53.33,53.34,52.6045,52.85,46.8777,141221,0.0,1.0
2010-01-06,52.31,52.7,52.24,52.52,46.585,172640,0.0,1.0
2010-01-07,51.63,51.63,50.97,51.24,45.4497,310586,0.0,1.0
2010-01-08,51.0,51.1,50.5,50.95,45.1924,484769,0.0,1.0
2010-01-11,51.45,51.62,51.28,51.41,45.6004,119468,0.0,1.0
2010-01-12,50.66,51.27,50.5,51.2,45.4142,455330,0.0,1.0
2010-01-13,51.87,52.23,51.49,51.79,45.9375,223023,0.0,1.0
2010-01-14,51.74,52.03,51.64,51.88,46.0173,148074,0.0,1.0
2010-01-15,51.5,51.61,50.15,50.49,44.7844,411194,0.0,1.0
2010-01-19,50.34,50.65,50.25,50.53,44.8199,207451,0.0,1.0
2010-01-20,49.48,49.69,48.7,49.27,43.7023,448435,0.0,1.0
2010-01-21,49.02,49.12,47.77,47.88,42.4694,986400,0.0,1.0
2010-01-22,48.72,49.4,47.92,48.06,42.629,764456,0.0,1.0
2010-01-25,48.68,48.83,48.08,48.35,42.8862,419705,0.0,1.0
2010-01-26,47.58,48.65,47.44,48.11,42.6734,159523,0.0,1.0
2010-01-27,49.58,49.79,49.28,49.73,44.1103,280934,0.0,1.0
2010-01-28,50.35,50.39,48.75,49.07,43.5249,210086,0.0,1.0
2010-01-29,50.52,50.791,49.36,49.79,44.1635,331025,0.0,1.0
2010-02-01,50.27,50.74,50.2,50.65,44.9263,249504,0.0,1.0
2010-02-02,50.66,51.41,50.51,51.02,45.2545,291296,0.0,1.0
2010-02-03,51.07,51.21,50.53,50.99,45.2279,201861,0.0,1.0
2010-02-04,49.28,49.31,47.89,47.89,42.4782,892582,0.0,1.0
2010-02-05,46.81,47.09,45.55,46.43,41.1832,565181,0.0,1.0
2010-02-08,47.36,47.86,47.0,47.04,41.7243,211501,0.0,1.0
2010-02-09,47.71,49.1,47.66,48.52,43.037,259896,0.0,1.0
2010-02-10,48.48,48.76,47.9,48.3,42.8419,191231,0.0,1.0
2010-02-11,48.67,49.29,48.12,49.13,43.5781,186772,0.0,1.0
2010-02-12,49.12,49.67,48.71,49.54,43.9418,116993,0.0,1.0
2010-02-16,49.11,50.32,48.9,50.21,44.5361,115444,0.0,1.0
2010-02-17,50.73,51.1499,50.53,50.85,45.1037,292600,0.0,1.0
2010-02-18,50.48,51.25,50.44,51.16,45.3787,382119,0.0,1.0
2010-02-19,50.22,50.68,49.88,50.32,44.6336,456991,0.0,1.0
2010-02-22,50.13,50.31,49.51,49.63,44.0216,386699,0.0,1.0
2010-02-23,49.62,49.72,48.87,49.05,43.5071,280644,0.0,1.0
2010-02-24,49.91,50.43,49.6,50.27,44.5893,277286,0.0,1.0
2010-02-25,48.65,49.76,48.65,49.74,44.1192,211995,0.0,1.0
2010-02-26,49.59,50.38,49.31,49.95,44.3054,240280,0.0,1.0
2010-03-01,50.05,51.19,49.78,50.85,45.1037,267072,0.0,1.0
2010-03-02,51.01,51.07,50.44,50.86,45.1126,170371,0.0,1.0
2010-03-03,51.52,51.97,51.34,51.4,45.5916,288790,0.0,1.0
2010-03-04,50.3,50.48,49.31,49.42,43.8353,1250066,0.0,1.0
2010-03-05,49.02,49.82,49.0,49.6,43.995,759223,0.0,1.0
2010-03-08,49.46,49.5081,48.66,49.0,43.4628,329320,0.0,1.0
2010-03-09,49.18,49.94,49.16,49.7,44.0837,543167,0.0,1.0
2010-03-10,50.35,50.73,50.25,50.37,44.678,935625,0.0,1.0
2010-03-11,50.51,50.76,50.37,50.67,44.9441,254870,0.0,1.0
2010-03-12,50.94,50.98,50.5,50.6,44.882,158487,0.0,1.0
2010-03-15,49.79,50.04,49.48,49.99,44.3409,254599,0.0,1.0
2010-03-16,51.1,51.54,50.88,51.31,45.5117,611137,0.0,1.0
2010-03-17,51.82,51.96,51.53,51.74,45.8932,656179,0.0,1.0
2010-03-18,51.69,51.84,51.18,51.65,45.8133,1078360,0.0,1.0
2010-03-19,51.8,51.81,51.2,51.45,45.6359,609013,0.0,1.0
2010-03-22,50.57,51.8399,50.57,51.66,45.8222,349129,0.0,1.0
2010-03-23,51.75,52.0699,51.41,51.92,46.0528,420565,0.0,1.0
2010-03-24,50.52,51.0,50.29,50.66,44.9352,288652,0.0,1.0
2010-03-25,50.55,50.8,50.15,50.17,44.5006,243152,0.0,1.0
2010-03-26,50.34,50.6005,50.07,50.32,44.6336,234010,0.0,1.0
2010-03-29,50.54,51.03,50.53,50.69,44.9618,214236,0.0,1.0
2010-03-30,51.04,51.07,50.34,50.75,45.015,327498,0.0,1.0
2010-03-31,50.14,50.59,50.0,50.45,44.7489,312431,0.0,1.0
2010-04-01,50.68,51.05,50.49,50.84,45.0949,194140,0.0,1.0
2010-04-05,51.66,51.66,50.75,50.82,45.0771,149665,0.0,1.0
2010-04-06,50.7,51.18,50.65,51.13,45.3521,168037,0.0,1.0
2010-04-07,50.92,51.21,50.76,50.84,45.0949,123520,0.0,1.0
2010-04-08,50.55,51.23,50.39,51.17,45.3876,202309,0.0,1.0
2010-04-09,51.2,52.02,51.19,51.95,46.0794,466919,0.0,1.0
2010-04-12,52.26,52.63,52.12,52.35,46.4342,210717,0.0,1.0
