timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,15.38,15.38,15.0,15.12,1.7997,5400,0.0,1.0
2000-01-04,14.88,14.94,14.75,14.94,1.7783,1100,0.0,1.0
2000-01-05,15.0,15.13,14.88,14.94,1.7783,20900,0.0,1.0
2000-01-06,15.0,15.0,14.75,14.81,1.7628,2600,0.0,1.0
2000-01-07,14.75,14.81,14.63,14.75,1.7557,3000,0.0,1.0
2000-01-10,14.75,14.75,14.44,14.69,1.7485,1200,0.0,1.0
2000-01-11,14.69,14.69,14.69,14.69,1.7485,0,0.0,1.0
2000-01-12,14.88,14.88,14.88,14.88,1.7711,1000,0.0,1.0
2000-01-13,14.81,15.0,14.81,15.0,1.7854,2100,0.0,1.0
2000-01-14,15.13,15.56,15.13,15.56,1.8521,8800,0.0,1.0
2000-01-18,15.5,15.75,15.25,15.31,1.8223,7500,0.0,1.0
2000-01-19,15.5,15.5,14.75,14.94,1.7783,7000,0.0,1.0
2000-01-20,14.75,14.75,14.06,14.44,1.7188,4000,0.0,1.0
2000-01-21,14.25,14.38,13.69,13.75,1.6366,7700,0.0,1.0
2000-01-24,13.88,14.13,13.75,14.06,1.6735,14300,0.0,1.0
2000-01-25,14.06,14.25,14.0,14.0,1.6664,17100,0.0,1.0
2000-01-26,14.0,14.0,12.75,13.13,1.5628,8800,0.0,1.0
2000-01-27,12.94,13.25,12.81,13.13,1.5628,7500,0.0,1.0
2000-01-28,13.0,13.88,13.0,13.88,1.6521,4100,0.0,1.0
2000-01-31,14.0,14.25,14.0,14.0,1.6664,8300,0.0,1.0
2000-02-01,13.94,14.06,13.94,14.0,1.6664,3900,0.0,1.0
2000-02-02,14.0,14.0,14.0,14.0,1.6664,10400,0.0,1.0
2000-02-03,13.94,14.25,13.94,14.06,1.6735,12900,0.0,1.0
2000-02-04,13.94,14.31,13.63,14.06,1.6735,7500,0.0,1.0
2000-02-07,14.0,14.06,13.88,14.06,1.6735,4300,0.0,1.0
2000-02-08,14.06,14.13,13.63,13.63,1.6223,3300,0.0,1.0
2000-02-09,13.75,14.0,13.69,14.0,1.6664,1700,0.0,1.0
2000-02-10,13.94,13.94,13.56,13.56,1.614,3400,0.0,1.0
2000-02-11,13.75,13.88,13.75,13.75,1.6366,1400,0.0,1.0
2000-02-14,13.63,13.81,13.63,13.81,1.6438,1600,0.0,1.0
2000-02-15,13.63,13.63,12.94,12.94,1.5402,14900,0.0,1.0
2000-02-16,12.94,13.31,12.94,13.19,1.57,1700,0.0,1.0
2000-02-17,13.31,13.31,13.19,13.25,1.5771,1100,0.0,1.0
2000-02-18,13.31,13.38,13.25,13.31,1.5843,1300,0.0,1.0
2000-02-22,13.38,13.56,13.19,13.25,1.5771,9600,0.0,1.0
2000-02-23,13.25,13.25,13.0,13.0,1.5474,11900,0.0,1.0
2000-02-24,13.0,13.13,12.38,12.38,1.4736,18300,0.0,1.0
2000-02-25,12.56,12.75,12.25,12.38,1.4736,4000,0.0,1.0
2000-02-28,12.5,13.38,12.5,12.94,1.5402,17800,0.0,1.0
2000-02-29,12.75,12.88,12.75,12.75,1.5176,10900,0.0,1.0
2000-03-01,12.56,12.56,11.56,11.63,1.3843,16400,0.0,1.0
2000-03-02,11.75,12.38,11.75,12.0,1.4283,40500,0.0,1.0
2000-03-03,11.88,12.5,11.88,12.5,1.4878,17800,0.0,1.0
2000-03-06,12.31,12.31,11.13,11.56,1.376,11700,0.0,1.0
2000-03-07,11.56,12.13,11.5,11.94,1.4212,15700,0.0,1.0
2000-03-08,12.0,12.38,12.0,12.13,1.4438,6400,0.0,1.0
2000-03-09,12.25,12.38,12.0,12.38,1.4736,2000,0.0,1.0
2000-03-10,12.44,12.44,12.06,12.19,1.4509,2100,0.0,1.0
2000-03-13,12.38,12.38,12.0,12.0,1.4283,4800,0.0,1.0
2000-03-14,11.81,12.0,11.75,11.75,1.3986,2200,0.0,1.0
2000-03-15,11.75,11.94,11.75,11.94,1.4212,2400,0.0,1.0
2000-03-16,12.0,12.25,11.88,11.88,1.414,8600,0.0,1.0
2000-03-17,11.75,11.75,11.63,11.75,1.3986,2800,0.0,1.0
2000-03-20,11.63,11.88,11.63,11.88,1.414,4400,0.0,1.0
2000-03-21,12.0,12.25,11.88,11.98,1.426,13100,0.0,1.0
2000-03-22,12.19,12.19,12.0,12.0,1.4283,2100,0.0,1.0
2000-03-23,12.0,12.05,12.0,12.05,1.4343,14600,0.0,1.0
2000-03-24,12.13,12.13,11.75,11.75,1.3986,6300,0.0,1.0
2000-03-27,11.75,11.81,11.63,11.63,1.3843,8500,0.0,1.0
2000-03-28,11.56,11.69,11.56,11.69,1.3914,52400,0.0,1.0
2000-03-29,11.63,11.63,11.38,11.38,1.3694,17400,0.125,1.0
2000-03-30,11.25,11.25,10.88,11.13,1.3393,41500,0.0,1.0
2000-03-31,11.25,11.25,10.38,10.38,1.2491,24500,0.0,1.0
2000-04-03,10.5,10.5,10.19,10.31,1.2407,4400,0.0,1.0
2000-04-04,10.5,10.63,10.44,10.63,1.2792,7800,0.0,1.0
2000-04-05,10.75,11.25,10.75,11.19,1.3465,13700,0.0,1.0
2000-04-06,11.31,11.88,11.31,11.88,1.4296,2300,0.0,1.0
2000-04-07,11.94,12.0,11.31,11.56,1.3911,4500,0.0,1.0
2000-04-10,11.5,11.62,11.5,11.62,1.3983,12400,0.0,1.0
2000-04-11,11.75,11.75,11.5,11.75,1.4139,6300,0.0,1.0
2000-04-12,11.88,12.0,11.75,11.94,1.4368,4400,0.0,1.0
2000-04-13,12.5,12.5,11.88,12.0,1.444,13000,0.0,1.0
2000-04-14,12.13,12.13,11.94,12.0,1.444,2900,0.0,1.0
2000-04-17,12.13,12.25,11.69,12.25,1.4741,15200,0.0,1.0
2000-04-18,12.38,12.63,12.13,12.63,1.5198,6800,0.0,1.0
2000-04-19,12.63,12.75,11.75,12.0,1.444,173000,0.0,1.0
2000-04-20,12.0,12.0,11.0,11.13,1.3393,116800,0.0,1.0
2000-04-24,11.0,11.13,11.0,11.13,1.3393,7200,0.0,1.0
2000-04-25,11.0,11.44,11.0,11.44,1.3766,800,0.0,1.0
2000-04-26,11.5,11.5,11.25,11.44,1.3766,7200,0.0,1.0
2000-04-27,11.31,11.56,11.31,11.56,1.3911,5100,0.0,1.0
2000-04-28,11.69,12.69,11.69,12.38,1.4897,6500,0.0,1.0
2000-05-01,12.5,12.63,12.44,12.5,1.5042,59500,0.0,1.0
2000-05-02,12.5,13.0,12.5,12.88,1.5499,257700,0.0,1.0
2000-05-03,12.63,12.63,12.56,12.56,1.5114,151300,0.0,1.0
2000-05-04,12.88,12.88,12.63,12.75,1.5343,5600,0.0,1.0
2000-05-05,12.69,13.13,12.69,13.13,1.58,1600,0.0,1.0
2000-05-08,13.13,13.25,13.13,13.13,1.58,1300,0.0,1.0
2000-05-09,13.25,13.38,13.13,13.31,1.6017,1900,0.0,1.0
2000-05-10,13.25,13.25,13.19,13.25,1.5944,900,0.0,1.0
2000-05-11,13.38,13.44,13.38,13.38,1.6101,3000,0.0,1.0
2000-05-12,13.38,14.13,13.38,14.13,1.7003,11800,0.0,1.0
2000-05-15,14.81,15.38,14.81,15.0,1.805,17300,0.0,1.0
2000-05-16,15.25,15.25,14.81,14.88,1.7906,5400,0.0,1.0
2000-05-17,14.94,14.94,14.19,14.25,1.7148,7300,0.0,1.0
2000-05-18,14.25,14.25,13.63,13.94,1.6775,6300,0.0,1.0
2000-05-19,14.0,14.19,14.0,14.13,1.7003,1100,0.0,1.0
2000-05-22,14.13,14.31,14.13,14.31,1.722,1900,0.0,1.0
2000-05-23,14.25,14.25,13.88,13.88,1.6702,1300,0.0,1.0
2000-05-24,13.75,14.13,13.75,14.13,1.7003,1300,0.0,1.0
2000-05-25,13.88,13.88,13.88,13.88,1.6702,400,0.0,1.0
2000-05-26,14.0,14.0,13.5,13.5,1.6245,4200,0.0,1.0
2000-05-30,13.5,13.94,13.5,13.94,1.6775,7500,0.0,1.0
2000-05-31,13.75,13.75,13.75,13.75,1.6546,1900,0.0,1.0
2000-06-01,13.94,14.25,13.94,14.25,1.7148,1900,0.0,1.0
2000-06-02,14.38,14.5,14.06,14.38,1.7304,13400,0.0,1.0
2000-06-05,14.25,14.25,13.88,13.88,1.6702,2900,0.0,1.0
2000-06-06,13.88,14.13,13.88,14.13,1.7003,900,0.0,1.0
2000-06-07,14.25,14.25,14.0,14.0,1.6847,1200,0.0,1.0
2000-06-08,13.88,13.88,13.81,13.81,1.6618,2100,0.0,1.0
2000-06-09,13.69,13.94,13.69,13.94,1.6775,800,0.0,1.0
2000-06-12,13.88,13.94,13.75,13.75,1.6546,3300,0.0,1.0
2000-06-13,13.69,13.69,13.38,13.38,1.6101,5300,0.0,1.0
2000-06-14,13.38,13.44,13.25,13.25,1.5944,3800,0.0,1.0
2000-06-15,13.13,13.13,12.88,12.88,1.5499,3200,0.0,1.0
2000-06-16,12.88,13.0,12.63,12.81,1.5415,10100,0.0,1.0
2000-06-19,12.75,12.94,12.75,12.81,1.5415,1200,0.0,1.0
2000-06-20,12.69,12.69,12.69,12.69,1.5271,1000,0.0,1.0
2000-06-21,12.63,12.75,12.44,12.75,1.5343,10800,0.0,1.0
2000-06-22,12.56,12.56,12.0,12.0,1.444,7200,0.0,1.0
2000-06-23,11.88,11.88,11.75,11.88,1.4296,2300,0.0,1.0
2000-06-26,11.88,12.0,11.88,12.0,1.444,900,0.0,1.0
2000-06-27,12.19,12.19,12.13,12.13,1.4597,9100,0.0,1.0
2000-06-28,12.13,12.13,12.06,12.06,1.4663,900,0.125,1.0
2000-06-29,12.13,12.38,11.88,11.88,1.4444,4900,0.0,1.0
2000-06-30,12.0,12.5,12.0,12.25,1.4894,4100,0.0,1.0
2000-07-03,12.25,12.25,12.25,12.25,1.4894,0,0.0,1.0
2000-07-05,12.13,12.25,12.0,12.25,1.4894,1800,0.0,1.0
2000-07-06,12.0,12.0,11.75,12.0,1.459,3900,0.0,1.0
2000-07-07,12.06,12.19,12.0,12.19,1.4821,1200,0.0,1.0
2000-07-10,12.38,12.38,12.0,12.0,1.459,1000,0.0,1.0
2000-07-11,12.06,12.38,12.06,12.38,1.5052,1200,0.0,1.0
2000-07-12,12.31,13.25,12.31,13.0,1.5806,7200,0.0,1.0
2000-07-13,13.0,13.13,12.63,12.63,1.5356,4900,0.0,1.0
2000-07-14,12.69,12.75,12.69,12.75,1.5502,1500,0.0,1.0
2000-07-17,12.63,12.63,12.25,12.25,1.4894,4700,0.0,1.0
2000-07-18,12.13,12.19,12.13,12.19,1.4821,3400,0.0,1.0
2000-07-19,12.38,12.38,12.0,12.0,1.459,6600,0.0,1.0
2000-07-20,11.88,11.88,11.63,11.63,1.414,3700,0.0,1.0
2000-07-21,11.63,11.75,11.56,11.75,1.4286,2300,0.0,1.0
2000-07-24,11.94,12.0,11.75,11.88,1.4444,2300,0.0,1.0
2000-07-25,11.88,12.69,11.88,12.25,1.4894,11300,0.0,1.0
2000-07-26,12.25,12.69,12.25,12.69,1.5429,2400,0.0,1.0
2000-07-27,12.56,12.56,12.13,12.13,1.4748,1500,0.0,1.0
2000-07-28,12.13,12.13,11.75,12.13,1.4748,3600,0.0,1.0
2000-07-31,12.0,12.0,12.0,12.0,1.459,2000,0.0,1.0
2000-08-01,11.88,11.88,11.75,11.75,1.4286,1800,0.0,1.0
2000-08-02,12.0,12.13,12.0,12.0,1.459,5300,0.0,1.0
2000-08-03,12.0,12.0,12.0,12.0,1.459,6900,0.0,1.0
2000-08-04,12.0,12.0,12.0,12.0,1.459,700,0.0,1.0
2000-08-07,12.13,12.13,12.06,12.06,1.4663,1800,0.0,1.0
2000-08-08,12.06,12.25,11.88,12.13,1.4748,5800,0.0,1.0
2000-08-09,12.12,12.12,12.12,12.12,1.4736,0,0.0,1.0
2000-08-10,12.13,12.13,12.0,12.0,1.459,2900,0.0,1.0
2000-08-11,11.94,11.94,11.94,11.94,1.4517,300,0.0,1.0
2000-08-14,11.94,11.94,11.94,11.94,1.4517,600,0.0,1.0
2000-08-15,11.88,12.0,11.88,12.0,1.459,1700,0.0,1.0
2000-08-16,12.0,12.25,11.88,12.25,1.4894,5500,0.0,1.0
2000-08-17,12.63,12.81,12.31,12.81,1.5575,3500,0.0,1.0
2000-08-18,12.69,12.81,12.56,12.75,1.5502,2600,0.0,1.0
2000-08-21,12.63,13.38,12.63,13.31,1.6183,3300,0.0,1.0
2000-08-22,13.19,13.38,13.06,13.31,1.6183,7400,0.0,1.0
2000-08-23,13.44,13.88,13.44,13.88,1.6876,3600,0.0,1.0
2000-08-24,14.0,14.31,14.0,14.31,1.7398,7300,0.0,1.0
2000-08-25,14.44,14.44,13.13,13.13,1.5964,25000,0.0,1.0
2000-08-28,13.75,13.75,12.63,12.63,1.5356,49800,0.0,1.0
2000-08-29,12.88,12.88,11.88,11.94,1.4517,22200,0.0,1.0
2000-08-30,12.06,12.63,12.06,12.38,1.5052,33500,0.0,1.0
2000-08-31,12.5,13.13,12.5,13.0,1.5806,45200,0.0,1.0
2000-09-01,13.13,14.13,13.0,13.75,1.6718,45800,0.0,1.0
2000-09-05,13.63,13.94,13.63,13.75,1.6718,9000,0.0,1.0
2000-09-06,13.63,13.81,13.5,13.5,1.6414,19200,0.0,1.0
2000-09-07,13.56,13.56,13.25,13.31,1.6183,15400,0.0,1.0
2000-09-08,13.25,13.38,13.13,13.31,1.6183,74200,0.0,1.0
2000-09-11,13.38,13.5,13.25,13.5,1.6414,45800,0.0,1.0
2000-09-12,13.63,13.63,13.25,13.38,1.6268,32400,0.0,1.0
2000-09-13,13.5,13.88,13.5,13.88,1.6876,10200,0.0,1.0
2000-09-14,13.75,13.88,13.75,13.88,1.6876,5300,0.0,1.0
2000-09-15,14.0,14.44,13.88,14.44,1.7556,26100,0.0,1.0
2000-09-18,14.5,14.5,14.25,14.31,1.7398,19000,0.0,1.0
2000-09-19,14.19,14.44,14.19,14.44,1.7556,2000,0.0,1.0
2000-09-20,14.5,15.25,14.5,15.25,1.8541,21200,0.0,1.0
2000-09-21,15.13,15.25,14.75,15.0,1.8237,10400,0.0,1.0
2000-09-22,14.88,15.06,14.81,15.0,1.8237,8800,0.0,1.0
2000-09-25,15.13,15.13,14.75,14.75,1.7933,5400,0.0,1.0
2000-09-26,14.88,15.0,14.13,14.13,1.718,7200,0.0,1.0
2000-09-27,14.0,14.0,13.38,13.75,1.687,23100,0.125,1.0
2000-09-28,13.69,13.69,13.31,13.56,1.6636,4500,0.0,1.0
2000-09-29,13.5,13.56,13.25,13.25,1.6256,2100,0.0,1.0
2000-10-02,13.38,13.38,13.0,13.06,1.6023,29900,0.0,1.0
2000-10-03,13.13,13.63,13.13,13.56,1.6636,23900,0.0,1.0
2000-10-04,13.69,14.13,13.63,14.13,1.7336,2500,0.0,1.0
