timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,1.62,1.75,1.62,1.75,262.5,3000,0.0,1.0
2000-01-04,1.69,1.69,1.69,1.69,253.5,3000,0.0,1.0
2000-01-05,1.62,1.62,1.62,1.62,243.0,0,0.0,1.0
2000-01-06,2.0,2.87,2.0,2.5,375.0,21000,0.0,1.0
2000-01-07,2.5,3.5,2.5,3.12,468.0,9000,0.0,1.0
2000-01-10,3.5,3.75,3.0,3.75,562.5,9000,0.0,1.0
2000-01-11,3.75,3.75,3.25,3.25,487.5,18000,0.0,1.0
2000-01-12,3.25,3.5,3.25,3.5,525.0,0,0.0,1.0
2000-01-13,3.25,3.25,3.0,3.0,450.0,6000,0.0,1.0
2000-01-14,3.0,3.0,3.0,3.0,450.0,0,0.0,1.0
2000-01-18,3.25,3.25,3.0,3.25,487.5,6000,0.0,1.0
2000-01-19,3.25,3.25,3.25,3.25,487.5,0,0.0,1.0
2000-01-20,3.06,3.06,3.06,3.06,459.0,0,0.0,1.0
2000-01-21,3.06,3.06,3.06,3.06,459.0,0,0.0,1.0
2000-01-24,2.62,2.87,2.62,2.87,430.5,3000,0.0,1.0
2000-01-25,2.62,2.62,2.5,2.62,393.0,3000,0.0,1.0
2000-01-26,2.37,2.37,2.37,2.37,355.5,0,0.0,1.0
2000-01-27,2.37,2.5,2.0,2.0,300.0,3000,0.0,1.0
2000-01-28,2.37,2.37,2.37,2.37,355.5,0,0.0,1.0
2000-01-31,2.25,2.37,2.25,2.37,355.5,3000,0.0,1.0
2000-02-01,2.37,2.37,2.37,2.37,355.5,0,0.0,1.0
2000-02-02,2.25,2.5,2.25,2.25,337.5,3000,0.0,1.0
2000-02-03,2.5,2.75,2.5,2.75,412.5,3000,0.0,1.0
2000-02-04,2.75,2.75,2.75,2.75,412.5,0,0.0,1.0
2000-02-07,2.37,2.73,2.37,2.73,409.5,0,0.0,1.0
2000-02-08,2.37,2.37,2.37,2.37,355.5,0,0.0,1.0
2000-02-09,2.5,2.5,2.37,2.5,375.0,9000,0.0,1.0
2000-02-10,2.5,2.5,2.5,2.5,375.0,0,0.0,1.0
2000-02-11,2.37,2.75,2.37,2.75,412.5,3000,0.0,1.0
2000-02-14,2.62,2.62,2.62,2.62,393.0,0,0.0,1.0
2000-02-15,2.62,2.87,2.62,2.87,430.5,6000,0.0,1.0
2000-02-16,3.0,3.0,2.87,2.87,430.5,0,0.0,1.0
2000-02-17,2.87,2.97,2.75,2.94,441.0,6000,0.0,1.0
2000-02-18,2.94,2.94,2.94,2.94,441.0,0,0.0,1.0
2000-02-22,2.94,2.94,2.62,2.75,412.5,9000,0.0,1.0
2000-02-23,2.75,2.75,2.75,2.75,412.5,0,0.0,1.0
2000-02-24,2.75,2.75,2.75,2.75,412.5,0,0.0,1.0
2000-02-25,2.69,2.69,2.69,2.69,403.5,0,0.0,1.0
2000-02-28,2.69,2.75,2.69,2.75,412.5,0,0.0,1.0
2000-02-29,2.75,2.75,2.75,2.75,412.5,0,0.0,1.0
2000-03-01,2.69,2.75,2.69,2.75,412.5,0,0.0,1.0
2000-03-02,2.94,2.94,2.94,2.94,441.0,0,0.0,1.0
2000-03-03,2.87,2.87,2.87,2.87,430.5,0,0.0,1.0
2000-03-06,2.87,2.87,2.87,2.87,430.5,0,0.0,1.0
2000-03-07,2.87,3.0,2.87,3.0,450.0,0,0.0,1.0
2000-03-08,3.25,3.5,3.12,3.5,525.0,27000,0.0,1.0
2000-03-09,3.12,3.5,3.12,3.12,468.0,3000,0.0,1.0
2000-03-10,3.5,3.5,3.12,3.12,468.0,0,0.0,1.0
2000-03-13,3.12,3.12,3.12,3.12,468.0,0,0.0,1.0
