timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,4.56,4.56,4.56,4.56,2.476,400,0.0,1.0
2000-01-04,4.5,4.5,4.313,4.313,2.3419,300,0.0,1.0
2000-01-05,4.625,4.625,4.625,4.625,2.5113,1800,0.0,1.0
2000-01-06,4.75,4.75,4.5,4.625,2.5113,5700,0.0,1.0
2000-01-07,4.75,4.875,4.625,4.625,2.5113,13000,0.0,1.0
2000-01-10,4.5,4.813,4.5,4.813,2.6134,22400,0.0,1.0
2000-01-11,4.688,4.688,3.75,3.75,2.0362,133200,0.0,1.0
2000-01-12,3.875,3.938,3.813,3.875,2.104,11200,0.0,1.0
2000-01-13,3.875,3.875,3.75,3.75,2.0362,7900,0.0,1.0
2000-01-14,3.75,4.0,3.5,3.938,2.1383,13400,0.0,1.0
2000-01-18,3.813,3.875,3.75,3.875,2.104,65600,0.0,1.0
2000-01-19,3.875,3.875,3.688,3.75,2.0362,9300,0.0,1.0
2000-01-20,3.688,3.938,3.688,3.75,2.0362,5400,0.0,1.0
2000-01-21,3.75,3.813,3.75,3.75,2.0362,17600,0.0,1.0
2000-01-24,3.75,3.75,3.563,3.625,1.9683,37100,0.0,1.0
2000-01-25,3.625,3.625,3.5,3.5,1.9004,49500,0.0,1.0
2000-01-26,3.5,3.563,3.375,3.375,1.8326,17800,0.0,1.0
2000-01-27,3.438,3.438,3.375,3.375,1.8326,22700,0.0,1.0
2000-01-28,3.313,3.313,3.125,3.125,1.6968,34900,0.0,1.0
2000-01-31,3.125,3.188,3.125,3.188,1.731,2300,0.0,1.0
2000-02-01,3.188,3.313,3.125,3.313,1.7989,23600,0.0,1.0
2000-02-02,3.313,3.313,3.125,3.125,1.6968,100200,0.0,1.0
2000-02-03,3.188,3.188,3.0,3.0,1.6289,69300,0.0,1.0
2000-02-04,3.0,3.0,2.125,2.75,1.4932,86900,0.0,1.0
2000-02-07,2.813,2.938,2.75,2.813,1.5274,18200,0.0,1.0
2000-02-08,2.938,3.0,2.813,2.938,1.5953,29800,0.0,1.0
2000-02-09,3.0,3.063,2.938,3.0,1.6289,10100,0.0,1.0
2000-02-10,2.75,2.875,2.75,2.75,1.4932,10200,0.0,1.0
2000-02-11,2.875,2.875,2.688,2.688,1.4595,38400,0.0,1.0
2000-02-14,2.688,2.688,2.688,2.688,1.4595,99500,0.0,1.0
2000-02-15,2.75,2.75,2.75,2.75,1.4932,2500,0.0,1.0
2000-02-16,2.75,3.25,2.75,3.0,1.6289,89800,0.0,1.0
2000-02-17,3.0,3.0,3.0,3.0,1.6289,115700,0.0,1.0
2000-02-18,3.0,3.0,3.0,3.0,1.6289,0,0.0,1.0
2000-02-22,2.938,2.938,2.875,2.875,1.5611,4300,0.0,1.0
2000-02-23,3.0,3.0,2.875,2.875,1.5611,17500,0.0,1.0
2000-02-24,2.88,2.88,2.88,2.88,1.5638,0,0.0,1.0
2000-02-25,2.938,3.0,2.938,2.938,1.5953,1700,0.0,1.0
2000-02-28,3.063,3.063,2.875,3.0,1.6289,51200,0.0,1.0
2000-02-29,3.0,3.0,3.0,3.0,1.6289,18200,0.0,1.0
2000-03-01,3.0,3.0,2.688,2.75,1.4932,9100,0.0,1.0
2000-03-02,2.563,3.0,2.563,3.0,1.6289,94000,0.0,1.0
2000-03-03,3.063,3.063,2.875,2.875,1.5611,7900,0.0,1.0
2000-03-06,2.938,3.0,2.938,3.0,1.6289,2500,0.0,1.0
2000-03-07,3.0,3.0,2.875,3.0,1.6289,19400,0.0,1.0
2000-03-08,3.0,3.0,3.0,3.0,1.6289,200,0.0,1.0
2000-03-09,2.938,2.938,2.938,2.938,1.5953,200,0.0,1.0
2000-03-10,2.875,2.875,2.5,2.563,1.3917,32700,0.0,1.0
2000-03-13,2.688,2.688,2.625,2.625,1.4253,3600,0.0,1.0
2000-03-14,2.625,2.688,2.563,2.625,1.4253,8000,0.0,1.0
2000-03-15,2.563,2.625,2.5,2.625,1.4253,50500,0.0,1.0
2000-03-16,2.688,2.688,2.625,2.625,1.4253,6000,0.0,1.0
2000-03-17,2.625,2.625,2.313,2.375,1.2896,85300,0.0,1.0
2000-03-20,2.438,2.5,2.313,2.313,1.2559,12500,0.0,1.0
2000-03-21,2.375,2.563,2.375,2.5,1.3574,12300,0.0,1.0
2000-03-22,2.5,2.563,2.5,2.563,1.3917,4600,0.0,1.0
2000-03-23,2.5,2.563,2.313,2.438,1.3238,32900,0.0,1.0
2000-03-24,2.313,2.5,2.313,2.375,1.2896,7500,0.0,1.0
2000-03-27,2.5,2.563,2.375,2.438,1.3238,17100,0.0,1.0
2000-03-28,2.438,2.75,2.438,2.625,1.4253,68500,0.0,1.0
2000-03-29,2.688,2.688,2.625,2.688,1.4595,3600,0.0,1.0
2000-03-30,2.813,2.938,2.75,2.875,1.5611,98400,0.0,1.0
2000-03-31,2.813,2.938,2.813,2.875,1.5611,4600,0.0,1.0
2000-04-03,2.938,3.125,2.938,3.063,1.6631,34700,0.0,1.0
