timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-05-22,10.45,10.5,10.4,10.45,10.45,525936,0.0,1.0
2017-05-23,10.45,10.5,10.4,10.45,10.45,90894,0.0,1.0
2017-05-24,10.45,10.45,10.375,10.4,10.4,402372,0.0,1.0
2017-05-25,10.45,10.55,10.35,10.45,10.45,184540,0.0,1.0
2017-05-26,10.4,10.4,10.25,10.3,10.3,20548,0.0,1.0
2017-05-30,10.3,10.45,10.3,10.3,10.3,208583,0.0,1.0
2017-05-31,10.35,10.4,10.3,10.35,10.35,55438,0.0,1.0
2017-06-01,10.05,10.35,10.05,10.3,10.3,21247,0.0,1.0
2017-06-02,10.35,10.45,10.25,10.25,10.25,8162,0.0,1.0
2017-06-05,10.25,10.3,10.2,10.25,10.25,13918,0.0,1.0
2017-06-06,10.3,10.35,10.2,10.3,10.3,523949,0.0,1.0
2017-06-07,10.3,10.35,10.05,10.15,10.15,527775,0.0,1.0
2017-06-08,10.25,10.25,10.15,10.15,10.15,116738,0.0,1.0
2017-06-09,10.15,10.225,10.15,10.15,10.15,362317,0.0,1.0
2017-06-12,10.25,10.25,10.1,10.1,10.1,168524,0.0,1.0
2017-06-13,10.1,10.2,10.1,10.15,10.15,15714,0.0,1.0
2017-06-14,10.2,10.25,10.1,10.1,10.1,226665,0.0,1.0
2017-06-15,10.15,10.2,10.15,10.2,10.2,213381,0.0,1.0
2017-06-16,10.2,10.2,10.15,10.2,10.2,45108,0.0,1.0
2017-06-19,10.2,10.2,10.15,10.175,10.175,312923,0.0,1.0
2017-06-20,10.15,10.15,10.1,10.15,10.15,103447,0.0,1.0
2017-06-21,10.15,10.15,10.1,10.15,10.15,322558,0.0,1.0
2017-06-22,10.15,10.15,10.05,10.05,10.05,678018,0.0,1.0
2017-06-23,10.1,10.1,10.04,10.05,10.05,72502,0.0,1.0
2017-06-26,10.1,10.1,10.0,10.0,10.0,951446,0.0,1.0
2017-06-27,10.0,10.05,10.0,10.0,10.0,419723,0.0,1.0
2017-06-28,10.05,10.1,9.95,9.95,9.95,867836,0.0,1.0
2017-06-29,10.05,10.1,9.9,10.0,10.0,315851,0.0,1.0
2017-06-30,10.05,10.36,10.002,10.29,10.29,1433087,0.0,1.0
