timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,2.31,2.44,2.25,2.25,2.2394,2100,0.0,1.0
2000-01-04,2.19,2.31,2.06,2.19,2.1797,5900,0.0,1.0
2000-01-05,2.0,2.06,2.0,2.0,1.9906,2900,0.0,1.0
2000-01-06,2.12,2.12,2.0,2.0,1.9906,700,0.0,1.0
2000-01-07,2.12,2.12,2.0,2.0,1.9906,2400,0.0,1.0
2000-01-10,2.0,2.38,2.0,2.38,2.3688,15100,0.0,1.0
2000-01-11,2.44,2.44,2.44,2.44,2.4285,3100,0.0,1.0
2000-01-12,2.38,2.38,2.25,2.25,2.2394,4400,0.0,1.0
2000-01-13,2.25,2.31,2.25,2.31,2.2992,1500,0.0,1.0
2000-01-14,2.31,2.44,2.31,2.38,2.3688,4300,0.0,1.0
2000-01-18,2.44,2.5,2.44,2.44,2.4285,2500,0.0,1.0
2000-01-19,2.5,2.5,2.5,2.5,2.4883,5500,0.0,1.0
2000-01-20,2.5,2.62,2.5,2.56,2.548,10000,0.0,1.0
2000-01-21,2.5,2.5,2.25,2.38,2.3688,5900,0.0,1.0
2000-01-24,2.38,2.38,2.12,2.12,2.1101,5700,0.0,1.0
2000-01-25,2.12,2.25,2.12,2.12,2.1101,7200,0.0,1.0
2000-01-26,2.06,2.06,2.06,2.06,2.0503,600,0.0,1.0
2000-01-27,2.0,2.0,2.0,2.0,1.9906,2800,0.0,1.0
2000-01-28,1.94,2.0,1.94,2.0,1.9906,5500,0.0,1.0
2000-01-31,1.88,1.88,1.88,1.88,1.8712,2100,0.0,1.0
2000-02-01,2.0,2.38,2.0,2.38,2.3688,12100,0.0,1.0
2000-02-02,2.38,2.38,2.0,2.0,1.9906,13600,0.0,1.0
2000-02-03,2.12,2.12,1.94,1.94,1.9309,7800,0.0,1.0
2000-02-04,2.0,2.0,1.94,1.94,1.9309,1200,0.0,1.0
2000-02-07,1.94,2.06,1.88,2.06,2.0503,9400,0.0,1.0
2000-02-08,2.12,2.25,2.12,2.25,2.2394,6200,0.0,1.0
2000-02-09,2.38,2.38,2.38,2.38,2.3688,5800,0.0,1.0
2000-02-10,2.44,2.44,2.38,2.38,2.3688,2900,0.0,1.0
2000-02-11,2.31,2.44,2.31,2.38,2.3688,3100,0.0,1.0
2000-02-14,2.25,2.25,2.25,2.25,2.2394,3500,0.0,1.0
2000-02-15,2.25,2.25,2.25,2.25,2.2394,0,0.0,1.0
2000-02-16,2.31,2.31,2.19,2.19,2.1797,3000,0.0,1.0
2000-02-17,2.12,2.12,2.06,2.12,2.1101,8500,0.0,1.0
2000-02-18,2.06,2.06,1.75,1.94,1.9309,21300,0.0,1.0
2000-02-22,2.0,2.0,1.94,2.0,1.9906,6200,0.0,1.0
2000-02-23,1.88,1.94,1.88,1.94,1.9309,3100,0.0,1.0
2000-02-24,1.94,1.94,1.94,1.94,1.9309,10900,0.0,1.0
2000-02-25,1.88,2.0,1.88,2.0,1.9906,8400,0.0,1.0
2000-02-28,2.0,2.0,2.0,2.0,1.9906,0,0.0,1.0
2000-02-29,2.0,2.0,1.88,1.94,1.9309,5700,0.0,1.0
