timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,16.06,16.06,14.62,14.81,1.1433,108867,0.0,1.0
2000-01-04,14.69,14.69,14.31,14.38,1.1101,27867,0.0,1.0
2000-01-05,14.25,14.63,14.25,14.63,1.1294,30267,0.0,1.0
2000-01-06,14.56,15.25,14.5,14.94,1.1533,44867,0.0,1.0
2000-01-07,14.94,15.56,14.94,15.56,1.2012,32400,0.0,1.0
2000-01-10,15.69,15.88,15.0,15.0,1.158,63867,0.0,1.0
2000-01-11,14.94,14.94,14.44,14.44,1.1147,60267,0.0,1.0
2000-01-12,14.44,14.44,14.19,14.19,1.0954,45600,0.0,1.0
2000-01-13,14.25,14.25,14.06,14.25,1.1001,161667,0.0,1.0
2000-01-14,14.25,14.5,14.19,14.5,1.1194,91667,0.0,1.0
2000-01-18,14.5,15.5,14.5,15.25,1.1773,163067,0.0,1.0
2000-01-19,15.31,15.5,15.06,15.19,1.1726,223600,0.0,1.0
2000-01-20,15.13,15.25,15.0,15.25,1.1773,124467,0.0,1.0
2000-01-21,15.0,15.69,15.0,15.31,1.1819,110067,0.0,1.0
2000-01-24,15.31,15.38,14.75,14.75,1.1387,73867,0.0,1.0
2000-01-25,14.75,14.88,14.63,14.75,1.1387,37867,0.0,1.0
2000-01-26,14.88,16.69,14.88,15.75,1.2159,153267,0.0,1.0
2000-01-27,15.75,15.81,15.0,15.06,1.1626,65667,0.0,1.0
2000-01-28,15.0,15.19,14.88,15.0,1.158,65000,0.0,1.0
2000-01-31,14.94,15.0,14.38,14.75,1.1387,42267,0.0,1.0
2000-02-01,14.88,15.38,14.88,15.31,1.1819,56867,0.0,1.0
2000-02-02,15.38,15.44,15.06,15.31,1.1819,29800,0.0,1.0
2000-02-03,15.44,15.94,15.44,15.75,1.2159,72467,0.0,1.0
2000-02-04,15.69,15.88,15.69,15.69,1.2112,111067,0.0,1.0
2000-02-07,15.69,15.81,15.5,15.69,1.2112,26667,0.0,1.0
2000-02-08,15.44,15.69,15.31,15.38,1.1873,50200,0.0,1.0
2000-02-09,15.25,15.44,15.19,15.19,1.1757,23467,0.04,1.0
2000-02-10,15.19,15.56,14.88,15.56,1.2044,84067,0.0,1.0
2000-02-11,15.56,15.56,15.25,15.25,1.1804,26400,0.0,1.0
2000-02-14,15.31,15.38,15.06,15.13,1.1711,51067,0.0,1.0
2000-02-15,15.19,15.38,15.0,15.19,1.1757,153467,0.0,1.0
2000-02-16,15.25,15.25,15.0,15.19,1.1757,137067,0.0,1.0
2000-02-17,15.13,15.19,14.75,14.88,1.1517,74667,0.0,1.0
2000-02-18,14.88,14.88,14.5,14.5,1.1223,46800,0.0,1.0
2000-02-22,14.5,14.63,14.13,14.31,1.1076,113400,0.0,1.0
2000-02-23,14.31,14.31,14.06,14.19,1.0983,32000,0.0,1.0
2000-02-24,14.13,14.75,14.13,14.44,1.1177,30000,0.0,1.0
2000-02-25,14.31,14.94,14.19,14.81,1.1463,111400,0.0,1.0
2000-02-28,14.38,15.06,14.19,15.06,1.1657,41800,0.0,1.0
2000-02-29,15.0,15.81,14.75,15.81,1.2237,50467,0.0,1.0
2000-03-01,15.81,16.25,15.81,16.25,1.2578,248400,0.0,1.0
2000-03-02,16.38,16.94,16.38,16.75,1.2965,122000,0.0,1.0
2000-03-03,16.81,17.19,16.81,16.94,1.3112,80400,0.0,1.0
2000-03-06,16.94,17.25,16.94,17.19,1.3305,410600,0.0,1.0
2000-03-07,17.25,18.19,17.06,17.88,1.3839,126667,0.0,1.0
2000-03-08,17.88,18.13,17.56,17.56,1.3592,367600,0.0,1.0
2000-03-09,17.5,17.5,17.0,17.25,1.3352,160267,0.0,1.0
2000-03-10,17.31,17.69,17.13,17.25,1.3352,239467,0.0,1.0
2000-03-13,17.13,17.75,17.13,17.44,1.3499,75200,0.0,1.0
2000-03-14,17.44,17.75,17.31,17.56,1.3592,64000,0.0,1.0
2000-03-15,17.44,17.53,17.0,17.06,1.3205,43800,0.0,1.0
2000-03-16,17.25,17.38,17.06,17.19,1.3305,99400,0.0,1.0
2000-03-17,17.0,17.38,17.0,17.25,1.3352,23800,0.0,1.0
2000-03-20,17.19,17.25,16.81,16.81,1.3011,62067,0.0,1.0
2000-03-21,16.88,17.56,16.81,17.44,1.3499,52400,0.0,1.0
2000-03-22,17.5,17.69,17.5,17.63,1.3646,82400,0.0,1.0
2000-03-23,17.69,17.75,17.31,17.31,1.3398,67667,0.0,1.0
2000-03-24,17.31,17.63,17.31,17.31,1.3398,36000,0.0,1.0
2000-03-27,17.31,17.31,16.69,16.88,1.3065,167600,0.0,1.0
2000-03-28,16.75,16.81,16.5,16.69,1.2918,104400,0.0,1.0
2000-03-29,16.25,17.5,16.25,17.5,1.3545,421400,0.0,1.0
2000-03-30,17.63,18.0,17.31,18.0,1.3932,117467,0.0,1.0
2000-03-31,18.0,18.44,17.88,18.06,1.3979,177600,0.0,1.0
2000-04-03,18.13,18.19,17.97,18.13,1.4033,62800,0.0,1.0
2000-04-04,18.25,18.25,16.75,16.75,1.2965,102000,0.0,1.0
2000-04-05,16.75,17.25,16.31,17.25,1.3352,114600,0.0,1.0
2000-04-06,17.38,17.81,17.38,17.5,1.3545,68067,0.0,1.0
2000-04-07,17.5,17.5,16.88,17.13,1.3259,57067,0.0,1.0
2000-04-10,17.25,17.25,16.88,16.88,1.3065,41000,0.0,1.0
2000-04-11,17.0,17.31,16.75,17.13,1.3259,60600,0.0,1.0
2000-04-12,18.0,18.0,17.25,17.88,1.3839,227800,0.0,1.0
2000-04-13,17.75,18.0,17.25,18.0,1.3932,254000,0.0,1.0
2000-04-14,18.0,18.0,16.56,17.5,1.3545,148467,0.0,1.0
2000-04-17,17.38,17.75,17.38,17.56,1.3592,92800,0.0,1.0
2000-04-18,17.69,18.19,17.69,17.88,1.3839,67067,0.0,1.0
2000-04-19,17.81,17.81,17.19,17.5,1.3545,117600,0.0,1.0
2000-04-20,17.5,18.0,17.38,17.94,1.3886,158467,0.0,1.0
2000-04-24,18.0,18.06,17.63,18.0,1.3932,141467,0.0,1.0
2000-04-25,18.0,18.69,18.0,18.69,1.4466,128400,0.0,1.0
2000-04-26,18.69,18.69,18.19,18.38,1.4226,124400,0.0,1.0
2000-04-27,18.31,19.13,18.13,18.81,1.4559,167467,0.0,1.0
2000-04-28,18.94,18.94,18.44,18.56,1.4366,103267,0.0,1.0
2000-05-01,18.44,19.63,18.44,19.19,1.4853,111667,0.0,1.0
2000-05-02,18.94,19.19,18.56,18.88,1.4613,166000,0.0,1.0
2000-05-03,18.69,18.75,18.38,18.44,1.4273,96467,0.0,1.0
2000-05-04,18.31,18.5,18.13,18.13,1.4033,105600,0.0,1.0
2000-05-05,18.13,18.38,18.0,18.38,1.4226,151400,0.0,1.0
2000-05-08,18.5,18.94,18.38,18.81,1.4559,244067,0.0,1.0
2000-05-09,18.88,20.0,18.75,19.88,1.5387,485400,0.0,1.0
2000-05-10,19.75,19.88,19.31,19.69,1.524,216867,0.0,1.0
2000-05-11,19.75,21.0,19.75,21.0,1.6254,254867,0.0,1.0
2000-05-12,21.25,21.38,20.38,20.75,1.6061,213600,0.0,1.0
2000-05-15,20.5,21.63,20.5,21.63,1.6742,217000,0.0,1.0
2000-05-16,22.0,22.75,21.0,21.69,1.6788,413067,0.0,1.0
2000-05-17,21.25,22.25,21.06,22.0,1.7059,213800,0.04,1.0
2000-05-18,23.0,23.13,21.5,22.69,1.7594,4054000,0.0,1.0
2000-05-19,22.69,22.69,22.0,22.19,1.7206,119267,0.0,1.0
2000-05-22,22.25,22.25,21.5,22.0,1.7059,179800,0.0,1.0
2000-05-23,21.94,22.69,21.88,22.06,1.7106,220000,0.0,1.0
2000-05-24,22.13,22.25,21.94,22.25,1.7253,132667,0.0,1.0
2000-05-25,22.06,22.5,21.56,22.25,1.7253,134467,0.0,1.0
2000-05-26,22.25,23.0,22.19,23.0,1.7834,1622400,0.0,1.0
2000-05-30,23.75,24.13,23.38,24.0,1.861,224067,0.0,1.0
2000-05-31,24.25,24.81,24.19,24.75,1.9191,273467,0.0,1.0
2000-06-01,24.88,24.88,24.0,24.38,1.8905,351867,0.0,1.0
2000-06-02,23.0,23.0,21.0,21.25,1.6477,318000,0.0,1.0
2000-06-05,21.25,22.31,20.06,22.13,1.716,331800,0.0,1.0
2000-06-06,22.13,23.5,22.13,22.63,1.7548,274600,0.0,1.0
2000-06-07,22.69,22.69,21.5,22.25,1.7253,291600,0.0,1.0
2000-06-08,22.0,22.63,21.75,22.63,1.7548,281067,0.0,1.0
2000-06-09,22.75,22.94,22.25,22.63,1.7548,73000,0.0,1.0
2000-06-12,22.44,23.19,22.44,23.13,1.7935,95667,0.0,1.0
2000-06-13,23.25,23.63,23.0,23.25,1.8028,260067,0.0,1.0
2000-06-14,23.25,23.75,23.19,23.38,1.8129,280000,0.0,1.0
