timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2001-01-02,8.125,8.125,7.875,7.875,4.696,23900,0.0,1.0
2001-01-03,7.813,8.375,7.75,8.375,4.9942,40300,0.0,1.0
2001-01-04,8.375,8.625,8.375,8.563,5.1063,104100,0.0,1.0
2001-01-05,8.625,8.688,8.438,8.438,5.0318,13400,0.0,1.0
2001-01-08,8.5,8.5,8.25,8.375,4.9942,8700,0.0,1.0
2001-01-09,8.375,8.563,8.313,8.438,5.0318,16500,0.0,1.0
2001-01-10,8.5,8.75,8.438,8.688,5.1809,14500,0.0,1.0
2001-01-11,8.75,8.938,8.625,8.938,5.3299,114800,0.0,1.0
2001-01-12,9.0,9.0,8.875,8.875,5.2924,19900,0.0,1.0
2001-01-16,8.938,8.938,8.813,8.875,5.2924,39000,0.0,1.0
2001-01-17,9.0,9.063,8.875,8.938,5.3299,30200,0.0,1.0
2001-01-18,8.875,9.063,8.875,9.063,5.4045,24700,0.0,1.0
2001-01-19,9.25,9.375,9.125,9.313,5.5536,32700,0.0,1.0
2001-01-22,9.375,9.563,9.375,9.438,5.6281,147300,0.0,1.0
2001-01-23,9.438,9.563,9.438,9.5,5.6651,99500,0.0,1.0
2001-01-24,9.5,9.563,9.438,9.438,5.6281,36900,0.0,1.0
2001-01-25,9.438,9.5,9.313,9.438,5.6281,41700,0.0,1.0
2001-01-26,9.438,9.688,9.25,9.5,5.6651,114400,0.0,1.0
2001-01-29,9.4,9.54,9.36,9.41,5.6114,65800,0.0,1.0
2001-01-30,9.37,9.5,9.32,9.45,5.6353,71000,0.0,1.0
2001-01-31,9.48,9.63,9.43,9.5,5.6651,34800,0.0,1.0
2001-02-01,9.46,9.61,9.46,9.5,5.6651,23100,0.0,1.0
2001-02-02,9.52,9.6,9.5,9.5,5.6651,24700,0.0,1.0
2001-02-05,9.48,9.48,9.35,9.44,5.6293,22900,0.0,1.0
2001-02-06,9.4,9.46,9.33,9.46,5.6412,14200,0.0,1.0
2001-02-07,9.4,9.4,8.9,9.05,5.3967,71400,0.0,1.0
2001-02-08,9.05,9.05,9.0,9.01,5.3729,26500,0.0,1.0
2001-02-09,9.0,9.05,8.81,8.81,5.2536,20200,0.0,1.0
2001-02-12,8.8,9.03,8.8,9.0,5.3669,26200,0.0,1.0
2001-02-13,9.03,9.03,8.95,8.97,5.349,10400,0.0,1.0
2001-02-14,8.96,9.02,8.95,8.96,5.3431,16100,0.0,1.0
2001-02-15,8.99,9.08,8.96,9.02,5.3788,13800,0.0,1.0
2001-02-16,8.96,9.01,8.9,8.97,5.349,28800,0.0,1.0
2001-02-20,9.0,9.0,8.67,8.67,5.1701,35300,0.0,1.0
2001-02-21,8.65,8.84,8.6,8.63,5.1463,19700,0.0,1.0
2001-02-22,8.6,8.7,8.4,8.52,5.0807,46800,0.0,1.0
2001-02-23,8.5,8.55,8.45,8.54,5.0926,32000,0.0,1.0
