timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-01-16,13.25,13.65,13.0,13.38,8.9869,7337687,0.0,1.0
2014-01-17,13.54,13.75,13.3,13.75,9.2354,1218656,0.0,1.0
2014-01-21,13.85,13.85,13.625,13.78,9.2555,515027,0.0,1.0
2014-01-22,13.75,13.89,13.5,13.7,9.2018,380914,0.0,1.0
2014-01-23,13.75,14.1,13.49,14.07,9.4503,583519,0.0,1.0
2014-01-24,13.91,14.0001,13.61,14.0,9.4033,364616,0.0,1.0
2014-01-27,14.1,14.24,13.705,14.24,9.5645,337088,0.0,1.0
2014-01-28,14.25,14.25,13.83,14.08,9.457,114922,0.0,1.0
2014-01-29,13.75,14.25,13.75,14.19,9.5309,316697,0.0,1.0
2014-01-30,14.25,14.25,14.0401,14.12,9.4839,288701,0.0,1.0
2014-01-31,14.15,14.23,13.96,14.09,9.4637,259700,0.0,1.0
2014-02-03,14.0501,14.0599,13.76,13.83,9.2891,272189,0.0,1.0
2014-02-04,13.75,13.87,13.75,13.83,9.2891,50881,0.0,1.0
2014-02-05,13.8101,13.88,13.75,13.83,9.2891,56238,0.0,1.0
2014-02-06,13.8,13.95,13.79,13.87,9.316,73266,0.0,1.0
2014-02-07,13.99,13.99,13.81,13.89,9.3294,30067,0.0,1.0
2014-02-10,14.08,14.35,14.049,14.31,9.6115,291272,0.0,1.0
2014-02-11,14.22,14.45,14.09,14.42,9.6854,253980,0.0,1.0
2014-02-12,14.5,14.5,14.2214,14.4,9.672,65312,0.0,1.0
2014-02-13,14.38,14.4,14.2,14.4,9.672,78290,0.0,1.0
2014-02-14,14.4,14.4655,14.15,14.4,9.672,110374,0.0,1.0
2014-02-18,14.4,14.52,14.25,14.47,9.719,121972,0.0,1.0
2014-02-19,14.21,14.47,14.21,14.36,9.6451,97217,0.0,1.0
2014-02-20,14.4756,14.49,14.25,14.39,9.6652,130042,0.0,1.0
2014-02-21,14.45,14.51,14.39,14.5,9.7391,81695,0.0,1.0
2014-02-24,14.59,14.6,14.4,14.56,9.7794,97270,0.0,1.0
2014-02-25,14.73,14.73,14.35,14.47,9.719,134788,0.0,1.0
2014-02-26,14.64,14.65,14.46,14.63,9.8264,113415,0.0,1.0
2014-02-27,14.58,14.7194,14.56,14.7,9.8735,63847,0.0,1.0
2014-02-28,14.61,14.7,14.6,14.62,9.8197,111758,0.0,1.0
