timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-04-15,32.0,42.0,30.6,42.0,42.0,6884160,0.0,1.0
2015-04-16,42.5,49.25,39.13,39.4,39.4,2418768,0.0,1.0
2015-04-17,40.77,41.44,39.21,40.0,40.0,668698,0.0,1.0
2015-04-20,44.51,44.75,42.35,42.8,42.8,1169591,0.0,1.0
2015-04-21,43.38,43.462,38.67,38.67,38.67,888294,0.0,1.0
2015-04-22,38.71,39.9999,38.0,38.17,38.17,304455,0.0,1.0
2015-04-23,38.29,38.5654,36.0,36.39,36.39,467687,0.0,1.0
2015-04-24,36.37,36.86,35.0,36.0,36.0,338880,0.0,1.0
2015-04-27,35.24,36.509,31.68,32.06,32.06,663594,0.0,1.0
2015-04-28,31.58,32.8548,27.8,27.97,27.97,1142210,0.0,1.0
2015-04-29,27.44,29.18,27.06,27.46,27.46,692212,0.0,1.0
2015-04-30,27.01,27.94,24.68,25.4,25.4,1029501,0.0,1.0
2015-05-01,25.9,26.5,25.1,26.09,26.09,370615,0.0,1.0
2015-05-04,26.61,29.75,26.11,29.33,29.33,1240182,0.0,1.0
2015-05-05,29.97,31.2395,27.06,27.71,27.71,839721,0.0,1.0
2015-05-06,27.81,29.86,27.0,27.99,27.99,524143,0.0,1.0
2015-05-07,28.0,29.68,27.8844,28.62,28.62,323018,0.0,1.0
2015-05-08,29.14,31.31,29.06,30.85,30.85,567949,0.0,1.0
2015-05-11,32.31,33.24,30.52,30.78,30.78,780180,0.0,1.0
2015-05-12,31.0,33.0,29.1,32.09,32.09,461122,0.0,1.0
2015-05-13,32.35,33.99,31.76,33.69,33.69,403954,0.0,1.0
2015-05-14,34.36,35.35,31.8537,32.87,32.87,581848,0.0,1.0
2015-05-15,32.87,33.5,31.0,31.47,31.47,258895,0.0,1.0
2015-05-18,31.18,31.5,28.7,30.13,30.13,487969,0.0,1.0
2015-05-19,30.44,30.6745,28.52,28.55,28.55,338302,0.0,1.0
2015-05-20,29.04,30.0,27.57,29.87,29.87,350728,0.0,1.0
2015-05-21,29.8,31.98,29.52,31.47,31.47,344014,0.0,1.0
2015-05-22,30.92,32.0,30.8701,31.15,31.15,134381,0.0,1.0
2015-05-26,31.0,31.858,30.23,31.51,31.51,181358,0.0,1.0
2015-05-27,31.09,33.3594,31.09,32.08,32.08,244175,0.0,1.0
2015-05-28,32.0,32.8099,31.06,31.73,31.73,157535,0.0,1.0
2015-05-29,32.13,34.423,31.14,33.78,33.78,413453,0.0,1.0
2015-06-01,33.7,33.93,32.29,32.9,32.9,360046,0.0,1.0
2015-06-02,32.45,32.77,31.25,31.39,31.39,319171,0.0,1.0
2015-06-03,31.45,32.45,31.2,32.4,32.4,243835,0.0,1.0
2015-06-04,32.56,33.56,31.975,33.43,33.43,267572,0.0,1.0
2015-06-05,33.29,35.472,33.1047,35.25,35.25,378191,0.0,1.0
2015-06-08,35.09,35.8754,33.25,34.05,34.05,254603,0.0,1.0
2015-06-09,34.21,34.21,32.25,32.44,32.44,213423,0.0,1.0
2015-06-10,32.66,33.5156,32.38,33.01,33.01,97791,0.0,1.0
2015-06-11,33.17,33.56,32.13,33.37,33.37,139611,0.0,1.0
2015-06-12,33.75,34.8867,33.55,33.78,33.78,197962,0.0,1.0
2015-06-15,33.7,36.26,33.59,36.0,36.0,615614,0.0,1.0
2015-06-16,35.85,36.48,34.9,35.44,35.44,279516,0.0,1.0
2015-06-17,35.53,36.48,34.36,35.35,35.35,180282,0.0,1.0
2015-06-18,35.44,36.2399,35.0,35.14,35.14,215959,0.0,1.0
2015-06-19,35.1,37.46,34.998,36.82,36.82,456701,0.0,1.0
2015-06-22,36.3,37.4899,35.58,35.79,35.79,189952,0.0,1.0
2015-06-23,35.8,36.9,35.02,36.44,36.44,239208,0.0,1.0
2015-06-24,36.12,36.68,35.2,35.88,35.88,193074,0.0,1.0
2015-06-25,36.01,36.23,32.5,33.8,33.8,471358,0.0,1.0
2015-06-26,32.78,33.55,32.52,32.71,32.71,1408192,0.0,1.0
2015-06-29,32.51,32.95,29.56,29.58,29.58,599644,0.0,1.0
2015-06-30,30.2,30.99,29.3001,30.33,30.33,402349,0.0,1.0
2015-07-01,30.74,31.19,30.0,30.79,30.79,193247,0.0,1.0
2015-07-02,30.68,31.45,30.388,31.19,31.19,108355,0.0,1.0
2015-07-06,30.49,31.67,29.75,31.28,31.28,242076,0.0,1.0
2015-07-07,31.43,32.19,30.6,31.64,31.64,222703,0.0,1.0
2015-07-08,31.01,31.39,29.82,29.94,29.94,204433,0.0,1.0
2015-07-09,30.51,30.9299,29.5,30.3,30.3,221302,0.0,1.0
2015-07-10,30.45,30.63,30.01,30.58,30.58,145660,0.0,1.0
2015-07-13,30.69,31.3504,30.39,30.56,30.56,99572,0.0,1.0
2015-07-14,30.69,30.9599,30.33,30.84,30.84,91682,0.0,1.0
2015-07-15,30.69,31.01,30.36,30.95,30.95,143605,0.0,1.0
2015-07-16,31.09,31.18,29.74,29.87,29.87,192819,0.0,1.0
2015-07-17,29.72,29.855,28.26,28.68,28.68,335380,0.0,1.0
2015-07-20,28.57,28.95,27.21,27.7,27.7,291877,0.0,1.0
2015-07-21,27.55,28.73,27.08,28.5,28.5,140490,0.0,1.0
2015-07-22,28.26,29.14,27.87,29.12,29.12,127616,0.0,1.0
2015-07-23,28.99,29.5,28.52,28.73,28.73,126858,0.0,1.0
2015-07-24,28.4,28.725,26.32,26.69,26.69,256295,0.0,1.0
2015-07-27,26.4,26.8299,26.0,26.4,26.4,105635,0.0,1.0
2015-07-28,26.43,26.98,25.65,26.58,26.58,176706,0.0,1.0
2015-07-29,26.45,27.42,26.15,26.33,26.33,100314,0.0,1.0
2015-07-30,26.15,26.36,25.61,25.79,25.79,86944,0.0,1.0
2015-07-31,25.81,26.46,25.5984,26.22,26.22,286473,0.0,1.0
2015-08-03,26.12,26.32,24.97,25.22,25.22,188723,0.0,1.0
2015-08-04,25.32,25.47,24.03,24.14,24.14,339829,0.0,1.0
2015-08-05,24.26,24.66,23.34,24.33,24.33,220649,0.0,1.0
2015-08-06,24.3,24.3,23.0301,23.93,23.93,193784,0.0,1.0
2015-08-07,23.89,23.89,22.12,23.21,23.21,287868,0.0,1.0
2015-08-10,23.3,24.69,23.25,23.69,23.69,187798,0.0,1.0
2015-08-11,23.44,24.7999,21.62,23.0,23.0,222715,0.0,1.0
2015-08-12,22.72,23.33,21.76,23.13,23.13,256480,0.0,1.0
2015-08-13,23.08,23.4999,22.27,22.34,22.34,211355,0.0,1.0
2015-08-14,22.37,22.79,20.59,20.83,20.83,270184,0.0,1.0
2015-08-17,20.85,21.75,20.6201,21.6,21.6,258346,0.0,1.0
2015-08-18,21.62,21.895,21.12,21.57,21.57,227688,0.0,1.0
2015-08-19,21.28,21.8,20.76,21.36,21.36,185597,0.0,1.0
2015-08-20,21.12,21.12,20.03,20.12,20.12,317868,0.0,1.0
2015-08-21,19.75,19.9,18.01,19.44,19.44,432072,0.0,1.0
2015-08-24,17.6,19.08,16.28,18.95,18.95,664344,0.0,1.0
2015-08-25,19.89,19.89,17.8501,17.92,17.92,324827,0.0,1.0
2015-08-26,18.38,19.35,18.0001,19.34,19.34,320279,0.0,1.0
2015-08-27,19.72,22.33,19.72,21.81,21.81,341520,0.0,1.0
2015-08-28,21.7,22.14,20.1001,20.61,20.61,248236,0.0,1.0
2015-08-31,20.61,20.76,18.84,19.36,19.36,377023,0.0,1.0
2015-09-01,18.79,19.33,18.08,19.11,19.11,341715,0.0,1.0
2015-09-02,19.39,19.57,18.3,19.52,19.52,223367,0.0,1.0
2015-09-03,19.65,19.85,18.415,18.69,18.69,141354,0.0,1.0
2015-09-04,18.41,19.5,18.3,19.25,19.25,114103,0.0,1.0
2015-09-08,19.66,19.66,18.49,19.24,19.24,329555,0.0,1.0
2015-09-09,19.43,19.84,18.79,19.33,19.33,264073,0.0,1.0
2015-09-10,19.4,20.86,19.15,20.13,20.13,395166,0.0,1.0
2015-09-11,20.12,20.44,19.25,20.4,20.4,158111,0.0,1.0
2015-09-14,20.4,20.54,19.72,20.25,20.25,120336,0.0,1.0
2015-09-15,20.26,21.05,19.79,20.85,20.85,194513,0.0,1.0
2015-09-16,20.93,21.31,20.1501,21.1,21.1,148260,0.0,1.0
2015-09-17,21.14,23.23,20.9825,22.99,22.99,244312,0.0,1.0
2015-09-18,22.65,23.94,22.1138,23.72,23.72,410752,0.0,1.0
2015-09-21,24.31,24.31,21.76,22.45,22.45,183281,0.0,1.0
2015-09-22,22.04,22.41,20.79,21.43,21.43,234257,0.0,1.0
2015-09-23,21.51,21.667,20.73,21.46,21.46,98198,0.0,1.0
2015-09-24,21.26,21.64,20.11,21.63,21.63,182378,0.0,1.0
2015-09-25,21.94,22.13,19.85,20.42,20.42,246503,0.0,1.0
2015-09-28,21.48,22.0,18.34,19.31,19.31,354294,0.0,1.0
2015-09-29,19.19,19.25,17.515,19.03,19.03,374572,0.0,1.0
2015-09-30,19.42,19.82,18.32,19.37,19.37,343647,0.0,1.0
2015-10-01,19.21,19.5,18.63,19.49,19.49,148691,0.0,1.0
2015-10-02,19.1,19.91,18.4,19.27,19.27,178890,0.0,1.0
2015-10-05,19.58,20.5,19.44,20.41,20.41,282933,0.0,1.0
2015-10-06,20.3,20.48,19.49,20.4,20.4,447075,0.0,1.0
2015-10-07,20.44,21.724,19.785,21.23,21.23,517644,0.0,1.0
2015-10-08,21.13,22.14,20.51,21.74,21.74,326697,0.0,1.0
2015-10-09,21.89,22.63,21.34,22.06,22.06,215521,0.0,1.0
2015-10-12,21.64,22.47,21.5601,21.81,21.81,353565,0.0,1.0
2015-10-13,21.57,22.5099,20.99,21.71,21.71,304131,0.0,1.0
2015-10-14,21.91,22.44,21.479,21.83,21.83,279063,0.0,1.0
2015-10-15,21.48,22.791,21.4,22.56,22.56,239436,0.0,1.0
2015-10-16,22.31,23.15,22.31,22.9,22.9,188476,0.0,1.0
2015-10-19,22.54,24.5,22.54,23.63,23.63,306364,0.0,1.0
2015-10-20,23.9,24.01,23.38,23.77,23.77,394164,0.0,1.0
