timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2013-05-08,11.5,11.68,11.25,11.58,8.7428,4633900,0.0,1.0
2013-05-09,11.66,11.66,11.5,11.55,8.7202,275800,0.0,1.0
2013-05-10,11.55,11.6,11.5,11.6,8.7579,277100,0.0,1.0
2013-05-13,11.63,11.65,11.5464,11.65,8.7957,147400,0.0,1.0
2013-05-14,11.6,11.6,11.5,11.53,8.7051,184100,0.0,1.0
2013-05-15,11.6,11.6,11.54,11.6,8.7579,76800,0.0,1.0
2013-05-16,11.62,11.74,11.54,11.74,8.8636,170300,0.0,1.0
2013-05-17,11.7,11.85,11.7,11.76,8.8787,305400,0.0,1.0
2013-05-20,11.76,11.83,11.63,11.73,8.8561,46800,0.0,1.0
2013-05-21,11.76,11.84,11.61,11.83,8.9316,77000,0.0,1.0
2013-05-22,11.84,11.84,11.68,11.75,8.8712,90200,0.0,1.0
2013-05-23,11.64,11.79,11.538,11.61,8.7655,75400,0.0,1.0
2013-05-24,11.57,11.73,11.55,11.7,8.8334,63400,0.0,1.0
2013-05-28,11.73,11.78,11.57,11.58,8.7428,212400,0.0,1.0
2013-05-29,11.51,11.67,11.1999,11.25,8.4937,447000,0.0,1.0
2013-05-30,11.58,11.65,11.47,11.55,8.7202,453300,0.0,1.0
2013-05-31,11.6,11.8,11.47,11.47,8.6598,109400,0.0,1.0
2013-06-03,11.68,11.68,11.3,11.52,8.6975,143200,0.0,1.0
2013-06-04,11.56,11.63,11.46,11.51,8.69,115000,0.0,1.0
2013-06-05,11.58,11.59,11.25,11.55,8.7202,78100,0.0,1.0
2013-06-06,11.51,11.7,11.5,11.62,8.773,121700,0.0,1.0
2013-06-07,11.67,11.68,11.52,11.6,8.7579,52300,0.0,1.0
2013-06-10,11.6,11.67,11.5,11.65,8.7957,167200,0.0,1.0
2013-06-11,11.56,11.6,11.35,11.56,8.7277,117500,0.0,1.0
2013-06-12,11.55,11.56,11.45,11.49,8.6749,162100,0.0,1.0
2013-06-13,11.48,11.55,11.3,11.49,8.6749,63600,0.0,1.0
2013-06-14,11.49,11.49,11.3,11.45,8.6447,73100,0.0,1.0
2013-06-17,11.48,11.65,11.4,11.55,8.7202,73300,0.0,1.0
2013-06-18,11.55,11.6,11.39,11.51,8.69,149700,0.0,1.0
2013-06-19,11.48,11.48,11.2201,11.3,8.5314,80300,0.0,1.0
2013-06-20,11.25,11.3,11.13,11.13,8.4031,203100,0.0,1.0
2013-06-21,11.17,11.27,11.12,11.27,8.5088,287900,0.0,1.0
2013-06-24,11.2,11.29,10.7,11.22,8.471,151500,0.0,1.0
2013-06-25,11.28,11.4,10.98,11.38,8.5918,95600,0.0,1.0
2013-06-26,11.44,11.46,10.9,11.38,8.5918,173900,0.0,1.0
2013-06-27,11.33,11.54,11.2,11.46,8.7126,153300,0.08,1.0
2013-06-28,11.43,11.78,11.365,11.78,8.9559,1659800,0.0,1.0
2013-07-01,11.74,11.84,11.405,11.67,8.8723,103800,0.0,1.0
2013-07-02,11.7,11.8,11.45,11.71,8.9027,98600,0.0,1.0
2013-07-03,11.69,11.75,11.58,11.74,8.9255,45100,0.0,1.0
2013-07-05,11.84,11.84,11.5,11.82,8.9863,89700,0.0,1.0
2013-07-08,11.75,11.75,11.35,11.47,8.7202,170100,0.0,1.0
2013-07-09,11.52,11.53,11.1,11.19,8.5073,242600,0.0,1.0
2013-07-10,11.15,11.15,10.55,11.03,8.3857,206800,0.0,1.0
2013-07-11,11.12,11.16,10.99,11.14,8.4693,189100,0.0,1.0
2013-07-12,11.1,11.16,11.05,11.14,8.4693,165000,0.0,1.0
2013-07-15,11.12,11.19,10.92,11.11,8.4465,164900,0.0,1.0
2013-07-16,11.1,11.3816,10.97,11.36,8.6366,187400,0.0,1.0
2013-07-17,11.34,11.35,11.07,11.12,8.4541,51100,0.0,1.0
2013-07-18,11.13,11.3164,11.05,11.22,8.5301,165900,0.0,1.0
2013-07-19,11.24,11.29,11.05,11.27,8.5682,84100,0.0,1.0
2013-07-22,11.25,11.29,11.19,11.2,8.5149,49400,0.0,1.0
2013-07-23,11.2,11.33,11.15,11.23,8.5378,66400,0.0,1.0
2013-07-24,11.24,11.24,11.03,11.18,8.4997,81700,0.0,1.0
2013-07-25,11.06,11.21,10.97,11.21,8.5225,104500,0.0,1.0
2013-07-26,11.07,11.09,10.8255,10.96,8.3325,135700,0.0,1.0
2013-07-29,10.99,11.12,10.8,11.07,8.4161,22800,0.0,1.0
2013-07-30,11.11,11.11,10.93,11.06,8.4085,30500,0.0,1.0
2013-07-31,11.07,11.13,10.82,10.87,8.2641,83400,0.0,1.0
2013-08-01,10.89,10.92,10.74,10.81,8.2184,89300,0.0,1.0
2013-08-02,10.82,10.89,10.69,10.81,8.2184,63400,0.0,1.0
2013-08-05,10.83,10.94,10.78,10.85,8.2489,129200,0.0,1.0
2013-08-06,10.87,10.9,10.73,10.8,8.2108,127500,0.0,1.0
2013-08-07,10.75,10.82,10.65,10.69,8.1272,128400,0.0,1.0
2013-08-08,10.74,10.74,10.15,10.42,7.9219,216700,0.0,1.0
2013-08-09,10.38,10.47,10.12,10.35,7.8687,114900,0.0,1.0
2013-08-12,10.28,10.74,10.28,10.64,8.0892,91700,0.0,1.0
2013-08-13,10.55,10.55,10.15,10.32,7.8459,107400,0.0,1.0
2013-08-14,10.3,10.3494,10.1,10.21,7.7623,109300,0.0,1.0
2013-08-15,10.15,10.189,9.73,9.74,7.405,165000,0.0,1.0
2013-08-16,9.7,9.94,9.36,9.4,7.1465,153600,0.0,1.0
2013-08-19,9.43,9.46,9.04,9.05,6.8804,165600,0.0,1.0
2013-08-20,9.0,9.3299,8.8901,9.21,7.002,387400,0.0,1.0
