timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,6.0,6.0,6.0,6.0,2.9627,1600,0.0,1.0
2000-01-04,6.5,6.5,6.5,6.5,3.2096,160,0.0,1.0
2000-01-05,6.5,6.5,6.5,6.5,3.2096,1840,0.0,1.0
2000-01-06,5.75,6.0,5.75,5.938,2.9321,7680,0.0,1.0
2000-01-07,5.938,6.5,5.938,5.938,2.9321,880,0.0,1.0
2000-01-10,6.5,6.5,6.5,6.5,3.2096,1040,0.0,1.0
2000-01-11,6.0,6.0,5.75,5.75,2.8393,4880,0.0,1.0
2000-01-12,6.25,6.25,5.5,5.5,2.7158,880,0.0,1.0
2000-01-13,6.438,6.438,5.5,6.0,2.9627,10240,0.0,1.0
2000-01-14,6.5,6.5,5.625,6.0,2.9627,2800,0.0,1.0
2000-01-18,5.625,5.625,5.625,5.625,2.7776,400,0.0,1.0
2000-01-19,5.63,5.63,5.63,5.63,2.78,0,0.0,1.0
2000-01-20,5.63,5.63,5.63,5.63,2.78,0,0.0,1.0
2000-01-21,6.0,6.5,6.0,6.125,3.0245,21360,0.0,1.0
2000-01-24,6.375,6.375,6.125,6.25,3.0862,5040,0.0,1.0
2000-01-25,6.0,6.0,5.875,5.875,2.901,880,0.0,1.0
2000-01-26,5.875,6.125,5.625,5.625,2.7776,480,0.0,1.0
2000-01-27,5.625,5.625,5.5,5.625,2.7776,9600,0.0,1.0
2000-01-28,5.75,5.75,5.75,5.75,2.8393,1280,0.0,1.0
2000-01-31,6.25,6.5,6.25,6.25,3.0862,22640,0.0,1.0
2000-02-01,6.25,6.25,6.25,6.25,3.0862,0,0.0,1.0
2000-02-02,6.5,6.5,6.5,6.5,3.2096,80,0.0,1.0
2000-02-03,6.5,6.5,6.0,6.5,3.2096,2960,0.0,1.0
2000-02-04,6.0,6.25,6.0,6.25,3.0862,480,0.0,1.0
2000-02-07,6.0,6.0,5.75,6.0,2.9627,2160,0.0,1.0
2000-02-08,6.25,6.25,6.25,6.25,3.0862,2880,0.0,1.0
2000-02-09,6.25,6.5,6.25,6.25,3.0862,7200,0.0,1.0
2000-02-10,6.25,6.25,6.25,6.25,3.0862,400,0.0,1.0
2000-02-11,6.25,6.25,6.25,6.25,3.0862,1600,0.0,1.0
2000-02-14,6.266,6.266,6.0,6.0,2.9627,3360,0.0,1.0
2000-02-15,6.0,6.0,6.0,6.0,2.9627,1440,0.0,1.0
2000-02-16,6.281,6.281,6.25,6.25,3.0862,1200,0.0,1.0
2000-02-17,6.25,6.25,6.25,6.25,3.0862,0,0.0,1.0
2000-02-18,6.125,6.125,6.0,6.0,2.9627,17600,0.0,1.0
2000-02-22,6.0,6.25,6.0,6.0,2.9627,4160,0.0,1.0
2000-02-23,6.0,6.125,6.0,6.0,2.9627,11760,0.0,1.0
