timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-05-02,18.15,18.75,18.0,18.6,15.0509,7698177,0.0,1.0
2014-05-05,18.44,19.1,18.3,18.6,15.0509,611341,0.0,1.0
2014-05-06,18.5,18.65,18.4,18.48,14.9538,398344,0.0,1.0
2014-05-07,18.47,18.534,17.36,17.73,14.3469,748787,0.0,1.0
2014-05-08,17.6,18.45,17.6,17.83,14.4278,353244,0.0,1.0
2014-05-09,17.76,17.87,17.4,17.59,14.2336,446002,0.0,1.0
2014-05-12,17.66,17.82,16.81,17.21,13.9261,899717,0.0,1.0
2014-05-13,17.21,17.34,16.68,17.2,13.918,452776,0.0,1.0
2014-05-14,17.05,17.38,16.9,17.15,13.8776,448936,0.0,1.0
2014-05-15,17.05,17.94,17.0,17.54,14.1932,267771,0.0,1.0
2014-05-16,17.5,17.87,17.5,17.62,14.2579,99989,0.0,1.0
2014-05-19,17.74,18.2,17.6,17.84,14.4359,333804,0.0,1.0
2014-05-20,17.81,18.0,17.4001,17.94,14.5168,118997,0.0,1.0
2014-05-21,17.9,18.12,17.69,17.9,14.4845,662987,0.0,1.0
2014-05-22,18.02,18.12,17.8156,18.0,14.5654,162812,0.0,1.0
2014-05-23,18.1,18.17,17.76,18.17,14.703,73577,0.0,1.0
2014-05-27,18.29,18.45,17.96,18.3,14.8081,284350,0.0,1.0
2014-05-28,18.45,18.75,18.314,18.69,15.1237,145239,0.0,1.0
2014-05-29,18.65,18.86,18.34,18.8,15.2127,300028,0.0,1.0
2014-05-30,18.85,19.1,18.6,19.0,15.3746,417932,0.0,1.0
2014-06-02,19.1,19.1,18.59,18.84,15.2451,60548,0.0,1.0
2014-06-03,18.81,18.99,18.695,18.71,15.1399,93862,0.0,1.0
2014-06-04,18.85,18.99,18.51,18.8,15.2127,337096,0.0,1.0
2014-06-05,18.88,18.98,18.07,18.42,14.9052,173948,0.0,1.0
2014-06-06,18.31,18.43,18.1,18.4,14.8891,63875,0.0,1.0
2014-06-09,18.4,18.7,18.24,18.7,15.1318,52788,0.0,1.0
2014-06-10,18.65,18.917,18.48,18.57,15.0266,160026,0.0,1.0
2014-06-11,18.96,18.96,18.49,18.76,15.1804,173819,0.0,1.0
