timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,10.44,10.44,10.13,10.13,1.9786,10995,0.0,1.0
2000-01-04,10.13,10.19,10.13,10.13,1.9786,8480,0.0,1.0
2000-01-05,10.13,10.25,9.875,10.13,1.9786,6109,0.0,1.0
2000-01-06,10.06,10.25,10.06,10.25,2.002,8911,0.0,1.0
2000-01-07,10.13,10.25,10.13,10.13,1.9786,6324,0.0,1.0
2000-01-10,10.13,10.31,10.13,10.25,2.002,13079,0.0,1.0
2000-01-11,10.19,10.19,10.19,10.19,1.9903,934,0.0,1.0
2000-01-12,10.31,10.5,10.31,10.5,2.0508,2443,0.0,1.0
2000-01-13,10.56,10.56,10.31,10.56,2.0626,1653,0.0,1.0
2000-01-14,10.19,10.19,10.13,10.19,1.9903,3953,0.0,1.0
2000-01-18,10.13,10.5,9.75,10.5,2.0508,8480,0.0,1.0
2000-01-19,10.5,10.75,10.31,10.66,2.0821,6683,0.0,1.0
2000-01-20,10.75,11.75,10.75,11.75,2.295,14445,0.0,1.0
2000-01-21,11.0,11.94,11.0,11.81,2.3067,14445,0.0,1.0
2000-01-24,11.94,12.0,11.19,11.38,2.2227,3090,0.0,1.0
2000-01-25,11.25,11.88,11.19,11.75,2.295,21847,0.0,1.0
2000-01-26,11.41,11.63,11.41,11.63,2.2715,9414,0.0,1.0
2000-01-27,11.63,11.63,10.75,10.75,2.0997,5965,0.0,1.0
2000-01-28,10.38,11.25,10.38,11.25,2.1973,5246,0.0,1.0
2000-01-31,10.38,10.38,10.38,10.38,2.0274,144,0.0,1.0
2000-02-01,11.0,11.0,9.75,9.875,1.9288,15235,0.0,1.0
2000-02-02,10.38,10.38,10.13,10.13,1.9786,1653,0.0,1.0
2000-02-03,10.0,10.38,10.0,10.0,1.9532,3737,0.0,1.0
2000-02-04,9.75,9.75,9.75,9.75,1.9043,791,0.0,1.0
2000-02-07,9.5,10.0,9.5,10.0,1.9532,5246,0.0,1.0
2000-02-08,10.0,10.0,9.625,9.625,1.8799,3090,0.0,1.0
2000-02-09,9.625,9.625,9.625,9.625,1.8799,1150,0.0,1.0
2000-02-10,9.625,9.875,9.625,9.75,1.9043,2443,0.0,1.0
2000-02-11,9.719,9.719,9.188,9.188,1.7946,5031,0.0,1.0
2000-02-14,9.344,9.75,9.125,9.375,1.8311,21775,0.0,1.0
2000-02-15,9.75,9.75,9.125,9.125,1.7823,575,0.0,1.0
2000-02-16,9.75,9.75,9.75,9.75,1.9043,934,0.0,1.0
2000-02-17,9.688,9.688,9.313,9.313,1.819,2443,0.0,1.0
2000-02-18,9.31,9.31,9.31,9.31,1.8184,0,0.0,1.0
2000-02-22,9.5,9.5,9.125,9.188,1.7946,9127,0.0,1.0
2000-02-23,9.125,9.125,8.938,8.938,1.7457,5246,0.0,1.0
2000-02-24,8.938,8.938,8.75,8.75,1.709,503,0.0,1.0
2000-02-25,8.938,8.938,8.875,8.875,1.7334,1868,0.0,1.0
2000-02-28,8.906,9.188,8.875,9.188,1.7946,1150,0.0,1.0
2000-02-29,9.19,9.19,9.19,9.19,1.795,0,0.0,1.0
2000-03-01,8.875,8.875,8.875,8.875,1.7334,72,0.0,1.0
