timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-09-29,15.01,15.01,15.0,15.01,7.789,17100,0.0,1.0
2003-09-30,15.0,15.01,15.0,15.01,7.789,2200,0.0,1.0
2003-10-01,15.01,15.01,15.0,15.01,7.789,9100,0.0,1.0
2003-10-02,15.01,15.01,15.01,15.01,7.789,3900,0.0,1.0
2003-10-03,15.01,15.01,15.01,15.01,7.789,1300,0.0,1.0
2003-10-06,15.05,15.05,15.01,15.05,7.8098,9700,0.0,1.0
2003-10-07,15.0,15.01,15.0,15.0,7.7838,12700,0.0,1.0
2003-10-08,15.0,15.0,15.0,15.0,7.7838,0,0.0,1.0
2003-10-09,15.01,15.01,15.0,15.01,7.789,15700,0.0,1.0
2003-10-10,15.01,15.07,15.01,15.07,7.8202,1500,0.0,1.0
2003-10-13,15.1,15.1,15.1,15.1,7.8357,2400,0.0,1.0
2003-10-14,15.02,15.03,15.02,15.03,7.7994,6100,0.0,1.0
2003-10-15,15.03,15.03,15.03,15.03,7.7994,0,0.0,1.0
2003-10-16,15.0,15.02,15.0,15.02,7.7942,10600,0.0,1.0
2003-10-17,15.02,15.02,15.0,15.0,7.7838,16300,0.0,1.0
2003-10-20,15.0,15.0,15.0,15.0,7.7838,0,0.0,1.0
2003-10-21,15.02,15.02,15.02,15.02,7.7942,4100,0.0,1.0
2003-10-22,15.01,15.02,15.0,15.0,7.7838,6900,0.0,1.0
2003-10-23,15.01,15.01,15.0,15.01,7.789,8600,0.0,1.0
2003-10-24,15.01,15.01,15.01,15.01,7.789,0,0.0,1.0
2003-10-27,15.0,15.0,15.0,15.0,7.7838,19000,0.0,1.0
2003-10-28,15.0,15.0,15.0,15.0,7.7838,16100,0.0,1.0
2003-10-29,15.01,15.01,15.0,15.01,7.789,21100,0.0,1.0
2003-10-30,15.01,15.01,15.01,15.01,7.789,5900,0.0,1.0
2003-10-31,15.0,15.01,15.0,15.01,7.789,4300,0.0,1.0
2003-11-03,15.01,15.05,15.0,15.0,7.7838,2100,0.0,1.0
2003-11-04,14.9,14.9,14.85,14.86,7.7112,7900,0.0,1.0
2003-11-05,14.85,14.85,14.85,14.85,7.706,600,0.0,1.0
2003-11-06,14.85,14.85,14.79,14.82,7.6904,3800,0.0,1.0
2003-11-07,14.9,15.05,14.87,14.87,7.7164,13900,0.0,1.0
2003-11-10,14.9,15.05,14.9,15.05,7.8098,10000,0.0,1.0
2003-11-11,15.04,15.1,15.04,15.1,7.8357,2500,0.0,1.0
2003-11-12,15.1,15.1,15.1,15.1,7.8357,3000,0.0,1.0
2003-11-13,15.05,15.08,14.92,14.92,7.7423,4400,0.0,1.0
2003-11-14,15.0,15.08,14.95,15.08,7.8253,11000,0.0,1.0
2003-11-17,15.0,15.05,15.0,15.05,7.8098,1400,0.0,1.0
2003-11-18,15.0,15.0,14.95,15.0,7.7838,8400,0.0,1.0
2003-11-19,15.0,15.0,14.95,15.0,7.7838,2000,0.0,1.0
2003-11-20,15.0,15.1,14.93,15.1,7.8357,6400,0.0,1.0
2003-11-21,15.0,15.2,14.95,15.2,7.8876,5700,0.0,1.0
2003-11-24,15.15,15.25,15.15,15.15,7.9006,4200,0.075,1.0
2003-11-25,15.25,15.3,15.25,15.26,7.958,2700,0.0,1.0
2003-11-26,15.26,15.3,15.25,15.25,7.9527,6500,0.0,1.0
2003-11-28,15.35,15.45,15.35,15.45,8.057,2300,0.0,1.0
2003-12-01,15.5,15.5,15.25,15.28,7.9684,11900,0.0,1.0
2003-12-02,15.25,15.25,15.2,15.2,7.9267,600,0.0,1.0
2003-12-03,15.3,15.45,15.3,15.33,7.9945,8300,0.0,1.0
2003-12-04,15.42,15.47,15.25,15.25,7.9527,10400,0.0,1.0
2003-12-05,15.35,15.45,15.35,15.45,8.057,2600,0.0,1.0
2003-12-08,15.25,15.5,15.25,15.5,8.0831,6400,0.0,1.0
2003-12-09,15.55,15.69,15.5,15.51,8.0883,8700,0.0,1.0
2003-12-10,15.45,15.45,15.3,15.3,7.9788,14600,0.0,1.0
2003-12-11,15.3,15.3,15.3,15.3,8.0179,500,0.075,1.0
2003-12-12,15.32,15.5,15.18,15.5,8.1227,4700,0.0,1.0
2003-12-15,15.55,15.55,15.35,15.4,8.0703,4800,0.0,1.0
2003-12-16,15.4,15.52,15.4,15.52,8.1332,2800,0.0,1.0
2003-12-17,15.6,15.6,15.56,15.56,8.1542,2100,0.0,1.0
2003-12-18,15.59,15.6,15.45,15.5,8.1227,9700,0.0,1.0
2003-12-19,15.5,15.5,15.5,15.5,8.1227,0,0.0,1.0
2003-12-22,15.4,15.4,15.36,15.36,8.0494,4900,0.0,1.0
2003-12-23,15.45,15.53,15.45,15.53,8.1385,2000,0.0,1.0
2003-12-24,15.53,15.53,15.53,15.53,8.1385,300,0.0,1.0
2003-12-26,15.43,15.43,15.33,15.33,8.0336,5300,0.0,1.0
2003-12-29,15.38,15.39,15.25,15.39,8.0651,13700,0.0,1.0
2003-12-30,15.39,15.39,15.39,15.39,8.0651,4600,0.0,1.0
2003-12-31,15.39,15.39,15.39,15.39,8.0651,0,0.0,1.0
2004-01-02,15.39,15.39,15.22,15.31,8.0232,10900,0.0,1.0
