timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-01-10,22.0,22.0,18.35,19.0,7.3588,158600,0.0,1.0
2008-01-11,19.0,19.75,19.0,19.4,7.5137,41500,0.0,1.0
2008-01-14,19.5,20.7,19.5,20.05,7.7655,17500,0.0,1.0
2008-01-15,21.05,21.1,19.85,19.95,7.7268,83400,0.0,1.0
2008-01-16,19.93,20.15,19.75,19.8,7.6687,207400,0.0,1.0
2008-01-17,19.9,20.0,19.5,19.9,7.7074,88700,0.0,1.0
2008-01-18,19.9,20.0,19.75,20.0,7.7461,126300,0.0,1.0
2008-01-22,19.25,20.25,19.02,19.65,7.6106,90800,0.0,1.0
2008-01-23,19.0,20.75,19.0,20.6,7.9785,143400,0.0,1.0
2008-01-24,20.4,20.5,19.9,20.5,7.9398,121300,0.0,1.0
2008-01-25,20.75,21.25,20.25,21.0,8.1334,73800,0.0,1.0
2008-01-28,21.0,21.4,20.75,21.15,8.1915,38200,0.0,1.0
2008-01-29,21.15,21.5,21.0,21.0,8.1334,25900,0.0,1.0
2008-01-30,21.0,21.35,20.86,21.1,8.1722,56900,0.0,1.0
2008-01-31,21.0,21.5,20.5,20.95,8.1141,2245100,0.0,1.0
2008-02-01,21.6,21.6,19.79,20.51,7.9437,716300,0.0,1.0
2008-02-04,20.75,20.75,20.0,20.19,7.8197,691800,0.0,1.0
2008-02-05,20.1,20.2,19.75,19.82,7.6764,454300,0.0,1.0
2008-02-06,19.95,20.0,19.2,19.3,7.475,397100,0.0,1.0
2008-02-07,19.3,19.5,19.0,19.25,7.4556,769800,0.0,1.0
2008-02-08,19.22,19.55,19.11,19.46,7.537,450100,0.0,1.0
2008-02-11,19.27,19.37,19.2,19.3,7.475,336600,0.0,1.0
2008-02-12,19.15,19.45,19.06,19.1,7.3976,606200,0.0,1.0
2008-02-13,19.15,19.15,18.81,18.95,7.3395,258600,0.0,1.0
2008-02-14,19.0,20.39,18.91,19.07,7.3859,510700,0.0,1.0
2008-02-15,19.25,19.52,19.0,19.23,7.4479,151300,0.0,1.0
2008-02-19,19.25,19.4,19.0,19.07,7.3859,131900,0.0,1.0
2008-02-20,19.1,19.16,18.75,18.9,7.3201,290500,0.0,1.0
2008-02-21,18.7,19.0,18.51,18.85,7.3007,106100,0.0,1.0
2008-02-22,18.77,19.2,18.5,19.12,7.4053,236600,0.0,1.0
2008-02-25,19.22,19.6,19.0,19.25,7.4556,108400,0.0,1.0
2008-02-26,19.3,19.32,18.8,19.25,7.4556,249500,0.0,1.0
2008-02-27,19.15,19.24,19.06,19.06,7.4162,240200,0.0882,1.0
2008-02-28,19.15,19.2,18.7,18.9,7.354,255400,0.0,1.0
2008-02-29,18.78,19.08,18.67,18.8,7.3151,180600,0.0,1.0
2008-03-03,18.75,18.86,18.57,18.75,7.2956,161200,0.0,1.0
2008-03-04,18.75,18.85,18.4,18.58,7.2295,103300,0.0,1.0
2008-03-05,18.6,18.6,17.55,18.19,7.0777,269200,0.0,1.0
2008-03-06,18.35,19.31,18.25,18.8,7.3151,146000,0.0,1.0
2008-03-07,18.6,18.96,17.8,18.22,7.0894,171300,0.0,1.0
2008-03-10,18.1,18.21,17.6,17.6,6.8481,109300,0.0,1.0
2008-03-11,17.6,18.0,17.34,17.53,6.8209,113700,0.0,1.0
2008-03-12,17.66,17.74,17.02,17.2,6.6925,194500,0.0,1.0
2008-03-13,17.28,17.28,16.6,16.8,6.5369,339600,0.0,1.0
2008-03-14,16.8,16.8,15.85,16.15,6.2839,159500,0.0,1.0
2008-03-17,16.0,16.09,15.35,15.4,5.9921,77500,0.0,1.0
2008-03-18,15.35,15.8,15.2,15.4,5.9921,120600,0.0,1.0
2008-03-19,15.75,15.75,15.17,15.17,5.9026,84100,0.0,1.0
2008-03-20,15.15,15.52,14.6,15.52,6.0388,123800,0.0,1.0
2008-03-24,16.7,18.07,16.27,17.5,6.8092,288500,0.0,1.0
2008-03-25,17.4,18.5,17.4,18.3,7.1205,132100,0.0,1.0
2008-03-26,18.5,19.0,18.5,18.7,7.2761,145300,0.0,1.0
2008-03-27,18.95,18.95,17.68,17.69,6.8832,93200,0.0,1.0
2008-03-28,17.68,18.3,17.6,17.67,6.8754,131600,0.0,1.0
2008-03-31,18.0,18.02,16.8,16.95,6.5952,92400,0.0,1.0
2008-04-01,16.95,17.99,16.95,17.89,6.961,161600,0.0,1.0
2008-04-02,18.0,18.27,18.0,18.0,7.0038,65100,0.0,1.0
2008-04-03,18.0,18.25,18.0,18.25,7.1011,40800,0.0,1.0
2008-04-04,18.25,18.25,18.11,18.15,7.0621,40100,0.0,1.0
2008-04-07,18.49,18.68,18.2,18.58,7.2295,69300,0.0,1.0
2008-04-08,18.6,18.64,18.0,18.24,7.0972,44700,0.0,1.0
2008-04-09,18.75,18.75,17.81,17.98,6.996,57100,0.0,1.0
2008-04-10,17.85,18.2,17.75,18.15,7.0621,39100,0.0,1.0
2008-04-11,18.2,18.78,17.95,18.06,7.0271,38100,0.0,1.0
2008-04-14,18.25,18.25,17.5,17.75,6.9065,49500,0.0,1.0
2008-04-15,17.65,18.0,17.5,17.7,6.887,28800,0.0,1.0
2008-04-16,18.18,18.25,17.95,18.04,7.0193,32800,0.0,1.0
2008-04-17,18.0,18.15,17.8,17.94,6.9804,25100,0.0,1.0
2008-04-18,18.15,18.25,18.0,18.22,7.0894,33400,0.0,1.0
2008-04-21,18.25,18.5,17.97,18.25,7.1011,120300,0.0,1.0
2008-04-22,18.28,18.49,17.9,17.98,6.996,99500,0.0,1.0
2008-04-23,18.1,18.2,17.7,17.93,6.9765,31600,0.0,1.0
2008-04-24,18.08,18.1,17.6,17.62,6.8559,36100,0.0,1.0
2008-04-25,17.75,18.6,17.7,18.52,7.2061,78200,0.0,1.0
2008-04-28,19.0,19.59,18.88,19.35,7.5291,210600,0.0,1.0
2008-04-29,19.8,19.8,19.45,19.7,7.6652,122300,0.0,1.0
2008-04-30,19.6,20.09,19.6,19.87,7.7314,97500,0.0,1.0
2008-05-01,20.02,20.75,20.02,20.3,7.8987,142500,0.0,1.0
2008-05-02,20.8,20.8,20.1,20.23,7.8715,87200,0.0,1.0
2008-05-05,20.1,20.71,19.9,20.08,7.8131,148600,0.0,1.0
2008-05-06,20.0,20.5,20.0,20.11,7.8248,146200,0.0,1.0
2008-05-07,20.02,20.29,20.02,20.05,7.8014,265700,0.0,1.0
2008-05-08,20.03,20.76,20.0,20.59,8.0115,107500,0.0,1.0
2008-05-09,20.5,21.0,20.3,20.5,7.9765,92600,0.0,1.0
2008-05-12,20.65,20.73,20.32,20.33,7.9104,70200,0.0,1.0
2008-05-13,20.35,20.73,20.33,20.37,7.9259,170600,0.0,1.0
2008-05-14,20.37,20.52,20.0,20.01,7.7859,197100,0.0,1.0
2008-05-15,20.12,20.5,20.04,20.1,7.8209,68600,0.0,1.0
2008-05-16,20.1,20.38,20.0,20.06,7.8053,99300,0.0,1.0
2008-05-19,20.25,20.9,20.01,20.1,7.8209,112100,0.0,1.0
2008-05-20,20.59,20.65,20.03,20.27,7.887,78400,0.0,1.0
2008-05-21,20.45,20.49,20.2,20.45,7.9571,46100,0.0,1.0
2008-05-22,20.4,20.5,20.2,20.45,7.9571,46000,0.0,1.0
2008-05-23,20.49,20.5,20.16,20.21,7.8637,78000,0.0,1.0
2008-05-27,20.63,20.7,19.55,19.67,7.6536,140300,0.0,1.0
2008-05-28,19.66,19.67,18.33,18.93,7.4687,231800,0.265,1.0
2008-05-29,18.8,18.98,18.5,18.78,7.4096,68800,0.0,1.0
2008-05-30,18.85,19.09,18.7,18.86,7.4411,187200,0.0,1.0
2008-06-02,19.0,19.1,18.6,18.83,7.4293,47200,0.0,1.0
2008-06-03,18.75,19.6,18.75,19.31,7.6187,49100,0.0,1.0
2008-06-04,19.4,19.69,19.3,19.65,7.7528,25600,0.0,1.0
2008-06-05,19.73,19.75,19.08,19.16,7.5595,56400,0.0,1.0
2008-06-06,18.78,19.37,18.78,19.14,7.5516,23300,0.0,1.0
2008-06-09,19.2,19.27,18.56,19.0,7.4964,50400,0.0,1.0
2008-06-10,19.05,19.19,19.0,19.13,7.5477,33400,0.0,1.0
2008-06-11,19.18,19.28,19.0,19.2,7.5753,24700,0.0,1.0
2008-06-12,19.08,19.2,19.02,19.05,7.5161,34500,0.0,1.0
2008-06-13,19.27,19.27,18.97,19.13,7.5477,26000,0.0,1.0
2008-06-16,19.25,19.28,18.85,19.08,7.5279,100200,0.0,1.0
2008-06-17,19.1,19.28,18.9,19.1,7.5358,49100,0.0,1.0
2008-06-18,19.15,19.28,19.0,19.19,7.5713,69500,0.0,1.0
2008-06-19,19.99,19.99,19.1,19.3,7.6147,15600,0.0,1.0
2008-06-20,19.3,19.39,18.9,19.11,7.5398,84700,0.0,1.0
2008-06-23,19.12,19.39,19.08,19.17,7.5634,37100,0.0,1.0
2008-06-24,19.26,19.35,19.08,19.16,7.5595,31700,0.0,1.0
2008-06-25,19.11,20.16,19.11,20.06,7.9146,86500,0.0,1.0
2008-06-26,20.0,20.0,19.42,19.59,7.7291,46600,0.0,1.0
2008-06-27,19.45,19.45,18.93,19.28,7.6068,77600,0.0,1.0
2008-06-30,19.25,19.62,19.11,19.6,7.7331,36600,0.0,1.0
2008-07-01,19.53,19.58,19.31,19.51,7.6976,25000,0.0,1.0
2008-07-02,19.62,19.81,19.4,19.5,7.6936,98000,0.0,1.0
2008-07-03,19.43,19.43,18.92,19.2,7.5753,51400,0.0,1.0
2008-07-07,19.2,19.7,19.2,19.43,7.666,53200,0.0,1.0
2008-07-08,19.34,19.5,18.67,18.99,7.4924,66800,0.0,1.0
2008-07-09,19.01,19.22,18.8,18.87,7.4451,32400,0.0,1.0
2008-07-10,18.97,19.08,18.75,19.08,7.5279,12400,0.0,1.0
2008-07-11,19.1,19.1,18.74,18.91,7.4609,17500,0.0,1.0
2008-07-14,19.0,19.46,18.95,19.22,7.5832,26500,0.0,1.0
2008-07-15,19.02,19.23,18.73,18.81,7.4214,26400,0.0,1.0
2008-07-16,18.76,18.97,18.5,18.95,7.4766,32300,0.0,1.0
2008-07-17,19.05,19.19,18.61,18.77,7.4056,20900,0.0,1.0
2008-07-18,18.87,19.07,18.61,18.8,7.4175,19000,0.0,1.0
2008-07-21,19.09,19.25,18.77,19.06,7.52,26600,0.0,1.0
2008-07-22,18.95,18.98,18.6,18.87,7.4451,33600,0.0,1.0
2008-07-23,18.96,19.44,18.71,19.24,7.5911,46300,0.0,1.0
2008-07-24,19.34,19.4,18.95,19.3,7.6147,28800,0.0,1.0
2008-07-25,19.19,19.4,18.73,18.77,7.4056,34300,0.0,1.0
2008-07-28,18.8,18.85,18.32,18.58,7.3307,24500,0.0,1.0
