timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-05-26,25.0,25.01,25.0,25.0,6.2392,652400,0.0,1.0
2005-05-27,25.0,25.04,25.0,25.02,6.2442,18600,0.0,1.0
2005-05-31,25.01,25.02,25.0,25.01,6.2417,15200,0.0,1.0
2005-06-01,25.0,25.02,25.0,25.01,6.2417,31100,0.0,1.0
2005-06-02,25.02,25.02,25.0,25.01,6.2417,20800,0.0,1.0
2005-06-03,25.02,25.02,25.0,25.01,6.2417,20200,0.0,1.0
2005-06-06,25.01,25.01,25.0,25.01,6.2417,10800,0.0,1.0
2005-06-07,25.0,25.08,25.0,25.01,6.2417,26600,0.0,1.0
2005-06-08,25.0,25.01,25.0,25.0,6.2392,12000,0.0,1.0
2005-06-09,25.01,25.01,25.0,25.0,6.2392,28900,0.0,1.0
2005-06-10,25.02,25.02,25.0,25.0,6.2392,11600,0.0,1.0
2005-06-13,25.01,25.01,25.0,25.01,6.2417,28000,0.0,1.0
2005-06-14,25.01,25.01,25.0,25.01,6.2417,9700,0.0,1.0
2005-06-15,25.0,25.01,25.0,25.0,6.2392,33000,0.0,1.0
2005-06-16,25.0,25.01,25.0,25.01,6.2417,30000,0.0,1.0
2005-06-17,25.0,25.01,25.0,25.0,6.2392,6500,0.0,1.0
2005-06-20,25.0,25.01,25.0,25.0,6.2392,20700,0.0,1.0
2005-06-21,25.0,25.01,25.0,25.0,6.2392,55100,0.0,1.0
2005-06-22,25.0,25.01,25.0,25.0,6.2392,10800,0.0,1.0
2005-06-23,25.0,25.01,25.0,25.0,6.2392,105200,0.0,1.0
2005-06-24,25.0,25.01,25.0,25.0,6.2392,34100,0.0,1.0
2005-06-27,25.0,25.01,25.0,25.0,6.2392,64000,0.0,1.0
2005-06-28,25.0,25.01,25.0,25.0,6.2392,36600,0.0,1.0
2005-06-29,25.01,25.01,25.0,25.0,6.2392,12800,0.0,1.0
2005-06-30,25.01,25.01,25.0,25.01,6.2417,6100,0.0,1.0
2005-07-01,25.0,25.01,25.0,25.01,6.2417,13500,0.0,1.0
2005-07-05,25.0,25.0,25.0,25.0,6.2392,28300,0.0,1.0
2005-07-06,25.0,25.0,24.25,24.45,6.1019,109400,0.0,1.0
2005-07-07,24.3,24.58,24.25,24.46,6.1044,12700,0.0,1.0
2005-07-08,24.36,24.4,24.25,24.38,6.0845,23500,0.0,1.0
2005-07-11,24.5,24.5,24.25,24.48,6.1094,30600,0.0,1.0
2005-07-12,24.4,24.65,24.35,24.55,6.1269,34600,0.0,1.0
2005-07-13,24.55,24.55,24.35,24.45,6.1019,12900,0.0,1.0
2005-07-14,24.45,24.46,24.25,24.36,6.0795,13700,0.0,1.0
2005-07-15,24.36,24.8,24.1,24.7,6.1643,30800,0.0,1.0
2005-07-18,24.6,24.7,24.5,24.51,6.1169,20800,0.0,1.0
2005-07-19,24.61,24.68,24.5,24.6,6.1394,8800,0.0,1.0
2005-07-20,24.55,24.69,24.5,24.55,6.1269,20000,0.0,1.0
2005-07-21,24.65,24.65,24.25,24.25,6.052,19400,0.0,1.0
2005-07-22,24.35,24.44,24.11,24.44,6.0994,17800,0.0,1.0
2005-07-25,24.44,24.44,24.13,24.3,6.0645,40200,0.0,1.0
2005-07-26,24.3,24.3,23.81,24.08,6.0096,75600,0.0,1.0
2005-07-27,24.08,24.18,24.08,24.12,6.0196,13600,0.0,1.0
2005-07-28,24.02,24.35,24.01,24.3,6.0645,27300,0.0,1.0
2005-07-29,24.4,24.4,24.08,24.16,6.0296,10900,0.0,1.0
2005-08-01,24.07,24.416,24.07,24.25,6.052,26500,0.0,1.0
2005-08-02,24.2,24.39,24.18,24.39,6.087,15000,0.0,1.0
2005-08-03,24.3,24.4,24.25,24.3,6.0645,17800,0.0,1.0
2005-08-04,24.45,24.49,24.26,24.4,6.0895,21600,0.0,1.0
2005-08-05,24.41,24.48,24.3,24.35,6.077,11300,0.0,1.0
