timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2001-12-11,15.0,15.0,14.75,14.8,6.6206,64400,0.0,1.0
2001-12-12,14.7,14.84,14.7,14.84,6.6385,5300,0.0,1.0
2001-12-13,14.8,14.8,14.7,14.7,6.5759,11300,0.0,1.0
2001-12-14,14.67,14.75,14.5,14.5,6.4864,46000,0.0,1.0
2001-12-17,14.5,14.62,14.4,14.53,6.4998,21600,0.0,1.0
2001-12-18,14.47,14.65,14.22,14.5,6.4864,49900,0.0,1.0
2001-12-19,14.3,14.3,14.13,14.15,6.3589,10600,0.065,1.0
2001-12-20,14.25,14.35,13.3,13.3,5.9769,53700,0.0,1.0
2001-12-21,13.35,13.39,12.86,13.27,5.9635,71200,0.0,1.0
2001-12-24,13.32,13.4,13.02,13.05,5.8646,20000,0.0,1.0
2001-12-26,12.87,13.13,12.85,12.94,5.8152,67600,0.0,1.0
2001-12-27,12.99,13.25,12.86,13.11,5.8916,79600,0.0,1.0
2001-12-28,13.0,13.2,12.94,13.02,5.8511,73300,0.0,1.0
2001-12-31,13.01,13.1,13.0,13.06,5.8691,133900,0.0,1.0
2002-01-02,13.12,13.63,13.12,13.43,6.0354,43300,0.0,1.0
2002-01-03,13.7,13.7,13.45,13.54,6.0848,33500,0.0,1.0
2002-01-04,13.69,13.69,13.42,13.69,6.1522,18200,0.0,1.0
2002-01-07,13.72,13.79,13.67,13.79,6.1971,7800,0.0,1.0
2002-01-08,13.79,13.88,13.75,13.88,6.2376,26800,0.0,1.0
2002-01-09,13.89,13.94,13.86,13.92,6.2556,31200,0.0,1.0
2002-01-10,13.94,13.95,13.83,13.91,6.2511,25800,0.0,1.0
2002-01-11,13.78,13.83,13.64,13.74,6.2039,17300,0.065,1.0
2002-01-14,13.84,13.84,13.74,13.75,6.2084,6700,0.0,1.0
2002-01-15,13.72,13.85,13.68,13.68,6.1768,25300,0.0,1.0
2002-01-16,13.64,13.85,13.64,13.85,6.2535,27900,0.0,1.0
