timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,14.125,14.125,13.75,13.9375,2.95,34044,0.0,1.0
2000-01-04,13.9375,14.0,13.25,13.25,2.8045,21600,0.0,1.0
2000-01-05,13.25,13.25,12.875,12.875,2.7252,60666,0.0,1.0
2000-01-06,12.875,13.1875,12.625,12.75,2.6987,81200,0.0,1.0
2000-01-07,12.6875,13.5,12.6875,13.5,2.8574,28666,0.0,1.0
2000-01-10,13.625,14.125,13.5,14.125,2.9897,116800,0.0,1.0
2000-01-11,14.5,15.1875,14.5,14.875,3.1485,212666,0.0,1.0
2000-01-12,14.875,14.9375,14.1875,14.1875,3.003,34266,0.0,1.0
2000-01-13,14.0,14.0,13.0,13.0,2.7516,58444,0.0,1.0
2000-01-14,13.25,13.3125,13.0625,13.25,2.8045,49200,0.0,1.0
2000-01-18,13.25,13.625,12.875,12.9375,2.7384,33066,0.0,1.0
2000-01-19,12.9375,13.25,12.875,13.125,2.7781,65644,0.0,1.0
2000-01-20,13.25,13.25,12.75,12.8125,2.7119,107377,0.0,1.0
2000-01-21,12.6875,12.875,12.6875,12.8125,2.7119,35244,0.0,1.0
2000-01-24,12.6875,13.0,11.8125,12.3125,2.6061,126666,0.0,1.0
2000-01-25,12.3125,12.3125,11.8125,11.875,2.5135,50400,0.0,1.0
2000-01-26,11.875,11.875,11.0,11.0,2.3283,98800,0.0,1.0
2000-01-27,11.0,11.3125,11.0,11.0625,2.3415,56044,0.0,1.0
2000-01-28,11.1875,11.375,10.5625,10.6875,2.2621,56977,0.0,1.0
2000-01-31,10.6875,10.75,10.375,10.375,2.196,49200,0.0,1.0
2000-02-01,10.375,10.4375,10.0,10.0625,2.1299,76000,0.0,1.0
2000-02-02,10.125,10.1875,10.0,10.125,2.1431,260666,0.0,1.0
2000-02-03,10.1875,11.9375,10.0625,11.1875,2.368,179466,0.0,1.0
2000-02-04,12.0,12.0,11.25,11.25,2.3812,58577,0.0,1.0
2000-02-07,11.25,11.5625,10.9375,11.5,2.4341,105777,0.0,1.0
2000-02-08,11.625,11.625,11.25,11.5,2.4341,44666,0.0,1.0
2000-02-09,11.375,11.625,11.0,11.0,2.3283,33200,0.0,1.0
2000-02-10,11.0,11.5625,11.0,11.1875,2.368,91066,0.0,1.0
2000-02-11,11.125,11.5625,11.0,11.25,2.3812,68044,0.0,1.0
2000-02-14,11.375,11.5625,11.25,11.3125,2.3944,109777,0.0,1.0
2000-02-15,11.4375,12.1875,11.4375,11.9375,2.5267,78400,0.0,1.0
2000-02-16,12.0,12.0,11.75,11.875,2.5135,16577,0.0,1.0
2000-02-17,11.75,11.875,11.375,11.75,2.487,24177,0.0,1.0
2000-02-18,11.6875,11.6875,11.25,11.25,2.3812,30577,0.0,1.0
2000-02-22,11.125,11.25,11.0,11.125,2.3547,45377,0.0,1.0
2000-02-23,11.125,11.1875,11.0,11.0625,2.3415,38844,0.0,1.0
2000-02-24,11.125,11.1875,10.9375,11.125,2.3547,64444,0.0,1.0
2000-02-25,11.25,11.3125,10.25,10.25,2.1695,60844,0.0,1.0
2000-02-28,10.3125,10.3125,9.875,10.25,2.1695,88044,0.0,1.0
2000-02-29,10.1875,10.5,10.125,10.5,2.2225,70800,0.0,1.0
2000-03-01,10.625,10.6875,10.4375,10.5625,2.2357,61866,0.0,1.0
2000-03-02,10.9375,10.9375,10.5,10.625,2.2489,52444,0.0,1.0
2000-03-03,10.5625,10.6875,10.0625,10.25,2.1695,55600,0.0,1.0
2000-03-06,10.375,10.6875,10.3125,10.6875,2.2621,69377,0.0,1.0
2000-03-07,10.6875,11.6875,10.6875,11.5625,2.4473,65377,0.0,1.0
2000-03-08,11.6875,11.6875,11.5,11.6875,2.4738,24400,0.0,1.0
2000-03-09,11.625,12.125,11.5625,11.9375,2.5479,50577,0.1,1.0
2000-03-10,11.8125,11.8125,11.5,11.5,2.4545,30577,0.0,1.0
2000-03-13,11.5625,11.875,11.5,11.8125,2.5212,22577,0.0,1.0
2000-03-14,11.9375,12.0,11.625,11.625,2.4812,19600,0.0,1.0
2000-03-15,11.9375,11.9375,11.3125,11.875,2.5345,47377,0.0,1.0
2000-03-16,11.875,12.375,11.5625,12.375,2.6413,117200,0.0,1.0
2000-03-17,12.25,13.1875,12.25,13.0,2.7747,41377,0.0,1.0
2000-03-20,13.125,13.25,12.5,12.5,2.6679,17644,0.0,1.0
2000-03-21,12.4375,12.5,12.1875,12.375,2.6413,36666,0.0,1.0
2000-03-22,12.25,12.375,11.875,11.875,2.5345,26800,0.0,1.0
