timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,23.19,23.19,22.94,22.94,2.9999,1700,0.0,1.0
2000-01-04,23.0,23.0,22.81,22.88,2.9921,3000,0.0,1.0
2000-01-05,22.94,23.5,22.94,23.38,3.0574,11100,0.0,1.0
2000-01-06,23.38,23.38,23.12,23.12,3.0234,2600,0.0,1.0
2000-01-07,23.19,23.19,23.06,23.06,3.0156,1700,0.0,1.0
2000-01-10,23.0,23.0,22.62,22.88,2.9921,13000,0.0,1.0
2000-01-11,22.94,23.0,22.88,22.88,2.9921,14900,0.0,1.0
2000-01-12,23.0,23.0,22.88,22.88,2.9921,1800,0.0,1.0
2000-01-13,22.94,23.0,22.94,23.0,3.0077,21600,0.0,1.0
2000-01-14,22.88,23.0,22.84,22.94,2.9999,28900,0.0,1.0
2000-01-18,23.12,23.12,23.12,23.12,3.0234,1500,0.0,1.0
2000-01-19,23.12,23.12,23.0,23.0,3.0077,5000,0.0,1.0
2000-01-20,23.0,23.0,22.81,22.88,2.9921,6100,0.0,1.0
2000-01-21,22.88,22.88,22.81,22.81,2.9829,400,0.0,1.0
2000-01-24,22.81,22.81,22.44,22.44,2.9345,2500,0.0,1.0
2000-01-25,22.5,23.0,22.5,22.69,2.9672,8900,0.0,1.0
2000-01-26,22.81,23.06,22.81,23.0,3.0077,23000,0.0,1.0
2000-01-27,23.12,23.31,23.12,23.19,3.0326,3900,0.0,1.0
2000-01-28,23.25,23.25,22.88,23.0,3.0077,3700,0.0,1.0
2000-01-31,22.94,23.0,22.81,23.0,3.0077,4000,0.0,1.0
2000-02-01,22.88,22.94,22.12,22.12,2.8927,8000,0.0,1.0
2000-02-02,22.06,22.06,21.88,21.88,2.8613,7300,0.0,1.0
2000-02-03,21.62,21.62,21.5,21.5,2.8116,3300,0.0,1.0
2000-02-04,21.5,21.5,21.5,21.5,2.8116,0,0.0,1.0
2000-02-07,21.62,21.62,21.25,21.38,2.7959,1200,0.0,1.0
2000-02-08,21.56,21.75,21.56,21.75,2.8443,3200,0.0,1.0
2000-02-09,21.62,21.62,21.0,21.0,2.7462,6600,0.0,1.0
2000-02-10,21.12,21.31,21.06,21.19,2.771,2200,0.0,1.0
2000-02-11,21.38,21.38,21.06,21.25,2.7789,3100,0.0,1.0
2000-02-14,21.12,21.44,21.0,21.44,2.8037,6700,0.0,1.0
2000-02-15,21.31,21.31,21.12,21.12,2.7619,1700,0.0,1.0
2000-02-16,21.12,21.12,21.06,21.06,2.754,4600,0.0,1.0
2000-02-17,21.06,21.75,21.06,21.5,2.8116,6600,0.0,1.0
2000-02-18,21.5,21.69,21.5,21.5,2.8116,2000,0.0,1.0
2000-02-22,21.25,22.0,21.25,22.0,2.877,8100,0.0,1.0
2000-02-23,22.25,22.31,22.06,22.12,2.8927,4300,0.0,1.0
2000-02-24,22.12,22.12,22.0,22.0,2.877,6300,0.0,1.0
2000-02-25,22.12,22.12,21.94,21.94,2.8691,15500,0.0,1.0
2000-02-28,21.94,21.94,21.75,21.75,2.8443,2400,0.0,1.0
2000-02-29,21.62,21.75,21.5,21.56,2.8194,14500,0.0,1.0
2000-03-01,21.44,21.56,21.31,21.44,2.8037,8600,0.0,1.0
2000-03-02,21.5,21.69,21.44,21.69,2.8364,10700,0.0,1.0
2000-03-03,21.62,21.62,21.38,21.44,2.8037,8200,0.0,1.0
2000-03-06,21.31,21.5,21.0,21.44,2.8037,13700,0.0,1.0
2000-03-07,21.44,21.5,21.31,21.31,2.7867,7100,0.0,1.0
2000-03-08,21.31,21.31,20.88,20.88,2.7305,14200,0.0,1.0
2000-03-09,20.88,20.88,20.5,20.5,2.6808,2500,0.0,1.0
2000-03-10,20.62,21.0,20.62,21.0,2.7462,3600,0.0,1.0
2000-03-13,20.69,20.81,20.69,20.81,2.754,4900,0.25,1.0
2000-03-14,20.75,20.75,20.56,20.69,2.7382,7300,0.0,1.0
2000-03-15,20.62,20.75,20.62,20.75,2.7461,4900,0.0,1.0
2000-03-16,20.69,21.06,20.62,21.0,2.7792,11400,0.0,1.0
2000-03-17,20.62,20.62,20.0,20.5,2.713,17200,0.0,1.0
2000-03-20,20.62,20.75,20.56,20.56,2.721,4700,0.0,1.0
2000-03-21,20.56,20.62,20.38,20.38,2.6971,6300,0.0,1.0
2000-03-22,20.38,20.5,20.38,20.5,2.713,2300,0.0,1.0
2000-03-23,20.38,20.38,20.25,20.25,2.6799,5600,0.0,1.0
2000-03-24,20.25,20.25,20.19,20.25,2.6799,8600,0.0,1.0
2000-03-27,20.25,20.62,20.25,20.56,2.721,4000,0.0,1.0
2000-03-28,20.44,21.12,20.44,21.12,2.7951,5400,0.0,1.0
2000-03-29,21.25,21.75,21.25,21.69,2.8705,9500,0.0,1.0
2000-03-30,21.69,22.06,21.69,22.06,2.9195,1500,0.0,1.0
2000-03-31,22.12,22.88,22.12,22.81,3.0187,4800,0.0,1.0
2000-04-03,22.94,23.12,22.62,22.62,2.9936,13900,0.0,1.0
2000-04-04,22.56,22.56,22.31,22.31,2.9526,7000,0.0,1.0
2000-04-05,22.44,22.44,22.31,22.38,2.9618,2600,0.0,1.0
2000-04-06,22.38,23.12,22.31,23.12,3.0598,11900,0.0,1.0
2000-04-07,23.19,23.19,23.0,23.12,3.0598,7200,0.0,1.0
2000-04-10,23.25,23.56,23.25,23.56,3.118,4300,0.0,1.0
2000-04-11,23.69,24.12,23.69,24.12,3.1921,7400,0.0,1.0
2000-04-12,24.38,24.38,24.0,24.0,3.1762,10100,0.0,1.0
2000-04-13,23.88,23.88,23.75,23.75,3.1431,2700,0.0,1.0
2000-04-14,23.88,23.88,23.25,23.25,3.077,7700,0.0,1.0
2000-04-17,23.38,23.38,23.0,23.19,3.069,6600,0.0,1.0
2000-04-18,23.06,23.06,22.62,22.75,3.0108,11100,0.0,1.0
2000-04-19,22.75,22.81,22.62,22.69,3.0029,2900,0.0,1.0
2000-04-20,22.81,22.81,22.75,22.75,3.0108,900,0.0,1.0
2000-04-24,22.62,22.62,22.56,22.56,2.9856,1900,0.0,1.0
2000-04-25,22.56,22.56,22.56,22.56,2.9856,700,0.0,1.0
2000-04-26,22.69,22.75,22.62,22.75,3.0108,5000,0.0,1.0
2000-04-27,22.75,22.75,22.75,22.75,3.0108,0,0.0,1.0
2000-04-28,22.62,22.75,22.62,22.75,3.0108,1900,0.0,1.0
2000-05-01,22.75,22.75,22.69,22.69,3.0029,200,0.0,1.0
2000-05-02,22.56,22.56,22.44,22.44,2.9698,1700,0.0,1.0
2000-05-03,22.12,22.12,22.0,22.0,2.9115,6400,0.0,1.0
2000-05-04,22.19,22.31,22.12,22.12,2.9274,800,0.0,1.0
2000-05-05,22.12,22.62,22.12,22.62,2.9936,5400,0.0,1.0
2000-05-08,22.56,22.69,22.44,22.44,2.9698,1800,0.0,1.0
2000-05-09,22.44,22.44,22.25,22.38,2.9618,3300,0.0,1.0
2000-05-10,22.38,22.62,22.38,22.62,2.9936,4000,0.0,1.0
2000-05-11,22.69,22.69,22.56,22.56,2.9856,700,0.0,1.0
2000-05-12,22.44,22.44,22.0,22.0,2.9115,4300,0.0,1.0
2000-05-15,22.0,22.44,21.88,22.44,2.9698,5600,0.0,1.0
2000-05-16,22.56,22.56,22.44,22.44,2.9698,1200,0.0,1.0
2000-05-17,22.31,22.88,22.31,22.88,3.028,4200,0.0,1.0
2000-05-18,22.81,22.81,22.75,22.75,3.0108,400,0.0,1.0
2000-05-19,22.88,22.94,22.88,22.88,3.028,3900,0.0,1.0
2000-05-22,22.88,23.0,22.69,22.69,3.0029,2300,0.0,1.0
2000-05-23,22.44,22.44,22.25,22.44,2.9698,5900,0.0,1.0
2000-05-24,22.5,22.75,22.5,22.62,2.9936,4600,0.0,1.0
2000-05-25,22.75,22.75,22.75,22.75,3.0108,300,0.0,1.0
2000-05-26,22.69,22.69,22.38,22.38,2.9618,5200,0.0,1.0
2000-05-30,22.44,22.75,22.44,22.75,3.0108,1900,0.0,1.0
2000-05-31,22.56,22.75,22.56,22.75,3.0108,2500,0.0,1.0
2000-06-01,22.88,23.12,22.88,23.0,3.0439,4200,0.0,1.0
2000-06-02,23.25,23.25,23.12,23.12,3.0598,1400,0.0,1.0
