timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,31.75,32.0,29.5,31.44,14.9051,6000,0.0,1.0
2000-01-04,30.5,31.0,30.0,30.25,14.3409,7100,0.0,1.0
2000-01-05,28.0,29.75,28.0,29.5,13.9854,12300,0.0,1.0
2000-01-06,29.5,29.88,28.38,29.5,13.9854,8200,0.0,1.0
2000-01-07,29.5,29.5,28.13,29.0,13.7483,6000,0.0,1.0
2000-01-10,29.0,29.5,29.0,29.38,13.9285,4000,0.0,1.0
2000-01-11,29.25,29.5,29.0,29.5,13.9854,13400,0.0,1.0
2000-01-12,29.5,29.5,28.63,28.63,13.5729,9500,0.0,1.0
2000-01-13,28.88,30.25,28.88,29.0,13.7483,4600,0.0,1.0
2000-01-14,28.75,29.5,28.0,28.06,13.3027,5800,0.0,1.0
2000-01-18,30.0,30.0,28.19,29.0,13.7483,11300,0.0,1.0
2000-01-19,28.06,30.0,27.88,29.63,14.047,9400,0.0,1.0
2000-01-20,27.75,30.0,27.75,29.25,13.8668,17000,0.0,1.0
2000-01-21,28.25,29.0,28.0,28.25,13.3928,19100,0.0,1.0
2000-01-24,28.25,28.63,27.88,27.88,13.2173,6400,0.0,1.0
2000-01-25,27.88,28.75,27.75,28.5,13.5113,15900,0.0,1.0
2000-01-26,28.0,28.13,27.25,27.5,13.0372,10600,0.0,1.0
2000-01-27,28.0,28.0,26.75,26.75,12.6816,7000,0.0,1.0
2000-01-28,27.88,28.0,26.63,27.0,12.8002,9200,0.0,1.0
2000-01-31,28.0,28.0,26.0,26.0,12.3261,8500,0.0,1.0
2000-02-01,26.38,26.38,25.06,25.19,11.9421,12200,0.0,1.0
2000-02-02,25.5,26.5,25.25,26.37,12.5015,8500,0.0,1.0
2000-02-03,26.38,28.0,26.38,26.88,12.7433,8600,0.0,1.0
2000-02-04,27.0,27.0,26.75,26.77,12.6911,6100,0.0,1.0
2000-02-07,27.75,28.0,27.72,28.0,13.2742,3900,0.0,1.0
2000-02-08,27.0,28.13,27.0,28.13,13.3359,5000,0.0,1.0
2000-02-09,28.25,28.25,27.0,27.0,12.8002,15400,0.0,1.0
2000-02-10,26.75,27.0,26.63,26.88,12.7433,2700,0.0,1.0
2000-02-11,26.63,27.13,26.5,26.5,12.5631,2400,0.0,1.0
2000-02-14,26.63,26.63,25.88,26.0,12.3261,14300,0.0,1.0
2000-02-15,25.13,25.75,25.13,25.63,12.1507,7900,0.0,1.0
2000-02-16,25.63,25.63,25.13,25.13,11.9136,10400,0.0,1.0
2000-02-17,25.38,25.75,25.0,25.38,12.0321,7100,0.0,1.0
2000-02-18,25.38,25.38,25.13,25.25,11.9705,9700,0.0,1.0
2000-02-22,25.13,26.0,24.5,26.0,12.3261,9800,0.0,1.0
2000-02-23,25.5,28.0,25.44,26.44,12.5347,12500,0.0,1.0
2000-02-24,26.38,26.5,26.0,26.0,12.3261,14400,0.0,1.0
2000-02-25,26.38,27.5,26.38,27.5,13.0372,14500,0.0,1.0
2000-02-28,27.0,28.14,25.75,26.5,12.5631,36500,0.0,1.0
2000-02-29,26.5,28.13,26.5,26.5,12.5631,10800,0.0,1.0
2000-03-01,27.5,27.5,27.5,27.5,13.1415,1200,0.22,1.0
2000-03-02,27.0,27.0,27.0,27.0,12.9026,500,0.0,1.0
2000-03-03,26.75,27.5,26.75,27.5,13.1415,3800,0.0,1.0
2000-03-06,26.5,26.5,25.5,25.75,12.3052,4800,0.0,1.0
2000-03-07,25.88,25.88,25.13,25.13,12.0089,18800,0.0,1.0
2000-03-08,25.13,25.5,25.13,25.5,12.1858,3400,0.0,1.0
2000-03-09,25.25,25.94,25.0,25.5,12.1858,16400,0.0,1.0
2000-03-10,25.5,25.75,25.25,25.25,12.0663,7200,0.0,1.0
2000-03-13,25.13,25.63,25.0,25.13,12.0089,12000,0.0,1.0
2000-03-14,26.0,28.06,24.38,24.56,11.7365,28900,0.0,1.0
2000-03-15,24.63,24.63,20.88,20.88,9.978,18400,0.0,1.0
2000-03-16,25.0,26.06,23.75,25.81,12.3339,10000,0.0,1.0
2000-03-17,25.0,29.75,25.0,28.5,13.6194,30400,0.0,1.0
2000-03-20,28.88,29.63,27.38,27.38,13.0842,20900,0.0,1.0
2000-03-21,27.38,27.38,23.25,25.25,12.0663,22300,0.0,1.0
2000-03-22,24.5,27.0,22.75,27.0,12.9026,8500,0.0,1.0
2000-03-23,25.0,26.5,25.0,25.75,12.3052,3200,0.0,1.0
2000-03-24,25.25,26.12,25.25,25.25,12.0663,600,0.0,1.0
2000-03-27,26.31,26.38,25.25,25.5,12.1858,6500,0.0,1.0
2000-03-28,25.0,25.13,23.0,23.0,10.9911,20200,0.0,1.0
2000-03-29,22.88,23.81,22.75,22.88,10.9337,19600,0.0,1.0
2000-03-30,24.5,25.25,23.0,23.5,11.23,10300,0.0,1.0
2000-03-31,23.5,23.5,21.94,22.13,10.5753,64300,0.0,1.0
2000-04-03,23.13,24.63,22.75,23.5,11.23,15600,0.0,1.0
2000-04-04,23.5,24.25,21.81,22.75,10.8716,35600,0.0,1.0
2000-04-05,23.0,23.75,22.75,23.63,11.2921,14300,0.0,1.0
2000-04-06,24.0,24.0,23.25,23.63,11.2921,11200,0.0,1.0
2000-04-07,23.63,24.0,23.63,24.0,11.4689,18400,0.0,1.0
2000-04-10,23.88,24.25,23.25,23.25,11.1105,12200,0.0,1.0
2000-04-11,23.25,23.5,23.25,23.38,11.1727,9900,0.0,1.0
2000-04-12,23.5,24.38,23.38,24.13,11.5311,9200,0.0,1.0
2000-04-13,23.88,26.13,23.88,25.0,11.9468,17200,0.0,1.0
