timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,9.88,10.0,9.88,10.0,2.0033,2900,0.0,1.0
2000-01-04,10.0,10.12,9.88,10.0,2.0033,6600,0.0,1.0
2000-01-05,9.94,10.0,9.75,9.94,1.9913,6000,0.0,1.0
2000-01-06,9.88,9.88,9.88,9.88,1.9793,2600,0.0,1.0
2000-01-07,10.0,10.0,9.81,9.81,1.9653,6200,0.0,1.0
2000-01-10,9.94,10.06,9.94,10.06,2.0154,3000,0.0,1.0
2000-01-11,10.0,10.0,9.94,9.94,1.9913,3800,0.0,1.0
2000-01-12,9.94,9.94,9.5,9.5,1.9032,14400,0.0,1.0
2000-01-13,9.5,9.75,9.5,9.75,1.9533,4000,0.0,1.0
2000-01-14,9.62,9.75,9.62,9.75,1.9533,1000,0.0,1.0
2000-01-18,9.75,11.0,9.75,11.0,2.2037,20600,0.0,1.0
2000-01-19,11.0,11.0,10.56,10.69,2.1416,11300,0.0,1.0
2000-01-20,10.56,10.69,10.56,10.69,2.1416,1200,0.0,1.0
2000-01-21,10.69,11.0,10.69,10.94,2.1917,5700,0.0,1.0
2000-01-24,10.94,11.0,10.88,10.88,2.1796,3300,0.0,1.0
2000-01-25,10.88,11.88,10.88,11.5,2.3038,12300,0.0,1.0
2000-01-26,11.5,11.56,11.06,11.25,2.2538,12500,0.0,1.0
2000-01-27,10.81,11.0,10.81,11.0,2.2317,3100,0.14,1.0
2000-01-28,11.12,11.12,11.12,11.12,2.2561,600,0.0,1.0
2000-01-31,11.12,11.88,11.0,11.88,2.4103,9200,0.0,1.0
2000-02-01,11.75,11.75,11.12,11.12,2.2561,2900,0.0,1.0
2000-02-02,11.25,11.25,11.06,11.19,2.2703,3800,0.0,1.0
2000-02-03,11.12,11.31,11.12,11.31,2.2946,1100,0.0,1.0
2000-02-04,11.19,12.0,11.19,12.0,2.4346,4400,0.0,1.0
2000-02-07,12.0,12.0,11.69,11.69,2.3717,5800,0.0,1.0
2000-02-08,11.75,11.75,11.5,11.5,2.3332,3000,0.0,1.0
2000-02-09,11.62,11.62,11.62,11.62,2.3575,500,0.0,1.0
2000-02-10,11.5,11.62,11.5,11.62,2.3575,300,0.0,1.0
2000-02-11,11.56,11.56,11.56,11.56,2.3453,500,0.0,1.0
2000-02-14,11.44,11.5,11.38,11.44,2.321,2900,0.0,1.0
2000-02-15,11.44,11.69,11.44,11.69,2.3717,4700,0.0,1.0
2000-02-16,11.62,11.75,11.5,11.75,2.3839,3700,0.0,1.0
2000-02-17,11.62,11.88,11.5,11.5,2.3332,2900,0.0,1.0
2000-02-18,11.38,11.75,11.38,11.75,2.3839,4000,0.0,1.0
2000-02-22,11.62,11.62,11.56,11.56,2.3453,1000,0.0,1.0
2000-02-23,11.69,11.69,11.69,11.69,2.3717,1000,0.0,1.0
2000-02-24,11.81,12.0,11.69,11.75,2.3839,15400,0.0,1.0
2000-02-25,11.75,11.75,11.62,11.62,2.3839,10900,0.13,1.0
2000-02-28,11.75,11.75,10.94,11.25,2.308,22600,0.0,1.0
2000-02-29,10.88,10.94,10.88,10.94,2.2444,7300,0.0,1.0
2000-03-01,10.88,11.75,10.88,11.75,2.4106,12900,0.0,1.0
2000-03-02,11.88,11.88,11.69,11.69,2.3983,4700,0.0,1.0
2000-03-03,11.88,12.0,11.81,11.94,2.4495,7900,0.0,1.0
2000-03-06,11.94,11.94,11.5,11.75,2.4106,8500,0.0,1.0
2000-03-07,11.56,11.62,11.56,11.62,2.3839,1400,0.0,1.0
2000-03-08,11.69,11.69,11.62,11.62,2.3839,1700,0.0,1.0
2000-03-09,11.5,11.5,11.12,11.19,2.2957,5300,0.0,1.0
2000-03-10,11.31,11.5,10.69,10.94,2.2444,7900,0.0,1.0
2000-03-13,10.81,10.94,10.12,10.12,2.0762,10500,0.0,1.0
2000-03-14,10.25,10.81,10.19,10.44,2.1418,19900,0.0,1.0
2000-03-15,10.31,10.5,10.25,10.38,2.1295,2100,0.0,1.0
2000-03-16,10.5,11.0,10.5,11.0,2.2567,16500,0.0,1.0
2000-03-17,11.12,11.25,11.0,11.0,2.2567,1800,0.0,1.0
2000-03-20,11.19,11.38,11.19,11.38,2.3347,600,0.0,1.0
2000-03-21,10.88,11.19,10.88,11.19,2.2957,4000,0.0,1.0
2000-03-22,11.31,11.31,11.06,11.06,2.269,5400,0.0,1.0
2000-03-23,10.56,10.62,10.56,10.62,2.1787,14000,0.0,1.0
2000-03-24,10.56,11.38,10.56,10.88,2.2321,7700,0.0,1.0
2000-03-27,10.69,13.0,10.56,13.0,2.667,58200,0.0,1.0
2000-03-28,13.0,14.75,12.31,12.31,2.5501,55700,0.12,1.0
2000-03-29,12.31,12.94,12.19,12.31,2.5501,20500,0.0,1.0
2000-03-30,12.12,12.12,11.5,12.0,2.4858,12000,0.0,1.0
2000-03-31,11.75,12.06,9.88,10.06,2.084,108900,0.0,1.0
2000-04-03,11.0,11.31,10.5,11.0,2.2787,15700,0.0,1.0
2000-04-04,10.69,10.75,10.44,10.75,2.2269,25700,0.0,1.0
2000-04-05,10.75,10.88,10.56,10.56,2.1875,8900,0.0,1.0
2000-04-06,10.12,10.88,10.0,10.88,2.2538,26100,0.0,1.0
2000-04-07,10.75,10.75,10.44,10.44,2.1627,8400,0.0,1.0
2000-04-10,10.62,11.5,10.62,11.25,2.3305,14600,0.0,1.0
2000-04-11,11.06,11.5,11.06,11.31,2.3429,9100,0.0,1.0
2000-04-12,11.38,11.69,11.38,11.69,2.4216,5000,0.0,1.0
2000-04-13,11.81,11.81,11.31,11.31,2.3429,6500,0.0,1.0
2000-04-14,11.44,12.0,11.25,11.25,2.3305,21600,0.0,1.0
2000-04-17,10.94,11.75,10.75,11.75,2.4341,17300,0.0,1.0
2000-04-18,11.5,11.5,11.19,11.25,2.3305,3000,0.0,1.0
2000-04-19,11.38,11.56,11.38,11.56,2.3947,1100,0.0,1.0
2000-04-20,11.56,12.31,11.56,11.88,2.461,8800,0.0,1.0
2000-04-24,12.0,12.25,12.0,12.06,2.4983,2000,0.0,1.0
2000-04-25,12.12,12.38,12.12,12.38,2.5646,11100,0.0,1.0
2000-04-26,12.25,12.5,11.88,12.5,2.6143,15600,0.12,1.0
2000-04-27,12.19,12.38,12.12,12.19,2.5494,2600,0.0,1.0
2000-04-28,12.31,12.75,12.12,12.75,2.6666,4900,0.0,1.0
2000-05-01,12.5,12.81,12.44,12.81,2.6791,6500,0.0,1.0
2000-05-02,12.75,12.75,11.94,12.06,2.5223,16000,0.0,1.0
2000-05-03,12.19,12.94,11.69,12.62,2.6394,19600,0.0,1.0
2000-05-04,12.5,12.5,12.5,12.5,2.6143,5300,0.0,1.0
2000-05-05,12.38,12.38,11.5,11.88,2.4846,4500,0.0,1.0
2000-05-08,11.88,11.88,11.81,11.81,2.47,4700,0.0,1.0
2000-05-09,11.81,12.94,11.81,12.62,2.6394,17000,0.0,1.0
2000-05-10,12.5,12.62,12.06,12.25,2.562,6100,0.0,1.0
2000-05-11,12.12,12.5,12.12,12.5,2.6143,2200,0.0,1.0
2000-05-12,12.62,12.88,12.38,12.75,2.6666,6400,0.0,1.0
2000-05-15,12.88,12.88,12.81,12.81,2.6791,300,0.0,1.0
2000-05-16,12.81,13.19,12.81,13.0,2.7189,15200,0.0,1.0
2000-05-17,13.0,13.31,12.88,13.31,2.7837,9400,0.0,1.0
2000-05-18,13.19,13.25,12.69,12.69,2.654,11600,0.0,1.0
2000-05-19,12.81,12.88,12.81,12.88,2.6938,500,0.0,1.0
2000-05-22,13.19,13.31,13.0,13.0,2.7189,5400,0.0,1.0
2000-05-23,12.94,13.19,12.88,12.94,2.7063,3500,0.0,1.0
2000-05-24,12.88,13.38,12.88,13.06,2.7314,7200,0.0,1.0
2000-05-25,13.06,13.88,13.06,13.62,2.8485,11700,0.0,1.0
2000-05-26,13.25,13.44,13.12,13.38,2.8276,8000,0.14,1.0
2000-05-30,13.38,13.94,13.38,13.94,2.946,15000,0.0,1.0
2000-05-31,13.75,13.94,13.12,13.94,2.946,10900,0.0,1.0
2000-06-01,13.88,14.0,13.56,14.0,2.9586,5200,0.0,1.0
2000-06-02,13.88,13.94,13.5,13.94,2.946,5700,0.0,1.0
2000-06-05,14.0,14.0,13.56,13.88,2.9333,5900,0.0,1.0
2000-06-06,13.75,13.94,13.56,13.94,2.946,18400,0.0,1.0
