timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-04-01,15.05,15.2,15.01,15.2,4.527,169100,0.0,1.0
2004-04-02,15.2,15.23,15.05,15.15,4.5121,116600,0.0,1.0
2004-04-05,15.19,15.19,15.05,15.11,4.5002,123800,0.0,1.0
2004-04-06,15.05,15.1,15.0,15.01,4.4704,126000,0.0,1.0
2004-04-07,15.01,15.11,15.0,15.1,4.4972,127700,0.0,1.0
2004-04-08,15.1,15.11,15.01,15.07,4.4883,108200,0.0,1.0
2004-04-12,15.07,15.1,15.0,15.05,4.4823,122100,0.0,1.0
2004-04-13,15.06,15.06,15.0,15.0,4.4674,209300,0.0,1.0
2004-04-14,15.0,15.02,15.0,15.0,4.4674,375200,0.0,1.0
2004-04-15,15.0,15.01,15.0,15.0,4.4674,416700,0.0,1.0
2004-04-16,15.0,15.01,15.0,15.0,4.4674,194400,0.0,1.0
2004-04-19,15.0,15.02,15.0,15.01,4.4704,168300,0.0,1.0
2004-04-20,15.01,15.01,15.0,15.0,4.4674,218900,0.0,1.0
2004-04-21,15.0,15.0,14.8,14.8,4.4079,1570700,0.0,1.0
2004-04-22,14.8,14.81,14.8,14.8,4.4079,292100,0.0,1.0
2004-04-23,14.81,14.81,14.8,14.8,4.4079,276000,0.0,1.0
2004-04-26,14.8,14.81,14.75,14.76,4.396,876900,0.0,1.0
2004-04-27,14.8,14.8,14.8,14.8,4.4079,409800,0.0,1.0
2004-04-28,14.75,14.76,14.75,14.75,4.393,330800,0.0,1.0
2004-04-29,14.7,14.71,14.7,14.7,4.3781,387400,0.0,1.0
2004-04-30,14.7,14.71,14.55,14.55,4.3334,325300,0.0,1.0
2004-05-03,14.55,14.56,14.55,14.55,4.3334,233000,0.0,1.0
2004-05-04,14.5,14.5,13.65,13.98,4.1636,588900,0.0,1.0
2004-05-05,14.0,14.0,13.78,14.0,4.1696,190800,0.0,1.0
2004-05-06,13.9,13.95,13.3,13.45,4.0058,329500,0.0,1.0
2004-05-07,13.35,13.59,13.11,13.53,4.0296,352800,0.0,1.0
2004-05-10,13.53,13.53,13.53,13.53,4.0296,949700,0.0,1.0
2004-05-11,12.75,13.5,12.75,13.2,3.9313,350200,0.0,1.0
2004-05-12,13.17,13.5,12.85,13.5,4.0207,261100,0.0,1.0
2004-05-13,13.55,13.6,13.25,13.49,4.0177,170300,0.0,1.0
2004-05-14,13.59,13.9,13.35,13.65,4.0654,171900,0.0,1.0
2004-05-17,13.55,13.55,13.0,13.1,3.9016,268300,0.0,1.0
2004-05-18,13.0,13.35,13.0,13.26,3.9492,256600,0.0,1.0
2004-05-19,13.2,13.78,13.0,13.14,3.9135,335900,0.0,1.0
2004-05-20,13.15,13.25,12.7,13.06,3.8896,368500,0.0,1.0
2004-05-21,13.06,13.25,13.0,13.18,3.9254,267700,0.0,1.0
