timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,5.813,5.813,5.563,5.625,5.2914,49600,0.0,1.0
2000-01-04,5.625,5.625,5.125,5.25,4.9387,123000,0.0,1.0
2000-01-05,5.375,5.438,5.25,5.313,4.9979,29800,0.0,1.0
2000-01-06,5.188,5.375,5.063,5.375,5.0562,162600,0.0,1.0
2000-01-07,5.5,5.5,5.188,5.313,4.9979,27400,0.0,1.0
2000-01-10,5.063,5.313,5.063,5.188,4.8803,20000,0.0,1.0
2000-01-11,5.125,5.188,4.875,5.125,4.8211,44200,0.0,1.0
2000-01-12,5.063,5.125,5.0,5.063,4.7628,9200,0.0,1.0
2000-01-13,5.125,5.438,5.0,5.375,5.0562,24700,0.0,1.0
2000-01-14,5.438,5.438,5.25,5.25,4.9387,16700,0.0,1.0
2000-01-18,5.375,5.375,5.125,5.313,4.9979,34500,0.0,1.0
2000-01-19,5.375,5.375,5.125,5.188,4.8803,25400,0.0,1.0
2000-01-20,5.25,5.313,5.063,5.313,4.9979,25200,0.0,1.0
2000-01-21,5.313,5.375,5.125,5.313,4.9979,20700,0.0,1.0
2000-01-24,5.313,5.75,5.313,5.688,5.3507,35900,0.0,1.0
2000-01-25,5.75,5.75,5.5,5.5,5.1738,14100,0.0,1.0
2000-01-26,5.438,5.75,5.375,5.625,5.2914,12100,0.0,1.0
2000-01-27,5.5,5.688,5.438,5.438,5.1155,16700,0.0,1.0
2000-01-28,5.5,5.625,5.25,5.25,4.9387,15100,0.0,1.0
2000-01-31,5.25,6.188,5.125,5.938,5.5859,62600,0.0,1.0
2000-02-01,5.375,5.75,5.375,5.438,5.1155,45500,0.0,1.0
2000-02-02,5.438,5.688,5.438,5.625,5.2914,18300,0.0,1.0
2000-02-03,5.75,5.875,5.625,5.75,5.409,18700,0.0,1.0
2000-02-04,5.563,5.813,5.563,5.563,5.2331,16000,0.0,1.0
2000-02-07,5.563,5.625,5.5,5.563,5.2331,22000,0.0,1.0
2000-02-08,5.438,5.438,5.188,5.25,4.9387,72800,0.0,1.0
2000-02-09,5.188,5.25,5.125,5.125,4.8211,15200,0.0,1.0
2000-02-10,5.25,5.25,5.125,5.188,4.8803,3700,0.0,1.0
2000-02-11,5.0,5.25,4.875,5.188,4.8803,31600,0.0,1.0
2000-02-14,5.188,5.188,5.125,5.188,4.8803,32500,0.0,1.0
2000-02-15,5.188,5.438,5.125,5.438,5.1155,13500,0.0,1.0
2000-02-16,5.313,5.375,5.125,5.25,4.9387,32600,0.0,1.0
2000-02-17,5.188,5.313,5.063,5.313,4.9979,31900,0.0,1.0
2000-02-18,5.375,5.375,5.0,5.0,4.7035,44700,0.0,1.0
2000-02-22,5.0,5.125,4.75,4.75,4.4683,15300,0.0,1.0
2000-02-23,4.938,5.0,4.75,4.75,4.4683,24100,0.0,1.0
2000-02-24,4.563,4.563,4.375,4.5,4.2331,36800,0.0,1.0
2000-02-25,4.5,4.625,4.438,4.5,4.2331,25900,0.0,1.0
2000-02-28,4.625,4.75,4.625,4.75,4.4683,19700,0.0,1.0
2000-02-29,4.625,4.625,4.313,4.313,4.0572,24700,0.0,1.0
2000-03-01,4.25,4.438,4.188,4.25,3.998,35000,0.0,1.0
2000-03-02,4.375,4.375,4.0,4.188,3.9396,50100,0.0,1.0
2000-03-03,4.188,4.25,4.063,4.188,3.9396,26700,0.0,1.0
2000-03-06,4.063,4.313,4.063,4.313,4.0572,12100,0.0,1.0
2000-03-07,4.188,4.188,3.875,3.875,3.6452,46800,0.0,1.0
2000-03-08,3.938,4.0,3.875,4.0,3.7628,18200,0.0,1.0
2000-03-09,4.0,4.188,4.0,4.063,3.8221,16500,0.0,1.0
2000-03-10,4.0,4.188,4.0,4.125,3.8804,22000,0.0,1.0
2000-03-13,4.188,4.188,4.125,4.125,3.8804,7200,0.0,1.0
2000-03-14,4.0,4.25,3.938,4.188,3.9396,33500,0.0,1.0
2000-03-15,4.188,4.375,4.0,4.375,4.1156,75800,0.0,1.0
2000-03-16,4.313,4.438,4.313,4.438,4.1748,24000,0.0,1.0
2000-03-17,4.313,4.5,4.313,4.313,4.0572,38400,0.0,1.0
2000-03-20,4.188,5.0,4.188,4.938,4.6452,37100,0.0,1.0
2000-03-21,5.0,5.063,4.938,4.938,4.6452,16700,0.0,1.0
2000-03-22,5.063,5.188,4.875,4.938,4.6452,68500,0.0,1.0
2000-03-23,5.063,5.063,4.875,5.0,4.7035,24100,0.0,1.0
2000-03-24,4.938,5.0,4.75,4.813,4.5276,42200,0.0,1.0
2000-03-27,4.75,4.75,4.375,4.5,4.2331,30100,0.0,1.0
2000-03-28,4.5,4.5,4.25,4.313,4.0572,23700,0.0,1.0
2000-03-29,4.313,4.375,4.25,4.25,3.998,23100,0.0,1.0
2000-03-30,4.375,4.375,4.063,4.063,3.8221,32300,0.0,1.0
2000-03-31,4.063,4.188,4.0,4.063,3.8221,28000,0.0,1.0
2000-04-03,4.063,4.188,3.875,3.875,3.6452,73400,0.0,1.0
2000-04-04,3.938,3.938,3.813,3.813,3.5869,35900,0.0,1.0
2000-04-05,3.813,3.875,3.75,3.813,3.5869,73100,0.0,1.0
2000-04-06,3.813,3.875,3.688,3.75,3.5276,33100,0.0,1.0
2000-04-07,3.813,4.0,3.75,4.0,3.7628,79000,0.0,1.0
2000-04-10,4.188,4.188,3.813,3.813,3.5869,23500,0.0,1.0
2000-04-11,3.813,4.125,3.625,3.688,3.4693,85200,0.0,1.0
2000-04-12,3.75,3.813,3.625,3.688,3.4693,39600,0.0,1.0
2000-04-13,3.813,4.0,3.688,4.0,3.7628,28100,0.0,1.0
2000-04-14,4.125,4.625,4.125,4.5,4.2331,117600,0.0,1.0
2000-04-17,4.125,4.188,4.0,4.125,3.8804,47900,0.0,1.0
2000-04-18,3.688,3.938,3.688,3.875,3.6452,68200,0.0,1.0
2000-04-19,3.938,4.0,3.75,4.0,3.7628,94500,0.0,1.0
2000-04-20,3.938,4.063,3.813,4.0,3.7628,28000,0.0,1.0
2000-04-24,4.063,4.188,4.0,4.063,3.8221,15400,0.0,1.0
2000-04-25,4.188,4.188,3.875,3.938,3.7045,27700,0.0,1.0
2000-04-26,4.063,4.188,3.938,4.063,3.8221,223800,0.0,1.0
2000-04-27,4.063,4.063,3.875,3.875,3.6452,38100,0.0,1.0
2000-04-28,3.875,4.063,3.875,4.063,3.8221,4600,0.0,1.0
2000-05-01,4.0,4.0,3.813,3.938,3.7045,35800,0.0,1.0
2000-05-02,4.0,4.063,3.75,3.813,3.5869,70700,0.0,1.0
2000-05-03,3.75,3.938,3.75,3.75,3.5276,33800,0.0,1.0
2000-05-04,3.75,4.0,3.75,3.938,3.7045,19100,0.0,1.0
2000-05-05,4.0,4.0,3.813,3.813,3.5869,31300,0.0,1.0
2000-05-08,3.938,3.938,3.75,3.75,3.5276,35400,0.0,1.0
