timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,21.0,21.0,20.0,20.88,5.4436,9376,0.0,1.0
2000-01-04,20.13,20.13,19.13,19.5,5.0838,12791,0.0,1.0
2000-01-05,19.78,19.91,19.5,19.81,5.1646,6644,0.0,1.0
2000-01-06,20.0,20.5,20.0,20.5,5.3445,2235,0.0,1.0
2000-01-07,20.5,21.0,20.5,20.63,5.3784,12481,0.0,1.0
2000-01-10,20.63,21.25,20.63,21.06,5.4905,7389,0.0,1.0
2000-01-11,20.63,21.38,20.56,20.75,5.4097,26017,0.0,1.0
2000-01-12,21.0,21.75,20.75,21.13,5.5087,23098,0.0,1.0
2000-01-13,21.63,21.63,20.63,20.75,5.4097,24030,0.0,1.0
2000-01-14,20.88,20.88,19.5,19.75,5.149,18379,0.0,1.0
2000-01-18,20.0,20.0,18.0,19.25,5.0186,26886,0.0,1.0
2000-01-19,18.56,19.63,18.56,19.0,4.9534,10990,0.0,1.0
2000-01-20,19.75,20.0,19.75,19.88,5.1829,18379,0.0,1.0
2000-01-21,19.44,19.44,19.06,19.25,5.0186,18628,0.0,1.0
2000-01-24,19.06,19.81,19.06,19.75,5.149,21236,0.0,1.0
2000-01-25,19.25,19.38,19.25,19.38,5.0525,5588,0.0,1.0
2000-01-26,19.25,19.25,19.0,19.0,4.9534,10369,0.0,1.0
2000-01-27,19.13,19.5,18.75,18.75,4.8883,29432,0.0,1.0
2000-01-28,18.88,19.0,18.56,18.88,4.9222,16889,0.0,1.0
2000-01-31,18.5,18.75,18.5,18.75,4.8883,1987,0.0,1.0
2000-02-01,18.75,19.25,18.38,19.13,4.9873,34772,0.0,1.0
2000-02-02,19.13,19.13,19.13,19.13,4.9873,12108,0.0,1.0
2000-02-03,19.0,19.25,19.0,19.13,4.9873,7016,0.0,1.0
2000-02-04,19.25,19.37,18.0,18.87,4.9196,17634,0.0,1.0
2000-02-07,18.97,19.38,18.63,18.81,4.9039,8072,0.0,1.0
2000-02-08,18.81,18.81,18.56,18.56,4.8387,2049,0.0,1.0
2000-02-09,18.75,18.75,18.63,18.63,4.857,621,0.0,1.0
2000-02-10,18.75,18.94,18.75,18.94,4.9378,1614,0.0,1.0
2000-02-11,18.94,18.94,18.75,18.94,4.9378,5029,0.0,1.0
2000-02-14,18.94,18.94,18.06,18.63,4.857,8072,0.0,1.0
2000-02-15,18.63,19.25,18.5,19.25,5.0186,4719,0.0,1.0
2000-02-16,19.0,19.25,19.0,19.25,5.0186,2484,0.0,1.0
2000-02-17,19.25,19.56,18.0,19.5,5.0838,20304,0.0,1.0
2000-02-18,19.63,19.63,18.5,19.0,4.9534,5464,0.0,1.0
2000-02-22,18.63,18.88,18.0,18.88,4.9222,6395,0.0,1.0
2000-02-23,18.88,19.63,18.88,19.63,5.1177,6892,0.0,1.0
2000-02-24,19.63,20.0,18.25,18.75,4.8883,11611,0.0,1.0
2000-02-25,18.75,18.94,18.13,18.88,4.9222,3788,0.0,1.0
2000-02-28,18.75,19.0,18.75,18.88,4.9222,16517,0.0,1.0
