timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-05-29,17.49,17.49,17.49,17.49,10.1344,100,0.0,1.0
2014-05-30,17.75,21.0,17.75,21.0,12.1682,2100,0.0,1.0
2014-06-02,21.0,22.0,21.0,21.6,12.5159,145700,0.0,1.0
2014-06-03,21.42,22.345,20.46,20.66,11.9712,3111000,0.0,1.0
2014-06-04,20.06,20.65,17.08,17.38,10.0707,869000,0.0,1.0
2014-06-05,17.34,18.49,16.85,18.1,10.4879,190800,0.0,1.0
2014-06-06,18.28,18.4897,17.47,17.67,10.2387,177200,0.0,1.0
2014-06-09,17.67,17.9,17.25,17.32,10.0359,186200,0.0,1.0
2014-06-10,17.15,17.25,16.85,17.0,9.8505,240500,0.0,1.0
2014-06-11,17.0,17.56,16.75,16.86,9.7694,123900,0.0,1.0
2014-06-12,16.74,16.9,16.32,16.69,9.6709,240100,0.0,1.0
2014-06-13,16.84,17.5,16.44,17.25,9.9953,80300,0.0,1.0
2014-06-16,17.25,17.872,16.77,17.59,10.1924,85000,0.0,1.0
2014-06-17,17.68,18.25,17.06,18.0,10.4299,116500,0.0,1.0
2014-06-18,17.96,18.29,17.3,18.2,10.5458,76000,0.0,1.0
2014-06-19,18.36,18.51,18.02,18.27,10.5864,179100,0.0,1.0
2014-06-20,18.44,19.24,18.26,19.12,11.0789,348500,0.0,1.0
2014-06-23,19.32,19.59,18.7,18.86,10.9282,121100,0.0,1.0
2014-06-24,18.93,19.19,18.76,18.81,10.8993,156900,0.0,1.0
2014-06-25,18.74,19.202,18.27,19.16,11.1021,89300,0.0,1.0
2014-06-26,19.08,19.21,18.54,19.02,11.0209,57600,0.0,1.0
2014-06-27,18.88,19.29,18.62,19.26,11.16,238100,0.0,1.0
2014-06-30,19.28,19.87,19.01,19.8,11.4729,167300,0.0,1.0
2014-07-01,19.97,20.2,19.78,19.82,11.4845,294900,0.0,1.0
2014-07-02,19.82,20.2,19.57,19.81,11.4787,154900,0.0,1.0
2014-07-03,19.89,20.15,19.35,19.9,11.5309,32600,0.0,1.0
2014-07-07,19.86,20.155,19.345,19.53,11.3165,134100,0.0,1.0
2014-07-08,19.55,19.94,18.6,19.12,11.0789,118300,0.0,1.0
2014-07-09,19.14,19.3,18.62,19.0,11.0094,67500,0.0,1.0
2014-07-10,18.64,19.0,18.02,18.53,10.737,123000,0.0,1.0
2014-07-11,18.46,18.5,18.06,18.2,10.5458,93300,0.0,1.0
2014-07-14,18.4,18.54,18.03,18.22,10.5574,120600,0.0,1.0
2014-07-15,18.13,18.5,17.5,17.59,10.1924,75300,0.0,1.0
2014-07-16,17.72,18.446,17.19,17.68,10.2445,102900,0.0,1.0
2014-07-17,17.54,17.756,17.1,17.46,10.117,109000,0.0,1.0
2014-07-18,17.29,18.31,17.29,18.01,10.4357,98700,0.0,1.0
2014-07-21,17.8,18.18,17.5,17.74,10.2793,76800,0.0,1.0
2014-07-22,17.95,18.0,17.59,17.86,10.3488,75800,0.0,1.0
2014-07-23,17.84,17.98,17.55,17.7,10.2561,59100,0.0,1.0
2014-07-24,17.74,18.0,17.5501,17.59,10.1924,59400,0.0,1.0
