timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-08-03,26.7,26.8,26.69,26.79,17.8088,120347,0.0,1.0
2012-08-06,26.8,26.8,26.56,26.79,17.8088,107899,0.0,1.0
2012-08-07,26.75,26.8,26.618,26.78,17.8021,244700,0.0,1.0
2012-08-08,26.65,26.75,26.58,26.75,17.7822,74871,0.0,1.0
2012-08-09,26.75,26.75,26.56,26.64,17.7091,114542,0.0,1.0
2012-08-10,26.7,26.75,26.56,26.72,17.7623,97800,0.0,1.0
2012-08-13,26.77,26.77,26.47,26.72,17.7623,152800,0.0,1.0
2012-08-14,26.65,26.83,26.6,26.77,17.7955,215259,0.0,1.0
2012-08-15,26.75,26.79,26.47,26.67,17.729,107261,0.0,1.0
2012-08-16,26.67,26.8,26.52,26.58,17.6692,127493,0.0,1.0
2012-08-17,26.5,26.64,26.34,26.4,17.5495,60064,0.0,1.0
2012-08-20,26.49,26.5,26.25,26.49,17.6094,104874,0.0,1.0
2012-08-21,26.51,26.57,26.46,26.47,17.5961,106647,0.0,1.0
2012-08-22,26.45,26.5,26.28,26.36,17.5229,94530,0.0,1.0
2012-08-23,26.36,26.43,26.3,26.35,17.5163,104302,0.0,1.0
2012-08-24,26.44,26.48,26.36,26.4,17.5495,59065,0.0,1.0
2012-08-27,26.47,26.53,26.4387,26.52,17.6293,65827,0.0,1.0
2012-08-28,26.55,26.6,26.5,26.6,17.6825,79032,0.0,1.0
2012-08-29,26.59,26.75,26.56,26.69,17.8354,81874,0.14,1.0
2012-08-30,26.7,26.72,26.6,26.71,17.8487,73630,0.0,1.0
2012-08-31,26.74,26.77,26.61,26.67,17.822,46572,0.0,1.0
2012-09-04,26.8,26.8,26.68,26.76,17.8822,47356,0.0,1.0
2012-09-05,26.8,26.94,26.73,26.91,17.9824,87930,0.0,1.0
2012-09-06,26.93,26.95,26.81,26.86,17.949,78185,0.0,1.0
2012-09-07,26.93,27.0,26.86,26.99,18.0359,87570,0.0,1.0
2012-09-10,26.97,27.06,26.9185,27.06,18.0826,74557,0.0,1.0
2012-09-11,27.08,27.08,26.99,27.08,18.096,54519,0.0,1.0
2012-09-12,26.91,27.01,26.87,26.98,18.0292,50147,0.0,1.0
2012-09-13,26.86,27.04,26.86,27.02,18.0559,90246,0.0,1.0
2012-09-14,27.05,27.09,26.97,27.0443,18.0721,45265,0.0,1.0
2012-09-17,27.08,27.08,26.8,26.85,17.9423,62865,0.0,1.0
2012-09-18,26.9,26.97,26.8,26.85,17.9423,67146,0.0,1.0
2012-09-19,26.91,26.96,26.82,26.89,17.969,126067,0.0,1.0
2012-09-20,26.9,27.05,26.9,26.9999,18.0425,44551,0.0,1.0
2012-09-21,27.09,27.1,26.91,27.07,18.0893,42521,0.0,1.0
2012-09-24,27.09,27.09,26.62,26.69,17.8354,111210,0.0,1.0
2012-09-25,26.75,26.95,26.6596,26.95,18.0091,92917,0.0,1.0
2012-09-26,26.6,26.7,26.17,26.31,17.89,99474,0.4618,1.0
2012-09-27,26.27,26.5,26.27,26.5,18.0192,93095,0.0,1.0
2012-09-28,26.61,26.61,26.33,26.38,17.9376,62868,0.0,1.0
2012-10-01,26.52,26.67,26.411,26.67,18.1348,51347,0.0,1.0
2012-10-02,26.56,26.74,26.5,26.57,18.0668,64103,0.0,1.0
2012-10-03,26.48,26.64,26.45,26.53,18.0396,66511,0.0,1.0
2012-10-04,26.6,26.6,26.3,26.4,17.9512,80136,0.0,1.0
2012-10-05,26.49,26.5,26.384,26.5,18.0192,37950,0.0,1.0
2012-10-08,26.65,26.65,26.34,26.42,17.9648,39149,0.0,1.0
2012-10-09,26.41,26.51,26.31,26.4,17.9512,45048,0.0,1.0
2012-10-10,26.45,26.53,26.41,26.41,17.958,59210,0.0,1.0
2012-10-11,26.59,26.84,26.45,26.76,18.196,125705,0.0,1.0
