timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,12.94,12.94,12.38,12.38,4.4445,122500,0.0,1.0
2000-01-04,12.44,12.75,12.25,12.63,4.5343,186100,0.0,1.0
2000-01-05,12.63,12.75,12.0,12.19,4.3763,432100,0.0,1.0
2000-01-06,12.19,12.88,12.13,12.69,4.5558,200100,0.0,1.0
2000-01-07,12.94,13.5,12.81,13.38,4.8036,499100,0.0,1.0
2000-01-10,13.38,13.81,13.38,13.44,4.8251,393400,0.0,1.0
2000-01-11,13.44,13.63,13.38,13.56,4.8682,240200,0.0,1.0
2000-01-12,13.5,13.56,13.38,13.5,4.8466,208900,0.0,1.0
2000-01-13,13.44,13.56,13.38,13.5,4.8466,127500,0.0,1.0
2000-01-14,13.63,13.69,13.5,13.5,4.8466,182400,0.0,1.0
2000-01-18,13.5,13.56,13.5,13.5,4.8466,149200,0.0,1.0
2000-01-19,13.63,13.63,13.44,13.5,4.8466,226900,0.0,1.0
2000-01-20,13.5,13.5,13.38,13.5,4.8466,132900,0.0,1.0
2000-01-21,13.38,13.44,13.25,13.38,4.8036,107700,0.0,1.0
2000-01-24,13.44,13.5,13.38,13.5,4.8466,138500,0.0,1.0
2000-01-25,13.5,13.5,13.38,13.38,4.8036,90900,0.0,1.0
2000-01-26,13.38,13.5,13.38,13.44,4.8251,70200,0.0,1.0
2000-01-27,13.44,13.5,13.44,13.5,4.8466,77700,0.0,1.0
2000-01-28,13.5,13.5,13.38,13.38,4.8036,57800,0.0,1.0
2000-01-31,13.38,13.56,13.0,13.0,4.6671,288700,0.0,1.0
2000-02-01,13.13,13.13,12.88,13.0,4.6671,126400,0.0,1.0
2000-02-02,13.0,13.12,12.5,12.81,4.5989,228100,0.0,1.0
2000-02-03,12.94,13.0,12.81,12.88,4.6241,190200,0.0,1.0
2000-02-04,12.94,13.19,12.94,12.94,4.6456,190600,0.0,1.0
2000-02-07,12.88,13.0,12.69,12.88,4.6241,363300,0.0,1.0
2000-02-08,12.94,12.94,12.63,12.69,4.5558,133600,0.0,1.0
2000-02-09,12.69,12.69,12.5,12.56,4.5092,465700,0.0,1.0
2000-02-10,12.5,12.56,12.06,12.25,4.3979,201700,0.0,1.0
2000-02-11,12.31,12.44,12.0,12.0,4.3081,195300,0.0,1.0
2000-02-14,12.0,12.19,11.69,11.88,4.265,244200,0.0,1.0
2000-02-15,12.0,12.13,11.63,11.88,4.265,211100,0.0,1.0
2000-02-16,12.0,12.0,11.63,11.63,4.1753,203700,0.0,1.0
2000-02-17,11.63,11.81,11.25,11.81,4.2399,154600,0.0,1.0
2000-02-18,11.81,12.06,11.75,12.0,4.3081,489100,0.0,1.0
2000-02-22,12.0,12.13,11.69,11.81,4.2399,248600,0.0,1.0
2000-02-23,11.81,11.94,11.75,11.94,4.2866,1152000,0.0,1.0
2000-02-24,11.81,11.94,11.0,11.31,4.0604,109200,0.0,1.0
2000-02-25,11.31,11.56,11.31,11.44,4.1071,114600,0.0,1.0
2000-02-28,11.5,11.5,11.25,11.5,4.1286,86600,0.0,1.0
2000-02-29,11.63,11.69,11.5,11.56,4.1502,658200,0.0,1.0
2000-03-01,11.5,11.81,11.5,11.81,4.2399,448000,0.0,1.0
2000-03-02,11.75,12.0,11.69,11.94,4.2866,503200,0.0,1.0
2000-03-03,12.0,12.13,11.88,12.06,4.3297,675700,0.0,1.0
2000-03-06,12.06,12.19,11.94,12.19,4.3763,198500,0.0,1.0
2000-03-07,12.19,12.19,12.06,12.06,4.3297,146500,0.0,1.0
2000-03-08,12.06,12.25,12.0,12.13,4.3548,168600,0.0,1.0
2000-03-09,12.19,12.19,12.0,12.0,4.3081,121400,0.0,1.0
2000-03-10,12.13,12.25,12.13,12.13,4.3548,144600,0.0,1.0
2000-03-13,12.19,12.25,12.06,12.06,4.3297,103800,0.0,1.0
2000-03-14,12.06,12.5,12.06,12.13,4.3548,192800,0.0,1.0
2000-03-15,12.25,12.75,12.19,12.63,4.5343,592400,0.0,1.0
2000-03-16,13.25,13.5,13.06,13.13,4.7138,329000,0.0,1.0
2000-03-17,12.81,13.31,12.81,13.25,4.7569,518600,0.0,1.0
2000-03-20,13.0,13.13,12.88,13.06,4.8179,402500,0.36,1.0
2000-03-21,13.0,13.13,12.94,13.06,4.8179,226300,0.0,1.0
2000-03-22,13.06,13.31,13.06,13.25,4.888,209600,0.0,1.0
2000-03-23,13.25,13.25,13.06,13.06,4.8179,327900,0.0,1.0
2000-03-24,13.06,13.19,13.0,13.06,4.8179,170100,0.0,1.0
2000-03-27,13.06,13.25,13.0,13.0,4.7958,195700,0.0,1.0
2000-03-28,13.06,13.38,13.06,13.31,4.9101,157900,0.0,1.0
2000-03-29,13.56,13.56,13.19,13.31,4.9101,88800,0.0,1.0
2000-03-30,13.19,13.5,13.13,13.44,4.9581,157000,0.0,1.0
2000-03-31,13.5,13.88,13.5,13.88,5.1204,251900,0.0,1.0
2000-04-03,13.88,13.88,13.56,13.56,5.0024,443300,0.0,1.0
2000-04-04,13.56,13.75,13.5,13.56,5.0024,331200,0.0,1.0
2000-04-05,13.56,13.75,13.5,13.5,4.9802,533300,0.0,1.0
2000-04-06,13.63,13.88,13.63,13.69,5.0503,202000,0.0,1.0
2000-04-07,13.63,13.81,13.63,13.75,5.0725,93500,0.0,1.0
2000-04-10,13.69,14.0,13.63,13.75,5.0725,160000,0.0,1.0
2000-04-11,13.88,14.44,13.81,14.19,5.2348,230700,0.0,1.0
2000-04-12,14.31,14.69,14.25,14.63,5.3971,732400,0.0,1.0
2000-04-13,14.56,14.56,14.13,14.31,5.279,62900,0.0,1.0
2000-04-14,14.62,14.62,14.12,14.19,5.2348,381000,0.0,1.0
2000-04-17,14.25,14.5,14.06,14.25,5.2569,452000,0.0,1.0
2000-04-18,14.5,14.63,14.25,14.44,5.327,356200,0.0,1.0
2000-04-19,14.38,14.5,14.25,14.31,5.279,95100,0.0,1.0
2000-04-20,14.38,14.38,14.13,14.31,5.279,87900,0.0,1.0
2000-04-24,14.19,14.5,14.19,14.31,5.279,58300,0.0,1.0
2000-04-25,14.44,14.94,14.19,14.75,5.4414,116300,0.0,1.0
2000-04-26,14.88,15.0,14.69,14.94,5.5115,78100,0.0,1.0
2000-04-27,14.94,15.13,14.94,15.06,5.5557,81700,0.0,1.0
2000-04-28,15.19,15.25,15.0,15.19,5.6037,99400,0.0,1.0
2000-05-01,15.13,15.19,15.0,15.13,5.5816,146600,0.0,1.0
2000-05-02,15.06,15.38,15.0,15.13,5.5816,407200,0.0,1.0
2000-05-03,15.19,15.19,14.0,14.19,5.2348,674500,0.0,1.0
2000-05-04,14.44,14.69,14.31,14.69,5.4192,205500,0.0,1.0
2000-05-05,14.69,14.75,14.31,14.38,5.3049,54300,0.0,1.0
2000-05-08,14.44,14.5,14.06,14.06,5.1868,81200,0.0,1.0
2000-05-09,14.38,14.38,14.0,14.19,5.2348,106800,0.0,1.0
2000-05-10,14.06,14.25,14.0,14.13,5.2126,80000,0.0,1.0
2000-05-11,14.19,14.63,14.06,14.63,5.3971,175800,0.0,1.0
2000-05-12,14.56,14.63,14.06,14.25,5.2569,187600,0.0,1.0
2000-05-15,14.13,14.56,14.13,14.5,5.3491,66500,0.0,1.0
2000-05-16,14.75,14.94,14.25,14.56,5.3713,119200,0.0,1.0
2000-05-17,14.44,14.69,14.38,14.44,5.327,150800,0.0,1.0
2000-05-18,14.31,14.44,14.25,14.44,5.327,130400,0.0,1.0
2000-05-19,14.31,14.56,14.31,14.5,5.3491,111800,0.0,1.0
2000-05-22,14.63,14.69,14.31,14.44,5.327,103200,0.0,1.0
2000-05-23,14.56,14.88,14.56,14.69,5.4192,135000,0.0,1.0
2000-05-24,14.75,14.75,14.31,14.38,5.3049,206900,0.0,1.0
2000-05-25,14.5,14.56,14.25,14.25,5.2569,213600,0.0,1.0
2000-05-26,14.38,14.44,14.25,14.44,5.327,58600,0.0,1.0
2000-05-30,14.38,14.63,14.19,14.56,5.3713,84000,0.0,1.0
2000-05-31,14.56,14.69,14.5,14.56,5.3713,203800,0.0,1.0
2000-06-01,14.31,14.44,14.25,14.31,5.279,114100,0.0,1.0
2000-06-02,14.44,14.75,14.44,14.69,5.4192,65800,0.0,1.0
2000-06-05,14.63,14.88,14.44,14.5,5.3491,70500,0.0,1.0
2000-06-06,14.56,14.88,14.25,14.5,5.3491,217400,0.0,1.0
2000-06-07,14.63,14.81,14.5,14.5,5.3491,129200,0.0,1.0
2000-06-08,14.63,14.88,14.5,14.5,5.3491,111400,0.0,1.0
2000-06-09,14.5,14.75,14.5,14.69,5.4192,100300,0.0,1.0
2000-06-12,14.69,14.81,14.56,14.63,5.3971,118100,0.0,1.0
2000-06-13,14.38,14.75,14.13,14.69,5.552,112900,0.36,1.0
2000-06-14,14.69,14.94,14.63,14.75,5.5747,115400,0.0,1.0
2000-06-15,14.88,14.88,14.44,14.81,5.5974,126800,0.0,1.0
2000-06-16,14.69,14.88,14.63,14.81,5.5974,266400,0.0,1.0
2000-06-19,15.19,15.19,14.75,15.0,5.6692,78100,0.0,1.0
