timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-12-03,17.02,17.03,16.86,16.89,13.7082,42100,0.0,1.0
2014-12-04,16.85,17.04,16.75,16.95,13.7569,44000,0.0,1.0
2014-12-05,16.95,17.35,16.95,17.35,14.0816,62600,0.0,1.0
2014-12-08,17.76,17.9,17.5,17.7,14.3656,36700,0.0,1.0
2014-12-09,17.75,17.75,16.91,16.98,13.7813,57500,0.0,1.0
2014-12-10,16.7,16.7,16.09,16.11,13.0752,59100,0.0,1.0
2014-12-11,16.23,16.39,16.21,16.27,13.205,23500,0.0,1.0
2014-12-12,16.46,16.46,16.2,16.23,13.1726,30800,0.0,1.0
2014-12-15,16.43,16.52,16.01,16.02,13.0021,28300,0.0,1.0
2014-12-16,16.02,16.19,15.83,15.84,12.856,37000,0.0,1.0
2014-12-17,15.88,16.01,15.7,16.01,12.994,57500,0.0,1.0
2014-12-18,16.31,16.31,16.1,16.29,13.2213,23000,0.0,1.0
2014-12-22,18.0,19.0,16.59,16.59,13.4647,4963,0.0,1.0
2014-12-23,16.51,16.72,16.3,16.567,13.4461,61250,0.0,1.0
2014-12-24,16.36,16.63,16.07,16.38,13.2943,87507,0.0,1.0
2014-12-26,16.32,16.39,16.01,16.15,13.1076,137709,0.0,1.0
2014-12-29,15.6,16.0566,15.6,15.9,12.9047,162472,0.0,1.0
2014-12-30,15.79,15.95,15.79,15.95,12.9453,102791,0.0,1.0
2014-12-31,15.79,15.92,15.42,15.42,12.5151,184269,0.0,1.0
2015-01-02,15.57,15.6899,15.18,15.36,12.4664,199469,0.0,1.0
2015-01-05,15.19,15.3101,15.05,15.22,12.3528,196878,0.0,1.0
2015-01-06,15.4,15.4,15.08,15.21,12.3447,128662,0.0,1.0
2015-01-07,15.4,15.5,15.27,15.41,12.507,136823,0.0,1.0
2015-01-08,15.5,15.65,15.5,15.55,12.6207,137415,0.0,1.0
2015-01-09,15.66,15.66,15.41,15.41,12.507,81114,0.0,1.0
2015-01-12,15.45,15.45,15.23,15.27,12.3934,120780,0.0,1.0
2015-01-13,15.43,15.52,15.05,15.16,12.3041,177175,0.0,1.0
2015-01-14,15.04,15.13,14.89,15.04,12.2067,169923,0.0,1.0
2015-01-15,15.16,15.16,14.97,15.0,12.1743,238699,0.0,1.0
2015-01-16,15.08,15.35,15.08,15.34,12.4502,158955,0.0,1.0
2015-01-20,15.42,15.42,15.1701,15.29,12.4096,170298,0.0,1.0
2015-01-21,15.32,15.4,15.21,15.34,12.4502,111248,0.0,1.0
2015-01-22,15.4,15.64,15.36,15.59,12.6531,203846,0.0,1.0
2015-01-23,15.59,15.6,15.5,15.5,12.5801,152200,0.0,1.0
2015-01-26,15.48,15.56,15.44,15.55,12.6207,96596,0.0,1.0
2015-01-27,15.4,15.4,15.2498,15.36,12.4664,95024,0.0,1.0
2015-01-28,15.49,15.49,15.25,15.28,12.4015,91035,0.0,1.0
2015-01-29,15.28,15.45,15.21,15.41,12.507,89776,0.0,1.0
2015-01-30,15.24,15.415,15.21,15.22,12.3528,56332,0.0,1.0
2015-02-02,15.3,15.3,15.13,15.29,12.4096,78252,0.0,1.0
2015-02-03,15.37,15.49,15.36,15.41,12.507,106515,0.0,1.0
2015-02-04,15.41,15.49,15.37,15.39,12.4908,68831,0.0,1.0
2015-02-05,15.41,15.59,15.41,15.56,12.6288,60719,0.0,1.0
2015-02-06,15.6,15.6401,15.52,15.55,12.6207,83424,0.0,1.0
2015-02-09,15.55,15.57,15.47,15.48,12.5638,100390,0.0,1.0
2015-02-10,15.5,15.63,15.5,15.59,12.6531,61378,0.0,1.0
2015-02-11,15.59,15.65,15.51,15.64,12.6937,59110,0.0,1.0
2015-02-12,15.64,15.72,15.63,15.69,12.7343,90287,0.0,1.0
2015-02-13,15.66,15.72,15.61,15.67,12.7181,83094,0.0,1.0
2015-02-17,15.67,15.72,15.59,15.64,12.6937,104304,0.0,1.0
2015-02-18,15.66,15.66,15.5301,15.61,12.6694,91073,0.0,1.0
2015-02-19,15.6,15.65,15.51,15.55,12.6207,83260,0.0,1.0
2015-02-20,15.44,15.61,15.44,15.58,12.645,89617,0.0,1.0
2015-02-23,15.51,15.6,15.51,15.6,12.6612,114462,0.0,1.0
2015-02-24,15.48,15.72,15.48,15.72,12.7586,180040,0.0,1.0
2015-02-25,15.72,15.75,15.7,15.72,12.7586,80888,0.0,1.0
2015-02-26,15.7,15.7601,15.65,15.73,12.7667,73617,0.0,1.0
