timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-10-12,9.75,9.75,9.731,9.731,9.731,9200,0.0,1.0
2017-10-13,9.73,9.79,9.71,9.73,9.73,484000,0.0,1.0
2017-10-16,9.75,9.75,9.73,9.75,9.75,173803,0.0,1.0
2017-10-17,9.817,9.83,9.75,9.75,9.75,76201,0.0,1.0
2017-10-18,9.75,9.75,9.75,9.75,9.75,1,0.0,1.0
2017-10-19,9.78,9.78,9.75,9.75,9.75,33500,0.0,1.0
2017-10-20,9.78,9.87,9.77,9.83,9.83,25537,0.0,1.0
2017-10-23,9.8,9.8,9.77,9.8,9.8,33764,0.0,1.0
2017-10-24,9.82,9.82,9.82,9.82,9.82,3000,0.0,1.0
2017-10-25,9.781,9.83,9.781,9.83,9.83,800,0.0,1.0
2017-10-26,9.79,9.79,9.75,9.79,9.79,42900,0.0,1.0
2017-10-27,9.76,9.76,9.76,9.76,9.76,200,0.0,1.0
2017-10-30,9.82,9.83,9.82,9.83,9.83,5001,0.0,1.0
2017-10-31,9.8,9.813,9.8,9.8,9.8,12200,0.0,1.0
2017-11-01,9.8,9.8,9.8,9.8,9.8,0,0.0,1.0
2017-11-02,9.789,9.789,9.75,9.754,9.754,7732,0.0,1.0
2017-11-03,9.75,9.79,9.75,9.79,9.79,300,0.0,1.0
2017-11-06,9.79,9.79,9.79,9.79,9.79,0,0.0,1.0
2017-11-07,9.79,9.79,9.79,9.79,9.79,20000,0.0,1.0
2017-11-08,9.75,9.83,9.75,9.83,9.83,20100,0.0,1.0
2017-11-09,9.83,9.83,9.83,9.83,9.83,20,0.0,1.0
2017-11-10,9.8,9.83,9.8,9.83,9.83,20428,0.0,1.0
2017-11-13,9.82,9.82,9.8,9.8,9.8,219925,0.0,1.0
2017-11-14,9.8,9.8,9.8,9.8,9.8,16,0.0,1.0
2017-11-15,9.78,9.78,9.75,9.77,9.77,54900,0.0,1.0
2017-11-16,9.77,9.77,9.77,9.77,9.77,500,0.0,1.0
2017-11-17,9.77,9.77,9.77,9.77,9.77,0,0.0,1.0
2017-11-20,9.77,9.78,9.75,9.78,9.78,4800,0.0,1.0
2017-11-21,9.78,9.78,9.75,9.78,9.78,64200,0.0,1.0
2017-11-22,9.78,9.78,9.78,9.78,9.78,15,0.0,1.0
2017-11-24,9.78,9.78,9.78,9.78,9.78,0,0.0,1.0
2017-11-27,9.7622,9.78,9.75,9.78,9.78,6317,0.0,1.0
2017-11-28,9.74,9.77,9.74,9.76,9.76,57807,0.0,1.0
2017-11-29,9.76,9.76,9.76,9.76,9.76,31,0.0,1.0
2017-11-30,9.76,9.7604,9.76,9.7604,9.7604,80036,0.0,1.0
2017-12-01,9.77,9.8,9.77,9.8,9.8,971,0.0,1.0
2017-12-04,9.81,9.82,9.77,9.8,9.8,1166,0.0,1.0
2017-12-05,9.8,9.8,9.78,9.79,9.79,127518,0.0,1.0
2017-12-06,9.77,9.8,9.77,9.77,9.77,50600,0.0,1.0
2017-12-07,9.77,9.77,9.77,9.77,9.77,110222,0.0,1.0
2017-12-08,9.77,9.85,9.77,9.85,9.85,308035,0.0,1.0
2017-12-11,9.85,9.85,9.8382,9.8382,9.8382,2765,0.0,1.0
2017-12-12,9.8382,9.8382,9.8382,9.8382,9.8382,75,0.0,1.0
2017-12-13,9.84,9.85,9.79,9.79,9.79,1535,0.0,1.0
2017-12-14,9.8044,9.8044,9.8044,9.8044,9.8044,122,0.0,1.0
2017-12-15,9.8044,9.8044,9.8044,9.8044,9.8044,102,0.0,1.0
2017-12-18,9.8,9.8,9.8,9.8,9.8,1011,0.0,1.0
2017-12-19,9.8,9.8,9.8,9.8,9.8,0,0.0,1.0
2017-12-20,9.78,9.78,9.77,9.78,9.78,2400,0.0,1.0
2017-12-21,9.78,9.78,9.78,9.78,9.78,2,0.0,1.0
2017-12-22,9.78,9.78,9.78,9.78,9.78,22,0.0,1.0
2017-12-26,9.78,9.78,9.78,9.78,9.78,12,0.0,1.0
2017-12-27,9.78,9.78,9.78,9.78,9.78,0,0.0,1.0
2017-12-28,9.78,9.78,9.78,9.78,9.78,29,0.0,1.0
2017-12-29,9.78,9.78,9.78,9.78,9.78,0,0.0,1.0
2018-01-02,9.79,9.79,9.78,9.78,9.78,3410,0.0,1.0
2018-01-03,9.76,9.76,9.75,9.75,9.75,2400,0.0,1.0
2018-01-04,9.79,9.835,9.79,9.8,9.8,1712,0.0,1.0
2018-01-05,9.8,9.8,9.8,9.8,9.8,0,0.0,1.0
2018-01-08,9.8,9.8,9.8,9.8,9.8,16631,0.0,1.0
2018-01-09,9.8,9.8,9.8,9.8,9.8,500,0.0,1.0
2018-01-10,9.8072,9.84,9.8072,9.84,9.84,860,0.0,1.0
2018-01-11,9.85,9.8699,9.79,9.79,9.79,2818,0.0,1.0
2018-01-12,9.87,9.87,9.83,9.83,9.83,10458,0.0,1.0
2018-01-16,9.8047,9.82,9.8,9.8042,9.8042,23288,0.0,1.0
2018-01-17,9.83,9.8599,9.82,9.83,9.83,15219,0.0,1.0
2018-01-18,9.83,9.84,9.82,9.82,9.82,13630,0.0,1.0
2018-01-19,9.87,9.87,9.84,9.84,9.84,8985,0.0,1.0
2018-01-22,9.82,9.83,9.82,9.83,9.83,50726,0.0,1.0
2018-01-23,9.83,9.83,9.83,9.83,9.83,0,0.0,1.0
2018-01-24,9.848,9.848,9.848,9.848,9.848,500,0.0,1.0
2018-01-25,9.848,9.848,9.848,9.848,9.848,0,0.0,1.0
2018-01-26,9.85,9.85,9.81,9.81,9.81,1500,0.0,1.0
