timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,19.12,19.12,18.12,19.0,25.7521,297800,0.0,1.0
2000-01-04,18.81,18.88,18.56,18.88,25.5894,621800,0.0,1.0
2000-01-05,18.81,19.06,18.75,18.94,25.6707,439900,0.0,1.0
2000-01-06,18.88,19.5,18.88,19.38,26.2671,593400,0.0,1.0
2000-01-07,19.44,20.0,19.38,19.75,26.7686,334800,0.0,1.0
2000-01-10,19.88,19.94,19.62,19.88,26.9448,278200,0.0,1.0
2000-01-11,20.12,20.12,19.69,19.69,26.6873,243100,0.0,1.0
2000-01-12,19.75,19.81,19.5,19.5,26.4297,151100,0.0,1.0
2000-01-13,19.69,19.69,19.5,19.56,26.5111,134700,0.0,1.0
2000-01-14,19.56,19.69,19.44,19.5,26.4297,246200,0.0,1.0
2000-01-18,19.38,19.69,19.38,19.62,26.5924,235600,0.0,1.0
2000-01-19,19.69,19.88,19.56,19.88,26.9448,350100,0.0,1.0
2000-01-20,19.88,19.94,19.56,19.88,26.9448,161400,0.0,1.0
2000-01-21,19.88,20.75,19.62,20.5,27.7851,325700,0.0,1.0
2000-01-24,20.5,20.56,20.0,20.0,27.1074,226200,0.0,1.0
2000-01-25,20.0,20.12,19.81,20.06,27.1888,257700,0.0,1.0
2000-01-26,20.0,20.0,19.62,19.81,26.8499,272900,0.0,1.0
2000-01-27,19.75,19.81,19.5,19.62,26.5924,227100,0.0,1.0
2000-01-28,19.69,19.75,19.5,19.69,26.6873,169000,0.0,1.0
2000-01-31,19.81,20.06,19.62,19.81,26.8499,183000,0.0,1.0
2000-02-01,19.81,20.06,19.81,20.0,27.1074,150100,0.0,1.0
2000-02-02,20.19,20.38,20.0,20.06,27.1888,263100,0.0,1.0
2000-02-03,19.94,20.38,19.94,20.25,27.4463,116700,0.0,1.0
2000-02-04,20.06,20.19,20.0,20.12,27.2701,113500,0.0,1.0
2000-02-07,19.88,20.25,19.88,20.12,27.2701,248900,0.0,1.0
2000-02-08,20.19,20.25,20.12,20.12,27.2701,208100,0.0,1.0
2000-02-09,19.94,20.0,19.69,19.75,27.2972,294600,0.39,1.0
2000-02-10,19.5,19.69,19.5,19.56,27.0346,201600,0.0,1.0
2000-02-11,19.56,20.06,19.5,19.5,26.9517,5817900,0.0,1.0
2000-02-14,18.5,19.38,18.5,19.12,26.4264,336100,0.0,1.0
2000-02-15,19.31,19.38,18.75,18.94,26.1777,431100,0.0,1.0
2000-02-16,19.12,19.5,19.0,19.19,26.5232,140700,0.0,1.0
2000-02-17,19.25,19.81,19.12,19.31,26.689,212000,0.0,1.0
2000-02-18,19.25,19.31,19.0,19.12,26.4264,196800,0.0,1.0
2000-02-22,18.88,19.19,18.69,18.81,25.998,209400,0.0,1.0
2000-02-23,18.69,18.94,18.69,18.81,25.998,153300,0.0,1.0
2000-02-24,18.69,18.88,18.62,18.75,25.9151,149200,0.0,1.0
2000-02-25,18.75,18.75,18.5,18.56,25.6524,118500,0.0,1.0
2000-02-28,18.06,18.62,18.06,18.38,25.4037,267400,0.0,1.0
2000-02-29,18.38,18.44,18.19,18.38,25.4037,373900,0.0,1.0
2000-03-01,18.38,18.62,18.31,18.56,25.6524,350500,0.0,1.0
2000-03-02,18.5,18.62,18.19,18.5,25.5695,193200,0.0,1.0
2000-03-03,18.31,18.56,18.19,18.25,25.224,444000,0.0,1.0
2000-03-06,18.31,18.44,18.12,18.31,25.3069,119300,0.0,1.0
2000-03-07,18.12,18.25,17.88,18.0,24.8784,613400,0.0,1.0
2000-03-08,18.0,18.31,17.88,17.94,24.7955,227500,0.0,1.0
2000-03-09,17.94,18.12,17.88,18.0,24.8784,126900,0.0,1.0
2000-03-10,18.06,18.12,17.88,18.0,24.8784,107200,0.0,1.0
2000-03-13,17.94,18.0,17.75,17.94,24.7955,174400,0.0,1.0
2000-03-14,18.0,18.12,17.75,17.88,24.7126,215400,0.0,1.0
2000-03-15,17.88,18.0,17.75,18.0,24.8784,317600,0.0,1.0
