timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-08-17,43.5,44.0,43.0,43.0,43.0,76200,0.0,1.0
2016-08-18,44.0,44.0,42.5,42.75,42.75,496033,0.0,1.0
2016-08-19,42.7,43.5,42.65,43.5,43.5,1329102,0.0,1.0
2016-08-22,43.0,45.6,42.6,43.65,43.65,630310,0.0,1.0
2016-08-23,43.75,45.9,43.5,45.0,45.0,416182,0.0,1.0
2016-08-24,50.0,50.0,45.1,45.6,45.6,708893,0.0,1.0
2016-08-25,46.25,46.25,45.1,45.4121,45.4121,104300,0.0,1.0
2016-08-26,45.9459,45.95,45.4892,45.75,45.75,62730,0.0,1.0
2016-08-29,45.8,47.0,45.8,46.3,46.3,390147,0.0,1.0
2016-08-30,46.25,46.75,44.55,45.15,45.15,1348513,0.0,1.0
2016-08-31,44.75,45.1,44.0,44.68,44.68,2535330,0.0,1.0
2016-09-01,47.55,47.55,43.5,43.5,43.5,2539269,0.0,1.0
2016-09-02,43.908,43.908,42.7,42.98,42.98,2280815,0.0,1.0
2016-09-06,43.25,46.25,42.02,45.45,45.45,15804844,0.0,1.0
2016-09-07,45.07,49.38,45.02,48.0,48.0,41509310,0.0,1.0
2016-09-08,48.45,50.89,48.41,50.31,50.31,11551090,0.0,1.0
2016-09-09,49.83,50.17,48.1305,49.08,49.08,7470246,0.0,1.0
2016-09-12,48.06,49.7,47.71,49.4,49.4,3926010,0.0,1.0
2016-09-13,48.13,49.64,48.01,48.5,48.5,5064423,0.0,1.0
2016-09-14,48.39,48.62,48.0,48.35,48.35,4829556,0.0,1.0
2016-09-15,48.12,49.03,48.02,48.89,48.89,4829444,0.0,1.0
2016-09-16,48.63,48.99,48.115,48.47,48.47,4991674,0.0,1.0
2016-09-19,48.24,48.89,48.16,48.76,48.76,4564512,0.0,1.0
2016-09-20,48.69,48.94,48.17,48.73,48.73,3368051,0.0,1.0
2016-09-21,48.38,49.0,48.27,48.42,48.42,4177538,0.0,1.0
2016-09-22,48.49,48.75,47.91,48.03,48.03,4786607,0.0,1.0
2016-09-23,47.87,48.4699,47.82,48.01,48.01,2090594,0.0,1.0
2016-09-26,47.72,48.06,47.68,47.89,47.89,2842463,0.0,1.0
2016-09-27,47.78,47.978,47.645,47.79,47.79,2759074,0.0,1.0
2016-09-28,47.88,48.11,47.53,47.86,47.86,2249222,0.0,1.0
2016-09-29,47.61,47.93,47.51,47.57,47.57,1659201,0.0,1.0
2016-09-30,47.78,48.1,47.56,47.8,47.8,1730377,0.0,1.0
2016-10-03,47.63,48.05,47.59,47.93,47.93,1500267,0.0,1.0
2016-10-04,47.83,48.0,47.62,47.86,47.86,1681862,0.0,1.0
2016-10-05,47.74,48.86,47.5,48.47,48.47,1858186,0.0,1.0
2016-10-06,48.47,48.57,47.97,48.39,48.39,1442336,0.0,1.0
2016-10-07,48.39,48.47,47.94,48.07,48.07,986468,0.0,1.0
2016-10-10,48.07,48.4,47.35,47.52,47.52,1521169,0.0,1.0
2016-10-11,47.16,47.73,46.96,47.14,47.14,1753340,0.0,1.0
2016-10-12,46.959,47.45,46.76,47.11,47.11,1642490,0.0,1.0
2016-10-13,46.9,47.45,46.635,47.13,47.13,1342567,0.0,1.0
2016-10-14,47.23,47.61,46.99,47.24,47.24,1530378,0.0,1.0
2016-10-17,47.26,47.66,47.03,47.39,47.39,1350811,0.0,1.0
2016-10-18,47.55,47.8,47.0,47.68,47.68,1506618,0.0,1.0
2016-10-19,47.55,48.04,47.52,47.71,47.71,1249518,0.0,1.0
2016-10-20,47.46,47.84,47.43,47.7,47.7,1080203,0.0,1.0
2016-10-21,47.46,47.62,47.08,47.24,47.24,971453,0.0,1.0
2016-10-24,47.6,48.1,47.47,47.94,47.94,1016332,0.0,1.0
2016-10-25,47.73,47.94,46.83,46.99,46.99,1515104,0.0,1.0
2016-10-26,46.85,47.35,46.64,46.72,46.72,1656033,0.0,1.0
2016-10-27,49.42,49.75,48.04,48.33,48.33,7038115,0.0,1.0
2016-10-28,48.11,49.165,47.99,48.87,48.87,3823031,0.0,1.0
