timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-02-26,15.0,15.02,15.0,15.0,2.9467,372600,0.0,1.0
2003-02-27,15.0,15.01,15.0,15.01,2.9487,158100,0.0,1.0
2003-02-28,15.0,15.01,15.0,15.0,2.9467,115000,0.0,1.0
2003-03-03,15.0,15.01,15.0,15.0,2.9467,146400,0.0,1.0
2003-03-04,15.01,15.01,15.0,15.01,2.9487,184400,0.0,1.0
2003-03-05,15.0,15.01,14.85,15.01,2.9487,205300,0.0,1.0
2003-03-06,15.01,15.05,15.0,15.05,2.9565,170600,0.0,1.0
2003-03-07,15.03,15.04,15.0,15.01,2.9487,151600,0.0,1.0
2003-03-10,15.02,15.03,15.0,15.01,2.9487,167500,0.0,1.0
2003-03-11,15.0,15.04,15.0,15.04,2.9546,156300,0.0,1.0
2003-03-12,15.02,15.04,15.0,15.01,2.9487,99900,0.0,1.0
2003-03-13,15.01,15.03,15.0,15.0,2.9467,56000,0.0,1.0
2003-03-14,15.0,15.03,15.0,15.01,2.9487,121100,0.0,1.0
2003-03-17,15.0,15.03,15.0,15.0,2.9467,201200,0.0,1.0
2003-03-18,15.0,15.01,15.0,15.0,2.9467,115600,0.0,1.0
2003-03-19,15.0,15.01,15.0,15.0,2.9467,119400,0.0,1.0
2003-03-20,15.0,15.01,15.0,15.0,2.9467,78000,0.0,1.0
2003-03-21,15.01,15.01,15.0,15.01,2.9487,128800,0.0,1.0
2003-03-24,15.0,15.01,15.0,15.0,2.9467,106900,0.0,1.0
2003-03-25,15.0,15.01,15.0,15.01,2.9487,120100,0.0,1.0
2003-03-26,15.0,15.01,15.0,15.0,2.9467,748800,0.0,1.0
2003-03-27,15.0,15.01,15.0,15.01,2.9487,140800,0.0,1.0
2003-03-28,15.01,15.01,15.0,15.01,2.9487,155100,0.0,1.0
2003-03-31,15.0,15.01,15.0,15.0,2.9467,353100,0.0,1.0
2003-04-01,15.0,15.06,15.0,15.01,2.9487,231300,0.0,1.0
2003-04-02,15.0,15.03,15.0,15.01,2.9487,248300,0.0,1.0
2003-04-03,15.02,15.05,15.0,15.03,2.9526,239200,0.0,1.0
2003-04-04,15.06,15.12,15.03,15.12,2.9703,209800,0.0,1.0
2003-04-07,15.12,15.16,15.08,15.15,2.9762,288100,0.0,1.0
2003-04-08,15.11,15.14,15.08,15.12,2.9703,172200,0.0,1.0
2003-04-09,15.12,15.19,15.08,15.13,2.9722,257100,0.0,1.0
2003-04-10,15.12,15.17,15.1,15.12,2.9703,228000,0.0,1.0
2003-04-11,15.08,15.09,15.01,15.05,2.9835,148500,0.1375,1.0
2003-04-14,15.02,15.05,15.0,15.01,2.9756,156600,0.0,1.0
2003-04-15,15.0,15.05,15.0,15.04,2.9815,155500,0.0,1.0
2003-04-16,15.01,15.04,14.96,15.0,2.9736,217500,0.0,1.0
2003-04-17,14.99,15.0,14.91,14.99,2.9716,292100,0.0,1.0
2003-04-21,15.0,15.0,14.91,14.95,2.9637,196500,0.0,1.0
2003-04-22,14.96,14.98,14.92,14.96,2.9657,199100,0.0,1.0
2003-04-23,14.97,14.99,14.95,14.97,2.9677,189500,0.0,1.0
2003-04-24,14.98,14.99,14.89,14.95,2.9637,254500,0.0,1.0
2003-04-25,14.98,14.99,14.94,14.98,2.9696,177800,0.0,1.0
2003-04-28,14.99,15.04,14.96,15.02,2.9776,192300,0.0,1.0
2003-04-29,15.01,15.07,15.0,15.03,2.9796,240400,0.0,1.0
2003-04-30,15.03,15.15,15.02,15.11,2.9954,260800,0.0,1.0
2003-05-01,15.11,15.15,15.06,15.1,2.9934,178900,0.0,1.0
2003-05-02,15.15,15.25,15.1,15.14,3.0014,321900,0.0,1.0
2003-05-05,15.15,15.2,15.1,15.15,3.0034,252900,0.0,1.0
2003-05-06,15.14,15.19,15.1,15.14,3.0014,220400,0.0,1.0
2003-05-07,15.14,15.17,15.08,15.09,2.9915,169300,0.0,1.0
2003-05-08,15.09,15.14,15.05,15.07,2.9875,298400,0.0,1.0
2003-05-09,15.1,15.22,15.08,15.18,3.0093,281400,0.0,1.0
2003-05-12,15.1,15.15,15.05,15.07,3.0147,274400,0.1375,1.0
2003-05-13,15.0,15.05,14.97,15.02,3.0047,348600,0.0,1.0
2003-05-14,15.02,15.05,14.98,15.0,3.0007,219600,0.0,1.0
2003-05-15,15.0,15.05,15.0,15.03,3.0067,188700,0.0,1.0
2003-05-16,15.02,15.06,15.0,15.06,3.0127,158300,0.0,1.0
2003-05-19,15.05,15.06,14.99,15.02,3.0047,208000,0.0,1.0
2003-05-20,15.0,15.04,14.98,15.04,3.0087,183300,0.0,1.0
2003-05-21,15.0,15.02,14.96,14.99,2.9987,255800,0.0,1.0
2003-05-22,15.0,15.02,14.96,14.99,2.9987,191600,0.0,1.0
2003-05-23,14.98,15.0,14.92,15.0,3.0007,191200,0.0,1.0
2003-05-27,14.94,14.98,14.82,14.86,2.9727,406400,0.0,1.0
2003-05-28,14.8,14.89,14.77,14.87,2.9747,275700,0.0,1.0
2003-05-29,14.85,14.99,14.8,14.89,2.9787,326900,0.0,1.0
2003-05-30,14.85,15.02,14.83,14.96,2.9927,275900,0.0,1.0
2003-06-02,15.0,15.04,14.86,14.99,2.9987,356900,0.0,1.0
2003-06-03,14.94,14.99,14.92,14.98,2.9967,204900,0.0,1.0
2003-06-04,14.99,14.99,14.94,14.99,2.9987,278700,0.0,1.0
2003-06-05,14.97,14.99,14.94,14.99,2.9987,320700,0.0,1.0
2003-06-06,14.96,15.04,14.95,15.02,3.0047,258500,0.0,1.0
2003-06-09,15.04,15.07,15.01,15.07,3.0147,227700,0.0,1.0
2003-06-10,15.08,15.12,15.03,15.1,3.0208,353200,0.0,1.0
2003-06-11,15.1,15.14,15.08,15.14,3.0288,320100,0.0,1.0
2003-06-12,15.0,15.09,14.96,15.06,3.0403,233500,0.1375,1.0
2003-06-13,15.06,15.1,15.02,15.05,3.0382,400500,0.0,1.0
2003-06-16,15.05,15.2,15.05,15.14,3.0564,363300,0.0,1.0
2003-06-17,15.0,15.13,15.0,15.1,3.0483,382800,0.0,1.0
2003-06-18,15.1,15.15,15.05,15.11,3.0503,237900,0.0,1.0
2003-06-19,15.11,15.12,15.02,15.02,3.0322,263300,0.0,1.0
2003-06-20,15.12,15.14,15.03,15.08,3.0443,223000,0.0,1.0
2003-06-23,15.13,15.14,14.99,15.04,3.0362,378900,0.0,1.0
2003-06-24,15.03,15.07,14.96,15.03,3.0342,285600,0.0,1.0
2003-06-25,15.05,15.1,14.99,15.0,3.0281,262100,0.0,1.0
2003-06-26,15.01,15.07,14.96,15.07,3.0423,234000,0.0,1.0
2003-06-27,14.99,15.14,14.98,15.03,3.0342,281700,0.0,1.0
2003-06-30,15.07,15.1,15.01,15.06,3.0403,173200,0.0,1.0
2003-07-01,15.09,15.19,15.05,15.09,3.0463,180500,0.0,1.0
