timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,15.25,15.25,14.69,14.69,8.0411,67700,0.0,1.0
2000-01-04,14.56,14.63,14.25,14.5,7.9371,67600,0.0,1.0
2000-01-05,14.38,14.75,14.31,14.69,8.0411,32200,0.0,1.0
2000-01-06,14.81,14.88,14.81,14.88,8.1451,9300,0.0,1.0
2000-01-07,15.0,15.5,15.0,15.31,8.3805,30000,0.0,1.0
2000-01-10,15.56,15.88,15.5,15.75,8.6214,45700,0.0,1.0
2000-01-11,15.75,15.75,15.44,15.56,8.5173,32100,0.0,1.0
2000-01-12,15.81,15.81,15.44,15.56,8.5173,74600,0.0,1.0
2000-01-13,15.44,16.13,15.44,16.13,8.8294,57300,0.0,1.0
2000-01-14,16.0,16.38,16.0,16.19,8.8622,46700,0.0,1.0
2000-01-18,15.94,16.19,15.75,16.06,8.791,25600,0.0,1.0
2000-01-19,16.0,16.06,15.56,15.56,8.5173,26500,0.0,1.0
2000-01-20,15.5,15.81,15.5,15.75,8.6214,20000,0.0,1.0
2000-01-21,15.63,15.69,15.5,15.56,8.5173,25500,0.0,1.0
2000-01-24,15.56,15.81,15.56,15.75,8.6214,76300,0.0,1.0
2000-01-25,15.69,15.81,15.63,15.75,8.6214,39500,0.0,1.0
2000-01-26,15.75,15.88,15.75,15.81,8.6542,34500,0.0,1.0
2000-01-27,16.0,16.0,15.81,15.81,8.6542,41600,0.0,1.0
2000-01-28,15.75,15.81,15.38,15.38,8.4188,20300,0.0,1.0
2000-01-31,15.25,15.38,15.06,15.06,8.2437,21200,0.0,1.0
2000-02-01,15.06,15.19,15.06,15.13,8.282,28600,0.0,1.0
2000-02-02,14.88,15.13,14.88,15.13,8.282,32100,0.0,1.0
2000-02-03,15.31,15.69,15.31,15.56,8.5173,17000,0.0,1.0
2000-02-04,15.81,15.88,15.75,15.75,8.6214,19300,0.0,1.0
2000-02-07,15.63,15.63,15.5,15.56,8.5173,18500,0.0,1.0
2000-02-08,15.69,15.88,15.69,15.88,8.6925,19700,0.0,1.0
2000-02-09,16.0,16.5,16.0,16.13,8.8294,54800,0.0,1.0
2000-02-10,16.13,16.13,16.06,16.13,8.8294,59200,0.0,1.0
2000-02-11,16.38,16.38,16.0,16.0,8.7582,32200,0.0,1.0
2000-02-14,16.06,16.13,16.0,16.13,8.8294,28800,0.0,1.0
2000-02-15,16.13,16.25,16.0,16.13,8.8294,35100,0.0,1.0
2000-02-16,16.13,16.38,16.13,16.31,8.9279,31900,0.0,1.0
2000-02-17,16.25,16.5,16.13,16.31,8.9279,37600,0.0,1.0
2000-02-18,16.5,16.56,16.31,16.44,8.999,49800,0.0,1.0
2000-02-22,16.06,16.75,16.06,16.56,9.0647,45200,0.0,1.0
