timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2002-11-26,15.01,15.01,15.0,15.0,6.5814,4000,0.0,1.0
2002-11-27,15.0,15.0,15.0,15.0,6.5814,4000,0.0,1.0
2002-11-29,15.0,15.0,15.0,15.0,6.5814,5000,0.0,1.0
2002-12-02,15.0,15.01,15.0,15.0,6.5814,7300,0.0,1.0
2002-12-03,15.0,15.13,15.0,15.13,6.6385,8100,0.0,1.0
2002-12-04,15.2,15.2,15.2,15.2,6.6692,1000,0.0,1.0
2002-12-05,15.2,15.29,15.2,15.29,6.7087,1900,0.0,1.0
2002-12-06,15.2,15.2,15.02,15.02,6.5902,10300,0.0,1.0
2002-12-09,15.1,15.1,15.0,15.1,6.6253,16200,0.0,1.0
2002-12-10,15.12,15.12,15.1,15.1,6.6253,2000,0.0,1.0
2002-12-11,15.12,15.17,15.12,15.17,6.656,3000,0.0,1.0
2002-12-12,15.19,15.2,15.19,15.2,6.6692,2000,0.0,1.0
2002-12-13,15.2,15.2,15.2,15.2,6.6692,6800,0.0,1.0
2002-12-16,15.2,15.2,15.1,15.1,6.6253,1400,0.0,1.0
2002-12-17,15.15,15.19,15.07,15.19,6.6648,7600,0.0,1.0
2002-12-18,15.19,15.2,15.15,15.15,6.6472,3200,0.0,1.0
2002-12-19,15.2,15.2,15.2,15.2,6.6692,8300,0.0,1.0
2002-12-20,15.24,15.29,15.24,15.29,6.7087,15000,0.0,1.0
2002-12-23,15.29,15.3,15.29,15.3,6.713,5600,0.0,1.0
2002-12-24,15.3,15.5,15.3,15.5,6.8008,6200,0.0,1.0
2002-12-26,15.5,15.5,15.49,15.49,6.7964,1500,0.0,1.0
2002-12-27,15.5,15.5,15.49,15.5,6.8008,7500,0.0,1.0
2002-12-30,15.54,15.54,15.54,15.54,6.8183,4400,0.0,1.0
2002-12-31,15.45,15.45,15.35,15.35,6.735,16900,0.0,1.0
2003-01-02,15.35,15.35,15.12,15.25,6.6911,13400,0.0,1.0
2003-01-03,15.25,15.25,15.25,15.25,6.6911,500,0.0,1.0
2003-01-06,15.1,15.28,15.1,15.28,6.7043,7000,0.0,1.0
2003-01-07,15.3,15.3,15.3,15.3,6.713,3300,0.0,1.0
2003-01-08,15.3,15.45,15.3,15.45,6.7789,2000,0.0,1.0
2003-01-09,15.25,15.3,15.2,15.3,6.713,8400,0.0,1.0
2003-01-10,15.3,15.3,15.3,15.3,6.713,1100,0.0,1.0
2003-01-13,15.2,15.3,15.2,15.3,6.713,2500,0.0,1.0
2003-01-14,15.3,15.3,15.3,15.3,6.713,3900,0.0,1.0
2003-01-15,15.25,15.4,15.25,15.4,6.7569,900,0.0,1.0
2003-01-16,15.3,15.5,15.3,15.5,6.8008,3400,0.0,1.0
2003-01-17,15.5,15.5,15.5,15.5,6.8008,4500,0.0,1.0
2003-01-21,15.5,15.5,15.5,15.5,6.8008,0,0.0,1.0
2003-01-22,15.65,15.65,15.65,15.65,6.8666,300,0.0,1.0
2003-01-23,15.65,15.65,15.45,15.58,6.8688,2300,0.075,1.0
2003-01-24,15.5,15.85,15.5,15.7,6.9217,9600,0.0,1.0
2003-01-27,15.6,15.8,15.6,15.8,6.9658,6800,0.0,1.0
2003-01-28,15.8,15.8,15.8,15.8,6.9658,4100,0.0,1.0
2003-01-29,15.8,15.8,15.8,15.8,6.9658,4100,0.0,1.0
2003-01-30,15.73,15.75,15.73,15.75,6.9438,4300,0.0,1.0
2003-01-31,15.66,15.79,15.66,15.79,6.9614,4000,0.0,1.0
2003-02-03,15.66,15.66,15.66,15.66,6.9041,1000,0.0,1.0
2003-02-04,15.8,15.8,15.65,15.65,6.8997,6300,0.0,1.0
2003-02-05,15.55,15.7,15.55,15.7,6.9217,2300,0.0,1.0
2003-02-06,15.74,15.75,15.7,15.7,6.9217,9800,0.0,1.0
2003-02-07,15.7,15.7,15.7,15.7,6.9217,0,0.0,1.0
2003-02-10,15.71,15.71,15.71,15.71,6.9261,2500,0.0,1.0
2003-02-11,15.79,15.84,15.79,15.84,6.9834,2000,0.0,1.0
2003-02-12,15.8,15.8,15.8,15.8,6.9658,3700,0.0,1.0
2003-02-13,15.8,15.85,15.8,15.85,6.9878,1500,0.0,1.0
2003-02-14,15.8,15.8,15.55,15.6,6.8776,15300,0.0,1.0
2003-02-18,15.8,15.8,15.5,15.5,6.8335,5000,0.0,1.0
2003-02-19,15.55,15.6,15.45,15.45,6.8115,1300,0.0,1.0
2003-02-20,15.43,15.65,15.3,15.6,6.9107,3900,0.075,1.0
2003-02-21,15.6,15.6,15.6,15.6,6.9107,0,0.0,1.0
2003-02-24,15.7,15.7,15.55,15.6,6.9107,5700,0.0,1.0
2003-02-25,15.6,15.75,15.6,15.75,6.9771,2600,0.0,1.0
2003-02-26,15.75,15.75,15.75,15.75,6.9771,0,0.0,1.0
2003-02-27,15.65,15.65,15.33,15.35,6.7999,13000,0.0,1.0
2003-02-28,15.36,15.36,15.15,15.16,6.7158,10300,0.0,1.0
2003-03-03,15.3,15.4,15.0,15.0,6.6449,15500,0.0,1.0
2003-03-04,15.02,15.02,14.75,14.75,6.5341,5500,0.0,1.0
2003-03-05,14.8,14.85,14.78,14.78,6.5474,3400,0.0,1.0
2003-03-06,15.0,15.1,15.0,15.02,6.6538,7100,0.0,1.0
2003-03-07,15.2,15.2,15.2,15.2,6.7335,900,0.0,1.0
2003-03-10,15.3,15.3,15.3,15.3,6.7778,1300,0.0,1.0
2003-03-11,15.4,15.4,15.4,15.4,6.8221,200,0.0,1.0
2003-03-12,15.5,15.58,15.5,15.58,6.9018,1600,0.0,1.0
2003-03-13,15.58,15.58,15.58,15.58,6.9018,0,0.0,1.0
2003-03-14,15.43,15.59,15.43,15.59,6.9063,7600,0.0,1.0
2003-03-17,15.59,15.59,15.41,15.41,6.8265,10100,0.0,1.0
2003-03-18,15.4,15.4,15.05,15.2,6.7335,13000,0.0,1.0
2003-03-19,15.35,15.35,15.35,15.35,6.7999,1200,0.0,1.0
2003-03-20,15.28,15.28,15.28,15.28,6.8022,0,0.075,1.0
2003-03-21,15.35,15.35,15.35,15.35,6.8333,200,0.0,1.0
2003-03-24,15.35,15.35,15.0,15.0,6.6775,8400,0.0,1.0
2003-03-25,15.12,15.12,14.96,15.1,6.722,2600,0.0,1.0
2003-03-26,15.1,15.1,15.1,15.1,6.722,0,0.0,1.0
2003-03-27,15.19,15.19,15.19,15.19,6.7621,1300,0.0,1.0
2003-03-28,15.15,15.25,15.03,15.17,6.7532,5400,0.0,1.0
2003-03-31,15.12,15.12,15.12,15.12,6.7309,600,0.0,1.0
2003-04-01,15.2,15.2,15.1,15.11,6.7265,1800,0.0,1.0
2003-04-02,15.11,15.17,15.11,15.17,6.7532,2900,0.0,1.0
2003-04-03,15.25,15.25,15.06,15.06,6.7042,3200,0.0,1.0
2003-04-04,15.1,15.19,15.1,15.15,6.7443,5300,0.0,1.0
2003-04-07,15.02,15.02,15.02,15.02,6.6864,1000,0.0,1.0
2003-04-08,15.02,15.02,15.02,15.02,6.6864,0,0.0,1.0
2003-04-09,15.02,15.02,15.02,15.02,6.6864,0,0.0,1.0
2003-04-10,15.14,15.25,15.14,15.15,6.7443,2400,0.0,1.0
2003-04-11,15.15,15.15,15.15,15.15,6.7443,0,0.0,1.0
2003-04-14,15.28,15.28,15.28,15.28,6.8022,1800,0.0,1.0
2003-04-15,15.22,15.35,15.22,15.25,6.7888,2600,0.0,1.0
2003-04-16,15.3,15.4,15.21,15.4,6.8556,3600,0.0,1.0
2003-04-17,15.5,15.55,15.47,15.47,6.8867,1800,0.0,1.0
2003-04-21,15.65,15.8,15.58,15.68,6.9802,3800,0.0,1.0
2003-04-22,15.68,15.9,15.68,15.83,7.0804,12600,0.075,1.0
2003-04-23,15.8,15.8,15.8,15.8,7.067,2000,0.0,1.0
2003-04-24,15.65,15.65,15.52,15.52,6.9417,5800,0.0,1.0
2003-04-25,15.52,15.74,15.52,15.69,7.0178,4800,0.0,1.0
2003-04-28,15.7,15.7,15.55,15.69,7.0178,1800,0.0,1.0
2003-04-29,15.69,15.69,15.69,15.69,7.0178,400,0.0,1.0
2003-04-30,15.69,15.7,15.69,15.7,7.0222,3800,0.0,1.0
2003-05-01,15.75,15.77,15.65,15.65,6.9999,3800,0.0,1.0
2003-05-02,15.66,15.66,15.52,15.62,6.9865,13600,0.0,1.0
2003-05-05,15.65,15.79,15.65,15.79,7.0625,3600,0.0,1.0
2003-05-06,15.79,15.79,15.79,15.79,7.0625,0,0.0,1.0
2003-05-07,15.76,15.76,15.7,15.7,7.0222,5200,0.0,1.0
2003-05-08,15.78,15.78,15.6,15.67,7.0088,7300,0.0,1.0
2003-05-09,15.65,15.75,15.65,15.74,7.0401,6100,0.0,1.0
2003-05-12,15.7,15.7,15.52,15.52,6.9417,13400,0.0,1.0
2003-05-13,15.56,15.6,15.56,15.6,6.9775,5400,0.0,1.0
2003-05-14,15.62,15.79,15.62,15.72,7.0312,12400,0.0,1.0
2003-05-15,15.79,15.8,15.75,15.75,7.0446,8000,0.0,1.0
2003-05-16,15.8,15.8,15.68,15.69,7.0178,4100,0.0,1.0
2003-05-19,15.71,15.8,15.7,15.72,7.0312,5500,0.0,1.0
2003-05-20,15.8,15.9,15.73,15.9,7.1117,30300,0.0,1.0
2003-05-21,15.9,15.98,15.82,15.83,7.1139,7800,0.075,1.0
2003-05-22,15.8,15.85,15.8,15.85,7.1229,7900,0.0,1.0
2003-05-23,15.94,15.94,15.86,15.91,7.1499,7300,0.0,1.0
2003-05-27,15.91,15.91,15.91,15.91,7.1499,0,0.0,1.0
2003-05-28,15.96,15.96,15.9,15.91,7.1499,1700,0.0,1.0
