timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2013-05-09,16.9,17.15,16.5,16.55,13.7833,5472249,0.0,1.0
2013-05-10,16.55,16.85,16.44,16.7,13.9083,720416,0.0,1.0
2013-05-13,16.74,16.8301,16.7,16.75,13.9499,206297,0.0,1.0
2013-05-14,16.89,16.89,16.7,16.83,14.0165,395959,0.0,1.0
2013-05-15,16.83,16.85,16.76,16.8,13.9915,187974,0.0,1.0
2013-05-16,16.76,16.9,16.76,16.8,13.9915,203246,0.0,1.0
2013-05-17,16.79,17.05,16.79,17.04,14.1914,209814,0.0,1.0
2013-05-20,17.1,17.33,17.0,17.15,14.283,350055,0.0,1.0
2013-05-21,17.15,17.7,17.15,17.4701,14.5496,281181,0.0,1.0
2013-05-22,17.43,17.99,17.43,17.85,14.866,434153,0.0,1.0
2013-05-23,17.71,17.8,17.33,17.35,14.4496,289146,0.0,1.0
2013-05-24,17.37,17.91,17.37,17.87,14.8827,337480,0.0,1.0
2013-05-28,17.96,18.187,17.804,18.11,15.0825,300292,0.0,1.0
2013-05-29,18.03,18.2,17.9,18.1,15.0742,250633,0.0,1.0
2013-05-30,18.13,18.63,18.13,18.52,15.424,283004,0.0,1.0
2013-05-31,18.49,18.699,18.36,18.49,15.399,214822,0.0,1.0
2013-06-03,18.7,19.88,18.7,19.72,16.4234,697524,0.0,1.0
2013-06-04,20.08,20.53,19.65,20.53,17.098,850258,0.0,1.0
2013-06-05,20.5,20.86,19.95,19.97,16.6316,424210,0.0,1.0
2013-06-06,19.9,20.5323,19.9,20.43,17.0147,185376,0.0,1.0
2013-06-07,20.47,20.89,20.3,20.6,17.1563,167053,0.0,1.0
2013-06-10,20.7,20.86,20.6,20.79,17.3145,151801,0.0,1.0
2013-06-11,20.5,20.6,20.264,20.3,16.9064,166489,0.0,1.0
2013-06-12,20.34,20.75,20.34,20.42,17.0064,105173,0.0,1.0
2013-06-13,20.37,20.75,20.01,20.75,17.2812,146717,0.0,1.0
2013-06-14,20.9,21.1,20.56,20.85,17.3645,119242,0.0,1.0
2013-06-17,20.96,21.2,20.6,20.75,17.2812,113872,0.0,1.0
2013-06-18,20.93,21.0,20.66,20.74,17.2729,96475,0.0,1.0
2013-06-19,20.99,20.99,20.6,20.6,17.1563,86040,0.0,1.0
2013-06-20,20.49,20.75,19.55,19.91,16.5816,183828,0.0,1.0
2013-06-21,20.0,20.2399,19.14,19.42,16.1735,159347,0.0,1.0
2013-06-24,19.73,19.73,18.62,18.74,15.6072,365877,0.0,1.0
2013-06-25,18.81,19.436,18.81,19.2,15.9903,171946,0.0,1.0
2013-06-26,19.49,20.2,19.35,19.68,16.3901,232629,0.0,1.0
2013-06-27,19.6,20.8425,19.6,20.71,17.2479,126973,0.0,1.0
2013-06-28,20.9,21.439,20.48,20.94,17.4394,153608,0.0,1.0
2013-07-01,21.34,21.83,21.19,21.59,17.9808,184047,0.0,1.0
2013-07-02,21.7,21.93,21.41,21.79,18.1474,101978,0.0,1.0
2013-07-03,21.779,21.8,20.061,20.75,17.2812,291554,0.0,1.0
2013-07-05,21.13,21.44,20.86,21.09,17.5644,98752,0.0,1.0
2013-07-08,21.11,21.41,20.99,21.23,17.681,89771,0.0,1.0
2013-07-09,21.64,21.64,21.06,21.34,17.7726,117689,0.0,1.0
2013-07-10,21.2,21.5,21.2,21.27,17.7143,57701,0.0,1.0
2013-07-11,21.89,21.89,21.28,21.5,17.9058,104908,0.0,1.0
2013-07-12,21.39,21.94,21.37,21.94,18.2723,108680,0.0,1.0
2013-07-15,22.0,22.07,21.64,22.07,18.3805,110767,0.0,1.0
2013-07-16,22.12,22.5,21.84,22.4,18.6554,232565,0.0,1.0
2013-07-17,22.69,23.32,22.21,23.13,19.2633,197642,0.0,1.0
2013-07-18,22.99,23.3001,22.85,23.2,19.3216,64351,0.0,1.0
2013-07-19,23.07,23.869,22.94,23.76,19.788,185388,0.0,1.0
2013-07-22,23.76,25.23,23.76,24.43,20.346,208197,0.0,1.0
2013-07-23,24.4,24.728,24.1,24.13,20.0962,137349,0.0,1.0
2013-07-24,24.4,24.4899,23.8983,24.28,20.2211,282548,0.0,1.0
2013-07-25,24.69,25.88,24.54,25.11,20.9123,207223,0.0,1.0
2013-07-26,25.3,25.59,25.0,25.14,20.9373,121807,0.0,1.0
2013-07-29,25.16,25.16,24.18,24.28,20.2211,227294,0.0,1.0
2013-07-30,24.4,24.7,24.25,24.48,20.3877,93992,0.0,1.0
2013-07-31,25.13,25.13,24.44,24.57,20.4626,76680,0.0,1.0
2013-08-01,24.53,24.74,23.83,24.5,20.4043,154643,0.0,1.0
2013-08-02,23.82,24.47,23.5404,24.35,20.5875,48367,0.37,1.0
2013-08-05,24.33,24.95,24.0001,24.94,21.0864,71021,0.0,1.0
2013-08-06,24.88,25.25,24.87,25.1,21.2217,138360,0.0,1.0
2013-08-07,25.17,25.45,24.3,24.62,20.8158,189461,0.0,1.0
2013-08-08,24.8,25.0905,24.661,24.76,20.9342,57432,0.0,1.0
2013-08-09,24.84,24.84,24.3,24.5,20.7144,64250,0.0,1.0
2013-08-12,25.1,26.5,25.1,25.8,21.8135,651654,0.0,1.0
2013-08-13,26.5,27.4094,25.75,25.8,21.8135,432771,0.0,1.0
2013-08-14,25.74,28.5,25.73,27.82,23.5214,483079,0.0,1.0
2013-08-15,27.69,28.5825,27.1,27.75,23.4622,321209,0.0,1.0
2013-08-16,27.9,29.49,27.79,28.37,23.9864,378315,0.0,1.0
2013-08-19,28.64,30.47,28.42,29.19,24.6797,291177,0.0,1.0
2013-08-20,29.28,29.75,28.55,29.47,24.9164,301854,0.0,1.0
2013-08-21,29.89,30.31,29.0,29.76,25.1616,360861,0.0,1.0
2013-08-22,29.0,29.74,28.5,29.35,24.815,282172,0.0,1.0
2013-08-23,28.75,29.28,27.58,27.95,23.6313,311177,0.0,1.0
2013-08-26,28.2,28.825,27.81,28.45,24.054,206454,0.0,1.0
2013-08-27,28.44,28.64,26.34,26.9,22.7435,245327,0.0,1.0
2013-08-28,26.71,28.12,26.5,27.76,23.4706,204453,0.0,1.0
2013-08-29,27.8,29.82,27.628,29.48,24.9249,326044,0.0,1.0
2013-08-30,29.48,29.48,28.57,28.81,24.3584,104277,0.0,1.0
2013-09-03,29.73,30.25,28.74,30.15,25.4914,167248,0.0,1.0
2013-09-04,30.1,31.01,29.39,31.01,26.2185,196997,0.0,1.0
2013-09-05,31.14,32.51,30.75,31.86,26.9371,159852,0.0,1.0
2013-09-06,31.8,31.8,31.0,31.46,26.5989,96419,0.0,1.0
2013-09-09,32.14,32.5955,31.71,32.36,27.3599,131197,0.0,1.0
2013-09-10,33.0,33.0,32.22,32.47,27.4529,151230,0.0,1.0
2013-09-11,32.56,32.56,31.51,32.09,27.1316,105718,0.0,1.0
2013-09-12,32.45,32.45,31.61,31.89,26.9625,83480,0.0,1.0
