timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,13.06,13.38,13.0,13.19,3.5357,27200,0.0,1.0
2000-01-04,13.31,13.31,13.06,13.25,3.5518,19600,0.0,1.0
2000-01-05,13.06,13.5,13.0,13.38,3.5866,68100,0.0,1.0
2000-01-06,13.56,14.13,13.56,14.06,3.7689,110500,0.0,1.0
2000-01-07,14.06,14.5,14.0,14.44,3.8708,77500,0.0,1.0
2000-01-10,14.69,14.75,13.81,13.94,3.7368,59800,0.0,1.0
2000-01-11,14.06,14.44,14.06,14.38,3.8547,37700,0.0,1.0
2000-01-12,14.5,14.5,14.06,14.31,3.8359,87900,0.0,1.0
2000-01-13,14.31,14.31,13.75,14.13,3.7877,59300,0.0,1.0
2000-01-14,14.19,14.25,13.81,14.0,3.7528,13400,0.0,1.0
2000-01-18,13.75,13.75,13.38,13.63,3.6537,99000,0.0,1.0
2000-01-19,13.5,13.63,13.38,13.56,3.6349,39400,0.0,1.0
2000-01-20,13.63,14.0,13.5,14.0,3.7528,66200,0.0,1.0
2000-01-21,13.88,14.13,13.75,13.88,3.7207,80500,0.0,1.0
2000-01-24,13.94,13.94,13.5,13.75,3.6858,27400,0.0,1.0
2000-01-25,13.5,13.88,13.5,13.88,3.7207,32500,0.0,1.0
2000-01-26,13.75,13.94,13.75,13.81,3.7019,13600,0.0,1.0
2000-01-27,13.88,14.13,13.75,14.0,3.7528,61200,0.0,1.0
2000-01-28,14.0,14.0,13.69,13.88,3.7207,25500,0.0,1.0
2000-01-31,13.81,14.0,13.75,14.0,3.7528,34700,0.0,1.0
2000-02-01,14.0,14.13,13.94,14.0,3.7528,27700,0.0,1.0
2000-02-02,14.13,14.13,14.0,14.06,3.7689,21800,0.0,1.0
2000-02-03,14.13,14.13,14.0,14.0,3.7528,34100,0.0,1.0
2000-02-04,13.94,14.06,13.94,14.06,3.7689,12900,0.0,1.0
2000-02-07,13.81,14.13,13.75,14.13,3.7877,79600,0.0,1.0
2000-02-08,14.0,14.13,13.94,13.94,3.7368,40000,0.0,1.0
2000-02-09,13.94,14.13,13.88,14.0,3.7528,47000,0.0,1.0
2000-02-10,13.94,14.0,13.69,13.69,3.6697,57500,0.0,1.0
2000-02-11,13.69,13.75,13.38,13.56,3.6349,22800,0.0,1.0
2000-02-14,13.63,13.63,13.0,13.19,3.5357,109700,0.0,1.0
2000-02-15,13.31,14.13,13.31,13.94,3.7368,64200,0.0,1.0
2000-02-16,14.0,14.0,13.81,13.94,3.7368,40000,0.0,1.0
2000-02-17,13.81,13.94,13.63,13.94,3.7368,39100,0.0,1.0
2000-02-18,13.88,13.94,13.81,13.81,3.7019,14000,0.0,1.0
2000-02-22,13.94,13.94,13.13,13.13,3.5196,24500,0.0,1.0
2000-02-23,13.19,13.75,13.19,13.75,3.6858,53000,0.0,1.0
2000-02-24,13.75,14.0,13.75,13.88,3.7207,28400,0.0,1.0
2000-02-25,13.88,14.0,13.88,13.88,3.7207,38700,0.0,1.0
2000-02-28,14.0,14.13,13.63,14.13,3.7877,37100,0.0,1.0
2000-02-29,14.06,14.19,13.75,13.88,3.7207,72800,0.0,1.0
2000-03-01,14.0,14.0,13.63,13.75,3.6858,19400,0.0,1.0
2000-03-02,13.88,13.88,13.5,13.56,3.6349,17100,0.0,1.0
2000-03-03,13.56,13.63,12.94,13.0,3.4848,341700,0.0,1.0
2000-03-06,13.0,13.0,12.69,12.75,3.4178,71700,0.0,1.0
2000-03-07,12.75,12.75,12.06,12.63,3.3856,74400,0.0,1.0
2000-03-08,12.69,12.94,12.63,12.88,3.4526,21700,0.0,1.0
2000-03-09,12.94,13.13,12.69,12.75,3.4178,290200,0.0,1.0
2000-03-10,12.75,12.75,12.0,12.0,3.2167,212700,0.0,1.0
2000-03-13,12.13,12.13,11.75,11.75,3.1497,68500,0.0,1.0
2000-03-14,11.75,12.44,11.75,11.94,3.2006,163500,0.0,1.0
2000-03-15,11.88,11.94,10.88,11.13,2.9835,423100,0.0,1.0
2000-03-16,11.25,12.31,11.25,12.31,3.2998,188200,0.0,1.0
2000-03-17,12.31,13.5,12.31,13.5,3.6188,174800,0.0,1.0
2000-03-20,13.38,13.38,12.5,13.0,3.4848,77700,0.0,1.0
2000-03-21,12.75,13.13,12.5,12.63,3.3856,261500,0.0,1.0
2000-03-22,12.5,12.63,12.44,12.56,3.3668,130400,0.0,1.0
2000-03-23,12.63,13.0,12.63,12.81,3.4339,67700,0.0,1.0
2000-03-24,13.0,13.5,13.0,13.38,3.5866,155300,0.0,1.0
2000-03-27,13.75,14.0,13.44,13.75,3.6858,80500,0.0,1.0
2000-03-28,13.75,14.75,13.44,13.69,3.6697,115200,0.0,1.0
2000-03-29,13.25,13.63,13.06,13.19,3.6537,83300,0.44,1.0
2000-03-30,13.25,13.75,13.25,13.25,3.6703,25900,0.0,1.0
2000-03-31,13.38,13.5,12.88,13.19,3.6537,26100,0.0,1.0
2000-04-03,13.06,13.75,13.0,13.75,3.8088,71900,0.0,1.0
2000-04-04,13.63,13.63,12.63,13.25,3.6703,55700,0.0,1.0
2000-04-05,13.13,13.44,13.0,13.13,3.637,52900,0.0,1.0
2000-04-06,13.25,13.25,12.75,12.81,3.5484,37300,0.0,1.0
2000-04-07,12.81,13.0,12.75,12.94,3.5844,64300,0.0,1.0
2000-04-10,12.94,12.94,12.69,12.69,3.5152,51200,0.0,1.0
2000-04-11,12.69,12.88,12.69,12.69,3.5152,21200,0.0,1.0
2000-04-12,12.81,13.38,12.81,13.13,3.637,54800,0.0,1.0
2000-04-13,13.06,13.25,12.81,12.81,3.5484,23700,0.0,1.0
2000-04-14,12.94,12.94,12.5,12.5,3.4625,60000,0.0,1.0
2000-04-17,12.63,13.0,12.0,12.94,3.5844,46900,0.0,1.0
2000-04-18,13.25,13.25,12.63,13.0,3.601,52000,0.0,1.0
2000-04-19,12.88,13.0,12.75,12.88,3.5678,3500,0.0,1.0
2000-04-20,12.88,12.88,12.88,12.88,3.5678,19500,0.0,1.0
2000-04-24,12.94,13.13,12.75,12.75,3.5318,54000,0.0,1.0
2000-04-25,12.88,13.06,12.88,13.0,3.601,47100,0.0,1.0
2000-04-26,13.0,13.75,13.0,13.25,3.6703,47300,0.0,1.0
2000-04-27,13.38,13.5,13.13,13.44,3.7229,36600,0.0,1.0
2000-04-28,13.44,13.69,13.25,13.63,3.7755,46100,0.0,1.0
2000-05-01,13.5,13.63,13.44,13.5,3.7395,35900,0.0,1.0
2000-05-02,13.5,13.75,13.38,13.69,3.7922,105500,0.0,1.0
2000-05-03,13.38,13.75,13.38,13.75,3.8088,41200,0.0,1.0
2000-05-04,13.75,13.88,13.69,13.75,3.8088,97600,0.0,1.0
2000-05-05,13.88,13.88,13.63,13.69,3.7922,29300,0.0,1.0
2000-05-08,13.69,13.69,13.25,13.63,3.7755,41600,0.0,1.0
2000-05-09,13.5,13.63,13.31,13.63,3.7755,33900,0.0,1.0
2000-05-10,13.5,13.63,13.25,13.5,3.7395,24000,0.0,1.0
2000-05-11,13.63,13.75,13.56,13.75,3.8088,35300,0.0,1.0
2000-05-12,13.75,13.94,13.63,13.88,3.8448,47700,0.0,1.0
2000-05-15,13.88,13.94,13.69,13.94,3.8614,17900,0.0,1.0
2000-05-16,13.88,14.0,13.75,14.0,3.878,39600,0.0,1.0
2000-05-17,13.88,13.94,13.69,13.94,3.8614,48800,0.0,1.0
2000-05-18,13.81,14.0,13.75,14.0,3.878,36200,0.0,1.0
2000-05-19,14.0,14.0,13.75,13.94,3.8614,99600,0.0,1.0
2000-05-22,13.94,13.94,13.75,13.81,3.8254,42400,0.0,1.0
2000-05-23,13.81,13.81,13.63,13.69,3.7922,61500,0.0,1.0
2000-05-24,13.69,13.69,13.5,13.63,3.7755,86700,0.0,1.0
2000-05-25,13.63,13.63,13.25,13.31,3.6869,62500,0.0,1.0
2000-05-26,13.13,13.19,12.5,12.69,3.5152,139500,0.0,1.0
2000-05-30,12.69,12.88,12.69,12.81,3.5484,60700,0.0,1.0
2000-05-31,12.88,13.13,12.88,13.13,3.637,46200,0.0,1.0
2000-06-01,13.38,13.5,13.0,13.38,3.7063,30700,0.0,1.0
2000-06-02,13.38,13.69,13.31,13.69,3.7922,15000,0.0,1.0
2000-06-05,13.63,13.69,13.31,13.69,3.7922,39500,0.0,1.0
2000-06-06,13.69,13.88,13.5,13.69,3.7922,49000,0.0,1.0
2000-06-07,13.56,13.75,13.38,13.75,3.8088,14700,0.0,1.0
2000-06-08,13.63,13.94,13.63,13.75,3.8088,32100,0.0,1.0
2000-06-09,13.75,13.81,13.56,13.81,3.8254,51800,0.0,1.0
2000-06-12,13.81,13.94,13.75,13.88,3.8448,36700,0.0,1.0
2000-06-13,13.81,14.44,13.81,14.25,3.9473,137900,0.0,1.0
2000-06-14,14.38,14.5,14.13,14.5,4.0165,33900,0.0,1.0
2000-06-15,14.63,14.75,14.31,14.63,4.0525,97200,0.0,1.0
2000-06-16,14.56,14.75,14.38,14.69,4.0692,51000,0.0,1.0
2000-06-19,14.63,14.69,14.38,14.63,4.0525,36700,0.0,1.0
2000-06-20,14.69,14.69,14.06,14.19,3.9307,29200,0.0,1.0
2000-06-21,14.31,14.5,14.0,14.44,3.9999,32700,0.0,1.0
2000-06-22,14.44,14.44,14.31,14.38,3.9833,23500,0.0,1.0
2000-06-23,14.31,14.5,14.31,14.38,3.9833,16100,0.0,1.0
2000-06-26,14.5,14.5,14.13,14.38,3.9833,32100,0.0,1.0
2000-06-27,14.25,15.0,14.25,15.0,4.155,68600,0.0,1.0
2000-06-28,14.19,14.25,13.88,14.25,4.0692,35800,0.44,1.0
2000-06-29,14.13,14.13,13.81,14.0,3.9978,24500,0.0,1.0
2000-06-30,13.94,14.0,13.8,13.83,3.9492,23200,0.0,1.0
2000-07-03,13.88,14.38,13.88,14.25,4.0692,15200,0.0,1.0
2000-07-05,14.19,14.19,14.0,14.13,4.0349,8100,0.0,1.0
2000-07-06,14.13,14.25,14.0,14.25,4.0692,19300,0.0,1.0
2000-07-07,14.25,14.38,14.25,14.38,4.1063,53900,0.0,1.0
2000-07-10,14.38,14.5,14.25,14.5,4.1406,70200,0.0,1.0
2000-07-11,14.5,14.56,14.44,14.5,4.1406,56700,0.0,1.0
2000-07-12,14.5,14.63,14.5,14.56,4.1577,24200,0.0,1.0
2000-07-13,14.63,14.63,14.25,14.56,4.1577,35400,0.0,1.0
2000-07-14,14.63,14.69,14.5,14.63,4.1777,19900,0.0,1.0
2000-07-17,14.5,14.63,14.06,14.25,4.0692,40400,0.0,1.0
2000-07-18,14.31,14.31,14.06,14.19,4.052,20300,0.0,1.0
2000-07-19,14.0,14.06,13.63,13.75,3.9264,26200,0.0,1.0
2000-07-20,13.63,13.75,13.0,13.19,3.7665,48400,0.0,1.0
2000-07-21,13.25,13.75,13.25,13.5,3.855,32200,0.0,1.0
2000-07-24,13.38,13.5,13.13,13.44,3.8379,21400,0.0,1.0
2000-07-25,13.44,13.56,13.13,13.44,3.8379,60100,0.0,1.0
2000-07-26,13.44,13.5,13.13,13.13,3.7493,36500,0.0,1.0
2000-07-27,13.0,13.0,12.25,12.25,3.4981,74200,0.0,1.0
2000-07-28,12.38,12.44,11.63,12.06,3.4438,66100,0.0,1.0
2000-07-31,12.13,12.31,12.06,12.31,3.5152,68100,0.0,1.0
2000-08-01,12.44,13.25,12.44,12.94,3.6951,69100,0.0,1.0
2000-08-02,12.88,13.13,12.5,12.88,3.678,80100,0.0,1.0
2000-08-03,12.75,12.75,12.38,12.69,3.6237,38300,0.0,1.0
2000-08-04,12.5,12.75,12.38,12.75,3.6408,56000,0.0,1.0
2000-08-07,12.63,12.63,12.25,12.44,3.5523,103000,0.0,1.0
2000-08-08,12.38,12.5,12.38,12.5,3.5694,78000,0.0,1.0
2000-08-09,12.5,12.5,12.25,12.38,3.5352,101800,0.0,1.0
2000-08-10,12.38,12.44,12.31,12.44,3.5523,71000,0.0,1.0
2000-08-11,12.44,12.44,12.38,12.44,3.5523,46200,0.0,1.0
2000-08-14,12.38,12.44,12.38,12.44,3.5523,40800,0.0,1.0
2000-08-15,12.44,12.44,12.31,12.38,3.5352,59100,0.0,1.0
2000-08-16,12.31,12.38,12.31,12.31,3.5152,38300,0.0,1.0
2000-08-17,12.31,12.31,12.25,12.31,3.5152,42900,0.0,1.0
2000-08-18,12.25,12.25,12.06,12.19,3.4809,81400,0.0,1.0
2000-08-21,12.19,12.25,12.06,12.13,3.4638,32800,0.0,1.0
2000-08-22,12.06,12.19,12.06,12.13,3.4638,22600,0.0,1.0
2000-08-23,12.06,12.13,12.06,12.13,3.4638,48300,0.0,1.0
2000-08-24,12.0,12.06,11.5,11.69,3.3381,95100,0.0,1.0
2000-08-25,11.75,11.75,11.38,11.5,3.2839,132900,0.0,1.0
2000-08-28,11.5,11.56,10.81,10.94,3.124,129100,0.0,1.0
2000-08-29,10.69,10.75,10.0,10.44,2.9812,439400,0.0,1.0
2000-08-30,10.38,10.88,10.31,10.81,3.0869,236400,0.0,1.0
2000-08-31,10.81,10.88,10.63,10.88,3.1068,156600,0.0,1.0
2000-09-01,10.88,10.94,10.63,10.69,3.0526,158100,0.0,1.0
2000-09-05,10.69,10.94,10.63,10.94,3.124,212000,0.0,1.0
2000-09-06,11.0,11.13,10.81,10.94,3.124,135800,0.0,1.0
2000-09-07,10.94,11.56,10.94,11.56,3.301,259000,0.0,1.0
2000-09-08,11.56,11.75,11.44,11.69,3.3381,166000,0.0,1.0
2000-09-11,11.69,11.81,11.31,11.38,3.2496,78700,0.0,1.0
2000-09-12,11.38,11.56,11.25,11.44,3.2668,94000,0.0,1.0
2000-09-13,11.38,11.5,11.38,11.5,3.2839,37500,0.0,1.0
2000-09-14,11.44,11.44,11.31,11.44,3.2668,129700,0.0,1.0
2000-09-15,11.38,11.44,11.06,11.25,3.2125,111800,0.0,1.0
2000-09-18,11.25,11.31,11.06,11.19,3.1954,110900,0.0,1.0
2000-09-19,11.19,11.19,11.13,11.19,3.1954,25900,0.0,1.0
2000-09-20,11.19,11.44,11.13,11.44,3.2668,50100,0.0,1.0
2000-09-21,11.31,11.44,11.31,11.38,3.2496,55400,0.0,1.0
2000-09-22,11.31,11.38,11.13,11.31,3.2296,40700,0.0,1.0
