timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-11-28,20.0,20.05,20.0,20.0,5.8518,509000,0.0,1.0
2006-11-29,20.05,20.49,20.0,20.39,5.9659,362300,0.0,1.0
2006-11-30,20.4,20.58,20.2,20.4,5.9688,229700,0.0,1.0
2006-12-01,20.4,20.57,20.21,20.43,5.9776,247400,0.0,1.0
2006-12-04,20.58,20.6,20.25,20.42,5.9747,247500,0.0,1.0
2006-12-05,20.53,20.59,20.26,20.39,5.9659,420500,0.0,1.0
2006-12-06,20.48,20.55,20.2,20.4,5.9688,390500,0.0,1.0
2006-12-07,20.37,20.49,20.2,20.49,5.9952,264000,0.0,1.0
2006-12-08,20.46,20.49,20.24,20.48,5.9922,210500,0.0,1.0
2006-12-11,20.4,20.47,20.3,20.35,5.9542,196400,0.0,1.0
2006-12-12,20.42,20.43,20.3,20.39,5.9659,194100,0.0,1.0
2006-12-13,20.37,20.4,20.27,20.34,5.9513,186400,0.0,1.0
2006-12-14,20.35,20.45,20.26,20.35,5.9542,153100,0.0,1.0
2006-12-15,20.43,20.48,20.3,20.4,5.9688,192900,0.0,1.0
2006-12-18,20.56,20.56,20.33,20.48,5.9922,266900,0.0,1.0
2006-12-19,20.58,20.58,20.29,20.38,5.963,250500,0.0,1.0
2006-12-20,20.45,20.49,20.3,20.45,5.9835,185600,0.0,1.0
2006-12-21,20.45,20.47,20.33,20.36,5.9571,202800,0.0,1.0
2006-12-22,20.36,20.43,20.31,20.32,5.9454,109000,0.0,1.0
2006-12-26,20.31,20.39,20.23,20.32,5.9454,145600,0.0,1.0
2006-12-27,20.23,20.3,20.1,20.19,5.9074,192200,0.0,1.0
2006-12-28,20.2,20.21,20.06,20.2,5.9103,204400,0.0,1.0
2006-12-29,20.17,20.28,20.0,20.05,5.8664,258200,0.0,1.0
2007-01-03,20.1,20.13,20.0,20.0,5.8518,535100,0.0,1.0
2007-01-04,20.01,20.05,20.0,20.02,5.8577,368000,0.0,1.0
2007-01-05,20.05,20.08,20.0,20.02,5.8577,192600,0.0,1.0
2007-01-08,20.02,20.09,20.0,20.0,5.8518,215200,0.0,1.0
2007-01-09,20.03,20.03,20.0,20.0,5.8518,184300,0.0,1.0
2007-01-10,20.0,20.08,20.0,20.02,5.8577,348600,0.0,1.0
2007-01-11,20.01,20.2,20.0,20.08,5.8752,299000,0.0,1.0
2007-01-12,20.02,20.1,20.0,20.0,5.8518,537500,0.0,1.0
2007-01-16,20.03,20.17,20.01,20.12,5.8869,303300,0.0,1.0
2007-01-17,20.07,20.2,20.07,20.12,5.8869,292700,0.0,1.0
2007-01-18,20.2,20.2,20.08,20.18,5.9045,298200,0.0,1.0
2007-01-19,20.18,20.2,20.1,20.15,5.8957,228000,0.0,1.0
2007-01-22,20.14,20.17,20.08,20.12,5.8869,264700,0.0,1.0
2007-01-23,20.15,20.18,20.08,20.13,5.8898,312200,0.0,1.0
2007-01-24,20.19,20.29,20.12,20.21,5.9132,411700,0.0,1.0
2007-01-25,20.21,20.3,20.16,20.2699,5.9308,350300,0.0,1.0
2007-01-26,20.29,20.35,20.22,20.28,5.9337,273200,0.0,1.0
2007-01-29,20.35,20.39,20.16,20.25,5.925,459600,0.0,1.0
2007-01-30,20.29,20.38,20.2,20.38,5.963,254900,0.0,1.0
2007-01-31,20.35,20.39,20.27,20.39,5.9659,303900,0.0,1.0
2007-02-01,20.4,20.42,20.31,20.36,5.9571,319800,0.0,1.0
2007-02-02,20.37,20.51,20.33,20.48,5.9922,340600,0.0,1.0
2007-02-05,20.48,20.53,20.4,20.4,5.9688,337600,0.0,1.0
2007-02-06,20.47,20.52,20.4,20.45,5.9835,345800,0.0,1.0
2007-02-07,20.48,20.53,20.41,20.48,5.9922,277800,0.0,1.0
2007-02-08,20.46,20.53,20.42,20.5,5.9981,289400,0.0,1.0
2007-02-09,20.45,20.53,20.4,20.46,5.9864,270800,0.0,1.0
2007-02-12,20.42,20.54,20.42,20.48,5.9922,320300,0.0,1.0
2007-02-13,20.48,20.55,20.4,20.45,5.9835,381624,0.0,1.0
2007-02-14,20.53,20.59,20.45,20.57,6.0186,452600,0.0,1.0
2007-02-15,20.57,20.65,20.52,20.58,6.0215,416700,0.0,1.0
2007-02-16,20.5,20.5,20.03,20.1,6.0164,306000,0.4625,1.0
2007-02-20,20.11,20.18,19.95,20.04,5.9984,381900,0.0,1.0
2007-02-21,20.0,20.02,19.96,19.98,5.9805,235200,0.0,1.0
2007-02-22,19.9899,20.0099,19.95,19.97,5.9775,442500,0.0,1.0
2007-02-23,20.0,20.02,19.74,19.93,5.9655,338800,0.0,1.0
2007-02-26,19.98,20.01,19.95,20.0,5.9865,235960,0.0,1.0
2007-02-27,19.97,20.0,19.65,19.88,5.9505,351500,0.0,1.0
2007-02-28,19.98,20.01,19.9,19.98,5.9805,259500,0.0,1.0
2007-03-01,19.9,19.9,19.67,19.78,5.9206,213900,0.0,1.0
2007-03-02,19.68,19.75,19.6,19.69,5.8937,216500,0.0,1.0
2007-03-05,19.5999,19.69,19.53,19.53,5.8458,239000,0.0,1.0
