timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-06-21,14.75,15.0,14.51,15.0,7.8554,308800,0.0,1.0
2011-06-22,14.9,15.81,14.76,14.91,7.8083,93700,0.0,1.0
2011-06-23,14.91,14.93,14.7,14.83,7.7664,57600,0.0,1.0
2011-06-24,15.24,15.24,14.5,14.82,7.7611,45200,0.0,1.0
2011-06-27,14.52,14.89,14.52,14.85,7.7768,13300,0.0,1.0
2011-06-28,14.52,15.0,14.51,14.94,7.824,13900,0.0,1.0
2011-06-29,14.98,14.98,14.5,14.88,7.7926,20400,0.0,1.0
2011-06-30,14.75,16.0,14.75,14.81,7.7559,12000,0.0,1.0
2011-07-01,14.92,15.0,14.55,15.0,7.8554,15300,0.0,1.0
2011-07-05,15.0,15.0,14.71,14.75,7.7245,8500,0.0,1.0
2011-07-06,15.0,15.0,14.75,14.75,7.7245,3600,0.0,1.0
2011-07-07,15.25,15.25,14.8,14.91,7.8083,7800,0.0,1.0
2011-07-08,14.95,14.95,14.8,14.88,7.7926,2700,0.0,1.0
2011-07-11,14.58,15.43,14.58,14.87,7.7873,42200,0.0,1.0
2011-07-12,14.7,14.8,14.54,14.64,7.6669,28300,0.0,1.0
2011-07-13,14.62,14.93,14.55,14.61,7.6512,41100,0.0,1.0
2011-07-14,14.59,14.7,14.26,14.6,7.6459,7700,0.0,1.0
2011-07-15,14.55,14.55,14.35,14.35,7.515,27700,0.0,1.0
2011-07-18,14.25,14.53,13.69,14.09,7.3788,20900,0.0,1.0
2011-07-19,14.3,14.54,14.0,14.392,7.537,17700,0.0,1.0
2011-07-20,14.21,14.424,14.0,14.04,7.3527,20100,0.0,1.0
2011-07-21,13.9601,14.0,13.75,13.93,7.295,9400,0.0,1.0
2011-07-22,13.85,14.45,13.61,14.36,7.5202,10000,0.0,1.0
2011-07-25,13.58,14.25,13.52,13.91,7.2846,26600,0.0,1.0
2011-07-26,13.73,14.45,13.73,14.126,7.3977,13300,0.0,1.0
2011-07-27,13.81,14.31,13.75,13.89,7.2741,9100,0.0,1.0
2011-07-28,14.08,14.08,13.79,13.872,7.2647,5400,0.0,1.0
2011-07-29,13.54,13.81,13.0,13.0,6.808,17000,0.0,1.0
2011-08-01,13.5,14.019,13.0,13.548,7.095,24900,0.0,1.0
2011-08-02,13.55,13.55,13.28,13.5,7.0699,4300,0.0,1.0
2011-08-03,13.5,13.5,12.4,13.299,6.9646,23700,0.0,1.0
2011-08-04,13.4,13.42,12.5,12.7,6.6509,31400,0.0,1.0
2011-08-05,13.0,13.16,10.02,12.77,6.6876,40600,0.0,1.0
2011-08-08,13.01,13.5,12.14,13.01,6.8132,69300,0.0,1.0
2011-08-09,13.25,13.5,11.52,12.75,6.6771,17900,0.0,1.0
2011-08-10,11.51,12.95,11.51,12.52,6.5566,17300,0.0,1.0
2011-08-11,12.99,13.1,12.51,12.608,6.6027,11100,0.0,1.0
2011-08-12,13.5,13.5,12.05,12.76,6.6823,12600,0.0,1.0
2011-08-15,12.76,13.4,12.38,13.04,6.829,18600,0.0,1.0
2011-08-16,13.0,13.25,13.0,13.25,6.9389,6500,0.0,1.0
2011-08-17,13.25,13.25,12.7,13.1,6.8604,7400,0.0,1.0
2011-08-18,12.68,13.152,12.25,12.25,6.4152,6900,0.0,1.0
2011-08-19,12.51,12.51,12.0,12.29,6.4362,17800,0.0,1.0
2011-08-22,12.4,12.94,12.0,12.0,6.2843,5300,0.0,1.0
2011-08-23,12.0,13.2,11.52,12.89,6.7504,18800,0.0,1.0
2011-08-24,12.89,13.2,12.0,12.9,6.7556,13500,0.0,1.0
2011-08-25,12.67,12.94,12.21,12.84,6.7242,12200,0.0,1.0
2011-08-26,12.93,12.99,12.1,12.84,6.7242,12400,0.0,1.0
2011-08-29,13.0,13.47,12.5,13.08,6.8499,17200,0.0,1.0
2011-08-30,13.23,13.5,12.75,13.41,7.0227,9000,0.0,1.0
2011-08-31,13.65,13.65,13.22,13.23,6.9285,4100,0.0,1.0
2011-09-01,13.05,13.65,12.83,13.62,7.1327,9000,0.0,1.0
2011-09-02,13.4,13.81,12.8,13.122,6.8719,8600,0.0,1.0
2011-09-06,13.5,13.5,13.1501,13.49,7.0646,5100,0.0,1.0
2011-09-07,13.5,13.87,13.06,13.57,7.1065,34500,0.0,1.0
2011-09-08,13.1,13.49,12.7,13.45,7.2113,14000,0.32,1.0
2011-09-09,13.33,13.41,12.7,13.35,7.1576,7800,0.0,1.0
2011-09-12,12.8,13.19,12.4,12.47,6.6858,10900,0.0,1.0
2011-09-13,12.9199,13.14,12.5,12.83,6.8788,6400,0.0,1.0
2011-09-14,12.8,13.04,12.45,12.51,6.7073,11100,0.0,1.0
2011-09-15,12.64,12.97,12.47,12.94,6.9378,5400,0.0,1.0
2011-09-16,13.04,13.04,12.41,12.41,6.6537,14900,0.0,1.0
2011-09-19,12.35,13.0232,12.34,12.65,6.7823,16100,0.0,1.0
2011-09-20,12.85,13.04,12.62,12.86,6.8949,20600,0.0,1.0
2011-09-21,12.87,12.88,12.25,12.32,6.6054,9600,0.0,1.0
2011-09-22,12.15,12.37,11.0,11.33,6.0746,20900,0.0,1.0
2011-09-23,11.3,11.68,10.68,11.51,6.1711,13600,0.0,1.0
2011-09-26,12.2,12.35,11.3,12.25,6.5679,15100,0.0,1.0
2011-09-27,12.45,13.0,12.27,13.0,6.97,62700,0.0,1.0
2011-09-28,12.4,12.95,12.01,12.68,6.7984,32800,0.0,1.0
2011-09-29,12.77,12.77,11.75,12.05,6.4606,18300,0.0,1.0
2011-09-30,11.9,12.6,11.86,12.59,6.7502,364600,0.0,1.0
2011-10-03,12.66,13.1,11.73,11.73,6.2891,39000,0.0,1.0
2011-10-04,11.73,12.93,11.51,12.83,6.8788,32800,0.0,1.0
2011-10-05,12.73,13.24,12.6,13.24,7.0987,15700,0.0,1.0
2011-10-06,12.99,13.13,12.72,13.11,7.029,33000,0.0,1.0
2011-10-07,12.85,13.19,12.72,12.9,6.9164,21600,0.0,1.0
2011-10-10,12.99,13.18,12.52,13.08,7.0129,20000,0.0,1.0
2011-10-11,13.22,13.22,12.76,13.14,7.045,25500,0.0,1.0
2011-10-12,13.22,13.22,12.81,13.15,7.0504,14300,0.0,1.0
2011-10-13,12.49,13.22,12.45,13.0,6.97,9300,0.0,1.0
2011-10-14,13.09,13.22,12.74,12.99,6.9646,8300,0.0,1.0
2011-10-17,13.06,13.1,12.2,12.46,6.6805,11000,0.0,1.0
2011-10-18,12.95,13.22,12.48,13.0,6.97,18900,0.0,1.0
2011-10-19,12.83,12.83,11.85,11.91,6.3856,21500,0.0,1.0
2011-10-20,12.11,12.6001,11.83,12.04,6.4553,7100,0.0,1.0
2011-10-21,12.15,12.18,11.95,11.95,6.407,9600,0.0,1.0
2011-10-24,12.07,12.44,11.85,12.44,6.6697,11700,0.0,1.0
2011-10-25,12.5,12.5,11.5,11.89,6.3749,12800,0.0,1.0
2011-10-26,12.06,12.17,11.59,11.95,6.407,13400,0.0,1.0
2011-10-27,12.19,13.09,11.92,12.91,6.9217,51600,0.0,1.0
2011-10-28,12.61,12.95,12.4,12.95,6.9432,17500,0.0,1.0
2011-10-31,12.72,13.69,12.54,13.0,6.97,40100,0.0,1.0
2011-11-01,12.55,12.92,12.15,12.29,6.5893,18800,0.0,1.0
2011-11-02,12.65,12.82,12.37,12.64,6.777,6800,0.0,1.0
2011-11-03,12.39,13.0,12.39,12.8,6.8628,18100,0.0,1.0
2011-11-04,12.42,12.49,11.95,12.0,6.4338,17000,0.0,1.0
2011-11-07,12.11,12.32,11.95,12.28,6.584,24600,0.0,1.0
2011-11-08,12.15,12.63,12.15,12.61,6.7609,12200,0.0,1.0
2011-11-09,12.35,12.4,11.9,11.92,6.3909,29600,0.0,1.0
2011-11-10,11.99,12.64,11.86,12.28,6.584,14500,0.0,1.0
2011-11-11,12.19,12.93,12.19,12.93,6.9325,27000,0.0,1.0
2011-11-14,12.69,12.74,12.02,12.2,6.5411,18900,0.0,1.0
2011-11-15,12.38,12.48,12.05,12.23,6.5571,21400,0.0,1.0
2011-11-16,12.04,12.48,12.04,12.21,6.5464,14800,0.0,1.0
2011-11-17,12.21,12.38,12.05,12.11,6.4928,11500,0.0,1.0
2011-11-18,12.18,12.64,12.021,12.07,6.4714,32300,0.0,1.0
2011-11-21,12.0,12.25,11.87,12.02,6.4446,19000,0.0,1.0
2011-11-22,12.0,12.12,11.91,12.01,6.4392,13300,0.0,1.0
2011-11-23,11.96,12.45,11.96,12.0,6.4338,12100,0.0,1.0
2011-11-25,12.0,12.31,12.0,12.04,6.4553,4700,0.0,1.0
2011-11-28,12.32,12.32,12.03,12.3,6.5947,11500,0.0,1.0
