timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-05-25,20.01,20.1,20.0,20.0,6.2676,61200,0.0,1.0
2007-05-29,20.08,20.3,20.08,20.19,6.3271,22800,0.0,1.0
2007-05-30,20.22,20.3,20.15,20.3,6.3616,17100,0.0,1.0
2007-05-31,20.3,20.49,20.21,20.49,6.4211,10100,0.0,1.0
2007-06-01,20.7,20.72,20.4,20.6,6.4556,22000,0.0,1.0
2007-06-04,20.5,20.5,20.3,20.48,6.418,20900,0.0,1.0
2007-06-05,20.48,20.49,20.4,20.41,6.396,11800,0.0,1.0
2007-06-06,20.46,20.49,20.2,20.2,6.3302,20700,0.0,1.0
2007-06-07,20.3,20.4,20.2,20.4,6.3929,10800,0.0,1.0
2007-06-08,20.4,20.4,20.21,20.26,6.349,23800,0.0,1.0
2007-06-11,20.26,20.26,20.2,20.25,6.3459,6200,0.0,1.0
2007-06-12,20.25,20.39,20.25,20.39,6.3898,12800,0.0,1.0
2007-06-13,20.3,20.3,20.05,20.2,6.3302,15300,0.0,1.0
2007-06-14,20.3,20.4,20.15,20.16,6.3177,9000,0.0,1.0
2007-06-15,20.1,20.2,20.01,20.2,6.3302,4400,0.0,1.0
2007-06-18,20.3,20.3,20.1,20.15,6.3146,4500,0.0,1.0
2007-06-19,20.25,20.25,20.15,20.15,6.3146,5400,0.0,1.0
2007-06-20,20.25,20.3,20.25,20.3,6.3616,8000,0.0,1.0
2007-06-21,20.35,20.5,20.35,20.5,6.4243,8100,0.0,1.0
2007-06-22,20.5,20.5,20.06,20.1,6.2989,9600,0.0,1.0
2007-06-25,20.11,20.11,19.46,19.47,6.1015,48900,0.0,1.0
2007-06-26,19.45,19.74,19.45,19.71,6.1767,46500,0.0,1.0
2007-06-27,19.7,19.75,19.69,19.71,6.1767,25500,0.0,1.0
2007-06-28,19.75,19.9,19.75,19.9,6.2362,14100,0.0,1.0
2007-06-29,19.87,19.9,19.85,19.9,6.2362,9300,0.0,1.0
2007-07-02,19.75,19.75,19.35,19.6,6.1422,20000,0.0,1.0
2007-07-03,19.6,19.7,19.6,19.7,6.1735,4200,0.0,1.0
2007-07-05,19.6,19.75,19.6,19.75,6.1892,9600,0.0,1.0
2007-07-06,19.65,19.7,19.6,19.62,6.1485,11000,0.0,1.0
2007-07-09,19.6,19.85,19.6,19.65,6.1579,17200,0.0,1.0
2007-07-10,19.62,19.7,19.59,19.68,6.1673,29100,0.0,1.0
2007-07-11,19.62,19.7,19.61,19.66,6.161,8500,0.0,1.0
2007-07-12,19.67,20.05,19.62,19.75,6.1892,15500,0.0,1.0
2007-07-13,20.0,20.0,19.72,19.91,6.2394,8200,0.0,1.0
2007-07-16,19.9,19.9,19.75,19.76,6.1924,14400,0.0,1.0
2007-07-17,19.7,19.8,19.63,19.63,6.1516,12100,0.0,1.0
2007-07-18,19.6,19.64,19.0,19.1,5.9855,28600,0.0,1.0
2007-07-19,19.1,19.1,18.55,18.75,5.8758,19900,0.0,1.0
2007-07-20,18.7,18.7,18.26,18.41,5.7693,13600,0.0,1.0
2007-07-23,18.5,18.5,18.25,18.46,5.785,13500,0.0,1.0
2007-07-24,18.46,18.65,17.68,17.76,5.5656,41200,0.0,1.0
2007-07-25,17.8,17.8,16.75,17.15,5.3744,43500,0.0,1.0
2007-07-26,17.15,17.49,16.2,17.49,5.481,36500,0.0,1.0
2007-07-27,17.45,17.76,16.45,16.99,5.3243,25900,0.0,1.0
2007-07-30,17.0,17.0,15.48,16.6,5.2021,52900,0.0,1.0
2007-07-31,16.45,17.25,16.4,16.85,5.2804,46700,0.0,1.0
2007-08-01,16.75,17.35,16.1,16.41,5.1425,43700,0.0,1.0
2007-08-02,16.41,16.45,15.01,16.05,5.0297,59100,0.0,1.0
2007-08-03,16.25,16.25,15.53,15.85,4.967,32500,0.0,1.0
2007-08-06,15.8,16.15,15.35,16.1,5.0454,49000,0.0,1.0
2007-08-07,16.0,16.83,15.85,16.83,5.2742,38600,0.0,1.0
2007-08-08,17.5,17.6,16.9,17.28,5.4152,42800,0.0,1.0
2007-08-09,17.45,17.45,16.65,17.21,5.3932,26900,0.0,1.0
2007-08-10,17.17,17.17,16.4,16.4,5.1394,23500,0.0,1.0
2007-08-13,16.6,17.24,16.03,16.44,5.1519,37700,0.0,1.0
2007-08-14,16.59,16.7,14.69,15.0,4.7007,36900,0.0,1.0
2007-08-15,14.8,15.75,13.5,14.25,4.4656,82800,0.0,1.0
2007-08-16,13.5,14.1,12.99,13.46,4.2181,105900,0.0,1.0
2007-08-17,14.25,15.7,14.25,15.67,4.9106,77900,0.0,1.0
2007-08-20,15.61,16.1,15.25,16.0,5.0141,33700,0.0,1.0
2007-08-21,16.0,16.42,15.3,16.32,5.1143,33600,0.0,1.0
2007-08-22,16.0,16.04,15.02,15.86,5.0799,48200,0.35,1.0
2007-08-23,15.8,16.35,15.09,16.24,5.2016,44100,0.0,1.0
2007-08-24,16.19,16.24,15.51,15.64,5.0094,22800,0.0,1.0
2007-08-27,15.68,15.7,15.01,15.3,4.9005,53300,0.0,1.0
2007-08-28,15.55,15.6,15.0,15.5,4.9646,59500,0.0,1.0
2007-08-29,15.6,15.65,15.16,15.55,4.9806,51300,0.0,1.0
2007-08-30,15.75,16.0,14.97,15.58,4.9902,78300,0.0,1.0
2007-08-31,15.75,16.49,15.46,16.45,5.2688,71800,0.0,1.0
2007-09-04,16.35,17.23,16.35,17.0,5.445,37400,0.0,1.0
2007-09-05,16.9,17.0,16.5,17.0,5.445,35000,0.0,1.0
2007-09-06,16.9,17.1,16.67,17.0,5.445,18300,0.0,1.0
2007-09-07,16.7,16.7,16.15,16.16,5.1759,34600,0.0,1.0
2007-09-10,16.15,16.15,15.0,15.49,4.9614,42800,0.0,1.0
2007-09-11,15.26,15.66,15.26,15.4,4.9325,21900,0.0,1.0
2007-09-12,15.5,15.7,14.51,14.74,4.7211,59600,0.0,1.0
2007-09-13,14.7,15.8,14.55,15.1,4.8364,47200,0.0,1.0
2007-09-14,15.0,15.2,14.8,15.0,4.8044,29000,0.0,1.0
2007-09-17,14.85,15.2,14.48,15.18,4.8621,39100,0.0,1.0
2007-09-18,15.06,16.25,14.95,15.7,5.0286,54700,0.0,1.0
2007-09-19,15.85,16.39,15.5,15.8,5.0606,55400,0.0,1.0
2007-09-20,15.7,16.39,15.7,15.85,5.0767,39700,0.0,1.0
2007-09-21,16.05,16.55,15.77,15.8,5.0606,32900,0.0,1.0
2007-09-24,15.8,15.8,14.61,15.3,4.9005,58200,0.0,1.0
2007-09-25,15.2,15.3,14.97,15.06,4.8236,68400,0.0,1.0
2007-09-26,15.15,15.3,14.69,15.0,4.8044,54700,0.0,1.0
2007-09-27,15.1,15.71,15.05,15.59,4.9934,50200,0.0,1.0
2007-09-28,15.35,15.95,15.18,15.84,5.0735,60400,0.0,1.0
2007-10-01,15.71,15.97,15.4,15.75,5.0446,34600,0.0,1.0
2007-10-02,15.85,16.19,15.54,16.05,5.1407,36800,0.0,1.0
2007-10-03,16.15,16.18,15.7,15.9,5.0927,40000,0.0,1.0
2007-10-04,15.7,15.96,15.41,15.95,5.1087,38100,0.0,1.0
2007-10-05,15.85,16.19,15.85,15.85,5.0767,40800,0.0,1.0
2007-10-08,15.95,16.35,15.8,16.17,5.1792,36800,0.0,1.0
2007-10-09,16.15,16.15,15.82,16.05,5.1407,34200,0.0,1.0
2007-10-10,15.95,16.07,15.88,16.02,5.1311,37400,0.0,1.0
2007-10-11,16.09,16.14,15.81,15.81,5.0638,27200,0.0,1.0
2007-10-12,15.81,15.82,15.55,15.62,5.003,28300,0.0,1.0
2007-10-15,15.65,15.68,15.05,15.19,4.8653,63200,0.0,1.0
2007-10-16,15.16,15.25,14.77,14.9,4.7724,52300,0.0,1.0
2007-10-17,14.83,15.1,14.51,14.74,4.7211,48900,0.0,1.0
2007-10-18,14.64,14.7,14.44,14.63,4.6859,60000,0.0,1.0
2007-10-19,14.5,14.65,14.11,14.31,4.5834,78200,0.0,1.0
2007-10-22,14.2,14.29,14.02,14.1,4.5161,30600,0.0,1.0
2007-10-23,14.25,14.25,13.85,14.0,4.4841,64700,0.0,1.0
2007-10-24,13.9,14.0,13.7,13.85,4.4361,59300,0.0,1.0
2007-10-25,13.9,14.05,13.7,13.97,4.4745,42600,0.0,1.0
2007-10-26,13.87,14.13,13.65,14.07,4.5065,59100,0.0,1.0
2007-10-29,14.1,14.49,13.91,14.48,4.6379,38900,0.0,1.0
2007-10-30,14.38,14.53,13.86,14.09,4.5129,72900,0.0,1.0
2007-10-31,14.16,14.45,13.86,14.28,4.5738,107300,0.0,1.0
2007-11-01,14.24,14.24,13.67,14.1,4.5161,67600,0.0,1.0
2007-11-02,14.2,14.45,13.56,14.1,4.5161,69200,0.0,1.0
2007-11-05,13.51,14.06,13.42,13.91,4.4553,69400,0.0,1.0
2007-11-06,13.9,14.03,13.26,13.7,4.388,77400,0.0,1.0
2007-11-07,13.21,13.55,12.94,13.11,4.1991,104400,0.0,1.0
2007-11-08,13.04,13.65,12.94,13.44,4.3047,95000,0.0,1.0
2007-11-09,14.2,14.2,13.25,14.07,4.5065,58800,0.0,1.0
2007-11-12,13.92,14.4,13.78,14.35,4.5962,72700,0.0,1.0
2007-11-13,14.2,14.59,14.07,14.58,4.6699,52700,0.0,1.0
2007-11-14,14.55,14.62,14.43,14.56,4.6635,24900,0.0,1.0
2007-11-15,14.5,14.5,13.99,14.27,4.5706,54000,0.0,1.0
2007-11-16,13.93,14.13,13.56,14.01,4.4873,67200,0.0,1.0
2007-11-19,13.95,14.35,13.81,13.96,4.4713,56600,0.0,1.0
2007-11-20,13.94,14.8,13.8,14.55,4.6603,81500,0.0,1.0
2007-11-21,14.0,14.0,13.4,13.75,4.5193,54000,0.36,1.0
2007-11-23,13.75,14.0,13.48,13.9,4.5686,14500,0.0,1.0
2007-11-26,13.9,14.12,13.75,13.75,4.5193,87900,0.0,1.0
2007-11-27,13.8,14.27,13.21,14.27,4.6903,126600,0.0,1.0
2007-11-28,14.05,14.4,13.91,14.1,4.6344,68000,0.0,1.0
2007-11-29,13.7,14.1,13.45,13.84,4.5489,71900,0.0,1.0
2007-11-30,14.05,14.44,13.65,14.23,4.6771,72200,0.0,1.0
2007-12-03,14.0,14.44,13.81,13.92,4.5752,47300,0.0,1.0
2007-12-04,13.5,13.99,13.34,13.49,4.4339,60800,0.0,1.0
2007-12-05,13.75,13.82,13.2,13.52,4.4437,92400,0.0,1.0
2007-12-06,13.6,13.6,13.19,13.38,4.3977,87700,0.0,1.0
2007-12-07,13.52,13.68,13.28,13.49,4.4339,81400,0.0,1.0
2007-12-10,13.47,14.0,13.3,13.6,4.47,55200,0.0,1.0
2007-12-11,13.4,13.81,13.36,13.45,4.4207,65600,0.0,1.0
2007-12-12,13.3,13.73,13.02,13.15,4.3221,85900,0.0,1.0
2007-12-13,13.1,13.11,12.6,12.83,4.217,83300,0.0,1.0
2007-12-14,12.6,12.8,12.5,12.68,4.1677,77100,0.0,1.0
2007-12-17,12.1,12.72,11.81,11.97,3.9343,90700,0.0,1.0
2007-12-18,12.0,12.1,11.41,11.64,3.8258,82500,0.0,1.0
2007-12-19,11.64,11.89,11.53,11.6,3.8127,88900,0.0,1.0
2007-12-20,11.6,11.77,11.5,11.55,3.7963,110500,0.0,1.0
2007-12-21,11.9,11.95,11.59,11.85,3.8949,144300,0.0,1.0
2007-12-24,11.94,12.45,11.81,12.34,4.0559,65600,0.0,1.0
2007-12-26,12.4,12.97,12.36,12.67,4.1644,111600,0.0,1.0
2007-12-27,12.62,12.64,12.4,12.44,4.0888,148500,0.0,1.0
2007-12-28,12.12,12.4,12.02,12.1,3.977,194000,0.0,1.0
2007-12-31,12.0,12.24,11.86,12.01,3.9474,282700,0.0,1.0
2008-01-02,12.09,12.24,12.01,12.094,3.9751,38300,0.0,1.0
2008-01-03,12.07,12.5,12.07,12.39,4.0723,38075,0.0,1.0
2008-01-04,12.2,12.32,12.08,12.09,3.9737,41600,0.0,1.0
2008-01-07,12.0,12.09,11.79,11.87,3.9014,52500,0.0,1.0
2008-01-08,11.9,12.09,11.72,11.7201,3.8522,43400,0.0,1.0
2008-01-09,11.7,11.84,11.43,11.56,3.7995,58500,0.0,1.0
2008-01-10,11.58,11.98,11.4,11.9,3.9113,59500,0.0,1.0
2008-01-11,11.9,12.17,11.84,12.08,3.9705,47900,0.0,1.0
2008-01-14,11.91,12.12,11.71,11.86,3.8981,52300,0.0,1.0
2008-01-15,11.74,11.79,11.54,11.57,3.8028,39017,0.0,1.0
2008-01-16,11.57,11.94,11.57,11.81,3.8817,41500,0.0,1.0
2008-01-17,11.81,11.9,11.2,11.36,3.7338,59800,0.0,1.0
2008-01-18,11.2,11.61,11.03,11.24,3.6944,45700,0.0,1.0
2008-01-22,10.5,11.38,10.36,11.24,3.6944,72200,0.0,1.0
2008-01-23,11.55,12.16,10.73,12.09,3.9737,80600,0.0,1.0
2008-01-24,12.19,12.38,12.12,12.38,4.0691,55100,0.0,1.0
2008-01-25,12.5,12.68,12.22,12.32,4.0493,67300,0.0,1.0
2008-01-28,12.67,12.7,12.32,12.6,4.1414,52100,0.0,1.0
2008-01-29,12.89,13.03,12.7,13.0,4.2728,59800,0.0,1.0
2008-01-30,12.89,13.18,12.8,12.8,4.2071,70200,0.0,1.0
2008-01-31,13.1,13.18,12.69,13.18,4.332,48800,0.0,1.0
2008-02-01,13.3,13.49,13.1,13.48,4.4306,48200,0.0,1.0
2008-02-04,13.5,13.54,13.17,13.22,4.3451,36500,0.0,1.0
2008-02-05,13.1,13.16,12.86,13.0,4.2728,27900,0.0,1.0
2008-02-06,12.97,13.1001,12.97,13.02,4.2794,35800,0.0,1.0
2008-02-07,12.9,13.35,12.9,13.01,4.2761,35300,0.0,1.0
2008-02-08,13.12,13.48,13.0,13.23,4.3484,28896,0.0,1.0
2008-02-11,13.13,13.24,13.05,13.24,4.3517,19900,0.0,1.0
2008-02-12,13.37,13.4,13.18,13.21,4.3419,22300,0.0,1.0
2008-02-13,13.26,13.38,13.04,13.24,4.3517,31600,0.0,1.0
2008-02-14,13.2,13.27,12.84,12.85,4.2235,41000,0.0,1.0
2008-02-15,12.7,13.16,12.4,12.54,4.1216,57400,0.0,1.0
2008-02-19,12.8,13.07,12.67,12.96,4.2597,31300,0.0,1.0
2008-02-20,13.3,13.67,12.86,13.44,4.4175,85600,0.0,1.0
2008-02-21,13.08,13.49,13.01,13.25,4.4766,27300,0.37,1.0
2008-02-22,13.4,13.42,13.0,13.35,4.5104,30200,0.0,1.0
2008-02-25,13.5,13.59,13.19,13.39,4.5239,44600,0.0,1.0
2008-02-26,13.27,13.5,13.27,13.5,4.5611,36200,0.0,1.0
2008-02-27,13.54,13.64,13.3,13.58,4.5881,44800,0.0,1.0
2008-02-28,13.7,13.89,13.33,13.75,4.6455,33200,0.0,1.0
2008-02-29,13.6,13.99,13.4,13.67,4.6185,53000,0.0,1.0
2008-03-03,13.38,13.6,13.14,13.15,4.4428,24400,0.0,1.0
2008-03-04,13.1,13.35,12.91,12.95,4.3753,30400,0.0,1.0
2008-03-05,12.9,13.01,12.71,12.8,4.3246,37400,0.0,1.0
2008-03-06,12.75,12.75,11.79,11.9,4.0205,64600,0.0,1.0
2008-03-07,11.5,12.2,11.46,11.84,4.0002,74900,0.0,1.0
2008-03-10,11.86,11.96,11.5,11.76,3.9732,21500,0.0,1.0
2008-03-11,11.85,12.5,11.85,12.5,4.2232,21100,0.0,1.0
2008-03-12,12.54,12.87,12.47,12.48,4.2165,30800,0.0,1.0
2008-03-13,12.18,12.45,11.86,12.45,4.2063,37800,0.0,1.0
2008-03-14,12.5,12.7,12.17,12.19,4.1185,13900,0.0,1.0
2008-03-17,11.8,12.22,11.6,12.17,4.1117,35800,0.0,1.0
2008-03-18,12.4,12.99,12.32,12.69,4.2874,68500,0.0,1.0
2008-03-19,12.74,12.99,12.52,12.6,4.257,18900,0.0,1.0
2008-03-20,12.4,12.61,12.03,12.61,4.2604,45400,0.0,1.0
2008-03-24,12.55,12.91,12.54,12.62,4.2638,27500,0.0,1.0
2008-03-25,12.52,12.7,12.4,12.57,4.2469,26600,0.0,1.0
2008-03-26,12.58,12.656,12.45,12.57,4.2469,26900,0.0,1.0
2008-03-27,12.55,12.7,12.55,12.7,4.2908,14100,0.0,1.0
2008-03-28,12.65,13.05,12.64,13.05,4.409,18800,0.0,1.0
2008-03-31,13.0,13.05,12.63,12.93,4.3685,31100,0.0,1.0
2008-04-01,13.08,13.25,13.05,13.24,4.4732,28200,0.0,1.0
2008-04-02,13.1,13.25,12.99,13.06,4.4124,23400,0.0,1.0
2008-04-03,12.96,13.14,12.93,13.1,4.4259,22300,0.0,1.0
2008-04-04,13.04,13.14,13.02,13.02,4.3989,22300,0.0,1.0
2008-04-07,13.0,13.15,12.95,13.0,4.3922,17000,0.0,1.0
2008-04-08,12.96,13.02,12.818,12.85,4.3415,20500,0.0,1.0
2008-04-09,12.8,12.95,12.8,12.92,4.3651,22000,0.0,1.0
2008-04-10,12.92,12.932,12.8,12.91,4.3617,10700,0.0,1.0
2008-04-11,12.86,13.07,12.6,12.69,4.2874,19700,0.0,1.0
2008-04-14,12.62,12.628,12.38,12.38,4.1827,9700,0.0,1.0
2008-04-15,12.28,12.342,12.0,12.0,4.0543,36100,0.0,1.0
2008-04-16,11.97,12.374,11.97,12.25,4.1388,37500,0.0,1.0
2008-04-17,12.25,12.49,12.11,12.43,4.1996,28700,0.0,1.0
2008-04-18,12.57,12.72,12.43,12.51,4.2266,22250,0.0,1.0
2008-04-21,12.47,12.6,12.47,12.6,4.257,15900,0.0,1.0
2008-04-22,12.64,12.68,12.23,12.45,4.2063,31700,0.0,1.0
2008-04-23,12.41,12.74,12.33,12.54,4.2367,28500,0.0,1.0
2008-04-24,12.5,13.07,12.5,13.0,4.3922,38448,0.0,1.0
2008-04-25,13.05,13.25,12.92,13.25,4.4766,31380,0.0,1.0
2008-04-28,13.4,13.4,13.14,13.14,4.4395,24767,0.0,1.0
