timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2002-12-20,15.0,15.05,15.0,15.0,5.7113,87000,0.0,1.0
2002-12-23,15.0,15.0,15.0,15.0,5.7113,73100,0.0,1.0
2002-12-24,15.0,15.01,15.0,15.0,5.7113,31900,0.0,1.0
2002-12-26,15.0,15.01,15.0,15.0,5.7113,30500,0.0,1.0
2002-12-27,15.01,15.04,15.0,15.04,5.7265,8500,0.0,1.0
2002-12-30,15.01,15.01,15.0,15.0,5.7113,23600,0.0,1.0
2002-12-31,15.0,15.02,15.0,15.0,5.7113,26500,0.0,1.0
2003-01-02,15.0,15.01,15.0,15.0,5.7113,14900,0.0,1.0
2003-01-03,15.0,15.01,15.0,15.0,5.7113,25900,0.0,1.0
2003-01-06,15.0,15.02,15.0,15.01,5.7151,19300,0.0,1.0
2003-01-07,15.01,15.02,15.0,15.02,5.7189,19300,0.0,1.0
2003-01-08,15.0,15.02,15.0,15.0,5.7113,8100,0.0,1.0
2003-01-09,15.0,15.0,15.0,15.0,5.7113,15800,0.0,1.0
2003-01-10,15.02,15.02,15.0,15.0,5.7113,11500,0.0,1.0
2003-01-13,15.02,15.02,15.0,15.0,5.7113,31800,0.0,1.0
2003-01-14,15.01,15.01,15.01,15.01,5.7151,1000,0.0,1.0
2003-01-15,15.01,15.01,15.0,15.0,5.7113,24900,0.0,1.0
2003-01-16,15.0,15.0,15.0,15.0,5.7113,25200,0.0,1.0
2003-01-17,15.0,15.0,15.0,15.0,5.7113,14800,0.0,1.0
2003-01-21,15.01,15.01,15.0,15.0,5.7113,17500,0.0,1.0
2003-01-22,15.01,15.01,15.0,15.0,5.7113,69500,0.0,1.0
2003-01-23,15.0,15.01,15.0,15.0,5.7113,40600,0.0,1.0
2003-01-24,15.0,15.0,15.0,15.0,5.7113,5700,0.0,1.0
2003-01-27,15.0,15.0,14.9,14.9,5.6732,46700,0.0,1.0
2003-01-28,14.88,14.88,14.8,14.81,5.6389,30200,0.0,1.0
2003-01-29,14.88,14.88,14.8,14.81,5.6389,7200,0.0,1.0
2003-01-30,14.77,14.85,14.73,14.73,5.6085,3400,0.0,1.0
2003-01-31,14.72,14.72,14.6,14.61,5.5628,10700,0.0,1.0
2003-02-03,14.6,14.61,14.54,14.55,5.5399,13400,0.0,1.0
2003-02-04,14.54,14.54,14.48,14.48,5.5133,12000,0.0,1.0
2003-02-05,14.49,14.49,14.49,14.49,5.5171,1000,0.0,1.0
2003-02-06,14.44,14.45,14.44,14.45,5.5019,1700,0.0,1.0
2003-02-07,14.44,14.44,14.3,14.31,5.4486,9200,0.0,1.0
2003-02-10,14.3,14.3,14.22,14.22,5.4143,1700,0.0,1.0
2003-02-11,14.28,14.28,14.05,14.06,5.3534,6100,0.0,1.0
2003-02-12,14.07,14.2,14.05,14.2,5.4067,27100,0.0,1.0
2003-02-13,14.2,14.2,14.15,14.16,5.3914,6700,0.0,1.0
2003-02-14,14.11,14.13,14.05,14.07,5.3572,14400,0.0,1.0
2003-02-18,14.06,14.06,13.97,13.98,5.3229,7800,0.0,1.0
2003-02-19,13.85,13.85,13.68,13.75,5.2672,6500,0.0838,1.0
2003-02-20,13.72,13.74,13.72,13.74,5.2634,4700,0.0,1.0
2003-02-21,13.73,13.73,13.61,13.62,5.2174,12300,0.0,1.0
2003-02-24,13.72,13.75,13.59,13.75,5.2672,12600,0.0,1.0
2003-02-25,13.71,14.1,13.67,14.1,5.4013,42400,0.0,1.0
2003-02-26,14.05,14.2,14.0,14.2,5.4396,16600,0.0,1.0
2003-02-27,14.2,14.49,14.2,14.49,5.5507,1300,0.0,1.0
2003-02-28,14.52,14.56,14.52,14.56,5.5775,5100,0.0,1.0
2003-03-03,14.62,14.62,14.45,14.6,5.5928,8700,0.0,1.0
2003-03-04,14.63,14.63,14.63,14.63,5.6043,300,0.0,1.0
2003-03-05,14.55,14.59,14.5,14.59,5.589,1700,0.0,1.0
2003-03-06,14.6,14.74,14.6,14.74,5.6465,2700,0.0,1.0
2003-03-07,14.8,14.9,14.8,14.9,5.7078,700,0.0,1.0
2003-03-10,14.85,14.85,14.6,14.61,5.5967,6200,0.0,1.0
2003-03-11,14.62,14.7,14.62,14.65,5.612,1100,0.0,1.0
2003-03-12,14.7,14.7,14.7,14.7,5.6311,700,0.0,1.0
2003-03-13,14.66,14.66,14.5,14.58,5.5852,4600,0.0,1.0
