timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,42.63,43.25,42.0,42.63,16.6005,70267,0.0,1.0
2000-01-04,42.06,45.0,42.0,44.0,17.134,99644,0.0,1.0
2000-01-05,44.0,44.88,43.75,44.13,17.1846,59200,0.0,1.0
2000-01-06,44.75,46.0,43.63,46.0,17.9128,128178,0.0,1.0
2000-01-07,46.25,47.38,45.5,45.88,17.8661,123244,0.0,1.0
2000-01-10,46.75,46.75,45.5,45.88,17.8661,80400,0.0,1.0
2000-01-11,46.06,50.0,43.25,43.44,16.9159,282178,0.0,1.0
2000-01-12,44.59,44.63,43.25,43.56,16.9627,55378,0.0,1.0
2000-01-13,43.5,43.75,42.88,43.63,16.9899,170444,0.0,1.0
2000-01-14,43.56,44.5,43.25,44.13,17.1846,144000,0.0,1.0
2000-01-18,44.25,44.25,43.5,43.75,17.0367,57200,0.0,1.0
2000-01-19,43.75,44.0,40.88,42.0,16.3552,43600,0.0,1.0
2000-01-20,41.94,42.38,38.0,38.0,14.7976,250578,0.0,1.0
2000-01-21,38.16,39.25,38.0,38.5,14.9923,60178,0.0,1.0
2000-01-24,38.69,39.75,38.13,39.31,15.3077,25378,0.0,1.0
2000-01-25,39.69,39.75,38.5,39.0,15.187,12400,0.0,1.0
2000-01-26,39.38,43.38,39.0,42.81,16.6706,28578,0.0,1.0
2000-01-27,42.75,43.5,41.5,42.56,16.5733,31467,0.0,1.0
2000-01-28,43.25,43.5,39.25,40.5,15.7711,90578,0.0,1.0
2000-01-31,27.63,27.75,26.75,26.94,15.736,16000,0.0,1.5
2000-02-01,27.0,27.25,25.5,26.25,15.333,83667,0.0,1.0
2000-02-02,26.28,26.5,26.13,26.5,15.479,60600,0.0,1.0
2000-02-03,26.69,30.13,26.5,30.13,17.5994,109467,0.0,1.0
2000-02-04,29.94,30.13,28.38,28.63,16.7232,121667,0.0,1.0
2000-02-07,28.81,30.63,28.63,30.63,17.8914,125000,0.0,1.0
2000-02-08,31.25,32.13,31.0,31.25,18.2536,330467,0.0,1.0
2000-02-09,32.0,32.0,29.75,29.75,17.3774,126467,0.0,1.0
2000-02-10,29.88,30.38,28.13,29.0,16.9393,77267,0.0,1.0
2000-02-11,28.94,28.97,27.13,28.13,16.4311,456267,0.0,1.0
2000-02-14,28.38,28.38,26.0,26.5,15.479,120267,0.0,1.0
2000-02-15,26.75,27.25,23.63,24.06,14.0538,216000,0.0,1.0
2000-02-16,24.72,24.75,23.19,23.25,13.5807,149800,0.0,1.0
2000-02-17,23.31,23.38,22.75,22.88,13.3645,205400,0.0,1.0
2000-02-18,23.0,23.13,19.75,20.0,11.6823,249267,0.0,1.0
2000-02-22,21.25,21.88,20.25,21.5,12.5585,206600,0.0,1.0
2000-02-23,21.5,24.75,21.5,23.69,13.8377,473600,0.0,1.0
2000-02-24,23.88,24.38,23.88,24.0,14.0187,158800,0.0,1.0
2000-02-25,24.0,24.0,22.75,23.06,13.4697,210667,0.0,1.0
2000-02-28,22.91,23.19,22.88,23.0,13.4346,79267,0.0,1.0
2000-02-29,23.19,23.25,22.88,23.0,13.4346,95867,0.0,1.0
2000-03-01,23.09,24.0,22.88,23.94,13.9837,238867,0.0,1.0
2000-03-02,24.06,25.38,23.69,24.94,14.5678,589800,0.0,1.0
2000-03-03,25.25,25.5,25.0,25.44,14.8599,131267,0.0,1.0
2000-03-06,24.25,25.25,24.25,24.63,14.3867,69667,0.0,1.0
2000-03-07,24.81,24.81,24.13,24.13,14.0947,60067,0.0,1.0
2000-03-08,24.5,24.75,24.0,24.13,14.0947,142000,0.0,1.0
2000-03-09,24.38,24.63,23.88,23.94,13.9837,60800,0.0,1.0
2000-03-10,24.0,24.5,24.0,24.38,14.2407,119200,0.0,1.0
2000-03-13,24.88,25.5,23.88,24.5,14.3108,143867,0.0,1.0
2000-03-14,25.03,25.13,23.94,24.13,14.0947,32667,0.0,1.0
2000-03-15,24.13,24.19,23.88,23.94,13.9837,101867,0.0,1.0
2000-03-16,23.88,24.75,23.88,24.06,14.0538,67800,0.0,1.0
2000-03-17,24.38,24.88,23.88,24.0,14.0187,126400,0.0,1.0
2000-03-20,24.13,24.44,23.13,24.0,14.0187,150400,0.0,1.0
2000-03-21,23.88,24.13,23.75,24.13,14.0947,149067,0.0,1.0
2000-03-22,24.0,24.61,23.88,23.88,13.9486,204267,0.0,1.0
2000-03-23,24.44,24.48,23.8,24.13,14.0947,422600,0.0,1.0
2000-03-24,24.25,24.38,23.88,24.06,14.0538,46000,0.0,1.0
2000-03-27,24.22,24.38,23.25,24.13,14.0947,82200,0.0,1.0
2000-03-28,24.13,24.25,23.75,24.06,14.0538,221000,0.0,1.0
2000-03-29,24.03,24.06,22.81,23.25,13.5807,44600,0.0,1.0
2000-03-30,23.5,23.88,23.06,23.75,13.8727,35267,0.0,1.0
2000-03-31,23.13,24.13,22.94,23.69,13.8377,19267,0.0,1.0
2000-04-03,23.75,24.13,22.75,22.75,13.2886,52867,0.0,1.0
2000-04-04,23.38,23.38,20.0,21.13,12.3423,113267,0.0,1.0
2000-04-05,21.06,22.5,21.06,22.5,13.1426,92267,0.0,1.0
2000-04-06,22.63,23.13,22.38,23.0,13.4346,54800,0.0,1.0
2000-04-07,23.0,23.63,22.38,23.61,13.7909,164800,0.0,1.0
2000-04-10,23.63,24.25,22.88,23.75,13.8727,166000,0.0,1.0
2000-04-11,23.75,24.13,23.75,23.94,13.9837,63467,0.0,1.0
2000-04-12,24.5,28.5,24.38,27.88,16.2851,640400,0.0,1.0
2000-04-13,28.34,31.13,28.0,31.13,18.1835,190467,0.0,1.0
2000-04-14,29.75,30.0,28.75,28.75,16.7933,59667,0.0,1.0
2000-04-17,29.59,30.0,26.88,27.63,16.1391,144800,0.0,1.0
2000-04-18,28.06,32.06,28.06,31.25,18.2536,86667,0.0,1.0
2000-04-19,31.44,32.75,31.44,32.13,18.7676,481867,0.0,1.0
2000-04-20,32.56,32.63,31.0,31.81,18.5807,143000,0.0,1.0
2000-04-24,31.75,31.75,29.56,30.0,17.5234,188067,0.0,1.0
2000-04-25,30.25,30.88,30.0,30.19,17.6344,169400,0.0,1.0
2000-04-26,30.31,32.81,30.0,32.38,18.9136,121200,0.0,1.0
2000-04-27,31.25,32.0,31.25,31.81,18.5807,39467,0.0,1.0
2000-04-28,31.75,35.75,31.75,34.38,20.0818,171467,0.0,1.0
2000-05-01,34.75,34.88,32.88,33.81,19.7489,111667,0.0,1.0
2000-05-02,33.88,35.0,33.75,34.81,20.333,50667,0.0,1.0
2000-05-03,35.0,37.0,34.81,36.75,21.4662,112867,0.0,1.0
2000-05-04,36.5,37.38,36.06,36.06,21.0632,182000,0.0,1.0
2000-05-05,36.0,36.38,35.06,35.88,20.958,132867,0.0,1.0
2000-05-08,34.88,36.5,34.88,35.69,20.847,39867,0.0,1.0
2000-05-09,36.19,36.25,34.75,36.25,21.1741,33867,0.0,1.0
2000-05-10,35.78,36.13,35.63,35.88,20.958,120867,0.0,1.0
