timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-01-03,9.375,9.625,9.375,9.5,7.8967,35100,0.0,1.0
2000-01-04,9.25,9.375,8.875,8.938,7.4296,11400,0.0,1.0
2000-01-05,8.938,8.938,7.0,8.625,7.1694,19500,0.0,1.0
2000-01-06,8.625,8.813,8.375,8.75,7.2733,69300,0.0,1.0
2000-01-07,8.813,9.375,8.813,9.125,7.585,30400,0.0,1.0
2000-01-10,9.25,9.25,9.0,9.125,7.585,13500,0.0,1.0
2000-01-11,9.031,9.25,9.0,9.25,7.6889,61300,0.0,1.0
2000-01-12,9.063,9.375,9.063,9.375,7.7928,82600,0.0,1.0
2000-01-13,9.125,11.0,9.125,11.0,9.1436,99600,0.0,1.0
2000-01-14,10.78,10.94,10.56,10.81,8.9856,48900,0.0,1.0
2000-01-18,10.88,11.88,10.88,11.5,9.5592,66200,0.0,1.0
2000-01-19,11.81,11.88,11.38,11.75,9.767,86400,0.0,1.0
2000-01-20,11.94,12.0,11.0,11.38,9.4594,35500,0.0,1.0
2000-01-21,11.56,12.0,11.38,11.63,9.6672,27800,0.0,1.0
2000-01-24,11.53,11.81,11.25,11.31,9.4013,71000,0.0,1.0
2000-01-25,11.25,11.5,11.0,11.25,9.3514,10200,0.0,1.0
2000-01-26,10.88,11.0,10.75,10.94,9.0937,32800,0.0,1.0
2000-01-27,10.88,11.13,10.63,10.88,9.0438,159100,0.0,1.0
2000-01-28,10.53,10.56,9.75,10.0,8.3123,31600,0.0,1.0
2000-01-31,9.75,10.13,9.625,10.13,8.4204,13100,0.0,1.0
2000-02-01,9.875,10.5,9.5,10.5,8.728,98900,0.0,1.0
2000-02-02,10.38,10.63,10.38,10.44,8.6781,30500,0.0,1.0
2000-02-03,10.25,10.25,10.0,10.19,8.4703,16900,0.0,1.0
2000-02-04,10.13,10.25,9.375,9.406,7.8186,49900,0.0,1.0
2000-02-07,9.625,9.75,9.375,9.406,7.8186,6400,0.0,1.0
2000-02-08,9.5,10.0,9.375,9.625,8.0006,28400,0.0,1.0
2000-02-09,9.875,9.875,9.594,9.594,7.9749,2600,0.0,1.0
2000-02-10,9.375,9.813,9.375,9.813,8.1569,7500,0.0,1.0
2000-02-11,9.875,10.63,9.875,10.5,8.728,93700,0.0,1.0
2000-02-14,10.75,10.94,10.31,10.5,8.728,168000,0.0,1.0
2000-02-15,10.38,11.0,10.31,10.31,8.57,65900,0.0,1.0
2000-02-16,10.31,10.31,10.0,10.31,8.57,19900,0.0,1.0
2000-02-17,10.13,10.5,10.06,10.13,8.4204,60800,0.0,1.0
2000-02-18,10.5,10.5,10.13,10.31,8.57,26200,0.0,1.0
2000-02-22,10.13,10.19,9.75,9.75,8.1045,22900,0.0,1.0
2000-02-23,9.625,9.625,9.188,9.219,7.6631,16000,0.0,1.0
2000-02-24,9.188,9.75,9.125,9.75,8.1045,54400,0.0,1.0
2000-02-25,9.906,9.906,9.25,9.25,7.6889,14700,0.0,1.0
2000-02-28,9.156,10.25,9.156,10.13,8.4204,69700,0.0,1.0
2000-02-29,9.75,10.38,9.625,10.25,8.5201,293300,0.0,1.0
2000-03-01,10.25,11.0,10.25,10.88,9.0438,148900,0.0,1.0
2000-03-02,10.69,13.25,10.69,12.06,10.0247,104100,0.0,1.0
2000-03-03,12.38,12.38,11.56,11.56,9.6091,60000,0.0,1.0
2000-03-06,11.56,12.94,11.5,12.5,10.3904,103400,0.0,1.0
2000-03-07,12.5,13.0,12.13,12.94,10.7562,63900,0.0,1.0
2000-03-08,13.03,13.06,12.0,12.31,10.2325,215100,0.0,1.0
2000-03-09,12.25,13.0,12.25,13.0,10.806,65200,0.0,1.0
2000-03-10,12.75,13.44,12.5,13.44,11.1718,21800,0.0,1.0
2000-03-13,13.0,13.75,13.0,13.75,11.4295,56800,0.0,1.0
