timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2002-08-02,17.25,17.57,17.2,17.34,4.2522,21600,0.0,1.0
2002-08-05,17.21,17.5,17.21,17.4,4.2669,13900,0.0,1.0
2002-08-06,17.35,17.48,17.1,17.2,4.2178,156200,0.0,1.0
2002-08-07,17.3,17.48,16.95,17.48,4.2865,96600,0.0,1.0
2002-08-08,17.34,17.8,17.25,17.8,4.365,10200,0.0,1.0
2002-08-09,17.8,18.1,17.51,18.1,4.4385,46800,0.0,1.0
2002-08-12,17.91,18.15,17.75,18.15,4.4508,15500,0.0,1.0
2002-08-13,18.0,18.1,17.18,17.18,4.2129,27200,0.0,1.0
2002-08-14,17.21,17.6,17.15,17.55,4.3037,46400,0.0,1.0
2002-08-15,17.45,17.69,16.91,17.46,4.2816,81400,0.0,1.0
2002-08-16,17.41,18.1,17.2,17.4,4.2669,156300,0.0,1.0
2002-08-19,17.25,17.9,17.25,17.9,4.3895,14000,0.0,1.0
2002-08-20,17.9,17.9,17.2,17.25,4.2301,21600,0.0,1.0
2002-08-21,17.2,17.4,17.15,17.34,4.2522,67000,0.0,1.0
2002-08-22,17.21,17.4,17.21,17.4,4.2669,26200,0.0,1.0
2002-08-23,17.01,17.5,17.01,17.47,4.284,115700,0.0,1.0
2002-08-26,17.2,17.49,17.16,17.36,4.2571,27900,0.0,1.0
2002-08-27,17.19,17.25,16.85,17.0,4.1688,38000,0.0,1.0
2002-08-28,16.98,17.17,16.35,16.65,4.083,75400,0.0,1.0
2002-08-29,16.74,16.99,16.49,16.89,4.1418,55000,0.0,1.0
2002-08-30,16.51,17.52,16.51,17.25,4.2301,74600,0.0,1.0
2002-09-03,17.45,17.45,16.65,16.98,4.1639,21700,0.0,1.0
2002-09-04,16.91,17.19,16.9,17.19,4.2154,39100,0.0,1.0
2002-09-05,17.01,17.07,16.93,16.95,4.1565,13800,0.0,1.0
2002-09-06,17.0,17.4,17.0,17.39,4.2644,15600,0.0,1.0
2002-09-09,17.24,17.24,16.91,16.93,4.1516,17300,0.0,1.0
2002-09-10,16.93,17.15,16.88,17.15,4.2056,19300,0.0,1.0
2002-09-11,17.01,17.09,16.9,17.0,4.1688,11500,0.0,1.0
2002-09-12,16.95,17.16,16.95,17.11,4.1958,16600,0.0,1.0
2002-09-13,17.1,17.13,16.92,17.05,4.1811,47100,0.0,1.0
2002-09-16,17.05,17.05,16.95,16.95,4.1565,4800,0.0,1.0
2002-09-17,16.95,17.02,16.85,16.85,4.132,8400,0.0,1.0
2002-09-18,16.77,17.0,16.68,16.91,4.1467,71100,0.0,1.0
