timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-06-29,10.0,10.05,10.0,10.01,8.7853,1549886,0.0,1.0
2016-06-30,10.08,10.2431,10.0,10.11,8.8731,245133,0.0,1.0
2016-07-01,10.18,10.2899,10.12,10.15,8.9082,196946,0.0,1.0
2016-07-05,10.15,10.2899,10.03,10.16,8.917,108570,0.0,1.0
2016-07-06,10.16,10.27,10.01,10.12,8.8819,203718,0.0,1.0
2016-07-07,10.15,10.29,10.1,10.11,8.8731,210557,0.0,1.0
2016-07-08,10.13,10.4,10.13,10.3,9.0398,149761,0.0,1.0
2016-07-11,10.78,10.78,10.45,10.46,9.1803,260728,0.0,1.0
2016-07-12,10.5,10.6,10.35,10.4,9.1276,174925,0.0,1.0
2016-07-13,10.39,10.49,10.31,10.31,9.0486,146501,0.0,1.0
2016-07-14,10.35,10.41,10.2,10.23,8.9784,140119,0.0,1.0
2016-07-15,10.38,11.38,10.2,10.35,9.0837,140000,0.0,1.0
2016-07-18,10.55,10.65,10.351,10.47,9.189,149702,0.0,1.0
2016-07-19,10.5,10.539,10.371,10.43,9.1539,56494,0.0,1.0
2016-07-20,10.5,10.59,10.4,10.49,9.2066,156607,0.0,1.0
2016-07-21,10.6,10.65,10.4,10.52,9.2329,92915,0.0,1.0
2016-07-22,10.64,10.8989,10.55,10.73,9.4172,89671,0.0,1.0
2016-07-25,10.85,10.94,10.7225,10.79,9.4699,184806,0.0,1.0
2016-07-26,10.75,10.85,10.65,10.76,9.4436,187244,0.0,1.0
2016-07-27,10.76,10.8,10.601,10.67,9.3646,97736,0.0,1.0
2016-07-28,10.64,10.8911,10.64,10.81,9.4874,78339,0.0,1.0
2016-07-29,10.76,10.95,10.65,10.92,9.584,183857,0.0,1.0
2016-08-01,10.95,10.95,10.85,10.87,9.5401,94727,0.0,1.0
2016-08-02,10.93,10.94,10.72,10.81,9.4874,103861,0.0,1.0
2016-08-03,10.939,11.2,10.73,10.73,9.4172,83643,0.0,1.0
2016-08-04,10.89,10.9,10.75,10.76,9.4436,71308,0.0,1.0
2016-08-05,10.65,10.765,10.6082,10.64,9.3382,111669,0.0,1.0
2016-08-08,10.75,10.75,10.65,10.67,9.3646,47360,0.0,1.0
2016-08-09,10.64,10.82,10.64,10.67,9.3646,50559,0.0,1.0
2016-08-10,10.75,10.85,10.72,10.74,9.426,59559,0.0,1.0
2016-08-11,10.83,10.94,10.7208,10.88,9.5489,47372,0.0,1.0
2016-08-12,10.92,10.93,10.835,10.86,9.5313,30059,0.0,1.0
2016-08-15,10.94,11.08,10.85,10.98,9.6366,62755,0.0,1.0
2016-08-16,10.98,11.0,10.85,10.99,9.6454,59949,0.0,1.0
2016-08-17,10.98,11.0,10.75,10.82,9.4962,30818,0.0,1.0
2016-08-18,11.0,11.0,10.63,10.91,9.5752,31337,0.0,1.0
2016-08-19,10.98,11.24,10.865,11.12,9.7595,64256,0.0,1.0
2016-08-22,10.99,11.02,10.79,10.89,9.5577,70057,0.0,1.0
2016-08-23,10.89,11.0938,10.65,10.74,9.426,97651,0.0,1.0
2016-08-24,10.8,10.85,10.41,10.73,9.4172,71048,0.0,1.0
2016-08-25,10.73,10.89,10.71,10.75,9.4348,92015,0.0,1.0
2016-08-26,10.74,10.85,10.7,10.72,9.4085,66081,0.0,1.0
2016-08-29,10.75,10.89,10.6,10.84,9.5138,73884,0.0,1.0
2016-08-30,10.92,10.9297,10.7343,10.77,9.4523,40359,0.0,1.0
2016-08-31,10.83,10.83,10.51,10.75,9.4348,85282,0.0,1.0
2016-09-01,10.67,10.93,10.5,10.59,9.2944,63297,0.0,1.0
2016-09-02,10.7,10.95,10.5,10.73,9.4172,38900,0.0,1.0
2016-09-06,10.76,10.8,10.31,10.49,9.2066,104214,0.0,1.0
2016-09-07,10.46,10.5,9.621,10.25,8.996,293313,0.0,1.0
2016-09-08,10.21,10.48,10.04,10.24,8.9872,229571,0.0,1.0
2016-09-09,10.2,10.2092,10.0,10.2,8.9521,108453,0.0,1.0
2016-09-12,10.2,10.25,10.1,10.12,8.8819,87734,0.0,1.0
