timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-06-19,8.0,8.2,8.0,8.2,5.2726,3200,0.0,1.0
2007-06-20,8.25,8.3,8.25,8.3,5.3369,400,0.0,1.0
2007-06-21,8.3,8.3,8.3,8.3,5.3369,0,0.0,1.0
2007-06-22,8.3,8.3,8.3,8.3,5.3369,0,0.0,1.0
2007-06-25,8.45,8.6,8.45,8.6,5.5298,2400,0.0,1.0
2007-06-26,8.65,8.9,8.65,8.7,5.5941,5200,0.0,1.0
2007-06-27,8.8,8.8,8.5,8.5,5.4655,3600,0.0,1.0
2007-06-28,8.55,8.55,8.25,8.25,5.3047,3200,0.0,1.0
2007-06-29,8.25,8.25,7.7,7.95,5.1118,75600,0.0,1.0
2007-07-02,7.9,8.05,7.75,7.95,5.1118,58300,0.0,1.0
2007-07-03,8.0,8.9,7.95,8.84,5.6841,43800,0.0,1.0
2007-07-05,8.95,9.45,8.9,9.01,5.7934,107300,0.0,1.0
2007-07-06,9.14,9.43,9.08,9.18,5.9027,71500,0.0,1.0
2007-07-09,9.35,9.43,8.72,8.8,5.6584,107100,0.0,1.0
2007-07-10,8.75,9.25,8.75,9.07,5.832,58500,0.0,1.0
2007-07-11,9.15,9.15,8.77,9.13,5.8706,41300,0.0,1.0
2007-07-12,9.1,9.3,8.96,9.2,5.9156,44800,0.0,1.0
2007-07-13,9.3,9.5,9.1,9.25,5.9477,19600,0.0,1.0
2007-07-16,9.21,9.42,9.1,9.41,6.0506,28600,0.0,1.0
2007-07-17,9.41,9.42,9.31,9.34,6.0056,23000,0.0,1.0
2007-07-18,9.4,9.42,9.27,9.37,6.0249,36300,0.0,1.0
2007-07-19,9.42,10.94,9.35,10.28,6.61,67400,0.0,1.0
2007-07-20,10.33,10.9,10.31,10.9,7.0087,64900,0.0,1.0
2007-07-23,11.0,11.44,10.96,11.23,7.2209,57600,0.0,1.0
2007-07-24,11.23,11.5,10.83,10.83,6.9637,45000,0.0,1.0
2007-07-25,10.98,11.02,9.95,10.35,6.655,68600,0.0,1.0
2007-07-26,10.25,10.25,9.25,9.56,6.1471,37500,0.0,1.0
2007-07-27,9.62,10.7,9.42,10.7,6.8801,17900,0.0,1.0
2007-07-30,9.85,10.06,9.5,9.93,6.385,32200,0.0,1.0
2007-07-31,9.92,10.02,9.61,9.61,6.1792,18500,0.0,1.0
2007-08-01,9.61,10.06,9.41,9.51,6.1149,40600,0.0,1.0
2007-08-02,9.58,9.69,9.48,9.65,6.2049,16000,0.0,1.0
2007-08-03,9.65,9.65,9.41,9.41,6.0506,9000,0.0,1.0
2007-08-06,9.47,9.6,9.15,9.21,5.922,19900,0.0,1.0
2007-08-07,9.16,9.22,9.09,9.12,5.8641,15600,0.0,1.0
2007-08-08,9.15,9.15,8.9,9.0,5.787,21600,0.0,1.0
2007-08-09,9.0,9.1,8.95,8.957,5.7593,13100,0.0,1.0
2007-08-10,9.02,9.05,8.9,9.05,5.8191,19000,0.0,1.0
2007-08-13,9.15,9.45,8.9,9.21,5.922,17300,0.0,1.0
2007-08-14,9.18,9.18,8.9,9.0,5.787,10900,0.0,1.0
2007-08-15,9.0,9.02,8.76,8.87,5.7034,15000,0.0,1.0
2007-08-16,8.77,8.84,8.15,8.29,5.3305,46800,0.0,1.0
2007-08-17,8.7,8.9,8.5,8.9,5.7227,30000,0.0,1.0
2007-08-20,9.0,9.0,8.67,8.68,5.5812,14900,0.0,1.0
2007-08-21,8.83,8.92,8.65,8.8,5.6584,11300,0.0,1.0
2007-08-22,8.7,8.75,8.02,8.6302,5.5492,12500,0.0,1.0
2007-08-23,8.71,8.85,8.61,8.85,5.6905,6900,0.0,1.0
2007-08-24,8.8,9.0,8.75,8.81,5.6648,8800,0.0,1.0
2007-08-27,9.05,9.05,8.85,8.93,5.742,18000,0.0,1.0
2007-08-28,8.9,8.98,8.8,8.81,5.6648,9400,0.0,1.0
2007-08-29,8.9,8.9,8.7,8.7,5.5941,7600,0.0,1.0
2007-08-30,8.7,8.7588,8.63,8.7,5.5941,5300,0.0,1.0
2007-08-31,8.65,8.7,8.5,8.7,5.5941,12600,0.0,1.0
2007-09-04,8.6,8.98,8.55,8.61,5.5362,21200,0.0,1.0
2007-09-05,8.63,8.75,8.55,8.65,5.5619,8800,0.0,1.0
2007-09-06,8.61,8.65,8.56,8.57,5.5105,5100,0.0,1.0
2007-09-07,8.56,8.56,8.5,8.55,5.4976,7200,0.0,1.0
2007-09-10,8.52,8.55,8.25,8.25,5.3047,21345,0.0,1.0
2007-09-11,8.25,8.35,8.25,8.26,5.3112,10000,0.0,1.0
2007-09-12,8.25,8.55,8.25,8.4596,5.4395,16900,0.0,1.0
2007-09-13,8.46,8.54,8.3,8.3,5.3369,11100,0.0,1.0
2007-09-14,8.35,8.39,8.3,8.33,5.3562,6300,0.0,1.0
2007-09-17,8.28,8.5,8.2676,8.32,5.3497,19400,0.0,1.0
2007-09-18,8.3,8.3,8.15,8.19,5.2662,22900,0.0,1.0
2007-09-19,8.16,8.19,8.01,8.03,5.1633,65300,0.0,1.0
2007-09-20,8.01,8.15,8.01,8.04,5.1697,16600,0.0,1.0
2007-09-21,8.04,8.2,8.01,8.18,5.2597,21100,0.0,1.0
2007-09-24,8.25,8.42,8.2,8.2,5.2726,14000,0.0,1.0
2007-09-25,8.21,8.21,8.05,8.05,5.1761,9800,0.0,1.0
2007-09-26,8.08,8.1525,8.05,8.11,5.2147,19600,0.0,1.0
2007-09-27,8.1,8.13,8.05,8.05,5.1761,10600,0.0,1.0
2007-09-28,8.09,8.14,8.01,8.03,5.1633,13300,0.0,1.0
2007-10-01,8.01,8.1,8.0,8.1,5.2083,23194,0.0,1.0
2007-10-02,8.11,8.16,8.05,8.13,5.2276,13900,0.0,1.0
2007-10-03,8.05,8.06,8.0,8.0,5.144,14300,0.0,1.0
2007-10-04,8.0,8.036,8.0,8.0,5.144,10900,0.0,1.0
2007-10-05,8.02,8.1,8.0001,8.02,5.1568,12000,0.0,1.0
2007-10-08,8.08,8.08,8.0,8.02,5.1568,12000,0.0,1.0
2007-10-09,8.04,8.06,7.8,8.02,5.1568,35300,0.0,1.0
2007-10-10,8.05,8.06,7.9,8.0,5.144,13900,0.0,1.0
2007-10-11,7.91,7.95,7.76,7.85,5.0475,30100,0.0,1.0
2007-10-12,7.84,7.89,7.76,7.85,5.0475,14800,0.0,1.0
2007-10-15,7.9,7.94,7.8,7.82,5.0282,19300,0.0,1.0
2007-10-16,7.8,7.95,7.75,7.91,5.0861,14400,0.0,1.0
2007-10-17,7.94,8.03,7.81,8.02,5.1568,20500,0.0,1.0
2007-10-18,7.87,7.95,7.82,7.84,5.0411,12800,0.0,1.0
2007-10-19,7.8,7.85,7.78,7.79,5.009,5100,0.0,1.0
2007-10-22,7.76,7.83,7.75,7.77,4.9961,15300,0.0,1.0
2007-10-23,7.77,7.8,7.75,7.75,4.9832,8500,0.0,1.0
2007-10-24,7.75,7.9,7.71,7.76,4.9897,15600,0.0,1.0
2007-10-25,7.72,7.77,7.7,7.75,4.9832,16400,0.0,1.0
2007-10-26,7.75,7.95,7.75,7.76,4.9897,23200,0.0,1.0
2007-10-29,7.83,8.13,7.83,7.9,5.0797,25400,0.0,1.0
2007-10-30,7.82,7.83,7.6998,7.71,4.9575,23500,0.0,1.0
2007-10-31,7.71,7.77,7.7,7.7,4.9511,12800,0.0,1.0
2007-11-01,7.65,7.65,7.45,7.47,4.8032,21300,0.0,1.0
2007-11-02,7.5,7.56,7.39,7.4,4.7582,10900,0.0,1.0
2007-11-05,7.4,7.49,7.4,7.4,4.7582,12900,0.0,1.0
2007-11-06,7.48,7.53,7.4,7.52,4.8353,14300,0.0,1.0
2007-11-07,7.41,7.47,7.4,7.4,4.7582,14800,0.0,1.0
2007-11-08,7.28,7.51,6.3,6.7,4.3081,79600,0.0,1.0
2007-11-09,6.9,7.0,6.81,6.94,4.4624,20200,0.0,1.0
2007-11-12,6.9,6.9,6.83,6.87,4.4174,9100,0.0,1.0
2007-11-13,6.76,6.9,6.68,6.7304,4.3276,34000,0.0,1.0
2007-11-14,6.85,6.9,6.81,6.85,4.4045,13900,0.0,1.0
2007-11-15,6.95,7.05,6.85,7.011,4.5081,21700,0.0,1.0
2007-11-16,7.07,7.1,6.97,7.0099,4.5074,10000,0.0,1.0
2007-11-19,7.09,7.09,6.85,6.85,4.4045,8700,0.0,1.0
2007-11-20,6.86,6.86,6.6801,6.71,4.3145,20000,0.0,1.0
2007-11-21,6.68,6.69,6.62,6.63,4.2631,20500,0.0,1.0
2007-11-23,6.69,6.79,6.65,6.76,4.3467,13600,0.0,1.0
2007-11-26,6.89,6.99,6.8,6.89,4.4303,25900,0.0,1.0
2007-11-27,6.82,6.89,6.79,6.85,4.4045,19400,0.0,1.0
2007-11-28,6.85,7.0,6.8,6.97,4.4817,23700,0.0,1.0
2007-11-29,6.93,7.0,6.92,6.99,4.4946,19100,0.0,1.0
2007-11-30,7.24,7.24,6.98,7.11,4.5717,20000,0.0,1.0
2007-12-03,6.96,7.15,6.96,6.99,4.4946,14820,0.0,1.0
2007-12-04,6.98,7.04,6.93,7.0,4.501,16700,0.0,1.0
