timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-02-03,15.27,16.0,12.9,12.9,129.0,4588900,0.0,1.0
2004-02-04,12.9,13.5,12.28,12.44,124.4,633300,0.0,1.0
2004-02-05,12.9,12.96,12.45,12.64,126.4,249900,0.0,1.0
2004-02-06,12.9,13.1,12.5,12.7,127.0,150100,0.0,1.0
2004-02-09,12.7,13.0,12.6,12.77,127.7,155800,0.0,1.0
2004-02-10,13.1,13.1,12.56,12.6,126.0,116900,0.0,1.0
2004-02-11,12.75,12.8,12.3,12.35,123.5,135300,0.0,1.0
2004-02-12,12.25,12.68,12.1,12.15,121.5,120000,0.0,1.0
2004-02-13,12.2,12.25,11.8,11.95,119.5,119500,0.0,1.0
2004-02-17,11.94,11.94,11.6,11.779,117.79,113100,0.0,1.0
2004-02-18,11.8,11.81,11.47,11.6,116.0,62800,0.0,1.0
2004-02-19,11.47,11.61,10.7,10.8,108.0,163600,0.0,1.0
2004-02-20,11.02,11.37,10.75,11.0,110.0,216500,0.0,1.0
2004-02-23,11.1,11.1,10.78,10.94,109.4,103500,0.0,1.0
2004-02-24,10.84,10.91,10.75,10.811,108.11,38500,0.0,1.0
2004-02-25,10.7,11.49,10.65,11.48,114.8,90000,0.0,1.0
2004-02-26,11.35,11.9,11.25,11.87,118.7,29700,0.0,1.0
2004-02-27,11.75,12.0,11.31,11.72,117.2,81000,0.0,1.0
2004-03-01,11.8,11.8,11.16,11.3,113.0,80400,0.0,1.0
2004-03-02,11.15,12.0,11.15,11.869,118.69,248600,0.0,1.0
2004-03-03,11.7,11.99,11.28,11.36,113.6,46700,0.0,1.0
2004-03-04,11.3,11.5,10.84,11.279,112.79,90700,0.0,1.0
2004-03-05,11.1,11.3,11.07,11.15,111.5,78800,0.0,1.0
2004-03-08,11.23,11.45,11.13,11.4,114.0,118300,0.0,1.0
2004-03-09,11.395,11.75,11.19,11.74,117.4,54000,0.0,1.0
